,Museums in activity (N.º),"Museums that fulfilled the selection criteria, Number (N.º)","Museums that fulfilled the selection criteria, Visitors, Total (N.º)","Museums that fulfilled the selection criteria, Visitors, School visitors (N.º)","Museums that fulfilled the selection criteria, Visitors, Foreign visitors  (N.º)","Museums that fulfilled the selection criteria, Goods, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Number, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Temporary exhibitions, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Pieces exhibited, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Represented authors, Foreign visitors  (N.º)"
Vila Nova de Paiva,2,2,1382,324,71,691,2,30,1251,152
Viseu,6,5,58026,8412,9539,27836,8,21,424,85
Vouzela,1,0,0,0,0,0,1,15,1024,73
Beira Baixa,10,4,30059,7398,1937,21803,12,56,3916,382
Castelo Branco,4,2,…,…,…,…,5,24,2714,187
Idanha-a-Nova,1,0,0,0,0,0,1,3,67,3
Oleiros,0,0,0,0,0,0,0,0,0,0
Penamacor,2,1,5865,1200,1115,3300,1,3,35,3
Proença-a-Nova,2,1,…,…,…,…,4,25,1080,187
Vila Velha de Ródão,1,0,0,0,0,0,1,1,20,2
Médio Tejo,23,16,188904,21995,33156,137375,22,146,4698,893
Abrantes,3,3,12197,1097,878,6127,3,16,886,115
Alcanena,2,2,…,…,…,…,3,28,844,131
Constância,2,2,…,…,…,…,0,0,0,0
Entroncamento,1,1,62706,6748,2473,11370,2,27,793,143
Ferreira do Zêzere,0,0,0,0,0,0,1,13,261,15
Mação,1,1,5152,831,51,65226,1,10,220,18
Ourém,2,2,…,…,…,…,2,5,341,273
Sardoal,0,0,0,0,0,0,1,8,175,33
Sertã,1,0,0,0,0,0,1,10,435,71
Tomar,4,2,40059,600,23802,293,2,9,234,15
Torres Novas,1,1,3468,197,102,5760,2,3,52,8
Vila de Rei,4,1,1194,270,57,1443,2,12,355,54
Vila Nova da Barquinha,2,1,3157,413,220,14,2,5,102,17
Beiras e Serra da Estrela,36,16,166817,17282,26765,155925,24,131,4474,938
Almeida,2,1,9072,409,3184,3176,3,18,546,166
Belmonte,4,2,26152,1250,10944,…,0,0,0,0
Celorico da Beira,1,0,0,0,0,0,1,3,108,12
Covilhã,4,3,25520,3430,5224,109324,4,34,851,143
Figueira de Castelo Rodrigo,1,0,0,0,0,0,0,0,0,0
Fornos de Algodres,1,0,0,0,0,0,0,0,0,0
Fundão,8,1,…,660,…,23722,2,3,110,60
Gouveia,3,2,…,…,…,…,1,3,241,16
Guarda,2,2,14274,3090,2000,5662,4,29,1131,156
Manteigas,0,0,0,0,0,0,1,2,82,28
Mêda,0,0,0,0,0,0,1,3,95,10
Pinhel,2,0,0,0,0,0,1,3,133,3
Sabugal,3,1,5565,175,2106,468,1,7,128,20
Seia,4,3,73139,7148,1199,12450,5,26,1049,324
Trancoso,1,1,7376,…,1493,99,0,0,0,0
A. M. Lisboa,111,84,6966280,476944,3459127,13422164,237,1544,58152,14213
Alcochete,1,1,1486,1159,28,16917,4,7,121,80
Almada,2,2,5667,3076,154,17287,10,65,4032,1522
Amadora,2,2,5608,2867,20,68347,4,16,910,153
Barreiro,0,0,0,0,0,0,1,3,256,4
Cascais,9,8,148755,19732,82648,104234,15,93,3974,899
Lisboa,58,44,3867905,309080,1664069,10861197,140,913,32637,7186
Loures,4,3,9592,1485,…,815521,7,49,647,414
Mafra,4,1,203688,47826,45955,94643,2,23,754,228
Moita,0,0,0,0,0,0,2,6,93,13
Montijo,3,1,5765,…,76,5996,4,18,1168,281
Odivelas,0,0,0,0,0,0,2,8,349,240
Oeiras,1,1,…,575,22,…,3,9,355,86
Palmela,2,2,…,…,…,…,5,12,449,57
Seixal,1,1,19797,4520,0,181820,3,17,408,95
Sesimbra,1,1,204859,4213,78687,4369,1,96,2735,1532
Setúbal,4,4,102334,6286,51036,375884,11,100,2971,386
Sintra,13,10,2306664,43720,1535693,308140,12,56,2142,408
Vila Franca de Xira,6,3,40341,16867,389,311487,11,53,4151,629
Alentejo,93,55,639412,41904,196070,619086,122,616,23038,4064
Alentejo Litoral,10,4,21370,3297,3724,30257,10,61,2211,329
Alcácer do Sal,3,0,0,0,0,0,1,1,40,1
Grândola,4,2,…,…,…,…,3,18,739,85
Odemira,0,0,0,0,0,0,1,9,127,62
Santiago do Cacém,2,1,11462,…,…,15574,4,30,1122,78
Sines,1,1,…,1435,2670,…,1,3,183,103
Baixo Alentejo,18,12,70073,6686,23459,73971,24,137,3373,544
Aljustrel,0,0,0,0,0,0,2,17,484,117
Almodôvar,2,2,4500,207,518,352,2,38,697,101
Alvito,1,0,0,0,0,0,1,9,125,9
Barrancos,1,1,477,120,109,1537,3,4,119,17
Beja,5,1,1230,620,200,4000,3,12,611,64
Castro Verde,2,2,…,…,…,…,3,7,230,133
Cuba,1,1,…,…,…,…,2,13,250,13
Ferreira do Alentejo,1,1,2850,566,14,36561,2,6,86,33
Mértola,1,1,30931,1911,15696,1620,2,9,218,28
Moura,1,1,13856,1600,2250,2685,2,5,125,5
Ourique,0,0,0,0,0,0,0,0,0,0
Serpa,2,1,7967,268,3000,306,1,10,153,12
Vidigueira,1,1,3378,534,345,4395,1,7,275,12
Lezíria do Tejo,13,8,44228,9465,8303,438668,23,100,3897,562
Almeirim,1,1,4560,3000,30,1350,2,19,1228,83
Alpiarça,1,1,8232,876,540,62001,1,4,155,30
Azambuja,1,1,2400,2000,50,20960,1,4,40,7
Benavente,1,0,0,0,0,0,2,5,181,19
Cartaxo,2,1,1743,234,134,3683,1,2,100,55
Chamusca,0,0,0,0,0,0,1,11,256,14
Coruche,1,1,4246,1040,182,341094,1,4,152,68
Golegã,2,1,…,…,…,…,2,10,293,73
Rio Maior,0,0,0,0,0,0,2,12,338,27
Salvaterra de Magos,0,0,0,0,0,0,4,19,830,110
Santarém,4,2,…,…,…,…,6,10,324,76
Alto Alentejo,25,15,94052,7271,24952,41754,25,130,5231,997
Alter do Chão,1,1,5852,122,692,1118,0,0,0,0
Arronches,1,1,…,…,92,5700,0,0,0,0
Avis,3,1,2523,174,64,2843,1,9,366,24
Campo Maior,4,1,…,…,…,…,0,0,0,0
Castelo de Vide,1,0,0,0,0,0,1,12,1202,30
Crato,1,0,0,0,0,0,2,5,123,8
Elvas,4,4,35079,2494,14248,5038,5,18,966,341
Fronteira,1,1,1086,166,…,…,1,1,20,3
Gavião,1,0,0,0,0,0,1,4,65,4
Marvão,1,1,9177,300,3900,4620,2,3,134,102
Monforte,0,0,0,0,0,0,3,5,172,7
Nisa,2,1,4695,176,504,…,0,0,0,0
Ponte de Sor,1,0,0,0,0,0,1,16,391,124
Portalegre,3,3,18379,1480,3370,17375,6,44,1512,238
Sousel,1,1,…,…,…,1486,2,13,280,116
Alentejo Central,27,16,409689,15185,135632,34436,40,188,8326,1632
Alandroal,0,0,0,0,0,0,1,2,120,2
Arraiolos,1,1,11469,383,4230,351,2,4,94,29
Borba,2,0,0,0,0,0,1,1,100,1
Estremoz,2,2,…,…,…,…,2,16,1714,131
Évora,7,4,331417,2218,118353,1794,14,72,2573,1004
Montemor-o-Novo,2,1,5469,85,1298,…,7,23,1061,90
Mora,2,1,4909,508,…,546,1,8,460,15
Mourão,1,1,10765,582,1155,21490,2,11,294,41
Portel,1,0,0,0,0,0,4,10,555,97
Redondo,3,3,…,…,126,661,1,7,156,13
Reguengos de Monsaraz,1,0,0,0,0,0,2,11,338,11
Vendas Novas,0,0,0,0,0,0,1,4,150,10
Viana do Alentejo,0,0,0,0,0,0,1,16,613,149
Vila Viçosa,5,3,4354,260,1032,6023,1,3,98,39
Algarve,24,15,544726,65063,329463,670937,41,262,7989,1635
Albufeira,1,1,9522,804,7534,4151,3,24,738,115
Alcoutim,1,1,14335,448,5972,2419,0,0,0,0
Aljezur,3,1,1204,31,1008,258,3,11,268,14
Castro Marim,1,0,0,0,0,0,0,0,0,0
Faro,4,2,38438,6365,23185,15303,6,51,1626,674
Lagoa,0,0,0,0,0,0,4,27,1034,123
Lagos,2,2,…,…,…,…,3,14,424,85
Loulé,2,2,…,…,…,…,5,38,960,128
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,1,1,3629,1625,577,2122,1,9,450,36
Portimão,1,1,129080,43170,27726,83433,2,26,631,107
São Brás de Alportel,2,1,…,…,…,…,4,23,385,68
Silves,3,2,38137,1167,34465,7616,3,4,159,6
Tavira,3,1,57636,915,39744,4659,2,5,355,5
Vila do Bispo,0,0,0,0,0,0,1,8,229,70
Vila Real de Santo António,0,0,0,0,0,0,4,22,730,204
R. A. Açores,33,19,212861,30802,84003,349289,28,229,6175,965
Santa Maria,1,1,5971,661,866,2279,2,11,305,12
Vila do Porto,1,1,5971,661,866,2279,2,11,305,12
São Miguel,17,10,107505,17343.000000000004,50692.99999999999,195291,17,110,3926,620
Lagoa (R.A.A.),4,2,…,…,…,…,2,2,78,4
Nordeste,1,0,0,0,0,0,0,0,0,0
Ponta Delgada,3,2,72314,6965,41226,154961,6,46,2266,279
Povoação,1,1,…,…,…,…,2,25,450,25
Ribeira Grande,7,4,9884,2279,3883,9245,5,25,830,236
Vila Franca do Campo,1,1,6919,1072,785,23046,2,12,302,76
Terceira,5,1,27480,4270,9799,69009,3,61,459,150
Angra do Heroísmo,3,1,27480,4270,9799,69009,3,61,459,150
Vila da Praia da Vitória,2,0,0,0,0,0,0,0,0,0
Graciosa,1,1,5230,642,492,13646,1,24,540,24
Santa Cruz da Graciosa,1,1,5230,642,492,13646,1,24,540,24
São Jorge,2,1,3842,980,329,11635,2,5,117,34
Calheta (R.A.A.),1,1,3842,980,329,11635,1,3,42,3
Velas,1,0,0,0,0,0,1,2,75,31
Pico,3,1,17465,1855,3755,122,1,10,336,104
Lajes do Pico,1,1,17465,1855,3755,122,1,10,336,104
Madalena,1,0,0,0,0,0,0,0,0,0
São Roque do Pico,1,0,0,0,0,0,0,0,0,0
Faial,3,3,33809,4851,12506,53909,1,7,462,20
Horta,3,3,33809,4851,12506,53909,1,7,462,20
Flores,1,1,11559,200,5563,3398,1,1,30,1
Lajes das Flores,0,0,0,0,0,0,1,1,30,1
Santa Cruz das Flores,1,1,11559,200,5563,3398,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,25,18,338331,27147,197923,113170,36,274,7035,3562
Calheta (R.A.M.),2,1,39807,6158,10555,740,2,5,134,5
Câmara de Lobos,1,1,…,…,…,…,5,106,1112,209
Funchal,14,10,237829,14699,153732,103891,20,96,4217,2553
Machico,2,2,32574,2177,21560,…,3,16,201,116
Ponta do Sol,0,0,0,0,0,0,2,30,314,154
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,1,1,6852,2673,2758,6135,1,6,571,390
Santa Cruz,0,0,0,0,0,0,1,6,124,6
Santana,1,1,…,…,…,…,1,7,347,127
São Vicente,2,1,…,…,…,531,0,0,0,0
Porto Santo,2,1,15105,950,7000,1268,1,2,15,2
