,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Recurrent education (N.º)","Public primary education, 1st cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 1st cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, of which, Recurrent education (N.º)","Public primary education, 2nd cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 2nd cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Vila do Porto,0,0,0,0,10,0,0,10
São Miguel,17,0,0,17,59,11,0,48
Lagoa (R.A.A.),0,0,0,0,4,0,0,4
Nordeste,0,0,0,0,0,0,0,0
Ponta Delgada,8,0,0,8,25,11,0,14
Povoação,0,0,0,0,0,0,0,0
Ribeira Grande,9,0,0,9,23,0,0,23
Vila Franca do Campo,0,0,0,0,7,0,0,7
Terceira,18,0,12,6,20,0,12,8
Angra do Heroísmo,18,0,12,6,20,0,12,8
Vila da Praia da Vitória,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,0,0,0,0,11,0,0,11
Lajes do Pico,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,11,0,0,11
São Roque do Pico,0,0,0,0,0,0,0,0
Faial,0,0,0,0,1,0,0,1
Horta,0,0,0,0,1,0,0,1
Flores,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,678,678,0,0,193,0,113,2
Calheta (R.A.M.),169,169,0,0,20,0,0,0
Câmara de Lobos,155,155,0,0,8,0,8,0
Funchal,87,87,0,0,130,0,70,2
Machico,54,54,0,0,10,0,10,0
Ponta do Sol,135,135,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,25,0,25,0
Santana,64,64,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,14,14,0,0,0,0,0,0
