,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Recurrent education (N.º)","Primary education, 1st cycle, of which, Adult Education and Training Courses (N.º)","Primary education, 1st cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Primary education, 2nd cycle, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Primary education, 2nd cycle, of which, Recurrent education (N.º)","Primary education, 2nd cycle, of which, Adult Education and Training Courses (N.º)","Primary education, 2nd cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Cadaval,0,0,0,0,0,0,0,0
Caldas da Rainha,5,0,5,0,17,0,17,0
Lourinhã,0,0,0,0,0,0,0,0
Nazaré,0,0,0,0,2,0,0,2
Óbidos,0,0,0,0,0,0,0,0
Peniche,4,0,0,4,11,0,0,11
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,1,0,0,1,7,0,0,7
Região de Aveiro,71,0,71,0,298,0,286,11
Águeda,17,0,17,0,92,0,91,1
Albergaria-a-Velha,0,0,0,0,21,0,21,0
Anadia,0,0,0,0,0,0,0,0
Aveiro,37,0,37,0,113,0,109,4
Estarreja,17,0,17,0,16,0,14,1
Ílhavo,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,0,0,0,0,42,0,37,5
Sever do Vouga,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,14,0,14,0
Região de Coimbra,46,0,7,39,175,0,84,89
Arganil,8,0,0,8,11,0,0,11
Cantanhede,0,0,0,0,1,0,0,1
Coimbra,34,0,7,27,122,0,64,56
Condeixa-a-Nova,0,0,0,0,0,0,0,0
Figueira da Foz,0,0,0,0,23,0,20,3
Góis,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0
Mealhada,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,3,0,0,3
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,2,0,0,2,14,0,0,14
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,2,0,0,2,0,0,0,0
Tábua,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,1,0,0,1
Região de Leiria,9,0,0,9,51,0,14,37
Alvaiázere,0,0,0,0,0,0,0,0
Ansião,0,0,0,0,0,0,0,0
Batalha,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0
Leiria,2,0,0,2,30,0,13,17
Marinha Grande,1,0,0,1,4,0,0,4
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,6,0,0,6,17,0,1,16
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,87,0,78,9,145,0,136,9
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0
Castro Daire,10,0,10,0,34,0,34,0
Mangualde,21,0,21,0,29,0,23,6
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,1,0,0,1
Sátão,0,0,0,0,0,0,0,0
Tondela,1,0,0,1,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,55,0,47,8,81,0,79,2
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,10,0,6,4,6,0,6,0
Castelo Branco,6,0,6,0,6,0,6,0
Idanha-a-Nova,4,0,0,4,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,7,0,0,7,69,0,42,27
Abrantes,0,0,0,0,18,0,15,3
Alcanena,0,0,0,0,1,0,0,1
Constância,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,2,0,0,2,6,0,0,6
Sardoal,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,20,0,16,4
Tomar,4,0,0,4,10,0,0,10
Torres Novas,1,0,0,1,14,0,11,3
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,39,0,24,15,110,0,72,38
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,20,0,13,7,30,0,9,21
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,2,0,0,2,2,0,0,2
Gouveia,0,0,0,0,0,0,0,0
Guarda,17,0,11,6,76,0,63,13
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,0,0,0,0,2,0,0,2
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,908,0,835,73,1395,0,1200,184
Alcochete,0,0,0,0,0,0,0,0
Almada,48,0,48,0,62,0,52,10
Amadora,164,0,164,0,236,0,234,1
Barreiro,51,0,51,0,66,0,57,9
Cascais,66,0,66,0,57,0,53,4
Lisboa,112,0,69,43,237,0,178,53
Loures,193,0,193,0,166,0,165,1
Mafra,1,0,0,1,2,0,0,2
Moita,34,0,26,8,72,0,53,19
Montijo,14,0,11,3,23,0,14,9
Odivelas,37,0,37,0,36,0,29,7
Oeiras,5,0,5,0,19,0,15,1
Palmela,0,0,0,0,0,0,0,0
Seixal,36,0,18,18,187,0,128,59
Sesimbra,0,0,0,0,0,0,0,0
Setúbal,41,0,41,0,89,0,83,6
Sintra,64,0,64,0,127,0,126,0
Vila Franca de Xira,42,0,42,0,16,0,13,3
Alentejo,174,0,164,10,562,0,446,110
Alentejo Litoral,16,0,16,0,71,0,59,12
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,40,0,35,5
Odemira,0,0,0,0,17,0,17,0
Santiago do Cacém,0,0,0,0,7,0,0,7
Sines,16,0,16,0,7,0,7,0
Baixo Alentejo,53,0,50,3,187,0,175,6
Aljustrel,3,0,0,3,4,0,0,4
Almodôvar,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,38,0,38,0,61,0,54,1
Castro Verde,0,0,0,0,17,0,17,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,17,0,16,1
Moura,12,0,12,0,41,0,41,0
Ourique,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,35,0,35,0
Vidigueira,0,0,0,0,12,0,12,0
Lezíria do Tejo,41,0,37,4,128,0,115,13
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,15,0,14,1
Benavente,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,1,0,0,1
Golegã,0,0,0,0,0,0,0,0
Rio Maior,12,0,10,2,17,0,15,2
Salvaterra de Magos,2,0,0,2,30,0,29,1
Santarém,27,0,27,0,65,0,57,8
Alto Alentejo,46,0,44,2,111,0,52,59
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,2,0,0,2,46,0,0,46
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,44,0,44,0,54,0,52,2
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,1,0,0,1
Portalegre,0,0,0,0,10,0,0,10
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,18,0,17,1,65,0,45,20
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0
Évora,18,0,17,1,38,0,23,15
Montemor-o-Novo,0,0,0,0,0,0,0,0
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,11,0,7,4
Vendas Novas,0,0,0,0,15,0,15,0
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,1,0,0,1
Algarve,103,0,103,0,113,0,99,14
Albufeira,0,0,0,0,0,0,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,56,0,56,0,88,0,82,6
Lagoa,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,1,0,0,1
Loulé,0,0,0,0,4,0,0,4
Monchique,0,0,0,0,0,0,0,0
Olhão,8,0,8,0,10,0,10,0
Portimão,39,0,39,0,1,0,0,1
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,0,0,0,0,0,0,0,0
Tavira,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,9,0,7,2
R. A. Açores,35,0,12,23,101,11,12,78
Santa Maria,0,0,0,0,10,0,0,10
Vila do Porto,0,0,0,0,10,0,0,10
São Miguel,17,0,0,17,59,11,0,48
Lagoa (R.A.A.),0,0,0,0,4,0,0,4
Nordeste,0,0,0,0,0,0,0,0
Ponta Delgada,8,0,0,8,25,11,0,14
Povoação,0,0,0,0,0,0,0,0
Ribeira Grande,9,0,0,9,23,0,0,23
Vila Franca do Campo,0,0,0,0,7,0,0,7
Terceira,18,0,12,6,20,0,12,8
Angra do Heroísmo,18,0,12,6,20,0,12,8
Vila da Praia da Vitória,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,0,0,0,0,11,0,0,11
Lajes do Pico,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,11,0,0,11
São Roque do Pico,0,0,0,0,0,0,0,0
Faial,0,0,0,0,1,0,0,1
Horta,0,0,0,0,1,0,0,1
Flores,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,678,678,0,0,193,0,113,2
Calheta (R.A.M.),169,169,0,0,20,0,0,0
Câmara de Lobos,155,155,0,0,8,0,8,0
Funchal,87,87,0,0,130,0,70,2
Machico,54,54,0,0,10,0,10,0
Ponta do Sol,135,135,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,25,0,25,0
Santana,64,64,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,14,14,0,0,0,0,0,0
