,"Despesas de capital, Total (Euros)","Despesas de capital, das quais , Património, Total (Euros)","Despesas de capital, das quais , Património, Museus (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Total (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas de capital, das quais , Artes do espetáculo, Total (Euros)","Despesas de capital, das quais , Artes do espetáculo, Música (Euros)","Despesas de capital, das quais , Artes do espetáculo, Multidisciplinares (Euros)","Despesas de capital, das quais , Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Total (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Amarante,3048150,3041288,73204,0,0,0,0,0,0,0,0
Baião,1389523,820465,79563,436437,436437,121600,0,0,121600,0,0
Castelo de Paiva,106017,76337,0,0,0,9840,0,0,9840,19840,19840
Celorico de Basto,409792,406242,0,3505,3505,0,0,0,0,0,0
Cinfães,74492,0,0,0,0,0,0,0,0,19328,19328
Felgueiras,151480,0,0,2501,1069,28787,0,27712,0,56500,56500
Lousada,311556,0,0,0,0,311556,0,0,311556,0,0
Marco de Canaveses,83797,62999,62999,0,0,20798,0,0,20798,0,0
Paços de Ferreira,0,0,0,0,0,0,0,0,0,0,0
Penafiel,2929385,10064,10064,234166,234166,2685155,0,0,2685155,0,0
Resende,105291,4479,4479,11879,8003,3625,2501,0,1124,10883,10883
Douro,3455867,1395228,661341,20840,14038,1870275,0,0,1870275,61483,21258
Alijó,473409,405983,405983,0,0,67426,0,0,67426,0,0
Armamar,571756,0,0,0,0,553306,0,0,553306,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,0,0,0,0,0,0,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0,0,0
Murça,228424,174669,174669,1629,1629,0,0,0,0,0,0
Penedono,725225,707857,0,0,0,0,0,0,0,17368,17368
Peso da Régua,0,0,0,0,0,0,0,0,0,0,0
Sabrosa,18186,10000,0,0,0,8186,0,0,8186,0,0
Santa Marta de Penaguião,2890,0,0,0,0,0,0,0,0,2890,2890
São João da Pesqueira,60864,60864,60864,0,0,0,0,0,0,0,0
Sernancelhe,80450,10640,10640,11185,11185,0,0,0,0,40225,0
Tabuaço,19205,0,0,140,140,0,0,0,0,0,0
Tarouca,1000,0,0,0,0,0,0,0,0,1000,1000
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0,0
Vila Real,1274458,25215,9185,7886,1084,1241357,0,0,1241357,0,0
Terras de Trás-os-Montes,2381882,889861,319388,4311,4311,1021266,865805,6089,149232,272877,272877
Alfândega da Fé,81217,0,0,0,0,0,0,0,0,0,0
Bragança,636969,347865,228083,0,0,0,0,0,0,268877,268877
Macedo de Cavaleiros,0,0,0,0,0,0,0,0,0,0,0
Miranda do Douro,4311,0,0,4311,4311,0,0,0,0,0,0
Mirandela,36846,0,0,0,0,36846,0,0,36846,0,0
Mogadouro,1126504,90825,90825,0,0,943556,865805,6089,71522,0,0
Vila Flor,41344,480,480,0,0,40864,0,0,40864,0,0
Vimioso,449070,449070,0,0,0,0,0,0,0,0,0
Vinhais,5621,1621,0,0,0,0,0,0,0,4000,4000
Centro,19519172,9522879,3407853,1439519,1173659,4539123,97666,459367,3647110,2844890,1831587
Oeste,1484900,995341,438074,25051,25051,132379,0,0,132379,282112,59017
Alcobaça,212646,177025,177025,0,0,0,0,0,0,28266,28266
Alenquer,231188,228136,228136,3052,3052,0,0,0,0,0,0
Arruda dos Vinhos,16979,0,0,0,0,0,0,0,0,0,0
Bombarral,45547,0,0,0,0,0,0,0,0,45547,0
Cadaval,4167,4167,0,0,0,0,0,0,0,0,0
Caldas da Rainha,295678,250791,0,0,0,34376,0,0,34376,8594,0
Lourinhã,285920,264547,0,3936,3936,11000,0,0,11000,0,0
Nazaré,55644,38366,1266,2412,2412,4178,0,0,4178,0,0
Óbidos,0,0,0,0,0,0,0,0,0,0,0
Peniche,51873,30380,29718,903,903,0,0,0,0,13949,0
Sobral de Monte Agraço,285258,1929,1929,14748,14748,82825,0,0,82825,185756,30751
Torres Vedras,0,0,0,0,0,0,0,0,0,0,0
Região de Aveiro,1767475,477091,398937,26381,21380,917352,7850,47770,843622,323692,323692
Águeda,147969,0,0,12222,12222,135747,0,0,135747,0,0
Albergaria-a-Velha,37522,0,0,941,941,32543,429,0,32114,0,0
Anadia,312750,285237,285237,4493,4493,0,0,0,0,23020,23020
Aveiro,370125,89609,15075,0,0,197977,0,7159,190818,66550,66550
Estarreja,131769,718,718,3200,3200,45025,0,0,45025,82826,82826
Ílhavo,271148,74112,70492,5525,524,108776,0,16283,92493,82735,82735
Murtosa,308021,27415,27415,0,0,277839,0,0,277839,2136,2136
Oliveira do Bairro,64190,0,0,0,0,0,0,0,0,64190,64190
Ovar,119445,0,0,0,0,119445,7421,24328,69586,0,0
Sever do Vouga,4536,0,0,0,0,0,0,0,0,2235,2235
Vagos,0,0,0,0,0,0,0,0,0,0,0
Região de Coimbra,3198957,1511352,137906,144178,127478,757427,57683,0,699744,330869,280348
Arganil,66965,18425,0,3157,3157,0,0,0,0,0,0
Cantanhede,39542,28662,15106,2525,2525,1344,1344,0,0,0,0
Coimbra,1473885,1035587,16505,60940,60000,140831,0,0,140831,0,0
Condeixa-a-Nova,110448,110448,11175,0,0,0,0,0,0,0,0
Figueira da Foz,159075,68838,16440,32871,29034,46771,0,0,46771,0,0
Góis,32822,32822,9542,0,0,0,0,0,0,0,0
Lousã,531294,53389,52345,810,810,476262,0,0,476262,833,833
Mealhada,68097,0,0,6868,0,11284,0,0,11284,0,0
Mira,6500,0,0,0,0,0,0,0,0,6500,6500
Miranda do Corvo,106071,0,0,0,0,0,0,0,0,106071,106071
Montemor-o-Velho,48339,0,0,0,0,48339,48339,0,0,0,0
Mortágua,112742,2000,2000,0,0,8000,8000,0,0,7500,7500
Oliveira do Hospital,47929,17306,0,0,0,0,0,0,0,29340,29340
Pampilhosa da Serra,20816,0,0,20816,15761,0,0,0,0,0,0
Penacova,87853,4859,0,9626,9626,0,0,0,0,71333,38705
Penela,178737,135755,11532,347,347,24596,0,0,24596,18039,146
Soure,107842,3261,3261,6218,6218,0,0,0,0,91253,91253
Tábua,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0,0
Região de Leiria,4570014,3558385,1474294,317548,87841,163992,0,633,60693,343390,343390
Alvaiázere,0,0,0,0,0,0,0,0,0,0,0
Ansião,21565,0,0,319,319,246,0,0,246,0,0
Batalha,68210,0,0,23985,23985,0,0,0,0,44225,44225
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,77980,39720,39720,560,560,6150,0,0,6150,0,0
Leiria,2202395,1897166,28431,33362,33362,14091,0,0,14091,257776,257776
Marinha Grande,670758,236418,236418,251596,21889,110787,0,633,15983,17773,17773
Pedrógão Grande,19501,0,0,0,0,0,0,0,0,19501,19501
Pombal,1368360,1249242,1169725,7726,7726,32718,0,0,24223,4115,4115
Porto de Mós,141245,135839,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,916769,510028,243948,58682,45829,102257,0,13105,60072,241612,227673
Aguiar da Beira,194958,194958,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0,0
Castro Daire,162500,0,0,0,0,0,0,0,0,162500,162500
Mangualde,0,0,0,0,0,0,0,0,0,0,0
Nelas,4907,4907,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,1405,0,0,1405,1405,0,0,0,0,0,0
Santa Comba Dão,115453,62414,62414,0,0,30612,0,13105,0,21824,7885
São Pedro do Sul,50554,51,0,5572,5572,29711,0,0,29711,15000,15000
Sátão,185102,153304,153304,31798,31798,0,0,0,0,0,0
Tondela,15128,5726,0,0,0,1300,0,0,0,8045,8045
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0,0
Viseu,98041,27659,27659,11691,219,29795,0,0,29795,26750,26750
Vouzela,88721,61009,571,8216,6835,10839,0,0,566,7493,7493
Beira Baixa,1919405,995801,535141,74216,74216,290916,31123,0,259793,385345,385345
Castelo Branco,497520,272515,44586,0,0,31123,31123,0,0,193882,193882
Idanha-a-Nova,178135,144135,0,0,0,0,0,0,0,34000,34000
Oleiros,34622,0,0,0,0,0,0,0,0,18868,18868
Penamacor,505762,88596,0,0,0,259793,0,0,259793,0,0
Proença-a-Nova,212811,0,0,74216,74216,0,0,0,0,138595,138595
Vila Velha de Ródão,490555,490555,490555,0,0,0,0,0,0,0,0
Médio Tejo,3090553,540627,97316,263083,261484,1333300,1010,389749,931286,885314,159566
Abrantes,922915,15305,15305,0,0,907610,0,0,907610,0,0
Alcanena,9070,3174,3174,181,181,0,0,0,0,5715,5715
Constância,48649,0,0,0,0,95,0,95,0,9325,9325
Entroncamento,53672,0,0,0,0,16260,0,0,16260,37412,37412
Ferreira do Zêzere,4104,0,0,670,670,1205,0,0,1205,192,192
Mação,398155,8501,8501,0,0,389654,0,389654,0,0,0
Ourém,88242,19247,0,0,0,0,0,0,0,68995,68995
Sardoal,347245,54911,0,250274,250274,17957,1010,0,5692,22500,22500
Sertã,16013,228,228,6106,6106,519,0,0,519,0,0
Tomar,310807,310807,12318,0,0,0,0,0,0,0,0
Torres Novas,802880,57923,57790,3782,2183,0,0,0,0,741175,15427
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,88801,70531,0,2070,2070,0,0,0,0,0,0
Beiras e Serra da Estrela,2571099,934254,82237,530380,530380,841500,0,8110,659521,52556,52556
Almeida,354187,311377,7017,0,0,0,0,0,0,0,0
Belmonte,39933,39933,0,0,0,0,0,0,0,0,0
Celorico da Beira,191564,191564,0,0,0,0,0,0,0,0,0
Covilhã,222398,0,0,15232,15232,168110,0,8110,160000,39056,39056
Figueira de Castelo Rodrigo,136495,40497,34797,0,0,2162,0,0,0,0,0
Fornos de Algodres,8148,8148,8148,0,0,0,0,0,0,0,0
Fundão,722755,183461,0,0,0,535107,0,0,363400,0,0
Gouveia,37085,25991,25991,1533,1533,4931,0,0,4931,0,0
Guarda,13107,0,0,12213,12213,0,0,0,0,0,0
Manteigas,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0
Pinhel,499102,0,0,499102,499102,0,0,0,0,0,0
Sabugal,77566,11454,0,0,0,0,0,0,0,1000,1000
Seia,139238,6284,6284,824,824,131190,0,0,131190,0,0
Trancoso,129521,115545,0,1476,1476,0,0,0,0,12500,12500
A. M. Lisboa,14893755,9294050,2125692,840988,684729,1171671,3000,26093,995963,1893081,1168435
Alcochete,285058,227931,0,6172,6172,0,0,0,0,0,0
Almada,3542866,2965499,33410,274484,264527,1788,0,1788,0,271577,258017
Amadora,151175,0,0,58784,52635,4530,0,4530,0,0,0
Barreiro,59471,0,0,21650,19252,37821,0,0,37821,0,0
Cascais,733781,294489,240000,126394,9653,0,0,0,0,228080,228080
Lisboa,2605232,1438429,407121,27660,15874,120799,0,4000,0,891926,213573
Loures,202576,3149,3149,22729,22729,3000,3000,0,0,165089,165089
Mafra,459071,33234,29913,2222,1559,883,0,0,883,0,0
Moita,254274,29866,0,217166,212134,4714,0,0,4714,0,0
Montijo,32439,0,0,0,0,27325,0,0,0,0,0
Odivelas,252426,233289,187,0,0,15775,0,15775,0,0,0
Oeiras,827758,470612,0,8617,8617,0,0,0,0,47490,47490
Palmela,1650943,895909,7616,49244,49244,658746,0,0,658746,47044,47044
Seixal,331809,72637,72637,1399,1399,0,0,0,0,0,0
Sesimbra,792653,748072,47818,0,0,5168,0,0,5168,28027,28027
Setúbal,1209635,1143049,749297,470,470,33383,0,0,30892,32733,0
Sintra,406480,297267,253133,3533,0,105680,0,0,105680,0,0
Vila Franca de Xira,1096108,440618,281411,20464,20464,152059,0,0,152059,181115,181115
Alentejo,12062901,6462280,1006613,783938,231564,3175164,694198,14568,2186541,1288140,401598
Alentejo Litoral,3122875,2029183,167853,49273,48320,869822,6045,0,863777,108892,108892
Alcácer do Sal,115200,0,0,3855,2902,56345,0,0,56345,55000,55000
Grândola,485220,453058,167554,19265,19265,0,0,0,0,0,0
Odemira,78352,73552,0,0,0,0,0,0,0,4800,4800
Santiago do Cacém,1295675,441830,299,26153,26153,808557,6045,0,802512,1000,1000
Sines,1148428,1060743,0,0,0,4920,0,0,4920,48092,48092
Baixo Alentejo,1744666,986075,199492,406878,27412,42105,10000,0,32105,137315,50745
Aljustrel,50836,39608,39608,11228,118,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0,0
Alvito,503,0,0,0,0,0,0,0,0,0,0
Barrancos,851610,474387,4900,344923,0,0,0,0,0,7400,0
Beja,25663,20232,10660,5431,5431,0,0,0,0,0,0
Castro Verde,21642,2307,1625,1167,1167,0,0,0,0,3159,3159
Cuba,43575,37131,37131,6444,4330,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0,0
Mértola,235498,224918,825,4957,0,2945,0,0,2945,2678,2678
Moura,81179,0,0,0,0,0,0,0,0,44908,44908
Ourique,0,0,0,0,0,0,0,0,0,0,0
Serpa,349521,121068,38319,29613,14122,39160,10000,0,29160,79170,0
Vidigueira,84639,66424,66424,3115,2244,0,0,0,0,0,0
Lezíria do Tejo,1850713,594535,32004,92770,87250,622320,61373,13233,523127,508165,209494
Almeirim,0,0,0,0,0,0,0,0,0,0,0
Alpiarça,4207,0,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0,0,0
Benavente,85190,21871,21871,63319,63319,0,0,0,0,0,0
Cartaxo,46303,694,694,0,0,43694,0,0,41179,0,0
Chamusca,4642,0,0,0,0,0,0,0,0,0,0
Coruche,31193,0,0,0,0,0,0,0,0,31193,31193
Golegã,501783,2163,2163,3681,3681,481170,0,0,481170,0,0
Rio Maior,217198,75342,738,5520,0,778,0,0,778,135558,135558
Salvaterra de Magos,423725,1538,1538,8351,8351,71389,61373,0,0,341414,42743
Santarém,536472,492927,5000,11899,11899,25289,0,13233,0,0,0
Alto Alentejo,3041324,2077927,215063,22184,22184,652105,614671,0,37434,281210,1500
Alter do Chão,5172,646,0,3900,3900,626,0,0,626,0,0
Arronches,38613,9308,9308,0,0,29305,0,0,29305,0,0
Avis,0,0,0,0,0,0,0,0,0,0,0
Campo Maior,22062,21499,21499,111,111,0,0,0,0,0,0
Castelo de Vide,134590,134106,134106,0,0,0,0,0,0,0,0
Crato,618849,4178,4178,0,0,614671,614671,0,0,0,0
Elvas,1677500,1670550,399,0,0,6950,0,0,6950,0,0
Fronteira,627,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0
Nisa,36922,12371,12371,17663,17663,553,0,0,553,0,0
Ponte de Sor,314412,33202,33202,0,0,0,0,0,0,281210,1500
Portalegre,192577,192067,0,510,510,0,0,0,0,0,0
Sousel,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,2303323,774560,392201,212833,46398,988812,2109,1335,730098,252558,30967
Alandroal,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,99615,95855,78067,0,0,0,0,0,0,2400,2400
Borba,177720,0,0,0,0,9396,0,0,0,168324,0
Estremoz,32940,0,0,32784,32784,156,0,0,156,0,0
Évora,982340,306840,0,0,0,675500,0,1335,674165,0,0
Montemor-o-Novo,357867,53118,0,173814,7379,50228,0,0,49028,21327,21033
Mora,17858,15749,15749,0,0,2109,2109,0,0,0,0
Mourão,3593,0,0,0,0,3593,0,0,3593,0,0
Portel,270077,248344,244654,1401,1401,1148,0,0,641,7534,7534
Redondo,0,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,63415,923,0,4834,4834,2515,0,0,2515,52973,0
Vila Viçosa,297898,53731,53731,0,0,244167,0,0,0,0,0
Algarve,7211484,3604201,2164372,151084,147225,2809077,0,2502385,306692,138268,125108
Albufeira,156558,148471,0,0,0,8087,0,0,8087,0,0
Alcoutim,20720,0,0,0,0,0,0,0,0,0,0
Aljezur,21720,312,312,0,0,21408,0,0,21408,0,0
Castro Marim,1576,1476,803,100,100,0,0,0,0,0,0
Faro,556785,18027,0,0,0,234442,0,0,234442,20000,20000
Lagoa,2960219,359500,0,0,0,2500000,0,2500000,0,0,0
Lagos,493536,330591,223285,124323,124323,38622,0,0,38622,0,0
Loulé,850867,802753,0,0,0,0,0,0,0,0,0
Monchique,0,0,0,0,0,0,0,0,0,0,0
Olhão,71177,0,0,0,0,0,0,0,0,71177,71177
Portimão,361855,360892,360892,963,963,0,0,0,0,0,0
São Brás de Alportel,27995,0,0,6375,6375,2385,0,2385,0,0,0
Silves,26612,3244,145,6075,6075,4133,0,0,4133,13160,0
Tavira,75159,26161,26161,13248,9389,0,0,0,0,0,0
Vila do Bispo,1586705,1552774,1552774,0,0,0,0,0,0,33931,33931
Vila Real de Santo António,0,0,0,0,0,0,0,0,0,0,0
R. A. Açores,2358652,190024,28382,97554,96604,436825,162938,0,253838,1602024,1450520
Santa Maria,336469,0,0,6743,6743,160000,160000,0,0,168743,160000
Vila do Porto,336469,0,0,6743,6743,160000,160000,0,0,168743,160000
São Miguel,1014599,68231,28382,63831,63331,0,0,0,0,882537,788195
Lagoa (R.A.A.),112066,0,0,0,0,0,0,0,0,112066,17724
Nordeste,0,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,18858,18778,18778,80,80,0,0,0,0,0,0
Povoação,53146,0,0,2183,2183,0,0,0,0,50963,50963
Ribeira Grande,790180,9604,9604,61068,61068,0,0,0,0,719508,719508
Vila Franca do Campo,40349,39849,0,500,0,0,0,0,0,0,0
Terceira,626118,89208,0,24101,24101,276825,2938,0,253838,224399,224399
Angra do Heroísmo,377618,89208,0,0,0,276825,2938,0,253838,0,0
Vila da Praia da Vitória,248500,0,0,24101,24101,0,0,0,0,224399,224399
Graciosa,20940,0,0,2429,2429,0,0,0,0,10208,0
Santa Cruz da Graciosa,20940,0,0,2429,2429,0,0,0,0,10208,0
São Jorge,11525,0,0,0,0,0,0,0,0,11525,11525
Calheta (R.A.A.),11525,0,0,0,0,0,0,0,0,11525,11525
Velas,0,0,0,0,0,0,0,0,0,0,0
Pico,192457,32585,0,0,0,0,0,0,0,156870,156870
Lajes do Pico,159872,0,0,0,0,0,0,0,0,156870,156870
Madalena,0,0,0,0,0,0,0,0,0,0,0
São Roque do Pico,32585,32585,0,0,0,0,0,0,0,0,0
Faial,148192,0,0,450,0,0,0,0,0,147742,109531
Horta,148192,0,0,450,0,0,0,0,0,147742,109531
Flores,8352,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,8352,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,456258,178873,66064,18828,17533,97355,0,24718,2389,63809,63809
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,108595,5812,5812,9735,8440,27107,0,24718,2389,0,0
Funchal,111328,12447,12447,3522,3522,70248,0,0,0,0,0
Machico,49459,47805,47805,1654,1654,0,0,0,0,0,0
Ponta do Sol,179959,112809,0,0,0,0,0,0,0,63809,63809
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,3000,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0
São Vicente,3917,0,0,3917,3917,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0
