,"Despesas de capital, Total (Euros)","Despesas de capital, das quais , Património, Total (Euros)","Despesas de capital, das quais , Património, Museus (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Total (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas de capital, das quais , Artes do espetáculo, Total (Euros)","Despesas de capital, das quais , Artes do espetáculo, Música (Euros)","Despesas de capital, das quais , Artes do espetáculo, Multidisciplinares (Euros)","Despesas de capital, das quais , Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Total (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Montemor-o-Novo,1457026,1411397,0,4539,4402,10599,0,0,10599,30491,24532
Mora,23611,23611,23611,0,0,0,0,0,0,0,0
Mourão,258726,166731,0,3749,3749,88116,0,0,88116,0,0
Portel,384328,368375,223592,193,193,13810,0,0,13662,0,0
Redondo,36565,328,328,1157,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,67846,25000,0,2152,2152,2459,0,0,2209,37640,0
Vila Viçosa,19379,538,538,0,0,18841,0,0,18841,0,0
Algarve,3520017,2151164,326053,163053,132333,381536,0,0,381536,433251,359178
Albufeira,435775,413621,112674,22154,0,0,0,0,0,0,0
Alcoutim,62956,0,0,0,0,0,0,0,0,62956,0
Aljezur,429,112,112,0,0,317,0,0,317,0,0
Castro Marim,15430,15430,0,0,0,0,0,0,0,0,0
Faro,0,0,0,0,0,0,0,0,0,0,0
Lagoa,405092,0,0,0,0,323592,0,0,323592,0,0
Lagos,197201,153710,119755,35228,35228,8263,0,0,8263,0,0
Loulé,1710911,1410662,0,44298,44298,0,0,0,0,0,0
Monchique,4286,4286,0,0,0,0,0,0,0,0,0
Olhão,103328,0,0,0,0,0,0,0,0,103328,103328
Portimão,247950,0,0,0,0,0,0,0,0,247950,247950
São Brás de Alportel,57892,11162,0,8021,8021,0,0,0,0,0,0
Silves,205928,73326,24657,50548,41982,49364,0,0,49364,17837,7900
Tavira,2804,0,0,2804,2804,0,0,0,0,0,0
Vila do Bispo,68855,68855,68855,0,0,0,0,0,0,0,0
Vila Real de Santo António,1180,0,0,0,0,0,0,0,0,1180,0
R. A. Açores,2338830,1086391,1314,25954,17697,130603,53476,0,67113,928961,920547
Santa Maria,22888,0,0,0,0,11000,11000,0,0,11000,11000
Vila do Porto,22888,0,0,0,0,11000,11000,0,0,11000,11000
São Miguel,302664,0,0,0,0,10428,10428,0,0,288792,288792
Lagoa (R.A.A.),7800,0,0,0,0,0,0,0,0,7800,7800
Nordeste,0,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,3444,0,0,0,0,0,0,0,0,0,0
Povoação,10899,0,0,0,0,10428,10428,0,0,471,471
Ribeira Grande,280521,0,0,0,0,0,0,0,0,280521,280521
Vila Franca do Campo,0,0,0,0,0,0,0,0,0,0,0
Terceira,1454696,931230,0,10150,10150,91199,20671,0,67113,269800,262700
Angra do Heroísmo,1184896,931230,0,10150,10150,91199,20671,0,67113,0,0
Vila da Praia da Vitória,269800,0,0,0,0,0,0,0,0,269800,262700
Graciosa,7547,0,0,7547,7547,0,0,0,0,0,0
Santa Cruz da Graciosa,7547,0,0,7547,7547,0,0,0,0,0,0
São Jorge,78308,0,0,0,0,0,0,0,0,78308,78308
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0,0
Velas,78308,0,0,0,0,0,0,0,0,78308,78308
Pico,408706,153847,0,0,0,0,0,0,0,251868,251868
Lajes do Pico,215818,0,0,0,0,0,0,0,0,215818,215818
Madalena,36050,0,0,0,0,0,0,0,0,36050,36050
São Roque do Pico,156838,153847,0,0,0,0,0,0,0,0,0
Faial,61393,0,0,8257,0,17976,11377,0,0,27879,27879
Horta,61393,0,0,8257,0,17976,11377,0,0,27879,27879
Flores,2628,1314,1314,0,0,0,0,0,0,1314,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,2628,1314,1314,0,0,0,0,0,0,1314,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,447142,40939,36153,44772,40665,156950,0,0,0,91864,67228
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,71335,0,0,4107,0,0,0,0,0,67228,67228
Funchal,165517,939,939,7628,7628,156950,0,0,0,0,0
Machico,35438,35214,35214,224,224,0,0,0,0,0,0
Ponta do Sol,29422,4786,0,0,0,0,0,0,0,24636,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,112617,0,0,0,0,0,0,0,0,0,0
Santa Cruz,32813,0,0,32813,32813,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0
