,"Total, HM (€)","Total, H (€)","Total, M (€)","Primário
CAE: A, HM (€)","Primário
CAE: A, H (€)","Primário
CAE: A, M (€)","Secundário
CAE: B - F, HM (€)","Secundário
CAE: B - F, H (€)","Secundário
CAE: B - F, M (€)","Terciário
CAE: G - U, HM (€)","Terciário
CAE: G - U, H (€)","Terciário
CAE: G - U, M (€)"
Vale de Cambra,1107.94,1224.69,926.19,663.57,698.12,615.2,1150.19,1237.39,964.76,984.37,1164.91,866.57
Valongo,1039.12,1112.22,933.32,794.14,812.46,656.69,1039.91,1085.54,931.45,1040.71,1142.38,934.69
Vila do Conde,1102.42,1198.97,962.24,1125.97,1176.57,928.61,1120.02,1218.73,935.55,1085.33,1182.57,979.76
Vila Nova de Gaia,1132.74,1210.12,1030.13,1431.71,1480.77,1333.6,1121.51,1169.63,995.3,1137.56,1240.4,1039.32
Alto Tâmega,941.5,1035.81,826.08,814.08,807.29,836.54,1001.22,1033.6,853.14,911.46,1051.07,821.46
Boticas,837.18,865.9,811.77,624.61,628.33,…,838.36,860.77,804.6,843.52,901.81,817.17
Chaves,943.99,1043.22,830.52,862.64,848.33,920.74,916.02,938.34,814.02,956.9,1134.38,831.86
Montalegre,853.93,892.07,807.83,850.69,798.36,1007.65,879.82,879.76,880.2,840.23,917.52,794.44
Ribeira de Pena,1184.22,1327.58,897.08,869.14,948,580,1377.97,1400.85,1171.66,940.63,1112.85,844.54
Valpaços,838.01,874.79,801.29,684.45,725.05,587,862.89,869.38,830.9,831.61,883.93,800.11
Vila Pouca de Aguiar,966.84,1058.47,816.54,773.76,764.32,792.66,1087.93,1127.78,853.93,850.53,920.84,808.1
Tâmega e Sousa,858.44,908.32,797.67,736.19,750.38,694.48,822.03,879.26,737.99,923.75,977.78,876.54
Amarante,878.15,905.1,835.58,703.49,710.17,685.53,837.98,860.38,761.38,928.38,1005.9,870.64
Baião,815.41,862.56,757.72,765.27,819.38,684.09,801.51,852.45,697.61,837.5,890.69,803.92
Castelo de Paiva,827.58,865.51,793.07,752.1,747.54,775.38,800.29,843.71,756.24,876.93,924.89,843.77
Celorico de Basto,763.96,792.54,733.02,674.52,676.95,647.14,746.07,791.14,678.91,792.92,810.44,781.61
Cinfães,844.33,875.01,766.07,713.15,724.96,659.96,870.08,878.06,779.72,802.57,870.08,763.79
Felgueiras,845.4,916.69,767.39,737.81,746.3,716.32,823.97,899.29,739.98,910.24,975.34,844.02
Lousada,821.67,901.51,742.25,767.56,799.05,683.6,788.47,880.65,704.01,892.4,942.72,833.74
Marco de Canaveses,856.61,907.58,763.38,791.66,832.93,700.38,855.27,901.44,722.26,860.83,926.35,798.71
Paços de Ferreira,846.31,890.02,794.16,638.25,652.55,598.93,799.04,832.75,757.48,933.76,1000.91,858.49
Penafiel,939.89,972.07,905.43,734.56,742.57,698.53,858.8,926.32,756.65,1034.25,1052.82,1020.96
Resende,785.88,796.18,774.95,680.43,689.29,653.85,754.13,741.12,855.76,809.69,892.52,771.78
Douro,936.21,983.8,883.86,821.97,841.5,780.88,968.25,979.23,932.84,934.75,1011.53,881.55
Alijó,886.1,959.91,809.4,921.03,945.39,852.2,1019.38,1083.64,899.44,826.37,886.05,784.56
Armamar,844.29,889.16,793.66,805.4,838.31,716.24,848.07,853.79,834.41,852.26,938.16,793.65
Carrazeda de Ansiães,843.33,881.45,807.03,741.34,738.52,746.34,768.91,799.6,681.07,874.68,947.33,826.35
Freixo de Espada à Cinta,857.49,840.28,889.04,778.43,794.15,739.12,797.71,792.86,842.41,902.51,899.6,905.32
Lamego,897.59,949.45,841.71,725.86,730.8,715.68,884.16,890.24,864.32,914.1,1016.67,842.67
Mesão Frio,916.56,1077.91,766.92,644.02,650.32,627.21,1173.92,1224.02,745.28,858.42,1062.71,775.94
Moimenta da Beira,810.47,859.86,758.12,743.05,752.25,725.16,805.59,818.47,739.86,820.25,919.17,762.08
Murça,900.96,882.39,920.82,767.2,761.58,795.35,840.9,835.61,865.65,936.22,947.56,929.71
Penedono,771.39,759.05,784.09,698.82,666.8,748.31,689.73,680.2,804.13,811.06,857.47,786.52
Peso da Régua,981.5,1111.11,852.4,817.88,795.64,848.92,1283.62,1421.94,896.09,895.91,966.95,846.12
Sabrosa,928.92,949.74,907.75,1019.29,1046.72,969.33,932.65,933.79,930.42,890.12,897.75,886.36
Santa Marta de Penaguião,850.92,866.92,837.63,807.48,789.52,856.88,876.96,892.54,829.74,847.74,879.71,837.4
São João da Pesqueira,874.92,922.13,816.38,856.67,884.79,784.65,907.45,926.38,862.45,869.76,967.33,814.3
Sernancelhe,804.13,828.56,771,643.85,654.99,604.86,781.96,787.58,749.58,823.69,892.63,776.67
Tabuaço,923.64,987.04,856.55,845.47,878.28,779.84,1024.22,1036.64,996.43,873.07,972.1,819.93
Tarouca,857.35,872.96,828.31,736.48,746.26,…,857.98,859.89,847.05,860.76,903.94,824.51
Torre de Moncorvo,852.52,887.67,817.6,703.56,707.05,697.06,804.66,823.8,734.15,878.68,947.05,832.05
Vila Nova de Foz Côa,927.64,1016.29,826.69,889.7,951.31,755.41,1050.77,1092.23,890.75,846.12,905.07,822.18
Vila Real,1037.51,1075.58,996.06,723.92,743.76,699.81,1055.11,1044.61,1086.76,1038.78,1102.74,987.87
Terras de Trás-os-Montes,918.08,961.03,875.43,771.7,767.51,779.79,913.58,926.48,871.91,926.14,996.96,878.34
Alfândega da Fé,815.9,808.31,824.53,823.9,816.93,860.15,720.62,719.61,724.58,842.69,855.56,833.46
Bragança,980.62,1022.23,938,736.15,731.6,758.3,982.83,991.91,954.27,982.51,1051.86,935.96
Macedo de Cavaleiros,856.9,891.02,820.56,747.55,761.77,713.85,789.14,796.58,763.26,883.72,953.65,830.92
Miranda do Douro,873.26,954.47,796.45,729.81,750.95,691.77,990.78,1046.76,777.14,837.75,899.65,801.2
Mirandela,927.85,973.83,885.73,786.02,771.45,818.82,862.12,882.81,811.12,950.33,1027.96,896.49
Mogadouro,844.35,893.81,790.98,692.51,697.85,680.38,855.2,874.19,759.06,848.91,918.44,796.15
Vila Flor,866.92,907.13,829.77,823.83,830.89,817.59,976.49,968.07,1009.56,845.18,894.92,814.23
Vimioso,838.23,876.76,807.76,672.39,655.83,…,792.75,787.81,816.91,861.47,997.02,807.37
Vinhais,782.24,815.95,747.81,668.31,676.69,…,710.87,720.79,678.06,811.04,889.28,758.66
Centro,1032.83,1138.02,905.83,860.24,898.67,779.44,1091.16,1164.84,928.69,1000.62,1125.77,900.29
Oeste,984.69,1077.19,876.61,866.42,906.84,781.1,1032.39,1092.03,903.9,970.37,1089.02,873.45
Alcobaça,968.38,1066.59,857.92,781.67,805.25,743.12,1011.22,1092.8,850.55,941.8,1058.15,868.16
Alenquer,1131.78,1224.13,976.19,1036.13,1043.93,1021.94,1189.16,1256.49,1031.37,1091.36,1206.04,942.06
Arruda dos Vinhos,1080.24,1164.4,942.82,1093.13,1166.53,928.85,1017.41,1057.33,898.69,1098.27,1204.88,950.93
Bombarral,902.64,958.95,838.61,816.73,864.61,760.07,856.7,867.65,814.94,937.6,1039.54,856.37
Cadaval,943.74,1034.73,847.27,794.51,815.76,726.62,977.84,1039.58,805.67,949.64,1090.95,861.49
Caldas da Rainha,942.99,1053.56,846.09,733.61,748.37,699.4,1036.7,1107.52,887.91,922.6,1044.84,842.01
Lourinhã,904.18,972.18,823.23,1024.5,1111.05,767.76,901.2,914.89,849.13,880.23,971.19,823.86
Nazaré,881.09,958.86,815.88,813.66,850.91,727.61,946.51,1028.85,846.61,855.61,926.77,808.07
Óbidos,966.82,1051.98,868.52,969.87,1038.09,816.8,987.79,1033.14,894.57,959.42,1062.45,865.04
Peniche,904.2,984.13,826.4,970.34,1005.41,816.41,914.79,1017.19,785.35,889.81,958.11,840.93
Sobral de Monte Agraço,949.61,1012.63,859.12,745.79,753.54,728.99,912.11,909.32,917.63,984.41,1106.01,840.97
Torres Vedras,1000.12,1074.32,908.51,794.19,819.81,745.69,1036.07,1067.94,960.71,1006.91,1118.54,907.08
Região de Aveiro,1091.01,1209.45,935.79,906.38,971.93,766.73,1142.9,1237.92,964.47,1036.9,1172.26,916.88
Águeda,1031.59,1144.47,891.82,860.3,889.69,776.52,1052.94,1153.45,882.65,996.52,1127.78,902.99
Albergaria-a-Velha,1079.76,1175.94,923.59,896.73,947.95,788.27,1124.5,1188.11,975.78,1021.03,1163.38,881.22
Anadia,1006.54,1094.87,904.44,916.86,985.2,782.81,1065.63,1121.92,956.02,932.83,1041.33,871.84
Aveiro,1196.5,1336.76,1007.08,865.41,970.08,678.26,1349.73,1437.78,1124.84,1113.13,1257.7,971.97
Estarreja,1224.35,1356.77,956.68,791.22,819.37,747.58,1359.05,1451,1091.31,1086.2,1237.68,869.64
Ílhavo,1094.56,1256.32,923.17,1135.43,1157.14,1047.25,1087.96,1228.93,903.32,1100.02,1308.5,938.65
Murtosa,890.8,967.85,812.05,901.45,972.83,706.35,892.82,981.08,775.74,887.2,943.6,849.32
Oliveira do Bairro,1008.38,1112.55,883.9,695.95,732.93,621.98,1050.6,1135.26,900.03,954.86,1070.67,871.75
Ovar,1032.42,1122.39,922.07,703.54,747.28,645.22,1087.37,1176.78,962.66,949.7,1027.75,871.28
Sever do Vouga,1000.21,1087.37,866.01,718.91,802.03,613.63,1076.14,1134.03,905.32,891.72,961.47,848.01
Vagos,993.29,1061.72,909.3,813.67,893.75,733.59,1049.44,1106.07,949.11,900.86,945.07,871.24
Região de Coimbra,1052.5,1170.36,919.95,891.22,925.84,808.75,1101.58,1194.68,907.07,1033.21,1165.09,925.85
Arganil,851.37,944.01,767.5,863.37,932.29,677.81,802.97,856.33,736,888.25,1039.19,787.39
Cantanhede,1051.27,1160.86,921.8,1129.85,1090.14,1207.54,1127.34,1195.96,965.29,977.94,1106.85,896.12
Coimbra,1134.43,1255.28,1005.02,818.17,872.18,723.86,1189.56,1264.26,1024.9,1124.04,1256.3,1003.8
Condeixa-a-Nova,966.56,1058.39,880.44,774.56,734.7,854.29,976.39,1008.28,916.91,965.02,1101.04,871.23
Figueira da Foz,1170.85,1337.95,946.89,1014.67,1064.45,817.21,1373.62,1502.2,998.93,1027.47,1151.67,931.4
Góis,784.42,786.35,783.25,763.32,784.29,671.08,718.18,733.24,691.44,806.99,827.83,799.59
Lousã,964.45,1035.28,881.26,770.98,759.32,801.04,1018.16,1088.37,890.85,925.82,988.44,877.96
Mealhada,1076.14,1177.67,906.79,813.76,904.32,736.14,1118.12,1151.39,1007.07,1065.63,1195.74,890.64
Mira,923.87,1026.95,828.78,1003.42,1040.71,919.52,905.49,996.59,791.61,925.45,1054.6,841.78
Miranda do Corvo,866.99,925.21,818.86,753.73,777.1,709.03,858.2,900.39,762.52,879.39,962.49,832.04
Montemor-o-Velho,932.99,1012.69,848.12,817.14,877.47,745.29,907.03,908.22,903.81,958.13,1119.35,844.99
Mortágua,979.42,1073.78,856.44,931.54,940.17,872.5,1027.28,1122.9,890.14,934.42,1053.79,825.39
Oliveira do Hospital,862.98,940.29,785.44,780.97,812.08,720.39,854.58,939.12,723.64,873.4,948.02,825.18
Pampilhosa da Serra,840.89,896.55,810.22,1068,1223.38,653.66,775.01,778.9,743.07,842.03,933.55,815.06
Penacova,961.62,1041.28,822.69,951.08,986.94,691.05,1136.52,1164.29,973.83,858.79,920.08,797.74
Penela,893.31,951.54,810.06,824.67,826.82,804.1,960.56,1012.71,793.1,850.52,895.09,815.25
Soure,940.09,1082.93,833.98,729.51,718.94,747.77,1067.57,1184.35,860.38,898.15,1057.24,832.06
Tábua,859.13,925.02,799.23,763.02,756.06,776.04,823.24,888.08,752.71,931.09,1036.95,865.55
Vila Nova de Poiares,934.31,1014.58,853.21,736.8,742.71,…,977.47,1021.81,929.69,906.57,1018.38,802.01
Região de Leiria,1087.48,1199.34,934.32,832.35,875.62,769.75,1164.01,1240.62,972.06,1027.85,1155.11,920.57
Alvaiázere,884.45,921.42,823.47,653.06,689.8,599.35,843.95,848.39,822.21,909.34,973.25,832.24
Ansião,890.16,963.6,804.01,772.57,762.93,786.71,872.67,923.77,777.13,904.74,1006.71,815.71
Batalha,1011.33,1100.12,879.65,810.27,843.25,782.15,1021.6,1085.63,876.32,1005.52,1130.89,885.03
Castanheira de Pêra,912.88,1027.99,824.6,1280.48,1380.65,…,870.14,966.13,734.74,916.12,1039.48,864.03
Figueiró dos Vinhos,875.35,915.82,834.89,937.67,876.09,1296.93,859.67,891.34,763.74,874.51,942.05,833.77
Leiria,1091.98,1198.47,953.47,852.2,910.16,776.54,1159.28,1230.23,966.55,1053.74,1174.28,952.98
Marinha Grande,1303.58,1469.01,1028.24,952.79,923.16,1100.98,1424.54,1526.45,1155.35,1064.16,1277.9,907.56
Pedrógão Grande,850.35,852.47,848.14,746.53,740.64,780.69,908.42,913.67,887.18,840.08,830.99,845.31
Pombal,996.93,1089.36,872.05,796.21,842.35,739.54,1015.2,1072.6,883.72,989.35,1122.59,870.84
Porto de Mós,1055.12,1147.1,923.14,787.86,814.77,732.71,1080.43,1157.23,926.76,1027.15,1141.7,923.66
Viseu Dão Lafões,986.58,1065.4,889.03,810.6,842.47,763.87,1009.54,1058.16,900.62,975.98,1083.85,887.51
Aguiar da Beira,786.58,828.69,747.76,755.27,763.75,721.37,800.21,829.08,725.95,783.2,839.53,752.38
Carregal do Sal,945.95,1018.31,864.39,878.19,877.31,879.57,949.1,1012.47,843.21,943.92,1042.79,883.73
Castro Daire,848.52,906.02,768.4,741.71,729.48,769.23,821.52,838.22,742.86,861.37,953.63,771.48
Mangualde,1098.4,1220.27,839.41,821.31,852.73,751.48,1048.23,1145.22,820.09,1150.62,1302.04,856.74
Nelas,1035.56,1157.43,882.25,789.1,817.79,731.73,1072.68,1149.38,931.51,973.68,1205.29,831.84
Oliveira de Frades,1119.82,1223.31,959.41,864.52,947.3,785.89,1181.86,1264.42,987.91,1000.78,1087.75,944.63
Penalva do Castelo,866.95,923.38,780.4,751.35,765.46,716.08,916.21,924.84,818.58,838.89,928.14,777.89
Santa Comba Dão,904.88,987.82,818.11,847.81,899.83,749.56,900.57,943.61,802.41,909.16,1035.7,823.93
São Pedro do Sul,805.83,861.47,760.55,692.22,704.98,681.08,813.15,853.57,701.45,809.84,887.02,775.92
Sátão,791.85,822.62,759.77,702.47,635.88,798.65,759.55,776.56,725.19,819.5,893.02,773.42
Tondela,1062.64,1168.9,953.56,813.9,896.76,742.57,1181.29,1252.35,1079.73,905.92,1006.76,842.62
Vila Nova de Paiva,811.6,847.99,776.87,631.14,621.77,641.54,735.25,739.4,715.64,851.38,963.84,789.02
Viseu,987.08,1031.72,930.82,875.72,874.62,878.44,935.98,964.1,831.37,1009.84,1083.15,947.32
Vouzela,904.47,1018.99,834.76,765.81,817.96,682.86,915.07,1030.43,848.67,899.26,1031.32,818.87
Beira Baixa,961.39,1034.77,878.29,832.66,853.98,759.14,1024.41,1083.97,871.28,940.91,1017.85,882.78
Castelo Branco,957.13,1021.39,889.19,803.06,811.83,772.23,1002.13,1066.35,866.13,942.96,1003.35,896.01
Idanha-a-Nova,885.19,919.21,844.01,880.94,906.53,745.73,773.48,778.34,758.16,912.32,992.54,861.39
Oleiros,935.73,1018.83,790.21,717.28,715.36,728.77,1057.55,1100.35,839.18,818.72,886.56,776.75
Penamacor,907.39,1010.2,826.7,801.07,867.48,752.78,924.41,1006.29,745.74,915.44,1036.38,850.31
Proença-a-Nova,904.37,961.26,819.33,791.48,810.48,754.75,837.73,842.48,811.66,951.75,1108.67,823.49
Vila Velha de Ródão,1227.87,1414.61,932.4,883.65,904.4,793.72,1517.03,1589.88,1170.36,1023.66,1218.47,878.36
Médio Tejo,1019.1,1126.41,898.47,916.8,971.33,801.27,1099.94,1142.93,952.66,980.21,1121.25,890.01
Abrantes,1084.84,1206.05,939.31,1088.92,1174.9,842.42,1257.49,1286.16,1142.03,960.34,1078.03,896.7
Alcanena,1063.07,1128.39,975.3,1028.13,1035.67,…,1000.43,1046.41,904.91,1117.85,1229.35,1013.79
Constância,1239.61,1471.57,912.68,1720.58,1903.78,1297.81,1415.32,1559.32,1056.22,803.8,891.82,765.41
Entroncamento,1130.99,1295.83,926.55,1008.83,1070.55,720.82,1319.91,1332.83,1232.52,1066.32,1273.87,902.57
Ferreira do Zêzere,909.81,974.45,827.84,962.07,1034.84,809.43,959.17,985.48,826.27,848.35,883.03,832.76
Mação,889.4,1024.37,754.7,836.41,825.16,1005.19,1000.74,1068.12,797.9,814.44,1000.01,742.04
Ourém,1004.55,1128.61,871.31,775.08,752.16,813.52,1096.94,1153.17,887.51,959.97,1109.77,868.9
Sardoal,819.72,832.85,810.43,793.85,774.91,843.09,771.86,778.94,691.66,837.62,921.24,813.59
Sertã,867.82,928.07,799.42,751.96,757.84,704.49,865.47,899.26,752.77,879.25,994.88,809.98
Tomar,990.96,1090.06,892.12,796.86,852.56,748.87,1076.67,1102.27,962.95,971.9,1098.83,892.37
Torres Novas,1048.36,1113.82,970.78,805.69,816.94,770.64,1051.61,1072.91,989.22,1050.54,1155.59,968.03
Vila de Rei,820.52,880.81,791.73,767.03,781.93,725.29,778.47,788.72,750.56,833.44,980.35,796.18
Vila Nova da Barquinha,840.21,928.05,767.05,635.99,609.05,655.58,780.36,766.78,820.48,863.04,1011.61,767.26
Beiras e Serra da Estrela,934.82,1013.62,853.34,767.52,776.58,741.19,914.6,970.72,803.29,951.47,1062.79,869.11
Almeida,831.05,900.3,780.47,669.2,658.05,733.28,780.85,763.93,865.43,843.58,962.51,778.2
Belmonte,821.63,939.47,747.98,792.71,810.12,742.06,818.27,1050.74,691.36,827.36,850.26,812.62
Celorico da Beira,940.73,1147.75,760.14,635.4,655.72,622.89,753.79,865.38,675.82,1016.23,1243.75,799.51
Covilhã,943.36,999.12,883.14,721.12,732.08,689.25,882.64,937.63,784.39,985.1,1063.63,923.23
Figueira de Castelo Rodrigo,805.85,838.86,782.13,774.38,796.82,702.58,732.15,737.31,712.66,825.95,915.02,790.99
Fornos de Algodres,790.18,834.1,751,683.93,698.56,658.84,724.74,759.14,663.6,823.68,897.93,776.1
Fundão,921.19,979.47,851.51,792.72,797,782.09,899.44,934.26,842.01,942.61,1030.59,858.25
Gouveia,864.02,917.34,823.3,833.37,892.33,738.62,784.5,819.98,708.25,893.65,989.39,845.59
Guarda,1054.8,1149.19,935.4,758.11,755.01,769.32,1124.98,1155.92,1017.8,1034.57,1162.59,923.33
Manteigas,809.26,821.61,799.07,746.65,753.38,714.72,773.04,773.09,772.92,825.36,865.6,804.39
Mêda,850.81,913.37,799.1,841.25,840.58,844.04,895.6,930.15,759.46,829.42,908.28,803.34
Pinhel,809.55,844.66,771.24,694.6,712.67,645.31,810.32,809.93,812.94,816.16,923.05,769.73
Sabugal,846.3,910.09,801.67,763.05,741.47,875.94,731.81,744.54,708.95,880.42,1021.44,812.59
Seia,888.4,968.42,817.02,700.97,722.57,580,872.43,953.69,733.2,898.88,988.04,842.03
Trancoso,904.22,954.16,842.64,930.61,969.65,809.12,821.03,823.22,814.61,933.27,1027.57,848.12
A. M. Lisboa,1440.11,1573.73,1285.21,917.64,959.23,825.47,1425.51,1437.38,1388.87,1446.55,1618.55,1277.88
Alcochete,2153.26,3114.03,1025.12,883.7,1008.43,760,1251.83,1260.25,1222.55,2592.12,4441.08,1018.99
Almada,1117.59,1186.12,1060.3,775.26,774.1,777.4,1116.02,1136.85,1027.48,1118.22,1204.5,1062.27
Amadora,1387.78,1495.7,1254.82,1099.74,1038.26,1238.07,1617.18,1611.85,1629.71,1335.46,1460,1201.78
Barreiro,1110.24,1218.71,1007.68,//,//,//,1298.12,1357.99,1036.62,1070.48,1161.15,1005.73
Cascais,1183.63,1217.47,1147.66,856.68,877.35,804.3,1095.97,1076.02,1164.77,1200.64,1261.74,1147.01
Lisboa,1616.1,1794.71,1434.63,944.75,946.29,940.82,1719.42,1722.64,1711.45,1611.69,1804.39,1425.92
Loures,1184.32,1275.15,1048.58,817.05,819.93,806.6,1382.46,1409.45,1297.38,1126.48,1224.78,1008.31
Mafra,973.52,1008.18,910.74,790.58,781.06,812.07,989.51,1024.99,900.98,972.74,1007.99,914.87
Moita,971.17,1030.09,898.61,893.48,913.7,841.8,995.14,1017.66,868.62,962.46,1050.19,903.23
Montijo,1008.72,1117.23,904.83,835.68,900.12,765.72,1180.2,1223.02,1063.1,979.62,1096.9,898.25
Odivelas,937.82,973.79,892.53,968.64,1052.24,667.64,967.46,960.23,991.24,927.17,981.23,876.86
Oeiras,1791.52,1996.45,1551.95,1055.7,1098.66,840.89,1867.27,1866.9,1868.21,1782.74,2019.26,1530.02
Palmela,1339.26,1435.95,1111.81,855.32,907.24,746.35,1551.25,1594.99,1388.8,1049.75,1144.21,920.19
Seixal,1250.18,1506.91,916.96,827.39,830.24,…,1183.5,1216.93,1055.16,1277.9,1706.58,895.12
Sesimbra,930.17,984.34,869.73,1065.13,1072.48,981.04,946.97,951.71,924.6,908.63,978.91,863.3
Setúbal,1181.18,1332.16,994.05,1311.43,1386.75,1035.25,1491.96,1526.55,1342.24,1041.86,1170.47,942.84
Sintra,1183.9,1270.29,1065.36,900.05,901.08,897.66,1269.18,1285.85,1220.58,1147.22,1263,1030.08
Vila Franca de Xira,1216.39,1305.68,1080.17,917.63,1033.39,744.81,1472.35,1492.17,1401.9,1108.38,1189.1,1018.28
Alentejo,1051.09,1152.72,924.67,910,928.98,859.99,1241.64,1312.14,1048.68,992.74,1107.64,904.12
Alentejo Litoral,1184,1348.13,959.71,965.37,977.72,938.19,1753.3,1843.64,1382.55,1048.85,1218.16,907.57
Alcácer do Sal,943.47,1025.58,854.78,991.67,1016.87,909,950.5,973.15,871.4,919.3,1075.97,844.51
Grândola,958.06,1061.83,870.07,902.68,885.28,954.9,1009.4,992.82,1056.77,953.66,1110.89,853.9
Odemira,924.06,938.12,905.52,963.22,969.32,951.14,799.4,799.31,799.91,903.72,933.85,882.18
Santiago do Cacém,1023.17,1145.73,916.53,985.14,1034.12,845.15,1080.25,1130.17,925.58,1005.08,1200.84,919.07
Sines,1739.57,1929.63,1232.65,854.03,868.71,776.98,2548.31,2652.2,2031.4,1272.82,1410.99,1000.49
Baixo Alentejo,1104.14,1227.23,937.2,882.52,892.94,844.81,1526.72,1599.21,1228.42,970.58,1076.11,902.1
