,"Recintos de espetáculos, Total, N.º, 2019","Recintos de espetáculos, Salas ou espaços, N.º, 2019","Recintos de espetáculos, Lotação, N.º, 2019","Recintos de espetáculos, Lugares sentados, N.º, 2019","Espetáculos ao vivo  , Sessões, N.º, 2020","Espetáculos ao vivo  , Espetadores/as, N.º, 2020","Espetáculos ao vivo  , Bilhetes vendidos, N.º, 2020","Espetáculos ao vivo  , Receitas, Euros, 2020"
Monchique,0,0,0,0,0,0,0,0
Olhão,2,2,832,832,28,23332,1753,19887
Portimão,2,5,805,805,61,7605,4869,59251
São Brás de Alportel,1,1,342,342,5,590,127,847
Silves,1,1,150,150,42,5785,1892,20110
Tavira,1,1,400,400,29,6365,1621,13610
Vila do Bispo,1,4,1656,1456,5,655,28,84
Vila Real de Santo António,1,1,287,287,7,772,655,6248
R. A. Açores,10,20,7504,5744,228,27530,10701,76630
Santa Maria,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0
São Miguel,6,15,5816,4074,51,13308.000000000002,5876,42759
Lagoa (R.A.A.),1,1,176,176,11,3473,0,0
Nordeste,0,0,0,0,2,275,0,0
Ponta Delgada,2,8,4094,2852,29,8741,5778,42465
Povoação,0,0,0,0,1,…,…,…
Ribeira Grande,3,6,1546,1046,8,…,…,…
Vila Franca do Campo,0,0,0,0,0,0,0,0
Terceira,4,5,1688,1670,159,…,…,…
Angra do Heroísmo,1,2,792,792,143,…,…,…
Vila da Praia da Vitória,3,3,896,878,16,…,…,…
Graciosa,0,0,0,0,4,2420,0,0
Santa Cruz da Graciosa,0,0,0,0,4,2420,0,0
São Jorge,0,0,0,0,8,…,…,…
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,8,…,…,…
Pico,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0
Faial,0,0,0,0,6,1081,496,2521
Horta,0,0,0,0,6,1081,496,2521
Flores,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,18,24,12176,7546,445,41837,24923,217701
Calheta (R.A.M.),1,1,200,200,3,…,…,…
Câmara de Lobos,3,3,477,477,8,…,…,…
Funchal,8,13,9541,5211,325,32151,23234,212400
Machico,3,4,1018,918,16,1659,900,3150
Ponta do Sol,1,1,180,180,67,3938,789,2151
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,13,3130,0,0
Santa Cruz,1,1,500,300,11,…,…,…
Santana,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,2,…,…,…
Porto Santo,1,1,260,260,0,0,0,0
