,"Hospitais, Total , 2019 (N.º)","Hospitais, Públicos e Parcerias público-privadas, 2019 (N.º)","Hospitais, Privados, 2019 (N.º)","Camas, Total, 2019 Po (N.º)","Camas, Hospitais gerais, 2019 Po (N.º)","Camas, Hospitais especializados, 2019 Po (N.º)","Salas de operação, Hospitais especializados, 2019 Po (N.º)","Movimento de internados, Internamentos, 2019 Po (N.º)","Movimento de internados, Dias de internamento, 2019 Po (N.º)"
Chamusca,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0
Santarém,2,1,1,…,…,…,…,…,…
Alto Alentejo,3,2,1,…,…,…,…,…,…
Alter do Chão,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0
Elvas,1,1,0,0,0,0,0,0,0
Fronteira,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0
Monforte,1,0,1,…,…,…,…,…,…
Nisa,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0
Portalegre,1,1,0,244,244,0,7,7658,72669
Sousel,0,0,0,0,0,0,0,0,0
Alentejo Central,3,1,2,…,…,…,…,…,…
Alandroal,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0
Évora,2,1,1,…,…,…,…,…,…
Montemor-o-Novo,1,0,1,…,…,…,…,…,…
Mora,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0
Algarve,11,4,7,1217,1186,31,27,44341,361082
Albufeira,1,0,1,…,…,…,…,…,…
Alcoutim,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0
Faro,2,1,1,…,…,…,…,…,…
Lagoa,0,0,0,0,0,0,0,0,0
Lagos,1,0,1,…,…,…,…,…,…
Loulé,1,0,1,…,…,…,…,…,…
Monchique,0,0,0,0,0,0,0,0,0
Olhão,1,1,0,14,0,14,0,368,4148
Portimão,4,2,2,…,…,…,…,…,…
São Brás de Alportel,0,0,0,0,0,0,0,0,0
Silves,1,0,1,…,…,…,…,…,…
Tavira,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0
R. A. Açores,8,3,5,1484,784,700,20,30679,447246
Santa Maria,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0
São Miguel,4,1,3,832,473,359,10,21242,256019
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0
Ponta Delgada,4,1,3,832,473,359,10,21242,256019
Povoação,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0
Terceira,3,1,2,552,211,341,8,6297,169733
Angra do Heroísmo,3,1,2,552,211,341,8,6297,169733
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0
Faial,1,1,0,100,100,0,2,3140,21494
Horta,1,1,0,100,100,0,2,3140,21494
Flores,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0
R. A. Madeira,10,3,7,1868,769,1099,20,26755,576516
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0
Funchal,10,3,7,1868,769,1099,20,26755,576516
Machico,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0
