,"Médicos, Total (N.º)","Médicos, Especialistas (N.º)","Médicos, Não especialistas (N.º)","Médicos por algumas especialidades médicas, Cirurgia geral (N.º)","Médicos por algumas especialidades médicas, Estomatologia (N.º)","Médicos por algumas especialidades médicas, Ginecologia e obstetrícia (N.º)","Médicos por algumas especialidades médicas, Medicina geral e familiar (N.º)","Médicos por algumas especialidades médicas, Oftalmologia (N.º)","Médicos por algumas especialidades médicas, Ortopedia (N.º)","Médicos por algumas especialidades médicas, Pediatria (N.º)","Médicos por algumas especialidades médicas, Psiquiatria (N.º)"
Santa Marta de Penaguião,7,2,5,0,0,0,1,0,0,1,0
São João da Pesqueira,11,5,6,0,0,0,4,0,0,0,0
Sernancelhe,8,3,5,0,0,0,3,0,0,0,0
Tabuaço,5,1,4,0,0,0,1,0,0,0,0
Tarouca,16,6,10,0,0,0,4,0,0,1,0
Torre de Moncorvo,12,2,10,0,0,0,2,0,0,0,0
Vila Nova de Foz Côa,13,1,12,0,0,0,0,0,0,0,0
Vila Real,351,208,143,19,2,12,42,8,9,15,4
Terras de Trás-os-Montes,368,186,182,11,2,3,70,5,10,8,5
Alfândega da Fé,9,5,4,0,0,0,1,0,0,0,0
Bragança,179,92,87,5,2,2,28,2,3,3,3
Macedo de Cavaleiros,36,22,14,2,0,0,8,0,6,0,0
Miranda do Douro,13,5,8,0,0,0,5,0,0,0,0
Mirandela,89,46,43,4,0,1,16,2,0,4,2
Mogadouro,17,8,9,0,0,0,7,0,1,0,0
Vila Flor,8,4,4,0,0,0,3,1,0,0,0
Vimioso,7,0,7,0,0,0,0,0,0,0,0
Vinhais,10,4,6,0,0,0,2,0,0,1,0
Centro,11220,6768,4452,345,115,361,1838,188,261,366,240
Oeste,779,462,317,24,8,14,186,7,14,26,7
Alcobaça,77,35,42,1,1,0,19,0,0,3,1
Alenquer,73,39,34,0,1,0,22,0,2,1,0
Arruda dos Vinhos,34,17,17,0,0,1,9,0,1,1,1
Bombarral,20,12,8,0,0,0,6,0,0,2,0
Cadaval,10,3,7,0,0,0,1,0,0,0,1
Caldas da Rainha,204,139,65,10,1,5,42,5,4,11,3
Lourinhã,46,27,19,0,0,0,14,0,0,1,1
Nazaré,23,13,10,1,0,1,8,0,0,0,0
Óbidos,13,8,5,1,0,0,4,0,0,0,0
Peniche,44,30,14,1,1,1,18,0,0,1,0
Sobral de Monte Agraço,20,11,9,0,1,0,5,0,0,0,0
Torres Vedras,215,128,87,10,3,6,38,2,7,6,0
Região de Aveiro,1293,766,527,35,13,39,267,20,27,55,22
Águeda,120,61,59,4,3,2,23,2,2,5,2
Albergaria-a-Velha,67,32,35,0,0,1,15,0,2,4,1
Anadia,93,46,47,5,0,0,14,2,4,4,1
Aveiro,491,339,152,17,4,26,105,10,7,19,12
Estarreja,56,31,25,0,0,0,19,0,1,2,0
Ílhavo,118,66,52,4,1,2,20,1,2,4,2
Murtosa,19,11,8,0,0,0,7,0,0,0,0
Oliveira do Bairro,60,30,30,2,0,2,12,1,0,1,0
Ovar,193,111,82,2,4,4,39,3,7,13,2
Sever do Vouga,21,11,10,1,0,1,3,1,0,0,2
Vagos,55,28,27,0,1,1,10,0,2,3,0
Região de Coimbra,5599,3559,2040,172,74,216,661,120,149,175,159
Arganil,11,8,3,0,0,0,5,0,0,0,0
Cantanhede,117,65,52,3,1,6,18,0,0,4,7
Coimbra,4628,3009,1619,143,65,191,488,107,128,150,135
Condeixa-a-Nova,102,67,35,5,1,3,16,2,1,3,4
Figueira da Foz,365,222,143,13,3,10,54,6,14,12,4
Góis,2,0,2,0,0,0,0,0,0,0,0
Lousã,30,7,23,0,0,1,2,1,0,0,0
Mealhada,64,36,28,3,2,1,15,1,0,2,1
Mira,43,16,27,1,0,0,10,0,0,1,0
Miranda do Corvo,30,16,14,0,1,0,5,0,2,1,1
Montemor-o-Velho,61,37,24,1,1,0,8,0,2,2,4
Mortágua,28,15,13,0,0,0,10,2,2,0,0
Oliveira do Hospital,33,21,12,2,0,0,14,0,0,0,1
Pampilhosa da Serra,2,0,2,0,0,0,0,0,0,0,0
Penacova,18,10,8,0,0,1,3,0,0,0,1
Penela,12,5,7,1,0,0,3,0,0,0,0
Soure,31,13,18,0,0,3,5,1,0,0,1
Tábua,17,8,9,0,0,0,3,0,0,0,0
Vila Nova de Poiares,5,4,1,0,0,0,2,0,0,0,0
Região de Leiria,781,464,317,26,6,19,181,14,18,28,12
Alvaiázere,10,3,7,0,0,0,3,0,0,0,0
Ansião,18,5,13,0,0,0,4,0,0,0,0
Batalha,26,11,15,0,0,1,5,0,1,0,0
Castanheira de Pêra,1,1,0,0,0,0,1,0,0,0,0
Figueiró dos Vinhos,12,7,5,0,0,0,5,1,0,0,0
Leiria,523,348,175,21,4,17,119,11,16,26,11
Marinha Grande,41,19,22,2,1,0,4,0,0,1,0
Pedrógão Grande,3,0,3,0,0,0,0,0,0,0,0
Pombal,118,57,61,3,1,1,32,2,0,1,1
Porto de Mós,29,13,16,0,0,0,8,0,1,0,0
Viseu Dão Lafões,1122,649,473,37,5,41,207,9,25,35,18
Aguiar da Beira,8,4,4,0,0,0,3,0,0,0,0
Carregal do Sal,15,8,7,0,0,0,6,0,0,0,1
Castro Daire,20,7,13,0,0,0,3,1,0,0,1
Mangualde,36,18,18,0,0,1,12,0,1,1,0
Nelas,36,19,17,0,0,1,10,0,1,1,0
Oliveira de Frades,18,7,11,0,0,0,6,0,0,1,0
Penalva do Castelo,15,7,8,0,0,1,1,0,0,0,0
Santa Comba Dão,26,17,9,0,1,1,8,0,1,1,0
São Pedro do Sul,60,25,35,0,1,1,16,0,0,0,0
Sátão,25,10,15,1,0,0,6,1,0,2,0
Tondela,67,34,33,4,0,0,12,0,1,2,0
Vila Nova de Paiva,6,2,4,0,0,0,1,0,0,0,0
Viseu,776,484,292,32,3,36,120,7,20,27,15
Vouzela,14,7,7,0,0,0,3,0,1,0,1
Beira Baixa,287,183,104,16,2,6,66,1,6,12,5
Castelo Branco,249,162,87,16,1,6,51,0,6,11,4
Idanha-a-Nova,9,7,2,0,1,0,4,1,0,0,0
Oleiros,4,0,4,0,0,0,0,0,0,0,0
Penamacor,5,5,0,0,0,0,5,0,0,0,0
Proença-a-Nova,14,6,8,0,0,0,5,0,0,0,0
Vila Velha de Ródão,6,3,3,0,0,0,1,0,0,1,1
Médio Tejo,559,283,276,16,1,8,123,9,11,14,3
Abrantes,104,66,38,4,0,3,26,1,3,4,1
Alcanena,19,10,9,0,0,0,5,0,0,1,0
Constância,5,3,2,0,0,0,0,0,1,2,0
Entroncamento,75,37,38,1,0,3,20,0,0,2,0
Ferreira do Zêzere,6,1,5,0,0,0,1,0,0,0,0
Mação,5,3,2,0,0,0,1,0,0,0,0
Ourém,65,27,38,2,0,0,18,0,1,1,0
Sardoal,10,7,3,0,0,0,1,2,1,0,0
Sertã,18,8,10,0,0,0,7,0,0,0,0
Tomar,114,64,50,7,0,0,25,4,2,2,0
Torres Novas,125,54,71,2,1,2,18,2,3,2,2
Vila de Rei,3,0,3,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,10,3,7,0,0,0,1,0,0,0,0
Beiras e Serra da Estrela,800,402,398,19,6,18,147,8,11,21,14
Almeida,15,6,9,0,0,1,4,0,1,0,0
Belmonte,8,3,5,0,1,0,1,0,0,0,0
Celorico da Beira,6,2,4,0,0,0,1,0,0,0,0
Covilhã,236,125,111,4,0,10,37,3,3,7,4
Figueira de Castelo Rodrigo,10,3,7,1,0,0,1,0,0,1,0
Fornos de Algodres,15,5,10,0,0,0,3,0,0,0,0
Fundão,61,35,26,2,1,1,17,0,0,1,0
Gouveia,27,18,9,1,1,0,14,0,0,0,0
Guarda,284,149,135,10,2,5,36,3,6,9,6
Manteigas,7,4,3,0,0,0,3,0,0,0,0
Mêda,8,1,7,0,0,0,1,0,0,0,0
Pinhel,19,10,9,0,0,0,7,1,0,0,0
Sabugal,13,5,8,0,0,0,4,0,0,0,1
Seia,68,31,37,1,0,1,15,1,1,3,3
Trancoso,23,5,18,0,1,0,3,0,0,0,0
A. M. Lisboa,18974,12534,6440,652,268,666,2002,487,420,850,487
Alcochete,61,42,19,6,1,4,5,1,1,4,1
Almada,791,492,299,13,14,30,121,11,17,33,11
Amadora,572,314,258,21,4,8,68,15,8,18,10
Barreiro,263,155,108,17,2,3,53,4,4,10,3
Cascais,1627,1043,584,66,30,41,173,31,47,71,33
Lisboa,9710,6781,2929,333,149,389,822,298,205,472,325
Loures,690,456,234,18,14,23,94,17,20,38,12
Mafra,204,128,76,7,2,8,27,6,4,4,3
Moita,80,50,30,1,0,2,15,3,1,4,0
Montijo,153,82,71,3,1,3,21,5,4,6,1
Odivelas,490,272,218,11,5,17,61,10,5,19,8
Oeiras,1768,1251,517,70,23,75,179,46,42,88,40
Palmela,211,126,85,5,3,7,25,3,10,4,4
Seixal,368,218,150,12,3,12,66,6,7,13,3
Sesimbra,104,57,47,0,1,0,18,0,2,1,4
Setúbal,598,380,218,35,5,15,90,12,21,26,12
Sintra,1028,544,484,24,10,23,121,15,17,30,13
Vila Franca de Xira,256,143,113,10,1,6,43,4,5,9,4
Alentejo,2199,1293,906,91,13,65,408,45,55,78,30
Alentejo Litoral,193,96,97,9,1,1,37,1,1,4,4
Alcácer do Sal,11,4,7,0,0,0,1,1,0,0,0
Grândola,21,11,10,1,0,0,5,0,0,1,0
Odemira,28,5,23,1,0,0,4,0,0,0,1
Santiago do Cacém,93,55,38,6,1,1,15,0,1,2,3
Sines,40,21,19,1,0,0,12,0,0,1,0
Baixo Alentejo,317,170,147,17,1,9,60,6,6,12,5
Aljustrel,11,4,7,1,0,0,3,0,0,0,0
Almodôvar,14,2,12,0,0,0,1,0,0,0,0
Alvito,5,1,4,0,0,0,0,1,0,0,0
Barrancos,1,0,1,0,0,0,0,0,0,0,0
Beja,197,128,69,15,0,9,34,4,6,10,5
Castro Verde,7,4,3,0,0,0,2,1,0,0,0
Cuba,8,5,3,1,0,0,3,0,0,1,0
Ferreira do Alentejo,7,3,4,0,0,0,3,0,0,0,0
Mértola,6,2,4,0,0,0,2,0,0,0,0
Moura,27,7,20,0,0,0,5,0,0,0,0
Ourique,6,3,3,0,1,0,2,0,0,0,0
Serpa,19,8,11,0,0,0,3,0,0,0,0
Vidigueira,9,3,6,0,0,0,2,0,0,1,0
Lezíria do Tejo,631,402,229,23,5,24,128,10,20,23,4
Almeirim,45,29,16,2,1,1,10,0,1,4,0
Alpiarça,8,4,4,0,0,1,0,2,0,0,0
Azambuja,21,16,5,0,0,1,7,0,0,2,1
Benavente,43,24,19,2,0,0,6,1,2,0,0
Cartaxo,52,38,14,1,1,2,14,1,2,7,0
Chamusca,11,6,5,0,0,0,3,0,0,0,0
Coruche,33,20,13,0,1,1,10,0,1,0,0
Golegã,7,6,1,1,0,0,2,0,2,0,0
Rio Maior,34,15,19,1,0,1,5,0,0,2,0
Salvaterra de Magos,33,13,20,0,1,0,7,0,0,0,0
Santarém,344,231,113,16,1,17,64,6,12,8,3
Alto Alentejo,409,226,183,19,2,12,74,11,13,13,6
Alter do Chão,5,4,1,0,0,0,2,0,0,0,1
Arronches,5,4,1,0,0,0,2,0,1,1,0
Avis,5,2,3,0,0,0,2,0,0,0,0
Campo Maior,54,22,32,2,0,4,6,1,4,0,0
Castelo de Vide,10,4,6,1,0,0,1,0,0,1,0
Crato,5,2,3,0,0,0,0,0,2,0,0
Elvas,148,82,66,8,1,3,22,6,6,4,0
Fronteira,5,4,1,0,0,0,3,0,0,0,0
Gavião,2,2,0,0,0,0,1,0,0,0,0
Marvão,7,4,3,0,0,0,4,0,0,0,0
Monforte,6,3,3,0,1,0,2,0,0,0,0
Nisa,8,5,3,0,0,0,3,0,0,1,0
Ponte de Sor,27,10,17,0,0,0,7,0,0,0,0
Portalegre,118,76,42,8,0,5,17,4,0,6,5
Sousel,4,2,2,0,0,0,2,0,0,0,0
Alentejo Central,649,399,250,23,4,19,109,17,15,26,11
Alandroal,8,5,3,1,0,0,2,0,0,0,1
Arraiolos,9,4,5,0,0,0,0,1,0,0,0
Borba,12,9,3,0,0,0,8,0,0,1,0
Estremoz,35,13,22,0,0,0,6,0,0,0,0
Évora,483,315,168,19,4,17,65,16,15,25,8
Montemor-o-Novo,26,17,9,0,0,0,8,0,0,0,0
Mora,6,2,4,0,0,0,1,0,0,0,0
Mourão,2,1,1,0,0,0,1,0,0,0,0
Portel,7,1,6,0,0,0,1,0,0,0,0
Redondo,7,4,3,0,0,0,3,0,0,0,1
Reguengos de Monsaraz,13,10,3,1,0,1,5,0,0,0,1
Vendas Novas,18,9,9,2,0,0,6,0,0,0,0
Viana do Alentejo,5,1,4,0,0,0,0,0,0,0,0
Vila Viçosa,18,8,10,0,0,1,3,0,0,0,0
Algarve,1846,1013,833,62,8,69,259,36,45,68,20
Albufeira,94,45,49,1,0,1,19,2,0,3,0
Alcoutim,8,3,5,1,0,0,2,0,0,0,0
Aljezur,13,2,11,0,0,0,1,0,0,0,0
Castro Marim,12,2,10,0,0,0,2,0,0,0,0
Faro,670,420,250,28,2,40,76,16,17,28,10
Lagoa,79,33,46,1,0,2,7,4,1,2,1
Lagos,105,57,48,6,0,3,16,1,1,6,1
Loulé,181,92,89,3,2,5,25,2,5,8,2
Monchique,5,0,5,0,0,0,0,0,0,0,0
Olhão,103,59,44,2,0,1,19,2,5,3,1
Portimão,359,197,162,17,3,12,45,8,11,13,4
São Brás de Alportel,45,21,24,0,0,0,5,0,2,3,1
Silves,56,18,38,1,0,2,7,0,1,1,0
Tavira,69,34,35,1,1,2,17,0,2,1,0
Vila do Bispo,6,2,4,0,0,0,1,1,0,0,0
Vila Real de Santo António,41,28,13,1,0,1,17,0,0,0,0
R. A. Açores,873,485,388,24,10,26,117,11,17,27,17
Santa Maria,13,7,6,0,0,0,4,0,0,0,1
Vila do Porto,13,7,6,0,0,0,4,0,0,0,1
São Miguel,562,302,260,15,3,16,62,8,11,18,11
Lagoa (R.A.A.),30,17,13,0,0,2,4,0,1,1,0
Nordeste,8,5,3,0,1,0,2,0,0,0,0
Ponta Delgada,444,254,190,13,2,14,46,7,8,15,11
Povoação,11,4,7,0,0,0,3,0,0,0,0
Ribeira Grande,56,18,38,2,0,0,5,1,2,2,0
Vila Franca do Campo,13,4,9,0,0,0,2,0,0,0,0
Terceira,199,119,80,6,4,9,27,2,5,9,2
Angra do Heroísmo,147,94,53,5,4,8,15,2,5,6,2
Vila da Praia da Vitória,52,25,27,1,0,1,12,0,0,3,0
Graciosa,4,2,2,0,0,0,2,0,0,0,0
Santa Cruz da Graciosa,4,2,2,0,0,0,2,0,0,0,0
São Jorge,17,9,8,0,1,0,4,0,0,0,1
Calheta (R.A.A.),2,2,0,0,0,0,1,0,0,0,0
Velas,15,7,8,0,1,0,3,0,0,0,1
Pico,24,11,13,0,0,0,10,0,0,0,0
Lajes do Pico,12,4,8,0,0,0,3,0,0,0,0
Madalena,4,2,2,0,0,0,2,0,0,0,0
São Roque do Pico,8,5,3,0,0,0,5,0,0,0,0
Faial,48,35,13,3,2,1,8,1,1,0,2
Horta,48,35,13,3,2,1,8,1,1,0,2
Flores,5,0,5,0,0,0,0,0,0,0,0
Lajes das Flores,1,0,1,0,0,0,0,0,0,0,0
Santa Cruz das Flores,4,0,4,0,0,0,0,0,0,0,0
Corvo,1,0,1,0,0,0,0,0,0,0,0
Corvo,1,0,1,0,0,0,0,0,0,0,0
R. A. Madeira,1129,633,496,43,4,38,156,16,20,39,13
Calheta (R.A.M.),9,5,4,0,0,0,3,0,0,0,0
Câmara de Lobos,50,18,32,0,0,0,6,1,1,4,0
Funchal,828,505,323,34,3,33,109,15,15,28,11
Machico,39,16,23,2,0,0,7,0,0,1,0
Ponta do Sol,11,2,9,0,0,0,2,0,0,0,0
Porto Moniz,7,1,6,0,0,0,1,0,0,0,0
Ribeira Brava,26,6,20,0,0,0,1,0,0,0,1
Santa Cruz,138,73,65,7,1,5,23,0,3,6,1
Santana,5,1,4,0,0,0,1,0,0,0,0
São Vicente,6,4,2,0,0,0,1,0,1,0,0
Porto Santo,10,2,8,0,0,0,2,0,0,0,0
