,"Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Total (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Cirurgia geral (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ginecologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Medicina interna (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Oftalmologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ortopedia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Otorrinolaringologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Pediatria médica (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Psiquiatria (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Outras  (N.º)"
Santa Maria,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0
São Miguel,203510,9186,16128,8348,8111,9048,10831,11175,11094,119589
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,203510,9186,16128,8348,8111,9048,10831,11175,11094,119589
Povoação,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0,0
Terceira,76665,3074,5191,2853,6011,2911,4521,3698,7062,41344
Angra do Heroísmo,76665,3074,5191,2853,6011,2911,4521,3698,7062,41344
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0,0
Faial,48263,3466,4309,3874,3437,3310,3569,2705,3609,19984
Horta,48263,3466,4309,3874,3437,3310,3569,2705,3609,19984
Flores,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,295177,16328,30634,20296,17109,22156,12270,14233,7316,154835
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0,0
Funchal,295177,16328,30634,20296,17109,22156,12270,14233,7316,154835
Machico,0,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0
