,"Public secondary education, Lower, Total (N.º)","Public secondary education, Lower, of which, Recurrent education (N.º)","Public secondary education, Lower, of which, Adult Education and Training Courses (N.º)","Public secondary education, Lower, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public secondary education, Upper, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public secondary education, Upper, of which, Recurrent education (N.º)","Public secondary education, Upper, of which, Adult Education and Training Courses (N.º)","Public secondary education, Upper, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Peso da Régua,17,0,0,17,53,0,0,52
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,33,0,13,20,163,61,53,49
Terras de Trás-os-Montes,151,0,95,55,359,0,227,114
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,121,0,69,52,215,0,126,84
Macedo de Cavaleiros,0,0,0,0,50,0,50,0
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,30,0,26,3,94,0,51,30
Mogadouro,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,2576,0,1651,890,7687,177,4585,2758
Oeste,389,0,238,150,1490,40,1015,409
Alcobaça,72,0,56,16,178,0,146,31
Alenquer,64,0,42,22,203,40,113,50
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,36,0,20,16,83,0,44,35
Cadaval,10,0,0,10,38,0,0,38
Caldas da Rainha,97,0,73,23,419,0,313,101
Lourinhã,17,0,0,17,156,0,79,63
Nazaré,36,0,36,0,16,0,16,0
Óbidos,0,0,0,0,0,0,0,0
Peniche,27,0,0,27,73,0,49,24
Sobral de Monte Agraço,0,0,0,0,24,0,24,0
Torres Vedras,30,0,11,19,300,0,231,67
Região de Aveiro,601,0,428,156,1521,0,850,630
Águeda,209,0,150,44,421,0,195,197
Albergaria-a-Velha,2,0,0,2,29,0,0,29
Anadia,27,0,0,26,98,0,28,70
Aveiro,204,0,178,25,536,0,394,133
Estarreja,27,0,13,14,96,0,55,41
Ílhavo,54,0,42,12,150,0,118,29
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,25,0,25,0,60,0,60,0
Sever do Vouga,19,0,0,19,95,0,0,95
Vagos,34,0,20,14,36,0,0,36
Região de Coimbra,462,0,308,147,1435,56,954,403
Arganil,39,0,22,13,191,0,36,153
Cantanhede,8,0,0,8,100,0,49,49
Coimbra,275,0,192,80,694,56,494,130
Condeixa-a-Nova,0,0,0,0,0,0,0,0
Figueira da Foz,47,0,47,0,101,0,101,0
Góis,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,32,0,32,0
Mealhada,12,0,12,0,23,0,23,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,16,0,16,0
Montemor-o-Velho,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,49,0,35,14,117,0,77,40
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,32,0,0,32,111,0,76,31
Tábua,0,0,0,0,35,0,35,0
Vila Nova de Poiares,0,0,0,0,15,0,15,0
Região de Leiria,224,0,143,78,608,0,402,194
Alvaiázere,0,0,0,0,10,0,10,0
Ansião,0,0,0,0,35,0,35,0
Batalha,22,0,0,22,97,0,37,56
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0
Leiria,109,0,95,13,263,0,154,103
Marinha Grande,49,0,36,13,120,0,98,22
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,44,0,12,30,83,0,68,13
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,311,0,132,174,886,81,378,403
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,26,0,26,0
Castro Daire,54,0,24,29,83,0,40,43
Mangualde,52,0,20,32,76,0,40,34
Nelas,0,0,0,0,14,0,14,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,13,0,13,0
São Pedro do Sul,53,0,13,40,112,0,25,84
Sátão,0,0,0,0,11,0,11,0
Tondela,25,0,25,0,20,0,20,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,127,0,50,73,531,81,189,242
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,94,0,70,24,233,0,136,95
Castelo Branco,85,0,70,15,199,0,136,61
Idanha-a-Nova,9,0,0,9,34,0,0,34
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,281,0,161,120,1018,0,486,502
Abrantes,78,0,47,31,213,0,87,123
Alcanena,7,0,0,7,72,0,24,47
Constância,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,19,0,0,19,146,0,62,71
Sardoal,0,0,0,0,0,0,0,0
Sertã,19,0,14,5,47,0,31,16
Tomar,115,0,57,58,482,0,224,245
Torres Novas,43,0,43,0,58,0,58,0
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,214,0,171,41,496,0,364,122
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,8,0,8,0
Celorico da Beira,11,0,11,0,12,0,12,0
Covilhã,61,0,38,21,198,0,112,76
Figueira de Castelo Rodrigo,7,0,7,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,29,0,10,19,70,0,24,46
Gouveia,0,0,0,0,0,0,0,0
Guarda,106,0,105,1,152,0,152,0
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,23,0,23,0
Sabugal,0,0,0,0,19,0,19,0
Seia,0,0,0,0,0,0,0,0
Trancoso,0,0,0,0,14,0,14,0
A. M. Lisboa,4307,0,3290,955,12616,171,8062,4148
Alcochete,0,0,0,0,44,0,44,0
Almada,118,0,74,44,467,0,263,203
Amadora,504,0,460,42,1528,0,1022,492
Barreiro,163,0,129,33,487,0,323,160
Cascais,264,0,184,79,652,0,436,214
Lisboa,795,0,587,188,2298,55,1194,958
Loures,163,0,114,48,441,27,327,84
Mafra,79,0,65,13,170,0,132,28
Moita,104,0,66,29,313,54,164,94
Montijo,67,0,45,17,185,0,153,30
Odivelas,226,0,101,119,585,35,325,216
Oeiras,151,0,113,33,419,0,240,166
Palmela,0,0,0,0,0,0,0,0
Seixal,695,0,514,177,1262,0,905,346
Sesimbra,11,0,0,11,137,0,109,28
Setúbal,271,0,233,36,981,0,746,188
Sintra,413,0,366,43,1781,0,1074,687
Vila Franca de Xira,283,0,239,43,866,0,605,254
Alentejo,884,0,525,329,2902,0,1988,855
Alentejo Litoral,114,0,72,41,429,0,283,131
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,25,0,19,6,96,0,73,12
Odemira,0,0,0,0,0,0,0,0
Santiago do Cacém,63,0,30,32,307,0,196,107
Sines,26,0,23,3,26,0,14,12
Baixo Alentejo,147,0,60,83,564,0,379,179
Aljustrel,11,0,0,11,46,0,0,45
Almodôvar,58,0,0,58,96,0,39,56
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,10,0,10,0
Beja,54,0,46,4,259,0,221,34
Castro Verde,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,16,0,16,0
Mértola,17,0,14,3,42,0,27,15
Moura,5,0,0,5,55,0,28,27
Ourique,0,0,0,0,0,0,0,0
Serpa,2,0,0,2,29,0,27,2
Vidigueira,0,0,0,0,11,0,11,0
Lezíria do Tejo,363,0,261,80,991,0,732,240
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,102,0,46,37,197,0,64,119
Benavente,13,0,13,0,28,0,28,0
Cartaxo,6,0,0,6,50,0,34,16
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,36,0,24,10,111,0,98,11
Salvaterra de Magos,31,0,31,0,106,0,106,0
Santarém,175,0,147,27,499,0,402,94
Alto Alentejo,136,0,92,43,289,0,225,59
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,15,0,15,0,15,0,15,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,42,0,31,11,87,0,57,28
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,16,0,16,0
Ponte de Sor,11,0,0,11,35,0,26,9
Portalegre,68,0,46,21,136,0,111,22
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,124,0,40,82,629,0,369,246
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,4,0,0,4
Borba,0,0,0,0,0,0,0,0
Estremoz,23,0,0,23,90,0,44,42
Évora,86,0,40,45,370,0,233,128
Montemor-o-Novo,0,0,0,0,49,0,33,16
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,18,0,18,0
Reguengos de Monsaraz,0,0,0,0,10,0,10,0
Vendas Novas,8,0,0,8,49,0,31,18
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,7,0,0,6,39,0,0,38
Algarve,343,0,179,157,1916,51,1237,605
Albufeira,31,0,15,15,107,0,50,56
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,48,0,36,12,381,0,250,121
Lagoa,16,0,0,16,32,0,0,32
Lagos,34,0,20,13,130,0,104,24
Loulé,30,0,13,17,310,48,226,35
Monchique,0,0,0,0,0,0,0,0
Olhão,57,0,34,19,152,0,95,56
Portimão,79,0,34,44,458,3,290,162
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,25,0,13,12,118,0,56,59
Tavira,0,0,0,0,88,0,88,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,23,0,14,9,140,0,78,60
R. A. Açores,566,12,110,444,501,53,143,305
Santa Maria,6,0,0,6,8,0,0,8
Vila do Porto,6,0,0,6,8,0,0,8
São Miguel,418,0,97,321,258,0,88,170
Lagoa (R.A.A.),71,0,41,30,57,0,42,15
Nordeste,13,0,0,13,3,0,0,3
Ponta Delgada,180,0,3,177,118,0,0,118
Povoação,35,0,20,15,4,0,0,4
Ribeira Grande,104,0,33,71,69,0,46,23
Vila Franca do Campo,15,0,0,15,7,0,0,7
Terceira,108,12,13,83,182,53,52,77
Angra do Heroísmo,67,0,13,54,94,0,52,42
Vila da Praia da Vitória,41,12,0,29,88,53,0,35
Graciosa,0,0,0,0,5,0,0,5
Santa Cruz da Graciosa,0,0,0,0,5,0,0,5
São Jorge,0,0,0,0,5,0,0,5
Calheta (R.A.A.),0,0,0,0,2,0,0,2
Velas,0,0,0,0,3,0,0,3
Pico,15,0,0,15,10,0,0,10
Lajes do Pico,4,0,0,4,5,0,0,5
Madalena,5,0,0,5,2,0,0,2
São Roque do Pico,6,0,0,6,3,0,0,3
Faial,12,0,0,12,23,0,3,20
Horta,12,0,0,12,23,0,3,20
Flores,2,0,0,2,8,0,0,8
Lajes das Flores,0,0,0,0,4,0,0,4
Santa Cruz das Flores,2,0,0,2,4,0,0,4
Corvo,5,0,0,5,2,0,0,2
Corvo,5,0,0,5,2,0,0,2
R. A. Madeira,673,0,290,79,1268,0,815,103
Calheta (R.A.M.),0,0,0,0,23,0,23,0
Câmara de Lobos,30,0,30,0,96,0,66,0
Funchal,521,0,138,79,890,0,492,103
Machico,36,0,36,0,75,0,75,0
Ponta do Sol,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,61,0,36,0
Santa Cruz,75,0,75,0,104,0,104,0
Santana,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,11,0,11,0,19,0,19,0
