,"Pre-primary education, Total (N.º)","Pre-primary education, Public (N.º)","Pre-primary education, Private (N.º)","Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, With less than 21 students (N.º)","Primary education, 1st cycle, Public (N.º)","Primary education, 1st cycle, Private (N.º)","Primary education, 2nd cycle, Total (N.º)","Primary education, 2nd cycle, Public (N.º)","Primary education, 2nd cycle, Private (N.º)","Secondary education, Lower, Total (N.º)","Secondary education, Lower, Public (N.º)","Secondary education, Lower, Private (N.º)","Secondary education, Upper, Total (N.º)","Secondary education, Upper, Public (N.º)","Secondary education, Upper, Private (N.º)"
Sabrosa,4,3,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Santa Marta de Penaguião,5,2,3,4,1,4,0,1,1,0,1,1,0,0,0,0
São João da Pesqueira,6,6,0,4,0,4,0,1,1,0,2,1,1,2,1,1
Sernancelhe,2,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
Tabuaço,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Tarouca,3,2,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Torre de Moncorvo,7,6,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Vila Nova de Foz Côa,2,2,0,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Real,29,22,7,19,0,16,3,3,2,1,6,5,1,5,3,2
Terras de Trás-os-Montes,62,43,19,38,4,35,3,14,14,0,18,15,3,15,11,4
Alfândega da Fé,3,2,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Bragança,18,9,9,12,1,10,2,4,4,0,6,4,2,5,3,2
Macedo de Cavaleiros,8,6,2,4,0,4,0,1,1,0,1,1,0,2,1,1
Miranda do Douro,4,3,1,3,1,3,0,2,2,0,2,2,0,1,1,0
Mirandela,10,7,3,6,0,5,1,2,2,0,4,3,1,3,2,1
Mogadouro,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Flor,8,7,1,4,0,4,0,1,1,0,1,1,0,1,1,0
Vimioso,2,2,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Vinhais,6,5,1,5,2,5,0,1,1,0,1,1,0,1,1,0
Centro,1444,963,481,1066,97,1008,58,271,229,42,335,273,62,224,142,82
Oeste,214,151,63,168,12,158,10,38,32,6,43,33,10,30,16,14
Alcobaça,34,20,14,25,3,24,1,5,5,0,6,5,1,4,3,1
Alenquer,20,15,5,20,2,20,0,4,4,0,4,4,0,2,1,1
Arruda dos Vinhos,5,4,1,4,0,4,0,2,1,1,2,0,2,2,0,2
Bombarral,5,4,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Cadaval,11,10,1,10,2,10,0,1,1,0,1,1,0,1,1,0
Caldas da Rainha,35,24,11,28,0,24,4,5,3,2,7,5,2,5,3,2
Lourinhã,15,12,3,15,0,15,0,3,3,0,3,3,0,1,1,0
Nazaré,6,4,2,3,0,3,0,1,1,0,2,1,1,3,1,2
Óbidos,10,9,1,3,0,3,0,3,3,0,1,1,0,1,1,0
Peniche,16,10,6,13,0,13,0,3,3,0,4,3,1,2,1,1
Sobral de Monte Agraço,5,4,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Torres Vedras,52,35,17,42,5,37,5,9,6,3,11,8,3,7,2,5
Região de Aveiro,239,131,108,150,3,142,8,40,33,7,50,41,9,31,19,12
Águeda,28,12,16,14,0,13,1,5,4,1,6,5,1,2,2,0
Albergaria-a-Velha,21,12,9,15,0,14,1,4,3,1,4,3,1,3,1,2
Anadia,20,10,10,14,0,12,2,4,2,2,4,2,2,4,1,3
Aveiro,54,25,29,33,2,31,2,9,7,2,12,9,3,7,4,3
Estarreja,15,7,8,8,0,7,1,3,3,0,3,3,0,1,1,0
Ílhavo,25,16,9,18,0,18,0,3,3,0,4,4,0,2,2,0
Murtosa,6,4,2,4,0,4,0,2,2,0,2,2,0,1,1,0
Oliveira do Bairro,17,9,8,9,0,9,0,2,2,0,2,2,0,2,1,1
Ovar,33,20,13,20,0,19,1,5,5,0,8,7,1,4,3,1
Sever do Vouga,8,7,1,5,1,5,0,1,1,0,1,1,0,2,1,1
Vagos,12,9,3,10,0,10,0,2,1,1,4,3,1,3,2,1
Região de Coimbra,276,167,109,203,13,188,15,54,45,9,71,57,14,45,28,17
Arganil,7,6,1,6,0,6,0,2,2,0,2,2,0,1,1,0
Cantanhede,23,14,9,19,3,18,1,4,3,1,6,4,2,3,2,1
Coimbra,81,33,48,65,5,55,10,17,10,7,21,14,7,15,9,6
Condeixa-a-Nova,8,6,2,6,1,6,0,1,1,0,2,2,0,1,1,0
Figueira da Foz,35,20,15,30,2,26,4,4,4,0,9,7,2,5,3,2
Góis,4,3,1,3,0,3,0,1,1,0,1,1,0,0,0,0
Lousã,7,5,2,4,0,4,0,2,2,0,2,2,0,2,1,1
Mealhada,12,8,4,6,0,6,0,2,2,0,4,3,1,2,1,1
Mira,8,6,2,8,0,8,0,1,1,0,1,1,0,1,1,0
Miranda do Corvo,9,7,2,8,0,8,0,2,2,0,2,2,0,1,1,0
Montemor-o-Velho,15,8,7,8,0,8,0,4,4,0,5,4,1,2,1,1
Mortágua,2,1,1,1,0,1,0,1,1,0,2,2,0,1,1,0
Oliveira do Hospital,20,15,5,10,1,10,0,4,4,0,4,4,0,2,1,1
Pampilhosa da Serra,3,1,2,2,0,2,0,1,1,0,1,1,0,1,1,0
Penacova,9,9,0,6,1,6,0,2,2,0,2,2,0,2,1,1
Penela,3,3,0,3,0,3,0,1,1,0,1,1,0,1,0,1
Soure,15,10,5,11,0,11,0,2,1,1,3,2,1,2,1,1
Tábua,10,9,1,4,0,4,0,2,2,0,2,2,0,2,1,1
Vila Nova de Poiares,5,3,2,3,0,3,0,1,1,0,1,1,0,1,1,0
Região de Leiria,198,144,54,154,9,146,8,34,24,10,40,28,12,28,16,12
Alvaiázere,2,2,0,2,0,2,0,1,1,0,1,1,0,2,1,1
Ansião,10,7,3,6,0,6,0,2,2,0,2,2,0,2,1,1
Batalha,12,8,4,10,1,10,0,1,1,0,1,1,0,1,1,0
Castanheira de Pêra,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Figueiró dos Vinhos,4,3,1,3,2,3,0,1,1,0,1,1,0,1,1,0
Leiria,92,63,29,66,2,62,4,14,9,5,15,10,5,8,5,3
Marinha Grande,22,16,6,19,0,17,2,4,3,1,7,5,2,5,3,2
Pedrógão Grande,3,2,1,2,1,2,0,1,1,0,1,1,0,1,0,1
Pombal,32,26,6,29,3,28,1,6,3,3,8,4,4,5,2,3
Porto de Mós,20,16,4,16,0,15,1,3,2,1,3,2,1,3,2,1
Viseu Dão Lafões,190,149,41,139,21,135,4,32,30,2,43,38,5,25,18,7
Aguiar da Beira,4,4,0,3,0,3,0,1,1,0,1,1,0,1,1,0
Carregal do Sal,2,2,0,2,0,2,0,2,2,0,3,3,0,1,1,0
Castro Daire,11,10,1,12,6,12,0,2,2,0,3,2,1,2,1,1
Mangualde,14,11,3,7,1,7,0,1,1,0,2,2,0,1,1,0
Nelas,14,10,4,10,3,9,1,2,2,0,3,3,0,2,2,0
Oliveira de Frades,10,9,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Penalva do Castelo,4,4,0,4,0,4,0,1,1,0,1,1,0,1,1,0
Santa Comba Dão,4,3,1,3,0,3,0,1,1,0,1,1,0,1,1,0
São Pedro do Sul,12,10,2,8,1,8,0,2,2,0,2,2,0,2,1,1
Sátão,8,7,1,5,1,5,0,2,2,0,3,3,0,1,1,0
Tondela,24,21,3,14,4,14,0,4,4,0,5,5,0,3,2,1
Vila Nova de Paiva,4,4,0,3,0,3,0,1,1,0,2,2,0,1,1,0
Viseu,70,46,24,57,4,54,3,10,8,2,13,10,3,6,3,3
Vouzela,9,8,1,8,1,8,0,2,2,0,3,2,1,2,1,1
Beira Baixa,46,31,15,35,5,33,2,11,11,0,14,13,1,10,7,3
Castelo Branco,27,17,10,23,5,21,2,6,6,0,9,8,1,5,3,2
Idanha-a-Nova,9,7,2,5,0,5,0,1,1,0,1,1,0,2,1,1
Oleiros,4,3,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Penamacor,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Proença-a-Nova,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Velha de Ródão,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Médio Tejo,133,96,37,98,6,89,9,30,25,5,34,29,5,28,19,9
Abrantes,18,12,6,14,1,13,1,4,4,0,5,5,0,5,5,0
Alcanena,13,11,2,6,0,6,0,2,2,0,2,2,0,1,1,0
Constância,3,3,0,3,0,3,0,1,1,0,1,1,0,1,1,0
Entroncamento,8,4,4,6,0,3,3,2,1,1,3,2,1,2,1,1
Ferreira do Zêzere,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Mação,2,2,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Ourém,27,21,6,25,0,24,1,7,4,3,7,4,3,5,1,4
Sardoal,2,2,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Sertã,10,8,2,8,2,8,0,3,2,1,2,1,1,3,1,2
Tomar,23,17,6,20,3,18,2,3,3,0,5,5,0,3,2,1
Torres Novas,16,8,8,9,0,7,2,3,3,0,4,4,0,3,2,1
Vila de Rei,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Vila Nova da Barquinha,6,5,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Beiras e Serra da Estrela,148,94,54,119,28,117,2,32,29,3,40,34,6,27,19,8
Almeida,2,2,0,2,0,2,0,2,2,0,2,2,0,1,1,0
Belmonte,7,4,3,2,0,2,0,1,1,0,1,1,0,1,1,0
Celorico da Beira,5,2,3,5,2,5,0,1,1,0,1,1,0,1,1,0
Covilhã,37,26,11,28,3,27,1,6,5,1,9,8,1,5,4,1
Figueira de Castelo Rodrigo,5,3,2,4,3,4,0,1,1,0,1,1,0,1,1,0
Fornos de Algodres,4,4,0,2,1,2,0,1,1,0,1,1,0,1,1,0
Fundão,21,14,7,23,4,23,0,4,3,1,6,4,2,2,1,1
Gouveia,11,7,4,8,2,8,0,2,2,0,3,2,1,2,1,1
Guarda,24,13,11,23,7,22,1,4,4,0,4,4,0,3,2,1
Manteigas,2,1,1,1,0,1,0,1,1,0,1,1,0,2,1,1
Mêda,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Pinhel,4,2,2,3,2,3,0,1,1,0,1,1,0,1,1,0
Sabugal,6,4,2,6,3,6,0,2,1,1,2,1,1,1,1,0
Seia,12,6,6,6,0,6,0,3,3,0,4,3,1,3,1,2
Trancoso,6,5,1,5,1,5,0,2,2,0,3,3,0,2,1,1
A. M. Lisboa,1390,582,808,875,5,615,260,298,181,117,343,239,104,235,129,106
Alcochete,11,6,5,7,0,6,1,2,1,1,2,2,0,1,1,0
Almada,93,39,54,51,0,40,11,17,14,3,21,18,3,16,10,6
Amadora,79,31,48,43,0,28,15,17,12,5,18,14,4,10,6,4
Barreiro,39,22,17,24,0,19,5,9,7,2,10,8,2,7,5,2
Cascais,113,38,75,82,0,44,38,31,10,21,29,12,17,22,10,12
Lisboa,278,95,183,185,1,88,97,89,40,49,103,55,48,79,32,47
Loures,100,54,46,63,1,57,6,16,13,3,22,18,4,10,7,3
Mafra,37,25,12,21,0,17,4,7,4,3,7,4,3,8,3,5
Moita,28,18,10,23,0,22,1,6,6,0,6,6,0,3,2,1
Montijo,30,14,16,23,2,20,3,5,3,2,6,5,1,3,2,1
Odivelas,70,29,41,39,0,32,7,10,8,2,16,14,2,8,6,2
Oeiras,80,20,60,45,0,29,16,16,10,6,17,13,4,13,8,5
Palmela,31,14,17,25,0,20,5,7,3,4,7,5,2,5,3,2
Seixal,81,33,48,43,0,34,9,10,8,2,16,13,3,8,5,3
Sesimbra,26,14,12,15,0,13,2,5,5,0,6,6,0,3,2,1
Setúbal,56,17,39,39,0,31,8,9,6,3,10,10,0,9,7,2
Sintra,184,87,97,110,0,82,28,31,22,9,37,27,10,22,14,8
Vila Franca de Xira,54,26,28,37,1,33,4,11,9,2,10,9,1,8,6,2
Alentejo,464,328,136,366,40,357,9,96,90,6,126,117,9,73,56,17
Alentejo Litoral,65,45,20,52,6,52,0,13,12,1,16,15,1,10,7,3
Alcácer do Sal,6,3,3,7,2,7,0,2,2,0,2,2,0,1,1,0
Grândola,10,8,2,8,1,8,0,1,1,0,3,3,0,2,2,0
Odemira,21,17,4,16,0,16,0,5,4,1,5,4,1,3,1,2
Santiago do Cacém,21,13,8,17,3,17,0,4,4,0,4,4,0,2,2,0
Sines,7,4,3,4,0,4,0,1,1,0,2,2,0,2,1,1
Baixo Alentejo,85,66,19,70,8,69,1,19,18,1,26,23,3,17,11,6
Aljustrel,7,5,2,4,0,4,0,1,1,0,2,2,0,1,1,0
Almodôvar,5,4,1,5,2,5,0,1,1,0,1,1,0,1,1,0
Alvito,2,2,0,1,0,1,0,1,1,0,1,1,0,1,0,1
Barrancos,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Beja,22,13,9,15,1,14,1,4,3,1,6,5,1,3,2,1
Castro Verde,5,4,1,4,0,4,0,1,1,0,2,2,0,1,1,0
Cuba,4,4,0,3,1,3,0,1,1,0,2,1,1,1,0,1
Ferreira do Alentejo,7,5,2,6,1,6,0,1,1,0,1,1,0,1,1,0
Mértola,6,6,0,6,0,6,0,1,1,0,1,1,0,2,1,1
Moura,10,9,1,10,0,10,0,2,2,0,3,2,1,2,1,1
Ourique,4,3,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Serpa,7,6,1,8,2,8,0,3,3,0,4,4,0,2,2,0
Vidigueira,5,4,1,4,0,4,0,1,1,0,1,1,0,1,0,1
Lezíria do Tejo,124,91,33,106,11,102,4,24,23,1,33,32,1,18,13,5
Almeirim,10,7,3,7,0,7,0,2,2,0,3,3,0,1,1,0
Alpiarça,3,2,1,2,1,2,0,1,1,0,1,1,0,1,1,0
Azambuja,11,6,5,10,1,10,0,3,3,0,4,4,0,1,1,0
Benavente,13,11,2,9,1,9,0,2,2,0,4,4,0,2,2,0
Cartaxo,9,6,3,10,2,10,0,2,2,0,3,3,0,1,1,0
Chamusca,7,7,0,6,3,6,0,1,1,0,1,1,0,1,1,0
Coruche,11,8,3,10,1,10,0,2,2,0,3,3,0,2,1,1
Golegã,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Rio Maior,9,6,3,10,0,8,2,2,2,0,3,3,0,2,1,1
Salvaterra de Magos,9,5,4,6,0,6,0,2,2,0,2,2,0,2,1,1
Santarém,39,31,8,34,2,32,2,6,5,1,8,7,1,4,2,2
Alto Alentejo,82,56,26,57,5,55,2,20,19,1,23,22,1,13,12,1
Alter do Chão,2,2,0,1,0,1,0,1,1,0,2,2,0,2,2,0
Arronches,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Avis,4,4,0,5,1,5,0,1,1,0,1,1,0,0,0,0
Campo Maior,3,1,2,1,0,1,0,1,1,0,1,1,0,1,1,0
Castelo de Vide,3,2,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Crato,2,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
Elvas,18,12,6,12,1,11,1,4,3,1,5,4,1,1,1,0
Fronteira,3,2,1,2,0,2,0,1,1,0,1,1,0,0,0,0
Gavião,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Marvão,2,2,0,2,0,2,0,1,1,0,1,1,0,0,0,0
Monforte,4,4,0,4,2,4,0,1,1,0,1,1,0,0,0,0
Nisa,3,3,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Ponte de Sor,12,7,5,10,0,9,1,2,2,0,2,2,0,1,1,0
Portalegre,16,9,7,10,0,10,0,2,2,0,3,3,0,3,3,0
Sousel,5,4,1,4,1,4,0,1,1,0,1,1,0,1,1,0
Alentejo Central,108,70,38,81,10,79,2,20,18,2,28,25,3,15,13,2
Alandroal,3,3,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Arraiolos,6,3,3,4,1,4,0,1,1,0,1,1,0,1,1,0
Borba,4,3,1,2,0,2,0,1,1,0,1,1,0,0,0,0
Estremoz,10,8,2,9,1,9,0,1,1,0,2,2,0,1,1,0
Évora,33,14,19,23,3,22,1,5,4,1,9,7,2,5,3,2
Montemor-o-Novo,11,8,3,11,2,11,0,1,1,0,2,2,0,1,1,0
Mora,5,4,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Mourão,3,3,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Portel,7,5,2,4,0,4,0,1,1,0,1,1,0,1,1,0
Redondo,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Reguengos de Monsaraz,8,7,1,6,1,6,0,1,1,0,2,2,0,1,1,0
Vendas Novas,6,3,3,4,0,3,1,2,1,1,3,2,1,1,1,0
Viana do Alentejo,4,3,1,3,0,3,0,2,2,0,2,2,0,1,1,0
Vila Viçosa,5,4,1,4,1,4,0,1,1,0,1,1,0,1,1,0
Algarve,228,120,108,163,4,141,22,62,52,10,73,63,10,30,22,8
Albufeira,18,11,7,13,0,13,0,6,6,0,8,8,0,2,2,0
Alcoutim,2,0,2,2,0,2,0,1,1,0,1,1,0,0,0,0
Aljezur,3,3,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Castro Marim,5,2,3,3,1,3,0,1,1,0,1,1,0,0,0,0
Faro,33,10,23,24,2,19,5,7,6,1,9,8,1,5,4,1
Lagoa,14,8,6,8,0,7,1,4,3,1,5,4,1,2,1,1
Lagos,15,4,11,13,0,8,5,4,2,2,5,4,1,3,2,1
Loulé,45,30,15,27,1,26,1,8,7,1,10,8,2,4,2,2
Monchique,2,2,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Olhão,19,9,10,15,0,14,1,7,6,1,7,6,1,2,2,0
Portimão,23,13,10,13,0,9,4,7,7,0,8,7,1,5,4,1
São Brás de Alportel,5,4,1,5,0,5,0,1,1,0,2,2,0,1,1,0
Silves,17,9,8,15,0,13,2,5,4,1,6,5,1,2,1,1
Tavira,16,6,10,11,0,9,2,3,2,1,3,2,1,2,1,1
Vila do Bispo,4,4,0,4,0,3,1,3,1,2,2,1,1,0,0,0
Vila Real de Santo António,7,5,2,4,0,4,0,3,3,0,4,4,0,2,2,0
R. A. Açores,186,133,53,144,x,136,8,36,33,3,35,34,1,40,22,18
Santa Maria,5,5,0,5,x,5,0,1,1,0,1,1,0,1,1,0
Vila do Porto,5,5,0,5,x,5,0,1,1,0,1,1,0,1,1,0
São Miguel,95,68,27,74,x,68,6,17,15,2,17,16,1,21,9,12
Lagoa (R.A.A.),10,8,2,8,x,8,0,2,2,0,2,2,0,2,1,1
Nordeste,4,4,0,4,x,4,0,1,1,0,1,1,0,2,1,1
Ponta Delgada,45,30,15,36,x,30,6,7,5,2,7,6,1,11,4,7
Povoação,8,7,1,7,x,7,0,2,2,0,2,2,0,2,1,1
Ribeira Grande,22,15,7,15,x,15,0,3,3,0,3,3,0,2,1,1
Vila Franca do Campo,6,4,2,4,x,4,0,2,2,0,2,2,0,2,1,1
Terceira,47,32,15,33,x,32,1,6,5,1,7,7,0,6,3,3
Angra do Heroísmo,29,18,11,19,x,18,1,4,3,1,4,4,0,4,2,2
Vila da Praia da Vitória,18,14,4,14,x,14,0,2,2,0,3,3,0,2,1,1
Graciosa,5,4,1,4,x,4,0,1,1,0,1,1,0,1,1,0
Santa Cruz da Graciosa,5,4,1,4,x,4,0,1,1,0,1,1,0,1,1,0
São Jorge,7,3,4,4,x,4,0,3,3,0,3,3,0,3,2,1
Calheta (R.A.A.),4,2,2,2,x,2,0,2,2,0,2,2,0,1,1,0
Velas,3,1,2,2,x,2,0,1,1,0,1,1,0,2,1,1
Pico,11,9,2,10,x,10,0,4,4,0,3,3,0,4,3,1
Lajes do Pico,3,3,0,3,x,3,0,2,2,0,1,1,0,1,1,0
Madalena,5,4,1,5,x,5,0,1,1,0,1,1,0,2,1,1
São Roque do Pico,3,2,1,2,x,2,0,1,1,0,1,1,0,1,1,0
Faial,11,9,2,10,x,9,1,1,1,0,1,1,0,2,1,1
Horta,11,9,2,10,x,9,1,1,1,0,1,1,0,2,1,1
Flores,4,3,1,3,x,3,0,2,2,0,1,1,0,1,1,0
Lajes das Flores,1,1,0,1,x,1,0,1,1,0,0,0,0,0,0,0
Santa Cruz das Flores,3,2,1,2,x,2,0,1,1,0,1,1,0,1,1,0
Corvo,1,0,1,1,x,1,0,1,1,0,1,1,0,1,1,0
Corvo,1,0,1,1,x,1,0,1,1,0,1,1,0,1,1,0
R. A. Madeira,119,65,54,87,x,65,22,29,24,5,29,24,5,24,18,6
Calheta (R.A.M.),7,5,2,6,x,5,1,1,1,0,1,1,0,1,1,0
Câmara de Lobos,15,10,5,10,x,10,0,3,3,0,3,3,0,1,1,0
Funchal,53,20,33,35,x,20,15,12,7,5,12,7,5,14,8,6
Machico,7,5,2,6,x,5,1,3,3,0,3,3,0,1,1,0
