,"Total, Hospitals (N.º)","Public and Public-private partnerships, Hospitals (N.º)","Private, Hospitals (N.º)","Total, Beds (N.º)","General hospital, Beds (N.º)","Specialized hospital, Beds (N.º)","Surgery rooms, Beds (N.º)","Hospitalisations , In-patient flow  (N.º)","Days of hospitalisation , In-patient flow  (N.º)"
Beja,1,1,0,212,212,0,5,7378,56867
Castro Verde,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,3,1,2,...,...,...,...,...,...
Almeirim,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0
Santarém,3,1,2,...,...,...,...,...,...
Alto Alentejo,3,2,1,...,...,...,...,...,...
Alter do Chão,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0
Elvas,1,1,0,0,0,0,0,0,0
Fronteira,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0
Monforte,1,0,1,...,...,...,...,...,...
Nisa,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0
Portalegre,1,1,0,236,236,0,7,6805,65786
Sousel,0,0,0,0,0,0,0,0,0
Alentejo Central,3,1,2,...,...,...,...,...,...
Alandroal,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0
Évora,2,1,1,...,...,...,...,...,...
Montemor-o-Novo,1,0,1,...,...,...,...,...,...
Mora,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0
Algarve,11,5,6,1232,1225,7,27,41845,316055
Albufeira,1,0,1,...,...,...,...,...,...
Alcoutim,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0
Faro,2,1,1,...,...,...,...,...,...
Lagoa,0,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,0,0,0
Loulé,1,0,1,...,...,...,...,...,...
Monchique,0,0,0,0,0,0,0,0,0
Olhão,1,1,0,7,0,7,0,230,2420
Portimão,4,2,2,...,...,...,...,...,...
São Brás de Alportel,2,1,1,...,...,...,...,...,...
Silves,0,0,0,0,0,0,0,0,0
Tavira,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0
R. A. Açores,9,3,6,1609,883,726,24,30864,441462
Santa Maria,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0
São Miguel,5,1,4,952,567,385,14,21633,252274
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0
Ponta Delgada,5,1,4,952,567,385,14,21633,252274
Povoação,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0
Terceira,3,1,2,551,210,341,8,6172,167990
Angra do Heroísmo,3,1,2,551,210,341,8,6172,167990
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0
Faial,1,1,0,106,106,0,2,3059,21198
Horta,1,1,0,106,106,0,2,3059,21198
Flores,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0
R. A. Madeira,10,3,7,2077,898,1179,14,25232,572690
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0
Funchal,10,3,7,2077,898,1179,14,25232,572690
Machico,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0
