,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Com menos de 21 alunas/os (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado (N.º)"
Cabeceiras de Basto,10,9,1,7,0,7,0,2,2,0,3,2,1,2,1,1
Fafe,28,18,10,21,1,20,1,6,5,1,7,5,2,3,1,2
Guimarães,84,48,36,60,0,58,2,16,14,2,18,14,4,11,5,6
Mondim de Basto,4,3,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Póvoa de Lanhoso,11,9,2,5,0,5,0,2,2,0,4,3,1,2,1,1
Vieira do Minho,5,4,1,4,0,4,0,1,1,0,1,1,0,1,1,0
Vila Nova de Famalicão,72,40,32,53,0,48,5,11,8,3,14,9,5,8,3,5
Vizela,10,9,1,10,0,10,0,2,2,0,3,3,0,2,2,0
A. M. Porto,870,515,355,595,5,506,89,178,126,52,231,163,68,156,82,74
Arouca,13,12,1,12,1,12,0,2,2,0,2,2,0,2,2,0
Espinho,11,6,5,6,0,6,0,5,4,1,7,4,3,6,3,3
Gondomar,69,47,22,49,1,43,6,12,9,3,16,13,3,8,5,3
Maia,65,35,30,39,0,35,4,10,7,3,10,8,2,8,6,2
Matosinhos,67,30,37,40,0,32,8,15,12,3,22,16,6,11,6,5
Oliveira de Azeméis,39,26,13,29,0,26,3,8,8,0,8,8,0,4,4,0
Paredes,32,27,5,17,0,15,2,9,7,2,10,9,1,8,7,1
Porto,133,43,90,81,0,48,33,39,20,19,54,27,27,52,17,35
Póvoa de Varzim,35,17,18,22,0,21,1,6,5,1,8,7,1,4,3,1
Santa Maria da Feira,83,57,26,53,0,50,3,13,10,3,13,11,2,6,3,3
Santo Tirso,40,30,10,36,2,31,5,10,7,3,14,9,5,9,4,5
São João da Madeira,15,10,5,11,0,9,2,4,3,1,5,4,1,6,4,2
Trofa,20,16,4,17,0,16,1,4,3,1,5,4,1,3,2,1
Vale de Cambra,14,13,1,10,0,10,0,2,2,0,2,2,0,1,1,0
Valongo,47,29,18,34,0,28,6,10,7,3,13,9,4,6,4,2
Vila do Conde,47,33,14,36,0,34,2,6,5,1,9,7,2,3,2,1
Vila Nova de Gaia,140,84,56,103,1,90,13,23,15,8,33,23,10,19,9,10
Alto Tâmega,47,32,15,30,2,25,5,13,13,0,13,13,0,9,8,1
Boticas,3,2,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Chaves,19,11,8,17,2,12,5,4,4,0,4,4,0,4,3,1
Montalegre,3,3,0,3,0,3,0,2,2,0,2,2,0,2,2,0
Ribeira de Pena,4,2,2,2,0,2,0,2,2,0,2,2,0,1,1,0
Valpaços,8,5,3,4,0,4,0,2,2,0,2,2,0,1,1,0
Vila Pouca de Aguiar,10,9,1,3,0,3,0,2,2,0,2,2,0,1,1,0
Tâmega e Sousa,270,224,46,200,5,192,8,45,39,6,61,52,9,37,26,11
Amarante,29,24,5,20,1,19,1,6,4,2,8,5,3,5,1,4
Baião,16,10,6,5,0,5,0,3,3,0,3,3,0,1,1,0
Castelo de Paiva,19,17,2,13,3,13,0,2,2,0,2,2,0,1,1,0
Celorico de Basto,16,15,1,4,0,4,0,3,3,0,4,4,0,2,2,0
Cinfães,11,11,0,11,0,11,0,2,2,0,3,3,0,2,1,1
Felgueiras,37,26,11,29,0,27,2,6,6,0,8,8,0,6,5,1
Lousada,29,25,4,27,1,25,2,7,5,2,8,6,2,6,4,2
Marco de Canaveses,45,42,3,35,0,35,0,4,4,0,7,7,0,4,4,0
Paços de Ferreira,21,14,7,16,0,14,2,6,4,2,9,6,3,5,3,2
Penafiel,43,37,6,37,0,36,1,5,5,0,8,7,1,4,3,1
Resende,4,3,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Douro,105,70,35,59,2,54,5,25,22,3,32,27,5,29,20,9
Alijó,9,5,4,6,0,6,0,2,2,0,2,2,0,1,1,0
Armamar,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Carrazeda de Ansiães,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Freixo de Espada à Cinta,3,1,2,1,0,1,0,1,1,0,1,1,0,0,0,0
Lamego,10,5,5,7,1,5,2,3,2,1,4,3,1,6,3,3
Mesão Frio,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Moimenta da Beira,5,3,2,3,0,3,0,1,1,0,2,1,1,2,1,1
Murça,2,1,1,1,0,1,0,1,1,0,1,1,0,2,1,1
Penedono,2,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Peso da Régua,8,4,4,2,0,2,0,1,1,0,2,2,0,2,2,0
Sabrosa,5,4,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Santa Marta de Penaguião,5,2,3,4,0,4,0,1,1,0,1,1,0,0,0,0
São João da Pesqueira,6,6,0,4,0,4,0,1,1,0,2,1,1,2,1,1
Sernancelhe,2,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
Tabuaço,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Tarouca,3,2,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Torre de Moncorvo,8,7,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Vila Nova de Foz Côa,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Real,28,22,6,20,1,17,3,4,2,2,7,5,2,5,3,2
Terras de Trás-os-Montes,64,45,19,41,6,37,4,14,14,0,18,15,3,15,11,4
Alfândega da Fé,4,3,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Bragança,18,9,9,14,3,11,3,4,4,0,6,4,2,5,3,2
Macedo de Cavaleiros,8,6,2,4,0,4,0,1,1,0,1,1,0,2,1,1
Miranda do Douro,4,3,1,3,1,3,0,2,2,0,2,2,0,1,1,0
Mirandela,11,8,3,6,0,5,1,2,2,0,4,3,1,3,2,1
Mogadouro,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Flor,9,8,1,5,0,5,0,1,1,0,1,1,0,1,1,0
Vimioso,2,2,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Vinhais,5,4,1,5,2,5,0,1,1,0,1,1,0,1,1,0
Centro,1465,985,480,1100,108,1040,60,273,228,45,343,275,68,230,144,86
Oeste,208,148,60,172,16,162,10,38,32,6,43,33,10,30,16,14
Alcobaça,33,19,14,25,1,24,1,5,5,0,6,5,1,4,3,1
Alenquer,19,15,4,20,2,20,0,4,4,0,4,4,0,2,1,1
Arruda dos Vinhos,5,4,1,4,0,4,0,2,1,1,2,0,2,2,0,2
Bombarral,5,4,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Cadaval,11,10,1,10,2,10,0,1,1,0,1,1,0,1,1,0
Caldas da Rainha,34,23,11,28,2,24,4,5,3,2,7,5,2,5,3,2
Lourinhã,15,12,3,15,0,15,0,3,3,0,3,3,0,1,1,0
Nazaré,6,4,2,5,2,5,0,1,1,0,2,1,1,3,1,2
Óbidos,11,10,1,3,0,3,0,3,3,0,1,1,0,1,1,0
Peniche,13,7,6,14,2,14,0,3,3,0,4,3,1,2,1,1
Sobral de Monte Agraço,5,4,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Torres Vedras,51,36,15,43,5,38,5,9,6,3,11,8,3,7,2,5
Região de Aveiro,242,136,106,157,3,150,7,40,33,7,50,41,9,31,19,12
Águeda,28,12,16,14,0,13,1,5,4,1,6,5,1,2,2,0
Albergaria-a-Velha,22,14,8,15,0,14,1,4,3,1,4,3,1,3,1,2
Anadia,20,10,10,13,0,12,1,4,2,2,4,2,2,4,1,3
Aveiro,53,25,28,34,2,32,2,9,7,2,12,9,3,7,4,3
Estarreja,15,7,8,8,0,7,1,3,3,0,3,3,0,1,1,0
Ílhavo,25,16,9,19,0,19,0,3,3,0,4,4,0,2,2,0
Murtosa,6,4,2,4,0,4,0,2,2,0,2,2,0,1,1,0
Oliveira do Bairro,17,9,8,9,0,9,0,2,2,0,2,2,0,2,1,1
Ovar,33,20,13,21,0,20,1,5,5,0,8,7,1,4,3,1
Sever do Vouga,11,10,1,10,1,10,0,1,1,0,1,1,0,2,1,1
Vagos,12,9,3,10,0,10,0,2,1,1,4,3,1,3,2,1
Região de Coimbra,277,168,109,206,11,190,16,55,45,10,72,57,15,46,28,18
Arganil,7,6,1,6,0,6,0,2,2,0,2,2,0,1,1,0
Cantanhede,24,15,9,19,2,18,1,5,3,2,6,4,2,3,2,1
Coimbra,79,32,47,67,4,57,10,17,10,7,21,14,7,15,9,6
Condeixa-a-Nova,8,6,2,6,1,6,0,1,1,0,2,2,0,1,1,0
Figueira da Foz,35,20,15,30,2,26,4,4,4,0,9,7,2,5,3,2
Góis,4,3,1,3,0,3,0,1,1,0,1,1,0,0,0,0
Lousã,7,5,2,4,0,4,0,2,2,0,2,2,0,2,1,1
Mealhada,12,8,4,6,0,6,0,2,2,0,3,3,0,2,1,1
Mira,8,6,2,8,0,8,0,1,1,0,1,1,0,1,1,0
Miranda do Corvo,9,7,2,8,0,8,0,2,2,0,2,2,0,1,1,0
Montemor-o-Velho,15,8,7,8,0,8,0,4,4,0,6,4,2,3,1,2
Mortágua,2,1,1,1,0,1,0,1,1,0,2,2,0,1,1,0
Oliveira do Hospital,22,16,6,12,1,11,1,4,4,0,5,5,0,2,1,1
Pampilhosa da Serra,3,1,2,2,0,2,0,1,1,0,1,1,0,1,1,0
Penacova,9,9,0,6,1,6,0,2,2,0,3,2,1,2,1,1
Penela,3,3,0,3,0,3,0,1,1,0,1,1,0,1,0,1
Soure,15,10,5,11,0,11,0,2,1,1,2,1,1,2,1,1
Tábua,10,9,1,3,0,3,0,2,2,0,2,2,0,2,1,1
Vila Nova de Poiares,5,3,2,3,0,3,0,1,1,0,1,1,0,1,1,0
Região de Leiria,201,145,56,157,11,148,9,34,24,10,40,28,12,29,16,13
Alvaiázere,2,2,0,2,0,2,0,1,1,0,1,1,0,2,1,1
Ansião,10,7,3,6,1,6,0,2,2,0,2,2,0,2,1,1
Batalha,12,8,4,10,1,10,0,1,1,0,1,1,0,1,1,0
Castanheira de Pêra,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Figueiró dos Vinhos,5,4,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Leiria,94,63,31,68,3,63,5,14,9,5,15,10,5,8,5,3
Marinha Grande,21,15,6,20,2,18,2,4,3,1,7,5,2,5,3,2
Pedrógão Grande,3,2,1,2,1,2,0,1,1,0,1,1,0,1,0,1
Pombal,34,27,7,29,2,28,1,6,3,3,8,4,4,6,2,4
Porto de Mós,19,16,3,16,0,15,1,3,2,1,3,2,1,3,2,1
Viseu Dão Lafões,191,152,39,140,22,136,4,32,30,2,45,39,6,25,18,7
Aguiar da Beira,4,4,0,4,1,4,0,1,1,0,1,1,0,1,1,0
Carregal do Sal,2,2,0,2,0,2,0,2,2,0,3,3,0,1,1,0
Castro Daire,13,12,1,12,4,12,0,2,2,0,3,2,1,2,1,1
Mangualde,15,12,3,7,1,7,0,1,1,0,2,2,0,1,1,0
Nelas,14,10,4,10,4,9,1,2,2,0,3,3,0,2,2,0
Oliveira de Frades,10,9,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Penalva do Castelo,4,4,0,4,0,4,0,1,1,0,1,1,0,1,1,0
Santa Comba Dão,4,3,1,3,0,3,0,1,1,0,1,1,0,1,1,0
São Pedro do Sul,11,10,1,9,2,9,0,2,2,0,3,3,0,2,1,1
Sátão,8,7,1,5,1,5,0,2,2,0,3,3,0,1,1,0
Tondela,24,21,3,12,3,12,0,4,4,0,6,5,1,3,2,1
Vila Nova de Paiva,4,4,0,3,0,3,0,1,1,0,2,2,0,1,1,0
Viseu,70,47,23,57,2,54,3,10,8,2,13,10,3,6,3,3
Vouzela,8,7,1,9,3,9,0,2,2,0,3,2,1,2,1,1
Beira Baixa,47,32,15,35,4,33,2,11,11,0,15,13,2,10,7,3
Castelo Branco,28,18,10,23,4,21,2,6,6,0,9,8,1,5,3,2
Idanha-a-Nova,9,7,2,5,0,5,0,1,1,0,2,1,1,2,1,1
Oleiros,4,3,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Penamacor,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Proença-a-Nova,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Velha de Ródão,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Médio Tejo,140,101,39,105,9,95,10,30,24,6,36,29,7,29,20,9
Abrantes,20,13,7,14,0,13,1,4,4,0,5,5,0,5,5,0
Alcanena,13,11,2,10,3,10,0,2,2,0,2,2,0,1,1,0
Constância,3,3,0,3,0,3,0,1,1,0,1,1,0,1,1,0
Entroncamento,8,4,4,6,0,3,3,2,1,1,4,2,2,2,1,1
Ferreira do Zêzere,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Mação,3,3,0,2,0,2,0,1,1,0,1,1,0,1,1,0
Ourém,28,22,6,25,1,24,1,7,4,3,7,4,3,5,1,4
Sardoal,2,2,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Sertã,10,8,2,8,2,8,0,2,1,1,2,1,1,4,2,2
Tomar,23,17,6,20,3,18,2,3,3,0,5,5,0,3,2,1
Torres Novas,19,10,9,11,0,8,3,4,3,1,5,4,1,3,2,1
Vila de Rei,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Vila Nova da Barquinha,6,5,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Beiras e Serra da Estrela,159,103,56,128,32,126,2,33,29,4,42,35,7,30,20,10
Almeida,2,2,0,3,1,3,0,2,2,0,2,2,0,2,2,0
Belmonte,7,4,3,2,0,2,0,1,1,0,1,1,0,1,1,0
Celorico da Beira,5,2,3,6,3,6,0,1,1,0,1,1,0,1,1,0
Covilhã,38,26,12,29,4,28,1,6,5,1,9,8,1,5,4,1
Figueira de Castelo Rodrigo,5,3,2,4,3,4,0,1,1,0,1,1,0,1,1,0
Fornos de Algodres,4,4,0,2,1,2,0,1,1,0,1,1,0,1,1,0
Fundão,22,15,7,23,3,23,0,4,3,1,6,4,2,3,1,2
Gouveia,12,8,4,8,2,8,0,2,2,0,3,2,1,2,1,1
Guarda,27,15,12,25,8,24,1,5,4,1,5,4,1,4,2,2
Manteigas,2,1,1,1,0,1,0,1,1,0,1,1,0,2,1,1
Mêda,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Pinhel,4,2,2,5,3,5,0,1,1,0,1,1,0,1,1,0
Sabugal,6,4,2,7,3,7,0,2,1,1,2,1,1,1,1,0
Seia,17,11,6,7,0,7,0,3,3,0,5,4,1,3,1,2
Trancoso,6,5,1,5,1,5,0,2,2,0,3,3,0,2,1,1
A. M. Lisboa,1383,584,799,882,5,619,263,295,181,114,339,237,102,229,127,102
Alcochete,10,5,5,7,0,6,1,2,1,1,1,1,0,1,1,0
Almada,96,40,56,51,0,40,11,17,14,3,22,18,4,16,10,6
Amadora,77,31,46,45,0,29,16,17,12,5,18,14,4,10,6,4
Barreiro,39,22,17,25,0,20,5,8,7,1,10,8,2,7,5,2
Cascais,113,38,75,83,0,45,38,31,10,21,27,12,15,20,10,10
Lisboa,283,96,187,189,1,89,100,88,40,48,102,54,48,77,32,45
Loures,95,53,42,63,2,57,6,16,13,3,22,18,4,10,7,3
Mafra,37,25,12,20,0,17,3,7,4,3,7,4,3,8,3,5
Moita,27,19,8,22,0,21,1,6,6,0,7,7,0,3,2,1
Montijo,30,14,16,22,1,19,3,5,3,2,6,5,1,3,2,1
Odivelas,66,29,37,38,0,31,7,10,8,2,15,13,2,8,6,2
Oeiras,81,20,61,45,0,29,16,16,10,6,17,13,4,13,8,5
Palmela,31,14,17,25,0,20,5,7,3,4,7,5,2,5,3,2
Seixal,82,33,49,44,0,34,10,10,8,2,15,13,2,8,5,3
Sesimbra,24,14,10,15,0,14,1,5,5,0,6,6,0,3,2,1
Setúbal,58,18,40,40,0,31,9,10,6,4,11,10,1,10,7,3
Sintra,182,87,95,110,0,83,27,29,22,7,36,27,9,19,12,7
Vila Franca de Xira,52,26,26,38,1,34,4,11,9,2,10,9,1,8,6,2
Alentejo,470,334,136,368,43,358,10,96,91,5,130,117,13,73,56,17
Alentejo Litoral,66,48,18,53,7,53,0,13,12,1,17,15,2,10,7,3
Alcácer do Sal,6,4,2,7,2,7,0,2,2,0,2,2,0,1,1,0
Grândola,10,8,2,8,1,8,0,1,1,0,3,3,0,2,2,0
Odemira,22,19,3,17,0,17,0,5,4,1,6,4,2,3,1,2
Santiago do Cacém,21,13,8,17,4,17,0,4,4,0,4,4,0,2,2,0
Sines,7,4,3,4,0,4,0,1,1,0,2,2,0,2,1,1
Baixo Alentejo,87,68,19,70,9,69,1,19,18,1,27,23,4,17,11,6
Aljustrel,7,5,2,4,0,4,0,1,1,0,2,2,0,1,1,0
Almodôvar,5,4,1,5,2,5,0,1,1,0,1,1,0,1,1,0
Alvito,2,2,0,1,0,1,0,1,1,0,2,1,1,1,0,1
Barrancos,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Beja,23,14,9,15,0,14,1,4,3,1,6,5,1,3,2,1
Castro Verde,5,4,1,4,0,4,0,1,1,0,2,2,0,1,1,0
Cuba,4,4,0,3,2,3,0,1,1,0,2,1,1,1,0,1
Ferreira do Alentejo,7,5,2,6,1,6,0,1,1,0,1,1,0,1,1,0
Mértola,6,6,0,5,0,5,0,1,1,0,1,1,0,2,1,1
Moura,10,9,1,11,0,11,0,2,2,0,3,2,1,2,1,1
Ourique,5,4,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Serpa,7,6,1,8,3,8,0,3,3,0,4,4,0,2,2,0
Vidigueira,5,4,1,4,0,4,0,1,1,0,1,1,0,1,0,1
Lezíria do Tejo,126,91,35,108,11,103,5,24,24,0,36,32,4,18,13,5
Almeirim,11,7,4,8,0,7,1,2,2,0,3,3,0,1,1,0
Alpiarça,3,2,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Azambuja,11,6,5,10,1,10,0,3,3,0,4,4,0,1,1,0
Benavente,14,11,3,9,0,9,0,3,3,0,4,4,0,2,2,0
Cartaxo,8,5,3,10,3,10,0,2,2,0,3,3,0,1,1,0
Chamusca,8,8,0,5,2,5,0,1,1,0,1,1,0,1,1,0
Coruche,11,8,3,10,1,10,0,2,2,0,4,3,1,2,1,1
Golegã,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Rio Maior,9,6,3,10,0,8,2,2,2,0,3,3,0,2,1,1
Salvaterra de Magos,9,5,4,6,1,6,0,2,2,0,3,2,1,2,1,1
Santarém,39,31,8,35,2,33,2,5,5,0,9,7,2,4,2,2
Alto Alentejo,83,57,26,56,4,54,2,20,19,1,23,22,1,13,12,1
Alter do Chão,2,2,0,1,0,1,0,1,1,0,2,2,0,2,2,0
Arronches,3,2,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Avis,4,4,0,4,1,4,0,1,1,0,1,1,0,0,0,0
Campo Maior,3,1,2,1,0,1,0,1,1,0,1,1,0,1,1,0
Castelo de Vide,3,2,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Crato,2,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
Elvas,18,12,6,12,1,11,1,4,3,1,5,4,1,1,1,0
Fronteira,3,2,1,2,0,2,0,1,1,0,1,1,0,0,0,0
Gavião,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Marvão,2,2,0,2,0,2,0,1,1,0,1,1,0,0,0,0
Monforte,4,4,0,4,1,4,0,1,1,0,1,1,0,0,0,0
Nisa,3,3,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Ponte de Sor,11,7,4,10,0,9,1,2,2,0,2,2,0,1,1,0
Portalegre,17,9,8,10,0,10,0,2,2,0,3,3,0,3,3,0
Sousel,5,4,1,4,1,4,0,1,1,0,1,1,0,1,1,0
Alentejo Central,108,70,38,81,12,79,2,20,18,2,27,25,2,15,13,2
Alandroal,3,3,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Arraiolos,6,3,3,4,1,4,0,1,1,0,1,1,0,1,1,0
Borba,4,3,1,2,0,2,0,1,1,0,1,1,0,0,0,0
Estremoz,10,8,2,9,2,9,0,1,1,0,2,2,0,1,1,0
Évora,33,14,19,23,3,22,1,5,4,1,8,7,1,5,3,2
Montemor-o-Novo,11,8,3,11,2,11,0,1,1,0,2,2,0,1,1,0
Mora,5,4,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Mourão,3,3,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Portel,7,5,2,4,0,4,0,1,1,0,1,1,0,1,1,0
Redondo,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Reguengos de Monsaraz,8,7,1,6,1,6,0,1,1,0,2,2,0,1,1,0
Vendas Novas,6,3,3,4,0,3,1,2,1,1,3,2,1,1,1,0
Viana do Alentejo,4,3,1,3,1,3,0,2,2,0,2,2,0,1,1,0
Vila Viçosa,5,4,1,4,1,4,0,1,1,0,1,1,0,1,1,0
Algarve,225,120,105,164,4,143,21,60,52,8,75,64,11,31,22,9
Albufeira,18,11,7,13,0,13,0,6,6,0,8,8,0,3,2,1
Alcoutim,2,0,2,2,0,2,0,1,1,0,1,1,0,0,0,0
Aljezur,3,3,0,3,0,3,0,1,1,0,2,1,1,1,0,1
Castro Marim,5,2,3,3,1,3,0,1,1,0,1,1,0,0,0,0
Faro,34,10,24,24,2,19,5,7,6,1,9,7,2,5,4,1
Lagoa,14,8,6,8,0,7,1,4,3,1,5,4,1,2,1,1
Lagos,15,4,11,14,0,9,5,4,2,2,5,4,1,3,2,1
Loulé,41,29,12,27,1,26,1,8,7,1,10,8,2,4,2,2
Monchique,2,2,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Olhão,19,9,10,15,0,14,1,7,6,1,8,7,1,2,2,0
Portimão,23,13,10,13,0,9,4,7,7,0,8,7,1,5,4,1
São Brás de Alportel,5,4,1,5,0,5,0,1,1,0,2,2,0,1,1,0
Silves,17,9,8,15,0,13,2,5,4,1,6,5,1,2,1,1
Tavira,15,6,9,10,0,9,1,2,2,0,3,3,0,1,1,0
Vila do Bispo,4,4,0,4,0,3,1,2,1,1,2,1,1,0,0,0
Vila Real de Santo António,8,6,2,5,0,5,0,3,3,0,4,4,0,2,2,0
R. A. Açores,184,135,49,146,x,138,8,37,33,4,35,34,1,40,22,18
Santa Maria,5,5,0,5,x,5,0,1,1,0,1,1,0,1,1,0
Vila do Porto,5,5,0,5,x,5,0,1,1,0,1,1,0,1,1,0
São Miguel,92,69,23,74,x,68,6,18,15,3,17,16,1,21,9,12
Lagoa (R.A.A.),10,8,2,8,x,8,0,2,2,0,2,2,0,2,1,1
Nordeste,5,5,0,5,x,5,0,1,1,0,1,1,0,2,1,1
Ponta Delgada,41,30,11,35,x,29,6,8,5,3,7,6,1,11,4,7
Povoação,8,7,1,7,x,7,0,2,2,0,2,2,0,2,1,1
Ribeira Grande,22,15,7,15,x,15,0,3,3,0,3,3,0,2,1,1
Vila Franca do Campo,6,4,2,4,x,4,0,2,2,0,2,2,0,2,1,1
Terceira,47,32,15,33,x,32,1,6,5,1,7,7,0,6,3,3
Angra do Heroísmo,29,18,11,19,x,18,1,4,3,1,4,4,0,4,2,2
Vila da Praia da Vitória,18,14,4,14,x,14,0,2,2,0,3,3,0,2,1,1
Graciosa,5,4,1,4,x,4,0,1,1,0,1,1,0,1,1,0
Santa Cruz da Graciosa,5,4,1,4,x,4,0,1,1,0,1,1,0,1,1,0
São Jorge,7,3,4,6,x,6,0,3,3,0,3,3,0,3,2,1
Calheta (R.A.A.),4,2,2,2,x,2,0,2,2,0,2,2,0,1,1,0
Velas,3,1,2,4,x,4,0,1,1,0,1,1,0,2,1,1
Pico,11,9,2,10,x,10,0,4,4,0,3,3,0,4,3,1
Lajes do Pico,3,3,0,3,x,3,0,2,2,0,1,1,0,1,1,0
Madalena,5,4,1,5,x,5,0,1,1,0,1,1,0,2,1,1
São Roque do Pico,3,2,1,2,x,2,0,1,1,0,1,1,0,1,1,0
Faial,12,10,2,10,x,9,1,1,1,0,1,1,0,2,1,1
Horta,12,10,2,10,x,9,1,1,1,0,1,1,0,2,1,1
Flores,4,3,1,3,x,3,0,2,2,0,1,1,0,1,1,0
Lajes das Flores,1,1,0,1,x,1,0,1,1,0,0,0,0,0,0,0
Santa Cruz das Flores,3,2,1,2,x,2,0,1,1,0,1,1,0,1,1,0
Corvo,1,0,1,1,x,1,0,1,1,0,1,1,0,1,1,0
Corvo,1,0,1,1,x,1,0,1,1,0,1,1,0,1,1,0
R. A. Madeira,117,65,52,87,x,65,22,29,24,5,29,24,5,25,19,6
