,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 1º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 1º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 2º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Guarda,10,0,7,3,50,0,45,5
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,1,0,0,1,2,0,0,2
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,581,0,548,25,812,0,706,91
Alcochete,0,0,0,0,0,0,0,0
Almada,27,0,25,2,24,0,19,5
Amadora,86,0,86,0,104,0,99,1
Barreiro,26,0,25,1,48,0,47,1
Cascais,38,0,36,2,66,0,61,5
Lisboa,40,0,32,6,97,0,76,19
Loures,99,0,99,0,94,0,94,0
Mafra,0,0,0,0,1,0,0,1
Moita,29,0,24,2,50,0,47,1
Montijo,0,0,0,0,19,0,13,5
Odivelas,0,0,0,0,30,0,24,4
Oeiras,2,0,0,1,5,0,5,0
Palmela,0,0,0,0,0,0,0,0
Seixal,37,0,26,11,114,0,65,47
Sesimbra,0,0,0,0,0,0,0,0
Setúbal,95,0,93,0,57,0,56,0
Sintra,57,0,57,0,100,0,99,0
Vila Franca de Xira,45,0,45,0,3,0,1,2
Alentejo,85,0,56,21,262,0,171,72
Alentejo Litoral,12,0,8,1,13,0,11,2
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,11,0,8,0,11,0,11,0
Odemira,0,0,0,0,1,0,0,1
Santiago do Cacém,0,0,0,0,1,0,0,1
Sines,1,0,0,1,0,0,0,0
Baixo Alentejo,27,0,23,3,71,0,48,21
Aljustrel,0,0,0,0,9,0,0,9
Almodôvar,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,24,0,23,0,34,0,32,0
Castro Verde,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0
Mértola,3,0,0,3,12,0,0,12
Moura,0,0,0,0,16,0,16,0
Ourique,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,28,0,15,9,122,0,79,27
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,5,0,0,1,19,0,0,5
Benavente,0,0,0,0,0,0,0,0
Cartaxo,2,0,0,2,1,0,0,1
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,19,0,15,4,40,0,36,2
Salvaterra de Magos,2,0,0,2,14,0,3,11
Santarém,0,0,0,0,48,0,40,8
Alto Alentejo,15,0,10,5,21,0,14,7
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,5,0,0,5,6,0,0,6
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,10,0,10,0,1,0,0,1
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0
Portalegre,0,0,0,0,14,0,14,0
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,3,0,0,3,35,0,19,15
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0
Évora,2,0,0,2,33,0,19,13
Montemor-o-Novo,0,0,0,0,0,0,0,0
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,1,0,0,1,2,0,0,2
Vendas Novas,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0
Algarve,41,0,41,0,26,0,0,26
Albufeira,0,0,0,0,0,0,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,24,0,24,0,1,0,0,1
Lagoa,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,0,0
Loulé,0,0,0,0,17,0,0,17
Monchique,0,0,0,0,0,0,0,0
Olhão,17,0,17,0,3,0,0,3
Portimão,0,0,0,0,1,0,0,1
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,0,0,0,0,1,0,0,1
Tavira,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,3,0,0,3
R. A. Açores,64,0,39,25,163,0,34,129
Santa Maria,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0
São Miguel,50,0,25,25,103,0,23,80
Lagoa (R.A.A.),0,0,0,0,19,0,16,3
Nordeste,0,0,0,0,0,0,0,0
Ponta Delgada,12,0,0,12,32,0,7,25
Povoação,0,0,0,0,8,0,0,8
Ribeira Grande,38,0,25,13,35,0,0,35
Vila Franca do Campo,0,0,0,0,9,0,0,9
Terceira,14,0,14,0,53,0,11,42
Angra do Heroísmo,14,0,14,0,42,0,11,31
Vila da Praia da Vitória,0,0,0,0,11,0,0,11
Graciosa,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,0,0,0,0,6,0,0,6
Lajes do Pico,0,0,0,0,1,0,0,1
Madalena,0,0,0,0,3,0,0,3
São Roque do Pico,0,0,0,0,2,0,0,2
Faial,0,0,0,0,1,0,0,1
Horta,0,0,0,0,1,0,0,1
Flores,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,533,533,0,0,79,0,29,0
Calheta (R.A.M.),66,66,0,0,0,0,0,0
Câmara de Lobos,139,139,0,0,0,0,0,0
Funchal,49,49,0,0,62,0,12,0
Machico,45,45,0,0,15,0,15,0
Ponta do Sol,137,137,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,25,25,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0
Santana,38,38,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,34,34,0,0,2,0,2,0
