,"Pessoal ao serviço, Total, 2020 Po (N.º)","Pessoal ao serviço, Médicos, 2020 Po (N.º)","Pessoal ao serviço, Enfermeiros , 2020 Po (N.º)","Pessoal ao serviço, Pessoal auxiliar, 2020 Po (N.º)","Pessoal ao serviço, Técnicos de diagnóstico e terapêutica, 2020 Po (N.º)","Pessoal ao serviço, Outros, 2020 Po (N.º)","Atendimentos em serviço de urgência, Total de hospitais, 2020 Po (N.º)","Atendimentos em serviço de urgência, Hospitais públicos de acesso universal e hospitais em parceria público-privada, 2020 Po (N.º)"
R. A. Açores,4072,452,1176,1287,259,898,123113,123113
Santa Maria,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0
São Miguel,2091,269,575,635,135,477,66092,66092
Lagoa (R.A.A.),0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0
Ponta Delgada,2091,269,575,635,135,477,66092,66092
Povoação,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0
Terceira,1435,130,437,463,85,320,39855,39855
Angra do Heroísmo,1435,130,437,463,85,320,39855,39855
Vila da Praia da Vitória,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0
Faial,546,53,164,189,39,101,17166,17166
Horta,546,53,164,189,39,101,17166,17166
Flores,...,...,...,...,...,...,...,...
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,4707,512,1416,1441,268,1070,92474,81167
Calheta (R.A.M.),0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0
Funchal,4707,512,1416,1441,268,1070,92474,81167
Machico,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0
