,"Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Total (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Cirurgia geral (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ginecologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Medicina interna (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Oftalmologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ortopedia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Otorrinolaringologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Pediatria médica (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Psiquiatria (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Outras  (N.º)"
Montalegre,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,…,…,…,…,…,…,…,…,…,…
Amarante,0,0,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,0
Felgueiras,…,…,…,…,…,…,…,…,…,…
Lousada,0,0,0,0,0,0,0,0,0,0
Marco de Canaveses,…,…,…,…,…,…,…,…,…,…
Paços de Ferreira,0,0,0,0,0,0,0,0,0,0
Penafiel,322035,21658,27033,16366,28591,33123,11702,18123,36345,129094
Resende,0,0,0,0,0,0,0,0,0,0
Douro,…,…,…,…,…,…,…,…,…,…
Alijó,0,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,0,0,0,0,0,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0
Vila Real,…,…,…,…,…,…,…,…,…,…
Terras de Trás-os-Montes,…,…,…,…,…,…,…,…,…,…
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0
Bragança,100148,9039,6192,8662,8233,15437,5524,4668,6428,35965
Macedo de Cavaleiros,0,0,0,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0,0,0
Mirandela,…,…,…,…,…,…,…,…,…,…
Mogadouro,0,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0
Centro,3535059,183848,252043,166756,333432,341981,155640,157458,163835,1780066
Oeste,286107,18253,17831,16282,18533,48385,17509,13378,13772,122164
Alcobaça,0,0,0,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0,0
Caldas da Rainha,…,…,…,…,…,…,…,…,…,…
Lourinhã,0,0,0,0,0,0,0,0,0,0
Nazaré,…,…,…,…,…,…,…,…,…,…
Óbidos,0,0,0,0,0,0,0,0,0,0
Peniche,0,0,0,0,0,0,0,0,0,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0
Torres Vedras,…,…,…,…,…,…,…,…,…,…
Região de Aveiro,416845,25857,29288,18139,46520,56568,30387,29505,13061,167520
Águeda,0,0,0,0,0,0,0,0,0,0
Albergaria-a-Velha,0,0,0,0,0,0,0,0,0,0
Anadia,…,…,…,…,…,…,…,…,…,…
Aveiro,…,…,…,…,…,…,…,…,…,…
Estarreja,0,0,0,0,0,0,0,0,0,0
Ílhavo,0,0,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,…,…,…,…,…,…,…,…,…,…
Ovar,30503,3678,0,2350,3402,5551,2221,3995,0,9306
Sever do Vouga,0,0,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0,0,0
Região de Coimbra,1397615,57121,113410,45487,136900,93835,53876,47056,59777,790153
Arganil,0,0,0,0,0,0,0,0,0,0
Cantanhede,23373,1579,755,572,1316,2752,0,0,0,16399
Coimbra,…,…,…,…,…,…,…,…,…,…
Condeixa-a-Nova,…,…,…,…,…,…,…,…,…,…
Figueira da Foz,92335,11018,6607,6773,11185,11229,3525,5246,3204,33548
Góis,0,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0,0,0
Mealhada,…,…,…,…,…,…,…,…,…,…
Mira,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,…,…,…,…,…,…,…,…,…,…
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0
Região de Leiria,498859,30261,24814,32360,59598,56310,18097,21975,18212,237232
Alvaiázere,…,…,…,…,…,…,…,…,…,…
Ansião,…,…,…,…,…,…,…,…,…,…
Batalha,0,0,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0
Leiria,…,…,…,…,…,…,…,…,…,…
Marinha Grande,…,…,…,…,…,…,…,…,…,…
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0
Pombal,0,0,0,0,0,0,0,0,0,0
Porto de Mós,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,…,…,…,…,…,…,…,…,…,…
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0
Viseu,…,…,…,…,…,…,…,…,…,…
Vouzela,0,0,0,0,0,0,0,0,0,0
Beira Baixa,87423,7462,4717,4115,4898,7633,6083,2824,7238,42453
Castelo Branco,87423,7462,4717,4115,4898,7633,6083,2824,7238,42453
Idanha-a-Nova,0,0,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0
Médio Tejo,…,…,…,…,…,…,…,…,…,…
Abrantes,0,0,0,0,0,0,0,0,0,0
Alcanena,…,…,…,…,…,…,…,…,…,…
Constância,5097,0,0,0,0,0,0,0,0,5097
Entroncamento,…,…,…,…,…,…,…,…,…,…
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0,0,0
Tomar,185791,13091,8924,11136,23151,13108,6184,14438,15256,80503
Torres Novas,0,0,0,0,0,0,0,0,0,0
Vila de Rei,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,…,…,…,…,…,…,…,…,…,…
Almeida,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0
Covilhã,145051,5932,18398,11028,4001,10993,77,7994,6905,79723
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,0,0,0,0,0,0
Gouveia,0,0,0,0,0,0,0,0,0,0
Guarda,…,…,…,…,…,…,…,…,…,…
Manteigas,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0,0
Seia,0,0,0,0,0,0,0,0,0,0
Trancoso,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,6895400,277239,482770,251022,526032,525144,358643,323621,264078,3886851
Alcochete,0,0,0,0,0,0,0,0,0,0
Almada,297861,11426,18909,13787,32144,15885,14219,8260,13155,170076
Amadora,…,…,…,…,…,…,…,…,…,…
Barreiro,183834,10573,10042,16293,10973,10655,9971,9768,13694,91865
Cascais,452580,15617,21684,12982,24576,42719,12658,25211,10330,286803
Lisboa,4425732,161336,321350,157622,300282,322196,223972,207795,153526,2577653
Loures,…,…,…,…,…,…,…,…,…,…
Mafra,0,0,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0,0,0
Odivelas,0,0,0,0,0,0,0,0,0,0
Oeiras,…,…,…,…,…,…,…,…,…,…
Palmela,0,0,0,0,0,0,0,0,0,0
Seixal,0,0,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0,0,0
Setúbal,…,…,…,…,…,…,…,…,…,…
Sintra,7859,0,73,165,8,0,13,0,6285,1315
Vila Franca de Xira,167371,11428,16249,5597,20002,19949,9356,8694,8609,67487
Alentejo,763360,60201,48428,38712,70197,79421,30187,32018,37523,366673
Alentejo Litoral,70517,6448,3383,4485,8462,8747,425,1233,4315,33019
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0,0,0
Santiago do Cacém,70517,6448,3383,4485,8462,8747,425,1233,4315,33019
Sines,0,0,0,0,0,0,0,0,0,0
Baixo Alentejo,91243,11358,8972,4437,8284,8325,2783,3407,8235,35442
Aljustrel,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0
Beja,91243,11358,8972,4437,8284,8325,2783,3407,8235,35442
Castro Verde,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,…,…,…,…,…,…,…,…,…,…
Almeirim,0,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0
Santarém,…,…,…,…,…,…,…,…,…,…
Alto Alentejo,…,…,…,…,…,…,…,…,…,…
Alter do Chão,0,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0,0
Elvas,0,0,0,0,0,0,0,0,0,0
Fronteira,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0
Monforte,…,…,…,…,…,…,…,…,…,…
Nisa,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0,0
Portalegre,101537,11087,5860,8193,9463,11048,2525,2215,6259,44887
Sousel,0,0,0,0,0,0,0,0,0,0
Alentejo Central,…,…,…,…,…,…,…,…,…,…
Alandroal,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0,0
Évora,…,…,…,…,…,…,…,…,…,…
Montemor-o-Novo,…,…,…,…,…,…,…,…,…,…
Mora,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0
Algarve,647837,34451,60393,26415,68650,56853,41140,29640,20679,309616
Albufeira,…,…,…,…,…,…,…,…,…,…
Alcoutim,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0
Faro,…,…,…,…,…,…,…,…,…,…
Lagoa,0,0,0,0,0,0,0,0,0,0
Lagos,…,…,…,…,…,…,…,…,…,…
Loulé,…,…,…,…,…,…,…,…,…,…
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,0,0,0,0,0,0,0,0,0,0
Portimão,…,…,…,…,…,…,…,…,…,…
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0
Silves,…,…,…,…,…,…,…,…,…,…
Tavira,0,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0,0
R. A. Açores,337410,16306,25997,16611,17923,18137,17506,17793,22892,184245
Santa Maria,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0
São Miguel,211300,9395,16522,9343,9156,11229,10210,11164,12347,121934
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,211300,9395,16522,9343,9156,11229,10210,11164,12347,121934
Povoação,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0,0
Terceira,77317,3106,5030,3203,5845,3383,3853,3933,7105,41859
Angra do Heroísmo,77317,3106,5030,3203,5845,3383,3853,3933,7105,41859
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0,0
Faial,48793,3805,4445,4065,2922,3525,3443,2696,3440,20452
Horta,48793,3805,4445,4065,2922,3525,3443,2696,3440,20452
Flores,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,315250,18195,39409,22259,17773,21566,13345,16075,7334,159294
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0,0
Funchal,315250,18195,39409,22259,17773,21566,13345,16075,7334,159294
Machico,0,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0
