,"Médicos, Total (N.º)","Médicos, Especialistas (N.º)","Médicos, Não especialistas (N.º)","Médicos por algumas especialidades médicas, Cirurgia geral (N.º)","Médicos por algumas especialidades médicas, Estomatologia (N.º)","Médicos por algumas especialidades médicas, Ginecologia e obstetrícia (N.º)","Médicos por algumas especialidades médicas, Medicina geral e familiar (N.º)","Médicos por algumas especialidades médicas, Oftalmologia (N.º)","Médicos por algumas especialidades médicas, Ortopedia (N.º)","Médicos por algumas especialidades médicas, Pediatria (N.º)","Médicos por algumas especialidades médicas, Psiquiatria (N.º)"
Vizela,78,35,43,2,0,0,14,5,1,0,1
A. M. Porto,13803,8811,4992,411,136,447,1841,259,337,592,334
Arouca,32,16,16,0,2,0,9,0,0,1,0
Espinho,232,147,85,3,1,10,41,2,7,19,4
Gondomar,766,420,346,17,4,16,125,13,13,29,13
Maia,1021,624,397,18,8,25,155,13,18,51,14
Matosinhos,1753,1183,570,49,12,56,241,30,56,82,44
Oliveira de Azeméis,180,88,92,5,0,2,35,1,4,8,2
Paredes,206,85,121,5,2,5,23,0,2,5,2
Porto,5316,3859,1457,184,64,215,557,141,158,223,173
Póvoa de Varzim,394,220,174,14,1,16,60,3,6,22,6
Santa Maria da Feira,477,209,268,9,5,13,67,7,7,17,4
Santo Tirso,303,139,164,4,0,3,36,3,5,14,4
São João da Madeira,95,49,46,3,2,3,19,2,2,0,1
Trofa,147,64,83,3,0,1,30,0,3,4,1
Vale de Cambra,84,34,50,1,3,1,13,1,1,5,1
Valongo,377,195,182,11,4,7,57,2,7,12,5
Vila do Conde,413,242,171,18,4,9,73,11,7,21,5
Vila Nova de Gaia,2007,1237,770,67,24,65,300,30,41,79,55
Alto Tâmega,328,155,173,6,1,7,62,2,8,9,0
Boticas,7,4,3,0,0,0,1,0,0,0,0
Chaves,228,114,114,5,0,6,40,1,7,9,0
Montalegre,19,6,13,1,0,0,3,0,1,0,0
Ribeira de Pena,8,4,4,0,1,0,3,0,0,0,0
Valpaços,32,14,18,0,0,0,7,1,0,0,0
Vila Pouca de Aguiar,34,13,21,0,0,1,8,0,0,0,0
Tâmega e Sousa,979,382,597,17,2,9,171,3,10,23,12
Amarante,159,62,97,5,0,1,26,0,3,4,1
Baião,26,9,17,1,0,0,7,0,0,0,0
Castelo de Paiva,21,10,11,0,0,0,7,0,0,0,0
Celorico de Basto,32,16,16,2,0,0,7,0,0,0,0
Cinfães,21,9,12,2,0,0,4,0,0,2,0
Felgueiras,141,44,97,1,1,0,18,0,2,2,2
Lousada,81,31,50,2,0,0,15,0,0,1,0
Marco de Canaveses,100,40,60,1,0,2,20,2,0,3,2
Paços de Ferreira,150,57,93,1,1,2,23,1,1,5,2
Penafiel,230,101,129,2,0,4,44,0,4,6,5
Resende,18,3,15,0,0,0,0,0,0,0,0
Douro,733,370,363,22,2,14,120,9,10,25,7
Alijó,11,4,7,0,0,0,3,0,0,0,0
Armamar,6,2,4,0,0,0,2,0,0,0,0
Carrazeda de Ansiães,8,1,7,0,0,0,0,1,0,0,0
Freixo de Espada à Cinta,3,0,3,0,0,0,0,0,0,0,0
Lamego,122,44,78,3,0,0,20,0,0,2,0
Mesão Frio,12,2,10,0,0,0,1,0,1,0,0
Moimenta da Beira,26,11,15,0,0,0,7,0,0,1,0
Murça,9,5,4,1,0,0,1,0,0,0,0
Penedono,3,2,1,0,0,0,2,0,0,0,0
Peso da Régua,42,22,20,0,0,1,12,0,0,0,1
Sabrosa,7,2,5,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,11,2,9,0,0,0,1,0,0,1,0
São João da Pesqueira,10,6,4,0,0,0,4,0,0,0,1
Sernancelhe,8,3,5,0,0,0,3,0,0,0,0
Tabuaço,6,1,5,0,0,0,1,0,0,0,0
Tarouca,15,7,8,0,0,0,5,0,0,1,1
Torre de Moncorvo,14,3,11,0,0,0,2,0,0,0,0
Vila Nova de Foz Côa,14,2,12,0,0,1,0,0,0,0,0
Vila Real,406,251,155,18,2,12,56,8,9,20,4
Terras de Trás-os-Montes,438,213,225,13,2,4,82,6,10,9,6
Alfândega da Fé,10,5,5,0,0,0,1,0,0,0,0
Bragança,215,105,110,7,2,2,34,2,4,3,4
Macedo de Cavaleiros,49,24,25,3,0,1,9,0,5,0,0
Miranda do Douro,16,8,8,0,0,0,5,1,0,1,0
Mirandela,99,52,47,3,0,1,20,2,0,4,2
Mogadouro,17,9,8,0,0,0,8,0,1,0,0
Vila Flor,9,4,5,0,0,0,2,1,0,0,0
Vimioso,7,1,6,0,0,0,1,0,0,0,0
Vinhais,16,5,11,0,0,0,2,0,0,1,0
Centro,12400,7513,4887,366,118,379,2081,206,283,401,274
Oeste,869,513,356,23,8,18,202,9,14,30,9
Alcobaça,94,40,54,1,0,1,20,0,0,3,1
Alenquer,79,41,38,0,1,0,22,1,1,3,0
Arruda dos Vinhos,44,19,25,0,0,1,8,0,1,1,1
Bombarral,23,14,9,0,0,0,6,0,0,1,0
Cadaval,10,3,7,0,0,0,2,0,0,0,1
Caldas da Rainha,210,141,69,8,1,6,43,5,4,13,3
Lourinhã,50,31,19,0,0,0,17,0,0,1,0
Nazaré,32,18,14,1,0,1,11,0,0,0,1
Óbidos,18,10,8,1,0,0,6,0,0,0,0
Peniche,45,30,15,1,1,1,18,0,0,1,0
Sobral de Monte Agraço,22,15,7,1,1,0,4,0,0,0,0
Torres Vedras,242,151,91,10,4,8,45,3,8,7,2
Região de Aveiro,1453,870,583,40,14,37,307,23,29,63,23
Águeda,140,68,72,4,3,2,26,3,2,6,2
Albergaria-a-Velha,77,37,40,0,0,1,15,0,2,4,1
Anadia,98,55,43,5,0,1,18,2,4,5,1
Aveiro,535,368,167,21,5,23,114,11,7,23,12
Estarreja,62,35,27,0,0,0,22,0,1,2,0
Ílhavo,140,86,54,4,1,2,28,2,2,5,3
Murtosa,22,13,9,1,0,0,8,0,1,0,0
Oliveira do Bairro,67,36,31,2,0,3,14,1,0,1,0
Ovar,220,129,91,3,4,4,46,4,8,14,2
Sever do Vouga,25,13,12,0,0,0,5,0,0,0,2
Vagos,67,30,37,0,1,1,11,0,2,3,0
Região de Coimbra,6035,3885,2150,182,77,228,770,127,164,192,174
Arganil,13,10,3,0,0,0,6,0,0,0,0
Cantanhede,125,72,53,4,2,5,24,0,0,4,8
Coimbra,4934,3270,1664,152,67,202,568,114,138,168,146
Condeixa-a-Nova,107,67,40,4,1,3,15,1,1,3,4
Figueira da Foz,413,250,163,14,3,11,68,6,17,12,6
Góis,3,0,3,0,0,0,0,0,0,0,0
Lousã,40,13,27,0,0,1,5,1,0,0,0
Mealhada,67,39,28,2,2,2,16,1,0,2,1
Mira,53,21,32,2,0,0,13,0,0,1,0
Miranda do Corvo,35,17,18,0,1,0,5,0,2,1,1
Montemor-o-Velho,65,40,25,2,1,0,10,0,3,1,4
Mortágua,30,16,14,0,0,0,9,2,3,0,0
Oliveira do Hospital,37,20,17,1,0,0,13,1,0,0,1
Pampilhosa da Serra,2,0,2,0,0,0,0,0,0,0,0
Penacova,20,11,9,0,0,1,3,0,0,0,1
Penela,16,7,9,1,0,0,4,0,0,0,0
Soure,45,21,24,0,0,3,6,1,0,0,2
Tábua,23,8,15,0,0,0,3,0,0,0,0
Vila Nova de Poiares,7,3,4,0,0,0,2,0,0,0,0
Região de Leiria,930,524,406,29,5,19,198,14,21,29,14
Alvaiázere,12,4,8,0,0,0,4,0,0,0,0
Ansião,22,9,13,0,0,0,4,0,1,0,0
Batalha,32,14,18,0,0,1,8,0,1,0,0
Castanheira de Pêra,2,1,1,0,0,0,1,0,0,0,0
Figueiró dos Vinhos,14,10,4,0,0,0,5,1,2,0,0
Leiria,614,382,232,23,3,17,126,11,15,27,12
Marinha Grande,62,25,37,3,1,0,6,0,1,1,0
Pedrógão Grande,3,2,1,0,0,0,1,0,0,0,0
Pombal,129,64,65,3,1,1,35,2,0,1,2
Porto de Mós,40,13,27,0,0,0,8,0,1,0,0
Viseu Dão Lafões,1292,743,549,38,5,47,236,15,25,35,25
Aguiar da Beira,7,3,4,0,0,0,2,0,0,0,0
Carregal do Sal,16,8,8,0,0,0,5,0,0,0,1
Castro Daire,26,7,19,0,0,0,3,1,0,0,1
Mangualde,46,26,20,0,0,1,13,0,1,2,0
Nelas,42,23,19,0,0,2,11,1,1,1,0
Oliveira de Frades,21,8,13,0,0,1,5,0,0,1,0
Penalva do Castelo,16,6,10,0,0,1,1,0,0,0,0
Santa Comba Dão,30,22,8,0,1,1,12,0,1,2,0
São Pedro do Sul,72,33,39,0,1,1,19,1,0,0,1
Sátão,30,13,17,1,0,0,7,1,0,2,0
Tondela,73,38,35,4,0,0,14,0,1,1,1
Vila Nova de Paiva,6,3,3,0,0,1,2,0,0,0,0
Viseu,889,545,344,33,3,39,139,11,20,26,20
Vouzela,18,8,10,0,0,0,3,0,1,0,1
Beira Baixa,327,209,118,18,2,6,76,1,7,13,6
Castelo Branco,289,189,100,18,1,6,62,0,7,12,5
Idanha-a-Nova,10,6,4,0,1,0,4,1,0,0,0
Oleiros,6,0,6,0,0,0,0,0,0,0,0
Penamacor,5,5,0,0,0,0,5,0,0,0,0
Proença-a-Nova,12,7,5,0,0,0,5,0,0,0,0
Vila Velha de Ródão,5,2,3,0,0,0,0,0,0,1,1
Médio Tejo,591,306,285,15,1,6,125,8,11,17,6
Abrantes,103,67,36,3,0,2,23,1,3,4,1
Alcanena,21,10,11,0,0,0,6,0,0,1,0
Constância,4,3,1,0,0,0,0,0,1,2,0
Entroncamento,75,39,36,1,0,2,18,0,0,3,0
Ferreira do Zêzere,5,1,4,0,0,0,0,0,0,0,0
Mação,5,3,2,0,0,0,1,0,0,0,0
Ourém,71,33,38,2,0,0,18,0,1,1,4
Sardoal,10,6,4,0,0,0,1,2,0,0,0
Sertã,20,8,12,0,0,0,7,0,0,0,0
Tomar,112,65,47,7,0,0,28,3,2,3,0
Torres Novas,146,67,79,2,1,2,20,2,4,3,1
Vila de Rei,7,0,7,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,12,4,8,0,0,0,3,0,0,0,0
Beiras e Serra da Estrela,903,463,440,21,6,18,167,9,12,22,17
Almeida,19,8,11,0,0,1,4,0,1,0,0
Belmonte,13,5,8,0,1,0,1,0,0,0,0
Celorico da Beira,6,2,4,0,0,0,1,0,0,0,0
Covilhã,278,139,139,5,0,9,46,4,3,7,4
Figueira de Castelo Rodrigo,14,3,11,1,0,0,2,0,0,0,0
Fornos de Algodres,15,8,7,0,0,0,5,0,0,0,1
Fundão,76,37,39,3,1,1,18,0,0,1,0
Gouveia,27,17,10,1,1,1,13,0,0,0,0
Guarda,318,181,137,10,2,5,42,4,7,11,8
Manteigas,7,4,3,0,0,0,3,0,0,0,0
Mêda,8,2,6,0,0,0,1,0,0,0,0
Pinhel,21,10,11,0,0,0,7,1,0,0,0
Sabugal,14,7,7,0,0,0,6,0,0,0,1
Seia,65,31,34,1,0,1,15,0,1,3,3
Trancoso,22,9,13,0,1,0,3,0,0,0,0
A. M. Lisboa,20019,13418,6601,662,265,704,2241,502,446,887,521
Alcochete,74,52,22,5,2,4,10,1,1,4,1
Almada,865,533,332,12,13,36,136,10,14,34,13
Amadora,640,361,279,25,5,10,75,17,9,18,14
Barreiro,266,167,99,15,2,5,59,7,3,10,3
Cascais,1767,1116,651,67,29,45,206,30,48,79,33
Lisboa,9922,7097,2825,345,140,397,895,306,214,488,344
Loures,771,525,246,20,15,26,102,20,21,43,13
Mafra,259,151,108,8,3,7,35,5,6,8,4
Moita,83,49,34,1,0,2,13,2,1,4,0
Montijo,151,87,64,3,1,4,21,4,5,6,1
Odivelas,577,334,243,13,5,19,83,9,8,22,9
Oeiras,1878,1333,545,67,26,81,193,49,53,80,37
Palmela,229,147,82,6,2,9,31,5,10,4,5
Seixal,432,246,186,13,3,12,79,7,10,17,3
Sesimbra,111,63,48,0,1,1,20,0,3,1,4
Setúbal,646,409,237,30,6,14,106,12,20,28,16
Sintra,1069,592,477,22,11,27,132,13,17,33,17
Vila Franca de Xira,279,156,123,10,1,5,45,5,3,8,4
Alentejo,2354,1444,910,103,10,65,459,46,64,87,36
Alentejo Litoral,215,105,110,10,1,1,39,1,2,3,6
Alcácer do Sal,10,4,6,0,0,0,1,1,0,0,0
Grândola,25,15,10,1,0,0,7,0,0,1,1
Odemira,38,6,32,1,0,0,4,0,0,0,1
Santiago do Cacém,106,60,46,8,1,1,16,0,1,1,4
Sines,36,20,16,0,0,0,11,0,1,1,0
Baixo Alentejo,332,189,143,19,0,10,65,6,9,14,5
Aljustrel,14,5,9,1,0,0,4,0,0,0,0
Almodôvar,10,1,9,0,0,0,1,0,0,0,0
Alvito,6,1,5,0,0,0,0,1,0,0,0
Barrancos,1,0,1,0,0,0,0,0,0,0,0
Beja,208,144,64,16,0,10,36,4,9,12,4
Castro Verde,9,4,5,0,0,0,2,1,0,0,0
Cuba,10,6,4,2,0,0,3,0,0,1,0
Ferreira do Alentejo,7,4,3,0,0,0,4,0,0,0,0
Mértola,5,2,3,0,0,0,2,0,0,0,0
Moura,24,7,17,0,0,0,5,0,0,0,0
Ourique,6,2,4,0,0,0,2,0,0,0,0
Serpa,24,10,14,0,0,0,4,0,0,0,1
Vidigueira,8,3,5,0,0,0,2,0,0,1,0
Lezíria do Tejo,690,447,243,24,3,26,145,9,21,27,6
Almeirim,48,33,15,2,1,2,10,0,1,4,1
Alpiarça,10,5,5,0,0,1,2,1,0,0,0
Azambuja,25,18,7,0,0,1,8,0,0,2,1
Benavente,49,29,20,3,0,0,6,1,2,0,0
Cartaxo,55,38,17,1,0,2,15,1,2,7,0
Chamusca,11,7,4,0,0,0,3,0,1,0,0
Coruche,35,23,12,0,0,1,11,0,1,0,0
Golegã,9,6,3,0,0,0,2,0,2,0,0
Rio Maior,42,21,21,1,0,1,8,0,0,2,0
Salvaterra de Magos,34,13,21,0,1,0,7,0,0,0,0
Santarém,372,254,118,17,1,18,73,6,12,12,4
Alto Alentejo,428,251,177,25,2,12,77,11,16,13,5
Alter do Chão,4,3,1,0,0,0,2,0,0,0,1
Arronches,5,4,1,0,0,0,2,0,1,1,0
Avis,6,3,3,0,0,0,2,0,0,0,0
Campo Maior,52,24,28,2,0,5,6,1,4,0,0
Castelo de Vide,11,4,7,1,0,0,1,0,0,1,0
Crato,6,2,4,0,0,0,0,0,2,0,0
Elvas,160,102,58,9,1,3,24,7,8,4,0
Fronteira,7,4,3,0,0,0,3,0,0,0,0
Gavião,4,2,2,0,0,0,1,0,0,0,0
Marvão,7,5,2,1,0,0,3,0,0,0,0
Monforte,7,4,3,0,1,0,3,0,0,0,0
Nisa,8,5,3,0,0,0,3,0,0,1,0
Ponte de Sor,28,10,18,0,0,0,7,0,0,0,0
Portalegre,119,77,42,12,0,4,18,3,1,6,4
Sousel,4,2,2,0,0,0,2,0,0,0,0
Alentejo Central,689,452,237,25,4,16,133,19,16,30,14
Alandroal,6,5,1,1,0,0,2,0,0,0,1
Arraiolos,13,7,6,0,0,0,2,1,0,0,0
Borba,14,9,5,0,0,0,8,0,0,1,0
Estremoz,35,14,21,0,0,0,8,0,0,1,0
Évora,507,358,149,21,4,14,81,18,16,28,10
Montemor-o-Novo,30,19,11,0,0,0,9,0,0,0,0
Mora,4,2,2,0,0,0,1,0,0,0,1
Mourão,2,1,1,0,0,0,1,0,0,0,0
Portel,6,1,5,0,0,0,1,0,0,0,0
Redondo,6,4,2,0,0,0,3,0,0,0,1
Reguengos de Monsaraz,15,9,6,1,0,1,4,0,0,0,1
Vendas Novas,23,11,12,2,0,0,8,0,0,0,0
Viana do Alentejo,6,1,5,0,0,0,0,0,0,0,0
Vila Viçosa,22,11,11,0,0,1,5,0,0,0,0
Algarve,2024,1115,909,60,9,71,300,38,48,72,27
Albufeira,112,51,61,1,0,1,23,2,1,3,0
Alcoutim,7,2,5,1,0,0,1,0,0,0,0
Aljezur,17,4,13,0,0,0,2,0,0,0,0
Castro Marim,15,4,11,0,0,1,3,0,0,0,0
Faro,728,448,280,27,3,40,87,18,17,28,12
Lagoa,88,40,48,1,0,3,10,3,1,2,2
Lagos,104,58,46,6,0,2,20,1,1,5,1
Loulé,199,98,101,3,2,5,29,2,4,8,2
Monchique,7,0,7,0,0,0,0,0,0,0,0
Olhão,125,72,53,2,0,1,22,3,6,4,1
Portimão,391,219,172,17,3,13,49,8,12,16,6
São Brás de Alportel,49,29,20,0,0,1,9,0,2,3,1
Silves,63,22,41,0,0,2,8,0,2,1,0
Tavira,67,34,33,1,1,1,17,0,2,1,1
Vila do Bispo,5,3,2,0,0,0,2,1,0,0,0
Vila Real de Santo António,47,31,16,1,0,1,18,0,0,1,1
R. A. Açores,958,588,370,27,10,28,151,11,21,37,17
Santa Maria,13,8,5,0,0,0,4,0,0,0,0
Vila do Porto,13,8,5,0,0,0,4,0,0,0,0
São Miguel,616,375,241,17,3,17,87,8,13,25,12
Lagoa (R.A.A.),35,27,8,0,0,2,6,0,1,1,0
Nordeste,7,4,3,0,1,0,1,0,0,0,0
Ponta Delgada,482,311,171,16,2,15,67,7,11,22,12
Povoação,9,4,5,0,0,0,3,0,0,0,0
Ribeira Grande,65,22,43,1,0,0,7,1,1,2,0
Vila Franca do Campo,18,7,11,0,0,0,3,0,0,0,0
Terceira,223,138,85,7,5,8,32,2,5,12,2
Angra do Heroísmo,168,108,60,6,5,6,20,2,5,8,2
Vila da Praia da Vitória,55,30,25,1,0,2,12,0,0,4,0
Graciosa,4,2,2,0,0,0,2,0,0,0,0
Santa Cruz da Graciosa,4,2,2,0,0,0,2,0,0,0,0
São Jorge,20,12,8,0,1,1,4,0,1,0,1
Calheta (R.A.A.),4,3,1,0,0,0,1,0,0,0,0
Velas,16,9,7,0,1,1,3,0,1,0,1
Pico,24,15,9,0,0,0,12,0,0,0,0
Lajes do Pico,10,5,5,0,0,0,4,0,0,0,0
Madalena,5,4,1,0,0,0,3,0,0,0,0
São Roque do Pico,9,6,3,0,0,0,5,0,0,0,0
Faial,52,36,16,3,1,2,8,1,2,0,2
Horta,52,36,16,3,1,2,8,1,2,0,2
Flores,4,1,3,0,0,0,1,0,0,0,0
Lajes das Flores,1,0,1,0,0,0,0,0,0,0,0
Santa Cruz das Flores,3,1,2,0,0,0,1,0,0,0,0
Corvo,2,1,1,0,0,0,1,0,0,0,0
Corvo,2,1,1,0,0,0,1,0,0,0,0
R. A. Madeira,1318,760,558,48,4,39,203,17,23,42,19
Calheta (R.A.M.),12,4,8,0,0,0,3,0,0,0,0
Câmara de Lobos,65,29,36,0,0,0,11,1,1,5,1
Funchal,944,600,344,39,3,35,143,16,17,29,13
Machico,45,14,31,1,0,0,6,0,0,0,0
Ponta do Sol,14,5,9,0,0,0,4,0,0,0,0
Porto Moniz,8,2,6,0,0,0,1,0,0,1,0
Ribeira Brava,29,6,23,0,0,0,1,0,0,0,2
Santa Cruz,175,90,85,8,1,4,28,0,4,7,3
Santana,7,2,5,0,0,0,2,0,0,0,0
São Vicente,7,5,2,0,0,0,2,0,1,0,0
Porto Santo,12,3,9,0,0,0,2,0,0,0,0
