District,Municipality,Parish,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,Number of Classic Buildings,Classic buildings with 1 or 2 accommodations,Classic buildings with 3 or more accommodations,Exclusively residential buildings,Buildings with 1 or 2 floors,Buildings with 3 or more floors,Buildings constructed before 1945,Buildings constructed between 1946 and 1980,Buildings constructed between 1981 and 2000,Buildings constructed between 2001 and 2010,Buildings constructed between 2011 and 2021,Buildings needing repairs,Total number of accommodations,Number of family accommodations,Classic family accommodations for habitual residence,Classic family accommodations vacant or for secondary residence,Habitual family accommodations accessible to wheelchairs,Habitual family accommodations with parking,Habitual family accommodations owned by occupants,Habitual family accommodations that are rented,Private household groups,Private household groups with 1 or 2 people,Private household groups with 3 or more people,Number of family units,Family units with children,Total number of individuals,Male individuals,Female individuals,Individuals aged between 0 and 14 years,Individuals aged between 15 and 24 years,Individuals aged between 25 and 64 years,Individuals aged 65 years or more,geom_Length,geom_Area
Coimbra,Oliveira do Hospital,Oliveira do Hospital e São Paio de Gramaços,611,61124,61124002,2,10,210,6112400210,12,12,0,12,4,8,0,0,3,9,0,12,12,12,12,0,1,12,12,0,12,3,9,13,8,38,15,23,7,5,20,6,484.9410381,13044.8515
Coimbra,Oliveira do Hospital,Oliveira do Hospital e São Paio de Gramaços,611,61124,61124002,2,11,211,6112400211,19,11,8,19,7,12,0,4,14,1,0,17,64,64,45,19,5,26,26,16,45,29,16,34,21,104,49,55,16,15,59,14,1438.671441,47759.26113
Coimbra,Oliveira do Hospital,Oliveira do Hospital e São Paio de Gramaços,611,61124,61124005,5,3,503,6112400503,10,10,0,10,6,4,0,6,2,2,0,0,11,11,9,2,3,9,8,0,9,1,8,9,5,30,15,15,6,4,11,9,445.3073271,11459.11435
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61126,61126001,1,11,111,6112600111,11,11,0,11,6,5,2,3,2,4,0,2,11,11,9,2,3,6,8,1,9,7,2,7,2,19,10,9,1,1,15,2,3786.958121,255869.1536
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61125,61125001,1,2,102,6112500102,8,8,0,8,3,5,0,4,3,1,0,0,8,8,7,1,2,6,6,1,7,4,3,5,3,17,9,8,2,3,7,5,4636.31433,476374.634
Coimbra,Arganil,Pomares,611,61101,61101001,1,1,101,6110100101,23,23,0,23,12,11,0,15,8,0,0,1,23,23,1,22,1,0,1,0,1,0,1,1,0,3,2,1,0,0,1,2,1895.590872,111972.8564
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,2,102,6110100102,34,34,0,34,13,21,0,27,7,0,0,1,34,34,6,28,0,1,6,0,6,6,0,4,0,10,4,6,0,0,2,8,689.3797671,15986.43928
Coimbra,Arganil,Pomares,611,61101,61101001,1,3,103,6110100103,12,12,0,12,7,5,0,8,3,1,0,2,12,12,4,8,0,0,4,0,4,4,0,1,0,5,3,2,0,0,1,4,2762.309099,203516.1455
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,12,112,6112600112,20,20,0,20,16,4,4,14,2,0,0,17,20,20,5,15,2,4,5,0,5,2,3,4,1,13,5,8,2,1,6,4,528.4685495,13862.11787
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,13,113,6112600113,82,82,0,82,47,35,27,45,5,5,0,48,82,82,30,52,7,14,26,1,30,15,15,25,13,75,38,37,8,9,37,21,1838.157251,167708.6743
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,14,114,6112600114,8,8,0,8,4,4,4,4,0,0,0,6,8,8,1,7,0,1,1,0,1,1,0,1,0,2,1,1,0,0,1,1,272.1189718,4146.894861
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,15,115,6112600115,21,21,0,21,8,13,13,3,5,0,0,12,21,21,4,17,0,2,4,0,4,4,0,3,0,7,4,3,0,0,6,1,167.2460384,1848.788388
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61109,61109001,1,3,103,6110900103,3,3,0,3,3,0,0,0,2,1,0,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6397.953958,1086370.865
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,25,125,6110300125,8,8,0,8,7,1,0,1,0,0,7,0,8,8,4,4,0,2,3,0,4,2,2,3,2,10,5,5,2,1,6,1,4060.441709,614443.1404
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61102,61102001,1,15,115,6110200115,18,18,0,18,16,2,0,5,6,7,0,6,23,23,10,13,4,5,7,3,10,6,4,9,2,23,14,9,0,2,11,10,2510.720533,145124.1726
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61102,61102001,1,16,116,6110200116,11,11,0,11,8,3,0,5,5,1,0,4,13,13,6,7,0,3,6,0,6,6,0,5,0,11,5,6,0,1,3,7,1812.662751,97377.23907
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,7,107,6112200107,22,22,0,22,17,5,5,4,7,4,2,1,22,22,11,11,3,10,11,0,11,5,6,9,3,27,15,12,2,2,9,14,1365.879184,93883.90952
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,8,108,6112200108,22,22,0,22,11,11,5,9,4,4,0,2,22,22,12,10,5,9,8,2,12,6,6,9,6,28,15,13,5,2,14,7,662.1842886,22682.95103
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,15,215,6112200215,11,11,0,11,11,0,4,2,5,0,0,5,11,11,3,8,1,2,3,0,3,1,2,2,2,9,6,3,1,2,6,0,2549.504496,243116.7673
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,16,216,6112200216,20,20,0,20,18,2,11,8,0,1,0,7,20,20,11,9,2,0,11,0,11,8,3,5,2,21,8,13,0,3,11,7,368.2803442,6020.806998
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,17,217,6112200217,5,5,0,5,5,0,0,1,2,0,2,1,5,5,5,0,5,3,5,0,5,3,2,4,1,12,7,5,1,1,8,2,1060.159912,53312.0412
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,18,218,6112200218,9,9,0,9,7,2,7,2,0,0,0,5,9,9,2,7,0,0,2,0,2,2,0,0,0,2,1,1,0,0,0,2,174.6624028,1690.494903
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,19,219,6112200219,16,15,0,16,12,4,0,6,8,2,0,0,18,17,9,8,4,8,7,0,9,8,1,7,0,66,24,42,0,0,8,58,1068.4569,58103.97721
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,20,220,6112200220,8,8,0,8,7,1,0,8,0,0,0,3,8,8,1,7,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,538.1548591,12052.02633
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,9,109,6110100109,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4305.793458,333652.4022
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,10,110,6110100110,13,13,0,13,6,7,0,3,9,1,0,1,13,13,3,10,1,1,3,0,3,3,0,3,0,6,3,3,0,0,0,6,888.3382215,32138.71374
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,11,111,6110100111,9,9,0,9,4,5,0,5,4,0,0,0,9,9,6,3,2,6,6,0,6,5,1,3,0,10,6,4,0,1,2,7,678.822013,13968.65812
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,17,117,6110100117,6,6,0,6,4,2,0,1,3,2,0,1,6,6,1,5,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,6854.748265,936724.1171
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,18,118,6110100118,9,9,0,9,9,0,3,1,0,4,1,3,9,9,4,5,0,0,4,0,4,4,0,1,0,5,2,3,0,0,0,5,3086.808755,182285.5263
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,40,240,6112200240,16,16,0,16,15,1,1,4,6,0,5,3,16,16,12,4,6,9,11,1,12,8,4,9,4,26,11,15,3,2,12,9,9623.011721,2585458.994
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61118,61118002,2,2,202,6111800202,8,8,0,8,8,0,1,3,2,2,0,1,8,8,2,6,2,1,2,0,2,1,1,1,0,5,3,2,0,0,5,0,1014.084231,52965.02355
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61118,61118002,2,3,203,6111800203,17,16,1,17,14,3,4,4,7,2,0,2,20,20,11,9,7,8,6,5,11,8,3,10,4,26,10,16,2,3,9,12,1232.410069,53112.75376
Coimbra,Oliveira do Hospital,Avô,611,61126,61126001,1,19,119,6112600119,12,12,0,12,5,7,2,0,8,1,1,9,12,12,4,8,3,4,4,0,4,1,3,3,1,10,6,4,1,1,8,0,3951.735219,560657.8861
Coimbra,Oliveira do Hospital,Avô,611,61126,61126001,1,20,120,6112600120,33,33,0,33,14,19,5,7,11,9,1,25,35,35,19,16,8,9,16,0,19,12,7,14,6,45,24,21,3,6,24,12,3323.420051,292354.7722
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,22,122,6112600122,26,26,0,26,13,13,11,9,5,1,0,24,26,26,7,19,1,1,6,1,7,4,3,7,2,19,7,12,2,0,5,12,340.3606166,5375.944341
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,12,112,6110100112,20,20,0,20,11,9,0,12,6,2,0,5,20,20,9,11,1,7,9,0,9,3,6,9,4,29,13,16,2,5,16,6,947.0199458,34220.87
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,13,113,6110100113,14,14,0,14,9,5,1,6,7,0,0,1,14,14,4,10,0,0,4,0,4,4,0,1,0,5,2,3,0,0,0,5,308.7319191,3060.570481
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,15,115,6110100115,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11330.24374,1616108.086
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,16,116,6110100116,12,12,0,12,10,2,0,4,8,0,0,1,12,12,9,3,0,4,8,0,9,6,3,8,1,23,10,13,0,3,14,6,1261.935161,33913.75557
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61115,61115001,1,1,101,6111500101,10,10,0,10,10,0,9,1,0,0,0,7,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4413.514918,484599.1879
Coimbra,Oliveira do Hospital,Lourosa,611,61109,61109001,1,9,109,6110900109,5,5,0,5,5,0,0,2,1,2,0,0,5,5,4,1,2,4,4,0,4,2,2,3,2,10,5,5,2,1,4,3,1489.047186,111651.2253
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,19,119,6110100119,7,7,0,7,6,1,0,2,4,1,0,1,7,7,1,6,0,0,1,0,1,1,0,1,0,2,1,1,0,0,0,2,6053.856524,864904.0059
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,22,222,6112200222,11,11,0,11,10,1,3,8,0,0,0,3,11,11,7,4,1,7,7,0,7,5,2,3,2,13,5,8,2,1,7,3,353.566194,4744.464649
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,23,223,6112200223,3,3,0,3,3,0,0,1,1,0,1,0,3,3,3,0,2,3,3,0,3,2,1,3,1,7,4,3,0,1,2,4,1510.722223,129469.6732
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,24,224,6112200224,13,12,1,13,12,1,0,7,5,1,0,0,15,15,9,6,2,6,7,0,9,5,4,8,4,23,9,14,3,2,10,8,446.3158999,11396.20189
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,25,225,6112200225,14,14,0,14,14,0,6,8,0,0,0,3,14,14,4,10,0,1,4,0,4,4,0,0,0,4,0,4,0,0,1,3,410.6871473,9716.807226
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,26,226,6112200226,26,26,0,26,24,2,2,19,4,1,0,8,26,26,7,19,3,3,7,0,7,4,3,9,2,22,10,12,3,0,10,9,630.9817326,17571.03686
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,27,227,6112200227,6,6,0,6,6,0,1,5,0,0,0,3,6,6,1,5,0,0,1,0,1,1,0,1,0,2,1,1,0,0,1,1,1049.174361,48104.96209
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,28,228,6112200228,22,22,0,22,20,2,4,16,0,0,2,11,22,22,5,17,0,2,4,1,5,4,1,3,0,9,4,5,0,0,5,4,638.1541777,20115.50935
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,29,229,6112200229,23,23,0,23,14,9,7,9,6,1,0,3,25,25,17,8,6,12,14,2,17,14,3,9,2,30,12,18,0,2,17,11,957.3134659,36795.7878
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,30,230,6112200230,14,14,0,14,12,2,5,9,0,0,0,5,14,14,6,8,2,3,6,0,6,4,2,5,2,15,9,6,2,1,8,4,366.6423523,6156.186828
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,31,231,6112200231,6,6,0,6,4,2,2,3,0,1,0,2,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802.1048169,35813.8144
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,34,234,6112200234,20,20,0,20,15,5,2,7,6,5,0,1,20,20,13,7,8,8,12,0,13,10,3,9,3,25,12,13,2,1,15,7,2711.543797,241955.7152
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,35,235,6112200235,8,8,0,8,7,1,0,4,1,1,2,0,9,9,3,6,1,3,3,0,3,1,2,4,2,11,5,6,1,2,7,1,6376.491372,1169387.404
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,36,236,6112200236,6,6,0,6,5,1,0,2,3,1,0,1,6,6,4,2,3,4,4,0,4,3,1,4,2,11,6,5,1,3,3,4,6361.389471,2259186.291
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,37,237,6112200237,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,3,1,2,0,0,3,0,6107.890467,1632402.179
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,5,105,6112200105,9,9,0,9,5,4,1,1,5,1,1,0,10,10,10,0,4,8,8,1,10,6,4,7,3,25,14,11,5,2,11,7,1720.753251,62307.29355
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,6,106,6112200106,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,2,1,6,3,3,0,1,3,2,3241.277114,346476.4366
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,38,238,6112200238,16,16,0,16,12,4,3,5,5,3,0,0,17,17,10,7,6,9,10,0,10,6,4,8,3,26,14,12,5,1,11,9,1096.191898,62667.4561
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,22,122,6110100122,15,15,0,15,14,1,5,0,5,5,0,10,15,15,4,11,0,1,1,2,4,4,0,2,0,7,2,5,0,0,4,3,729.9061984,20743.08294
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,13,113,6110300113,3,3,0,3,3,0,0,3,0,0,0,1,3,3,1,2,0,1,1,0,1,0,1,1,1,5,4,1,0,2,2,1,454.6263199,10716.19291
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,23,123,6110100123,17,17,0,17,14,3,2,6,5,4,0,2,18,18,7,11,3,2,5,2,7,6,1,2,0,10,3,7,0,0,5,5,525.8646564,5234.44868
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61118,61118002,2,4,204,6111800204,19,19,0,19,17,2,4,2,10,3,0,0,19,19,10,9,6,10,10,0,10,7,3,11,4,30,15,15,5,3,13,9,3070.009344,525506.4242
Coimbra,Oliveira do Hospital,Seixo da Beira,611,61118,61118002,2,5,205,6111800205,10,10,0,10,9,1,4,4,1,1,0,3,10,10,4,6,3,4,3,0,4,2,2,4,2,11,6,5,1,1,8,1,396.6249356,7293.39006
Coimbra,Oliveira do Hospital,Seixo da Beira,611,61118,61118002,2,6,206,6111800206,20,20,0,20,20,0,7,10,3,0,0,10,21,21,12,9,7,6,11,1,12,7,5,9,4,31,14,17,4,3,13,11,380.3067026,8811.588993
Coimbra,Oliveira do Hospital,Seixo da Beira,611,61118,61118002,2,7,207,6111800207,13,13,0,13,10,3,5,5,1,2,0,5,13,13,7,6,3,3,7,0,7,4,3,6,2,19,10,9,0,2,11,6,568.4084573,12504.5124
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,26,126,6112200126,13,13,0,13,11,2,6,1,2,4,0,1,13,13,6,7,3,2,4,0,6,5,1,3,1,11,6,5,0,1,6,4,4330.710081,651101.5147
Coimbra,Oliveira do Hospital,Seixo da Beira,611,61118,61118002,2,8,208,6111800208,28,28,0,28,28,0,8,12,6,1,1,12,28,28,19,9,7,7,16,2,19,12,7,13,7,43,22,21,8,2,21,12,1544.585593,123847.6462
Coimbra,Oliveira do Hospital,Seixo da Beira,611,61118,61118002,2,9,209,6111800209,13,13,0,13,11,2,1,2,6,4,0,1,13,13,8,5,5,8,8,0,8,3,5,8,4,25,14,11,3,3,14,5,2206.466572,270272.2406
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,27,127,6112200127,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,4220.503966,549022.8181
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,28,128,6112200128,11,11,0,11,9,2,0,4,4,3,0,1,12,12,5,7,0,2,5,0,5,3,2,3,1,11,6,5,1,1,7,2,8096.06116,1570678.69
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61118,61118002,2,10,210,6111800210,20,20,0,20,20,0,8,5,5,2,0,13,20,20,11,9,4,8,8,2,11,7,4,8,3,27,15,12,1,4,14,8,3984.893507,787990.7269
Coimbra,Oliveira do Hospital,Seixo da Beira,611,61118,61118002,2,11,211,6111800211,11,10,1,11,11,0,0,1,9,0,1,2,15,15,11,4,4,9,8,3,11,1,10,13,9,40,24,16,7,7,22,4,2029.538599,70334.79287
Coimbra,Oliveira do Hospital,Lagares,611,61118,61118002,2,12,212,6111800212,6,6,0,6,5,1,4,2,0,0,0,5,6,6,1,5,0,1,1,0,1,1,0,1,0,2,1,1,0,0,1,1,13598.72158,4099268.364
Coimbra,Oliveira do Hospital,Seixo da Beira,611,61118,61118002,2,13,213,6111800213,7,7,0,7,7,0,1,2,4,0,0,0,7,7,5,2,3,5,5,0,5,2,3,4,1,14,5,9,1,0,10,3,4216.556232,666216.9402
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,23,123,6112600123,9,9,0,9,1,8,1,1,5,1,1,6,10,10,7,3,1,6,7,0,7,2,5,7,3,25,12,13,1,3,17,4,1429.100261,41145.72641
Coimbra,Oliveira do Hospital,Avô,611,61126,61126001,1,24,124,6112600124,13,13,0,13,8,5,0,6,4,2,1,11,15,15,9,6,3,8,7,1,9,5,4,8,2,25,13,12,3,2,12,8,1998.783102,134044.7348
Coimbra,Arganil,Pomares,611,61103,61103001,1,1,101,6110300101,8,8,0,8,8,0,0,3,3,0,2,1,8,8,5,3,1,3,4,0,5,2,3,4,3,13,5,8,2,2,7,2,4219.036373,507131.0563
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,3,103,6112600103,11,11,0,11,9,2,1,4,3,2,1,7,11,11,5,6,3,4,5,0,5,3,2,5,1,13,6,7,2,0,8,3,1969.625041,194729.8522
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,2,102,6110300102,15,15,0,15,13,2,0,6,6,0,3,0,18,18,9,8,2,1,7,0,10,6,4,8,2,24,10,14,2,1,18,3,3704.669024,285475.2025
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,3,103,6110300103,14,14,0,14,8,6,0,10,4,0,0,0,16,16,7,9,1,1,7,0,7,4,3,4,1,15,8,7,0,2,9,4,200.1219277,1531.579698
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,4,104,6110300104,21,21,0,21,15,6,1,14,4,2,0,1,22,22,6,16,1,0,5,0,6,5,1,4,1,12,6,6,1,1,4,6,283.8033874,2312.431813
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,5,105,6110300105,37,37,0,37,18,19,0,22,9,6,0,0,38,38,12,26,0,5,10,2,12,8,4,9,2,25,12,13,0,2,10,13,371.723312,5559.188559
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,6,106,6110300106,19,19,0,19,14,5,1,12,2,4,0,0,19,19,7,12,0,1,5,2,7,2,5,6,2,19,10,9,1,3,12,3,265.6873544,2454.609402
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,7,107,6110300107,7,7,0,7,2,5,1,1,5,0,0,1,7,7,1,6,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,209.4885787,2148.746563
Coimbra,Arganil,Pomares,611,61103,61103001,1,8,108,6110300108,9,9,0,9,8,1,0,1,7,1,0,0,9,9,3,6,0,2,2,0,3,3,0,2,0,5,2,3,0,0,3,2,5515.130322,1142441.366
Coimbra,Arganil,Vila Cova de Alva e Anseriz,611,61103,61103001,1,9,109,6110300109,2,2,0,2,2,0,0,0,0,1,1,0,2,2,1,1,1,1,1,0,1,1,0,0,0,2,1,1,0,0,2,0,4299.050968,665663.4513
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,20,120,6110100120,14,14,0,14,14,0,1,1,7,4,1,2,14,14,5,9,0,3,5,0,5,4,1,2,1,9,4,5,2,0,2,5,2359.25415,193522.455
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,10,110,6110300110,31,31,0,31,21,10,4,14,6,7,0,5,33,33,9,24,1,0,8,0,9,7,2,4,3,17,9,8,1,3,7,6,351.1490248,5716.794709
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,11,111,6110300111,15,15,0,14,9,6,1,9,4,1,0,0,15,15,8,7,1,3,7,1,8,8,0,5,0,13,6,7,0,0,7,6,619.9112162,14565.56099
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,12,112,6110300112,18,18,0,18,11,7,2,8,6,2,0,0,20,20,12,8,5,6,10,1,12,11,1,7,1,23,10,13,1,4,7,11,1575.614127,113159.1329
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,5,105,6112600105,13,13,0,13,6,7,7,5,0,1,0,12,13,13,3,10,1,1,2,1,3,1,2,3,1,8,4,4,2,0,4,2,1254.333543,98410.3386
