,"Total, HM (€)","Total, H (€)","Total, M (€)","Primário
CAE: A, HM (€)","Primário
CAE: A, H (€)","Primário
CAE: A, M (€)","Secundário
CAE: B - F, HM (€)","Secundário
CAE: B - F, H (€)","Secundário
CAE: B - F, M (€)","Terciário
CAE: G - U, HM (€)","Terciário
CAE: G - U, H (€)","Terciário
CAE: G - U, M (€)"
Arronches,949.8,931.07,970.24,930.84,935.26,881.56,844.13,845.16,841.92,977.91,960.96,986.88
Avis,1039.71,1126.28,936.88,961.19,955.72,980.45,1133.38,1210.39,1025.44,953.09,1133.51,849.83
Campo Maior,1347.69,1442.19,1231.03,1039.74,1022.45,1093.45,1338.49,1398.75,1235.84,1418.7,1655,1239.54
Castelo de Vide,947,997.46,911.46,899.33,917.35,…,1028.42,1043.96,952.67,927.54,972.12,909.85
Crato,910.76,927.99,894.83,844.85,855.75,793.45,836.3,841.64,827.41,958.65,1039.96,917.62
Elvas,1031.71,1094.05,955.61,997.08,1025.92,913.38,1045.45,1068.25,964.03,1036.11,1128.28,959.16
Fronteira,1010.27,1121.76,885.94,1040.05,1078.66,903.14,917.33,898.72,998.79,1015.22,1279.07,876.45
Gavião,858.18,985.14,776.32,1117.22,1208.64,751.51,916.76,938.18,812.94,815.93,972.28,774.23
Marvão,870.97,943.1,829.55,884.8,865.96,930.54,1068.97,1082.2,1010.76,837.05,887.18,819.01
Monforte,1074.15,1185.19,976.17,1015.78,1052.04,900.01,936.73,957.1,890.89,1109.45,1334.84,990.01
Nisa,885.94,937.16,856.98,770.04,783.74,709.16,914.07,985.79,759.41,892.44,964.17,870.32
Ponte de Sor,1086.13,1208.34,949.72,924.3,967.1,819.98,1195.49,1264.8,974.4,1058.67,1226.28,955.03
Portalegre,1101.81,1182.17,999.99,878.69,898.42,818.8,1312.95,1307.35,1338.91,1007.48,1084.31,952.28
Sousel,1023.29,1099.03,914.19,955.03,972.96,878.41,1072.95,1140.66,974.56,1031.39,1173,897.37
Alentejo Central,1127.29,1209.65,1032.18,1020.22,1038.53,965.04,1209.03,1245.34,1118.36,1103.18,1228.04,1015.61
Alandroal,1020.1,1100.22,915.9,909.34,921.14,866.99,1189.85,1347.33,944.02,912.05,915.67,910.4
Arraiolos,1045.33,1134.82,944.89,1217.44,1225.95,1195.45,1023.94,1051.06,960.06,974.41,1119.39,890.66
Borba,1016.04,1079.86,946.52,988.43,1011.03,936.77,1081,1122,1003.55,973.65,1052.28,923.67
Estremoz,1050.42,1109.2,985.67,1051.42,1037.26,1081.19,1052.59,1060.29,1038.17,1049.5,1150.24,965.2
Évora,1215.56,1301.8,1114.49,1098.37,1120.72,987.44,1311.67,1346.75,1223.03,1178.23,1291.42,1091.3
Montemor-o-Novo,1036.09,1104.35,950.58,953.13,977.98,893.62,1126.21,1149.43,1010.92,1023.47,1136.49,952.21
Mora,1028.81,1154.28,928.03,909.29,954.98,810.53,1103.01,1153.25,953.56,1029.31,1267.49,936.68
Mourão,1001.76,1045.96,956.42,884.32,875.07,918.23,1008.42,967.25,1136.04,1019.71,1138.49,940.91
Portel,1026.46,1128.25,937.51,1212.76,1262.17,1093.37,950.49,949.06,954.31,984.38,1154.32,912.34
Redondo,1054.99,1100.44,982.1,945.15,933.45,978,1145.06,1167.29,1083.04,1061.83,1188.02,951.14
Reguengos de Monsaraz,1059.26,1155.25,967.72,880.18,901.55,812.1,1140.91,1164.93,1074.43,1056.83,1212.33,961.39
Vendas Novas,1080.51,1184.23,972.06,867.81,889.66,796.31,1132,1210.86,1017.8,1060.73,1225.9,951.72
Viana do Alentejo,968.17,1007.44,927.71,949.2,974.13,802.54,933.33,944.73,896.98,984.69,1078.44,938.82
Vila Viçosa,1119.09,1198.74,988.64,938.77,975.57,865.17,1222.42,1227.95,1191.78,1029.97,1163.96,942.89
Algarve,1106.32,1169.41,1036.4,1079.42,1105.53,1005.97,1080.59,1088.23,1049.26,1111.77,1197.28,1036.06
Albufeira,1092.27,1155.99,1027.51,1079.61,951.16,1273.37,1160.62,1160.93,1159.02,1086.81,1158.2,1022.06
Alcoutim,925.49,981.14,889.41,927.16,939.19,898.28,840.54,835.23,854.52,940.28,1061.73,891.25
Aljezur,970.58,1009.59,932.59,1159.27,1108.52,1216.64,933,941.31,885.77,965.09,1023.12,920.32
Castro Marim,938.4,990.8,889.83,825.17,841.54,694.2,919.42,921.37,907.12,945.44,1028.05,890.31
Faro,1257.8,1353.59,1158.08,880.57,879.24,883.38,1161.58,1172.98,1120.55,1287.91,1429.86,1166.92
Lagoa,1113.22,1178.22,1034.48,1924.45,2000.09,1199.52,1008.64,1016.76,972.83,1109.56,1182.76,1037.28
Lagos,1056.61,1101.74,1007.11,1133.18,1174.11,989.91,1112.37,1124.43,1056.01,1043.47,1091.05,1003.81
Loulé,1114.22,1174.36,1041.11,1253.79,1297.84,1026.35,1113.4,1122.51,1075.49,1112.31,1186.81,1038.74
Monchique,933.36,973.2,884.8,784.44,784.55,783.38,996.87,1005.32,947.27,925.27,993.93,880.75
Olhão,1039.66,1095.66,972.2,1123.96,1193.29,989.74,1000.7,1020.97,945.77,1043.15,1121.48,975.69
Portimão,1102.08,1169.23,1032.49,1075.72,1095.2,1005.99,1043.74,1048.07,1024.47,1111.47,1204.19,1033
São Brás de Alportel,1032.38,1066.57,993.26,758.04,760.71,…,1011.78,1028.28,952.4,1043.3,1103.3,1000.9
Silves,1050.39,1087.71,999.46,957.06,963.12,940.69,1063.53,1057.52,1086.3,1054.98,1112.59,993.6
Tavira,1007.41,1046.67,965.19,1003.15,996.7,1029.09,1061.71,1050.5,1125.83,994.55,1060.3,952.19
Vila do Bispo,1010.22,1043.08,974.56,1230.11,1296.4,946.89,1106.39,1055.15,1458.71,989.99,1014.83,967.21
Vila Real de Santo António,1027.15,1112.1,940.39,1355.63,1300.53,1556.33,974.3,987.21,913.3,1028.11,1140.18,936.45
R. A. Açores,1126.12,1191.59,1040.24,1014.25,1004,1095.38,1124.22,1134.1,1080.39,1131.3,1239.43,1035.07
Santa Maria,1821.09,2142.21,1299.66,1158.07,1158.07,//,1135.93,1154.17,1021.11,2018.89,2596.15,1322.96
Vila do Porto,1821.09,2142.21,1299.66,1158.07,1158.07,//,1135.93,1154.17,1021.11,2018.89,2596.15,1322.96
São Miguel,1115.36,1182.17,1024.49,1002.42,984.86,1144.27,1149.57,1150.81,1144.06,1108.84,1219.61,1008.44
Lagoa (R.A.A.),980.73,990.16,964.09,884.17,895.24,771.9,1006.41,1006.78,1004.14,972.04,984.29,959.94
Nordeste,907.28,894.36,922.71,869.4,869.4,//,852.08,854.24,817.03,926.13,926.83,925.67
Ponta Delgada,1181.37,1284.57,1057.84,1048.36,1006.85,1269.57,1250.88,1242.76,1284.32,1171.04,1317.71,1037.04
Povoação,971.52,1062.22,884.34,1549.35,1568.12,…,992.06,1069.64,860.18,932.96,992.12,887.18
Ribeira Grande,1063.01,1101.2,992.17,926.16,928.57,891.39,1152.26,1164.96,1094.62,993.26,1028.97,961.38
Vila Franca do Campo,906.26,904.41,909.34,853.17,863.23,698.25,827.03,837.3,778.79,953.99,973.79,935.48
Terceira,1121.34,1137.43,1100.83,912.62,923.88,823.71,1057.43,1067.96,1001.66,1146.31,1186.33,1111.36
Angra do Heroísmo,1133.93,1129.52,1138.97,906.37,909.33,865.26,1069.48,1072.39,1053.65,1158.28,1173.67,1146.51
Vila da Praia da Vitória,1094.21,1152.09,1000.19,925.24,958.23,796.01,1034.67,1059.5,909.68,1119.41,1209.17,1013.94
Graciosa,1103.91,1178.44,993.52,883.67,885.22,…,1156.31,1208.3,862.54,1094.99,1189.39,1010.89
Santa Cruz da Graciosa,1103.91,1178.44,993.52,883.67,885.22,…,1156.31,1208.3,862.54,1094.99,1189.39,1010.89
São Jorge,1011.03,1059.36,951.54,843.49,852.56,…,1035.25,1101.04,893.96,1002.63,1038.62,969.69
Calheta (R.A.A.),942.07,972.92,911.4,795.24,795.24,//,901.5,962.02,845.37,978.01,988.58,967.33
Velas,1041.84,1092.82,972.72,858.33,871.67,…,1130.78,1158.9,997.36,1011.12,1057.11,970.45
Pico,999.88,1066.74,928.32,1283.79,1295.48,1210.51,1054.51,1072.76,991.87,963.73,1034.16,915.89
Lajes do Pico,926.16,954.25,908.51,754.3,754.3,//,931.31,903.99,968.8,931.42,1024.04,894.57
Madalena,994.21,1050.52,934.46,1378.05,1410.39,1210.51,1002.28,1027.98,913.82,958.31,998.87,930.19
São Roque do Pico,1068.04,1149.08,935.43,…,…,//,1209.42,1198.44,1307.53,1001.65,1108.29,900.62
Faial,1174.37,1273.57,1056.86,1326.77,1337.31,1267.76,1186.61,1224.22,1023.88,1169.07,1291.69,1058.67
Horta,1174.37,1273.57,1056.86,1326.77,1337.31,1267.76,1186.61,1224.22,1023.88,1169.07,1291.69,1058.67
Flores,1128.21,1283.04,952.7,919.5,992.5,…,1315.59,1364.6,1009.26,1082.72,1248.3,950.44
Lajes das Flores,1062.18,1231.65,894.98,…,//,…,1216,1266.85,910.92,1017.74,1207.64,896.64
Santa Cruz das Flores,1163.1,1307.57,986.78,992.5,992.5,//,1382.62,1429.77,1079.51,1115.07,1265.02,981.37
Corvo,1060.73,1118.16,1015.87,1284.7,1284.7,//,899.31,927.79,…,1074.2,1173.69,1026.06
Corvo,1060.73,1118.16,1015.87,1284.7,1284.7,//,899.31,927.79,…,1074.2,1173.69,1026.06
R. A. Madeira,1212.39,1286.34,1125.12,935.12,943.79,914.18,1252.22,1264.32,1180.01,1205.72,1303.71,1122.84
Calheta (R.A.M.),1230.93,1320.8,1045.5,980.43,970.23,…,1450.65,1437.43,1597.22,980.51,1015.27,958.93
Câmara de Lobos,1028.79,1061.39,974.96,953.18,938.31,972.31,1151.94,1133.14,1278.18,953,983.17,926.87
Funchal,1264.75,1350.56,1173.63,1002.49,1037.53,923.2,1318.85,1334.69,1230.6,1255.86,1356.89,1171.16
Machico,1142.01,1243.99,1011.5,884.66,905.5,832.56,1182.22,1195.35,1095.87,1123.83,1304.58,1002.74
Ponta do Sol,933.17,955.71,904.67,816.61,795.13,840.47,1026.16,1015.82,1092.89,904.54,921.74,890.45
Porto Moniz,886.52,990.07,813.07,740.91,740.91,//,1194.83,1261.61,942.59,834.82,890.25,805.91
Ribeira Brava,997.38,1033.86,955.3,//,//,//,994.12,1022.3,795.8,998.62,1043.36,968.03
Santa Cruz,1168.42,1206.51,1106.47,928.9,941.59,884.83,1083.61,1088.62,1062.54,1210.3,1283.93,1119.7
Santana,927.2,980.31,880.83,920.04,762.33,…,981.87,1034.19,788.83,905.81,936.62,890.07
São Vicente,893.75,929.89,848.29,773.76,783,767.6,916.17,933.31,819.93,886.88,930.41,853.84
Porto Santo,1323.46,1520.05,1075.97,…,…,//,1613.66,1669.29,881.91,1254.46,1450.84,1082.15
