,"Publicações, Total (N.º)","Publicações, das quais, Jornais (N.º)","Publicações, das quais, Revistas (N.º)","Publicações, das quais, Em suporte papel e eletrónico simultaneamente (N.º)","Edições, das quais, Em suporte papel e eletrónico simultaneamente (N.º)","Circulação total, Total, Em suporte papel e eletrónico simultaneamente (N.º)","Circulação total, da qual, Jornais (N.º)","Circulação total, da qual, Revistas (N.º)","Exemplares vendidos, Total, Revistas (N.º)","Exemplares vendidos, dos quais, Jornais (N.º)","Exemplares vendidos, dos quais, Revistas (N.º)"
Alcanena,1,1,0,0,…,…,…,0,…,…,0
Constância,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,1,0,1,0,…,…,0,…,…,0,…
Ferreira do Zêzere,1,1,0,0,…,…,…,0,…,…,0
Mação,1,1,0,0,…,…,…,0,…,…,0
Ourém,16,6,2,6,158,1229732,912248,…,402786,176936,…
Sardoal,0,0,0,0,0,0,0,0,0,0,0
Sertã,1,1,0,0,…,…,…,0,…,…,0
Tomar,1,0,0,0,…,…,0,0,…,0,0
Torres Novas,3,3,0,1,57,72750,72750,0,54822,54822,0
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,1,1,0,1,…,…,…,0,…,…,0
Beiras e Serra da Estrela,18,13,0,5,411,983968,959968,0,872022,869422,0
Almeida,1,1,0,0,…,…,…,0,…,…,0
Belmonte,1,1,0,0,…,…,…,0,…,…,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0,0
Covilhã,3,3,0,1,112,193200,193200,0,182863,182863,0
Figueira de Castelo Rodrigo,1,1,0,0,…,…,…,0,…,…,0
Fornos de Algodres,1,1,0,1,…,…,…,0,…,…,0
Fundão,1,1,0,1,…,…,…,0,…,…,0
Gouveia,1,0,0,0,…,…,0,0,…,0,0
Guarda,3,3,0,1,154,356848,356848,0,307078,307078,0
Manteigas,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0,0
Sabugal,1,0,0,0,…,…,0,0,…,0,0
Seia,5,2,0,1,38,55080,…,0,43830,…,0
Trancoso,0,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,379,59,269,224,5202,88639770,44562386,41859272,66455783,38955693,27235972
Alcochete,1,1,0,1,…,…,…,0,…,…,0
Almada,4,1,2,3,68,349188,…,…,302788,…,…
Amadora,3,0,2,1,65,327856,0,…,313896,0,…
Barreiro,0,0,0,0,0,0,0,0,0,0,0
Cascais,11,2,8,7,184,888048,…,596349,838498,…,586109
Lisboa,259,38,183,151,3470,66916339,39758333,26564794,47934780,34918417,12758395
Loures,6,2,4,3,41,255917,…,…,158725,…,…
Mafra,16,2,12,6,100,281831,…,167391,204176,…,140385
Moita,0,0,0,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0,0,0,0
Odivelas,1,0,0,0,…,…,0,0,…,0,0
Oeiras,40,6,32,32,860,10478644,3626314,6241330,9371169,3535643,5835526
Palmela,0,0,0,0,0,0,0,0,0,0,0
Seixal,6,0,5,1,…,…,0,…,…,0,…
Sesimbra,4,2,1,2,37,66452,…,…,14511,…,…
Setúbal,2,1,1,1,…,…,…,…,…,…,…
Sintra,21,4,16,11,291,7813395,576600,7235795,7243245,55000,7187245
Vila Franca de Xira,5,0,3,5,…,…,0,…,…,0,…
Alentejo,34,24,5,22,783,2516522,2167522,156800,2074216,1934374,139842
Alentejo Litoral,3,1,1,2,16,43600,…,…,8800,…,…
Alcácer do Sal,1,1,0,0,…,…,…,0,…,…,0
Grândola,0,0,0,0,0,0,0,0,0,0,0
Odemira,1,0,1,1,…,…,0,…,…,0,…
Santiago do Cacém,0,0,0,0,0,0,0,0,0,0,0
Sines,1,0,0,1,…,…,0,0,…,0,0
Baixo Alentejo,5,4,1,4,108,153712,…,…,75692,…,…
Aljustrel,0,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0,0
Beja,2,1,1,1,…,…,…,…,…,…,…
Castro Verde,2,2,0,2,…,…,…,0,…,…,0
Cuba,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0,0
Moura,1,1,0,1,…,…,…,0,…,…,0
Ourique,0,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,9,6,3,7,167,895990,…,…,841654,…,…
Almeirim,0,0,0,0,0,0,0,0,0,0,0
Alpiarça,1,1,0,0,…,…,…,0,…,…,0
Azambuja,1,1,0,1,…,…,…,0,…,…,0
Benavente,0,0,0,0,0,0,0,0,0,0,0
Cartaxo,2,2,0,1,…,…,…,0,…,…,0
Chamusca,0,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0,0
Santarém,5,2,3,5,127,852106,…,…,829572,…,…
Alto Alentejo,7,5,0,3,100,205200,137200,0,100400,100400,0
Alter do Chão,1,1,0,0,…,…,…,0,…,…,0
Arronches,1,1,0,1,…,…,…,0,…,…,0
Avis,0,0,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0,0
Crato,1,1,0,0,…,…,…,0,…,…,0
Elvas,2,0,0,1,…,…,0,0,…,0,0
Fronteira,0,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,1,1,0,0,…,…,…,0,…,…,0
Portalegre,1,1,0,1,…,…,…,0,…,…,0
Sousel,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,10,8,0,6,392,1218020,1123620,0,1047670,1047670,0
Alandroal,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0,0
Estremoz,1,1,0,0,…,…,…,0,…,…,0
Évora,3,3,0,3,312,1033500,1033500,0,961000,961000,0
Montemor-o-Novo,2,1,0,2,…,…,…,0,…,…,0
Mora,2,1,0,1,…,…,…,0,…,…,0
Mourão,0,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,1,1,0,0,…,…,…,0,…,…,0
Vendas Novas,1,1,0,0,…,…,…,0,…,…,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0,0
Algarve,14,9,5,8,298,900203,741662,158541,515134,488715,26419
Albufeira,1,0,1,0,…,…,0,…,…,0,…
Alcoutim,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0
Faro,1,0,1,0,…,…,0,…,…,0,…
Lagoa,5,3,2,3,119,256066,…,…,78216,…,…
Lagos,0,0,0,0,0,0,0,0,0,0,0
Loulé,1,1,0,0,…,…,…,0,…,…,0
Monchique,1,1,0,1,…,…,…,0,…,…,0
Olhão,1,1,0,0,…,…,…,0,…,…,0
Portimão,2,1,1,2,…,…,…,…,…,…,…
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0
Silves,0,0,0,0,0,0,0,0,0,0,0
Tavira,1,1,0,1,…,…,…,0,…,…,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,1,1,0,1,…,…,…,0,…,…,0
R. A. Açores,28,16,9,14,2036,4429272,4146750,270322,4063005,3942282,113723
Santa Maria,1,1,0,0,…,…,…,0,…,…,0
Vila do Porto,1,1,0,0,…,…,…,0,…,…,0
São Miguel,14,5,8,7,1183,3346060,3075992,…,3040350,2926990,…
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,12,4,7,7,…,…,…,…,…,…,…
Povoação,0,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,1,0,1,0,…,…,0,…,…,0,…
Vila Franca do Campo,1,1,0,0,…,…,…,0,…,…,0
Terceira,7,4,1,3,342,790848,…,…,737543,…,…
Angra do Heroísmo,5,3,1,2,…,…,…,…,…,…,…
Vila da Praia da Vitória,2,1,0,1,...,…,…,0,…,…,0
Graciosa,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0,0
São Jorge,1,1,0,0,…,…,…,0,…,…,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0,0
Velas,1,1,0,0,...,…,…,0,…,…,0
Pico,3,3,0,2,156,115804,115804,0,115304,115304,0
Lajes do Pico,1,1,0,0,…,…,…,0,…,…,0
Madalena,1,1,0,1,…,…,…,0,…,…,0
São Roque do Pico,1,1,0,1,…,…,…,0,…,…,0
Faial,2,2,0,2,…,…,…,0,…,…,0
Horta,2,2,0,2,…,…,…,0,…,…,0
Flores,0,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,25,5,5,22,876,3262497,3203853,38900,3155786,3148765,6321
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,4,1,2,4,…,…,…,…,…,…,…
Funchal,20,3,3,17,794,3220891,…,…,3154592,…,…
Machico,1,1,0,1,…,…,…,0,…,…,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0
