,"Despesas de capital, Total (Euros)","Despesas de capital, das quais , Património, Total (Euros)","Despesas de capital, das quais , Património, Museus (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Total (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas de capital, das quais , Artes do espetáculo, Total (Euros)","Despesas de capital, das quais , Artes do espetáculo, Música (Euros)","Despesas de capital, das quais , Artes do espetáculo, Multidisciplinares (Euros)","Despesas de capital, das quais , Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Total (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Calheta (R.A.A.),4248,0,0,0,0,0,0,0,0,0,0
Velas,131692,0,0,0,0,0,0,0,0,131692,131692
Pico,437714,40000,0,0,0,22023,0,0,0,375691,335691
Lajes do Pico,394214,0,0,0,0,22023,0,0,0,372191,332191
Madalena,3500,0,0,0,0,0,0,0,0,3500,3500
São Roque do Pico,40000,40000,0,0,0,0,0,0,0,0,0
Faial,60681,0,0,5853,0,0,0,0,0,54828,54828
Horta,60681,0,0,5853,0,0,0,0,0,54828,54828
Flores,0,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,254579,60834,59722,14139,12033,88968,0,0,1048,61157,16575
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,21704,1975,1975,2106,0,1048,0,0,1048,16575,16575
Funchal,174592,56439,56439,2634,2634,87920,0,0,0,0,0
Machico,3706,2420,1308,1286,1286,0,0,0,0,0,0
Ponta do Sol,54577,0,0,8113,8113,0,0,0,0,44582,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0
