,Museus em atividade (N.º),"Museus que cumprem os critérios de seleção, Número (N.º)","Museus que cumprem os critérios de seleção, Visitantes, Total (N.º)","Museus que cumprem os critérios de seleção, Visitantes, Visitantes escolares (N.º)","Museus que cumprem os critérios de seleção, Visitantes, Visitantes estrangeiros (N.º)","Museus que cumprem os critérios de seleção, Bens, Visitantes estrangeiros (N.º)","Galerias de arte e outros espaços de exposições temporárias, Número, Visitantes estrangeiros (N.º)","Galerias de arte e outros espaços de exposições temporárias, Exposições temporárias, Visitantes estrangeiros (N.º)","Galerias de arte e outros espaços de exposições temporárias, Obras expostas, Visitantes estrangeiros (N.º)","Galerias de arte e outros espaços de exposições temporárias, Autores/as representados/as, Visitantes estrangeiros (N.º)"
Ansião,1,1,3337,372,232,20296,1,2,74,16
Batalha,1,1,3249,179,545,840,2,3,186,3
Castanheira de Pêra,1,1,…,…,…,…,2,13,358,39
Figueiró dos Vinhos,1,1,3884,200,234,290,2,37,1963,1102
Leiria,11,8,155103,6370,20409,735896,12,47,1681,552
Marinha Grande,2,1,11347,340,1067,12192,2,9,321,21
Pedrógão Grande,0,0,0,0,0,0,1,3,94,3
Pombal,2,2,5251,455,635,4920,6,24,1048,721
Porto de Mós,2,2,…,…,…,…,3,24,625,443
Viseu Dão Lafões,21,12,…,6101,…,…,23,92,4797,948
Aguiar da Beira,0,0,0,0,0,0,1,1,30,30
Carregal do Sal,1,1,1048,371,66,2604,1,5,97,5
Castro Daire,2,1,1287,…,109,99,1,1,26,1
Mangualde,0,0,0,0,0,0,1,8,463,183
Nelas,1,0,0,0,0,0,1,6,337,16
Oliveira de Frades,1,1,347,0,18,1023,2,6,291,33
Penalva do Castelo,1,0,0,0,0,0,2,9,291,352
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,1,0,0,0,0,0,0,0,0,0
Sátão,3,0,0,0,0,0,1,10,983,10
Tondela,2,2,…,…,…,…,3,7,733,75
Vila Nova de Paiva,2,2,1814,87,53,691,2,19,734,54
Viseu,6,5,55124,4967,4962,27311,7,15,612,129
Vouzela,1,0,0,0,0,0,1,5,200,60
Beira Baixa,9,2,…,…,…,…,10,34,1362,160
Castelo Branco,3,0,0,0,0,0,4,12,871,78
Idanha-a-Nova,1,0,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0,0,0
Penamacor,2,1,3163,400,900,4720,1,2,35,2
Proença-a-Nova,2,1,…,…,…,…,4,19,428,79
Vila Velha de Ródão,1,0,0,0,0,0,1,1,28,1
Médio Tejo,25,14,89467,6472,7215,223614,22,83,2536,440
Abrantes,2,1,943,0,18,5726,1,3,166,35
Alcanena,2,1,138,0,5,10309,4,23,789,92
Constância,2,2,…,…,…,…,0,0,0,0
Entroncamento,1,1,31001,2822,1128,20000,2,14,370,62
Ferreira do Zêzere,0,0,0,0,0,0,1,7,113,7
Mação,1,1,1851,428,41,130452,1,3,102,3
Ourém,3,2,…,…,…,…,3,4,292,115
Sardoal,0,0,0,0,0,0,1,4,80,51
Sertã,1,0,0,0,0,0,1,7,233,25
Tomar,4,2,16062,100,5413,1461,2,4,110,4
Torres Novas,3,2,…,…,…,…,2,3,37,7
Vila de Rei,4,1,498,43,5,1443,2,6,156,34
Vila Nova da Barquinha,2,1,2984,142,102,14,2,5,88,5
Beiras e Serra da Estrela,35,15,99506,…,9251,154376,23,98,5111,784
Almeida,2,1,6588,75,1827,3176,3,5,1338,37
Belmonte,4,2,15519,1500,2572,43,0,0,0,0
Celorico da Beira,2,0,0,0,0,0,1,1,14,5
Covilhã,5,3,14498,529,1455,109166,5,28,1280,100
Figueira de Castelo Rodrigo,1,0,0,0,0,0,0,0,0,0
Fornos de Algodres,1,0,0,0,0,0,0,0,0,0
Fundão,6,1,1480,312,96,22712,1,2,54,43
Gouveia,3,1,2108,650,57,912,1,2,47,43
Guarda,2,2,8159,750,803,5337,3,23,986,175
Manteigas,0,0,0,0,0,0,1,3,130,33
Mêda,0,0,0,0,0,0,1,3,92,34
Pinhel,2,0,0,0,0,0,1,3,267,3
Sabugal,3,1,5019,40,1102,468,1,4,72,12
Seia,3,3,40407,897,571,12364,5,24,831,299
Trancoso,1,1,5728,…,768,198,0,0,0,0
A. M. Lisboa,111,86,2884040,165534,1338383,13681858,226,1213,56382,12538
Alcochete,1,1,…,197,1,16103,3,14,420,165
Almada,3,2,3536,997,182,34196,10,66,4062,2172
Amadora,2,2,2512,448,0,68083,4,18,747,192
Barreiro,0,0,0,0,0,0,3,4,44,5
Cascais,9,8,55416,7539,18645,196801,18,76,2773,628
Lisboa,55,44,1643471,102805,619339,10220102,132,730,37797,6928
Loures,4,3,3786,553,…,605814,4,12,284,122
Mafra,5,1,108517,2980,25059,94576,1,19,491,130
Moita,0,0,0,0,0,0,2,2,29,19
Montijo,3,1,1335,…,12,5996,3,9,252,36
Odivelas,0,0,0,0,0,0,2,7,162,21
Oeiras,1,1,1713,1158,40,…,4,6,321,23
Palmela,2,2,…,…,…,…,5,11,307,41
Seixal,1,1,10904,4306,0,181511,3,9,216,56
Sesimbra,1,1,116838,301,42492,4297,1,73,2301,1076
Setúbal,4,4,57534,3595,18224,1481670,9,87,2146,227
Sintra,14,11,819989,13384,614012,336793,12,27,1446,236
Vila Franca de Xira,6,4,16708,5081,214,179689,10,43,2584,461
Alentejo,87,55,333827,22328,97121,718405,112,431,13247,3422
Alentejo Litoral,9,4,10136,807,1912,31950,9,30,1133,220
Alcácer do Sal,3,0,0,0,0,0,2,3,130,52
Grândola,3,2,…,…,…,…,2,7,228,7
Odemira,0,0,0,0,0,0,0,0,0,0
Santiago do Cacém,2,1,…,0,…,22125,4,16,583,121
Sines,1,1,4007,…,1038,…,1,4,192,40
Baixo Alentejo,21,13,44441,3722,11034,75143,23,127,3184,763
Aljustrel,1,1,937,0,23,1823,2,8,335,136
Almodôvar,2,2,3987,0,67,352,2,29,357,77
Alvito,1,0,0,0,0,0,1,4,84,21
Barrancos,1,1,321,16,74,1527,2,2,260,28
Beja,6,1,1200,1000,100,3500,2,9,447,9
Castro Verde,3,2,…,…,…,…,3,29,714,392
Cuba,1,1,…,…,…,…,2,10,182,16
Ferreira do Alentejo,1,1,2555,1059,5,36376,2,9,134,24
Mértola,1,1,20184,0,8497,1620,2,10,267,41
Moura,1,1,5539,651,568,2685,2,4,93,6
Ourique,0,0,0,0,0,0,0,0,0,0
Serpa,2,1,4261,88,1365,306,1,7,150,7
Vidigueira,1,1,1550,126,88,4416,2,6,161,6
Lezíria do Tejo,10,8,20797,3285,3135,425144,18,75,2291,954
Almeirim,1,1,1500,1300,…,…,3,18,572,233
Alpiarça,1,1,3837,409,252,62001,1,6,228,127
Azambuja,0,0,0,0,0,0,1,1,15,1
Benavente,1,0,0,0,0,0,1,1,62,2
Cartaxo,1,1,…,0,27,3683,1,2,44,3
Chamusca,0,0,0,0,0,0,1,7,164,18
Coruche,1,1,4228,…,126,336064,1,3,75,3
Golegã,2,2,2636,630,154,13230,3,11,524,377
Rio Maior,0,0,0,0,0,0,1,6,116,19
Salvaterra de Magos,0,0,0,0,0,0,4,17,434,167
Santarém,3,2,…,…,…,…,1,3,57,4
Alto Alentejo,24,15,66990,4672,14484,54200,23,87,2658,514
Alter do Chão,1,0,0,0,0,0,0,0,0,0
Arronches,1,1,1000,59,60,5500,0,0,0,0
Avis,2,1,920,…,…,2843,1,5,177,30
Campo Maior,4,1,…,…,…,…,1,3,101,81
Castelo de Vide,1,0,0,0,0,0,1,1,8,1
Crato,1,1,…,…,…,…,1,4,100,6
Elvas,4,4,29345,1516,9731,10085,4,16,656,202
Fronteira,1,0,0,0,0,0,0,0,0,0
Gavião,1,1,5236,0,54,98,1,2,34,2
Marvão,1,1,4952,90,1043,7310,2,3,87,3
Monforte,1,0,0,0,0,0,2,2,182,2
Nisa,2,1,4407,148,169,1114,1,1,64,1
Ponte de Sor,0,0,0,0,0,0,1,14,403,29
Portalegre,3,3,11665,675,2485,17375,6,29,667,84
Sousel,1,1,662,154,26,1486,2,7,179,73
Alentejo Central,23,15,191463,9842,66556,131968,39,112,3981,971
Alandroal,0,0,0,0,0,0,1,1,47,1
Arraiolos,1,1,6687,234,1105,390,2,4,64,16
Borba,2,0,0,0,0,0,1,1,30,1
Estremoz,2,1,…,…,…,…,2,12,263,185
Évora,4,3,133399,5302,62690,7495,15,46,1704,634
Montemor-o-Novo,2,2,…,…,…,…,5,11,420,16
Mora,2,1,4334,89,86,546,2,9,699,11
Mourão,1,1,7163,598,87,21490,2,7,131,12
Portel,1,0,0,0,0,0,4,8,225,75
Redondo,3,3,246,0,47,661,0,0,0,0
Reguengos de Monsaraz,1,0,0,0,0,0,2,5,125,5
Vendas Novas,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,1,5,163,12
Vila Viçosa,4,3,30346,527,612,…,2,3,110,3
Algarve,24,15,237364,8028,153021,695720,40,214,7050,1386
Albufeira,1,1,3003,374,2020,4228,3,15,471,59
Alcoutim,1,1,11045,150,5899,2419,1,9,347,71
Aljezur,3,1,707,10,546,258,2,8,290,29
Castro Marim,1,0,0,0,0,0,0,0,0,0
Faro,4,2,14876,2965,8554,15285,5,30,663,174
Lagoa,0,0,0,0,0,0,3,12,477,66
Lagos,2,2,…,…,…,…,2,10,459,194
Loulé,2,2,…,…,…,…,6,36,1414,251
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,1,1,1465,523,942,1468,1,5,336,13
Portimão,1,1,25617,713,7056,80667,2,22,657,108
São Brás de Alportel,2,1,…,…,…,…,4,21,505,47
Silves,3,2,17512,304,14774,7616,3,3,144,22
Tavira,3,1,28943,24,20617,4253,3,13,349,60
Vila do Bispo,0,0,0,0,0,0,1,4,62,49
Vila Real de Santo António,0,0,0,0,0,0,4,26,876,243
R. A. Açores,34,18,197719.99999999997,15615,61990,300980.99999999994,24,185.99999999999997,5092,757
Santa Maria,1,1,3051,674,225,2277,2,12,328,12
Vila do Porto,1,1,3051,674,225,2277,2,12,328,12
São Miguel,17,8,65783,7587.000000000002,16950,179376,13,73,2210,308.00000000000006
Lagoa (R.A.A.),4,2,…,…,…,…,2,4,70,4
Nordeste,1,0,0,0,0,0,0,0,0,0
Ponta Delgada,3,2,53899,3495,13781,154699,5,34,1116,116
Povoação,1,0,0,0,0,0,0,0,0,0
Ribeira Grande,7,3,4089,690,1787,…,4,27,718,170
Vila Franca do Campo,1,1,…,…,…,12023,2,8,306,18
Terceira,5,1,15459,1652,2674,45520,3,64,1263,270
Angra do Heroísmo,3,1,15459,1652,2674,45520,2,56,938,63
Vila da Praia da Vitória,2,0,0,0,0,0,1,8,325,207
Graciosa,1,1,5176,2544,407,13646,1,20,493,20
Santa Cruz da Graciosa,1,1,5176,2544,407,13646,1,20,493,20
São Jorge,2,1,4407,842,1183,13000,1,4,438,4
Calheta (R.A.A.),1,1,4407,842,1183,13000,1,4,438,4
Velas,1,0,0,0,0,0,0,0,0,0
Pico,3,1,48906,221,15238,8503,1,5,103,11
Lajes do Pico,1,1,48906,221,15238,8503,1,5,103,11
Madalena,1,0,0,0,0,0,0,0,0,0
São Roque do Pico,1,0,0,0,0,0,0,0,0,0
Faial,4,4,49062,1895,22213,35261,2,7,242,131
Horta,4,4,49062,1895,22213,35261,2,7,242,131
Flores,1,1,5876,200,3100,3398,1,1,15,1
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,1,1,5876,200,3100,3398,1,1,15,1
Corvo,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,27,17,187063.99999999997,10172,133536,102246,34,154.00000000000003,3753.0000000000005,1027.9999999999998
Calheta (R.A.M.),2,0,0,0,0,0,1,2,120,2
Câmara de Lobos,1,1,3090,254,197,75,5,42,514,116
Funchal,16,11,154944,7607.999999999998,117584.99999999997,94189,19,71,1615.0000000000002,398
Machico,2,2,14062,328,9252,493,3,6,102,54
Ponta do Sol,0,0,0,0,0,0,2,11,328,245
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,1,1,4212,1029,1842,5690,1,5,483,32
Santa Cruz,0,0,0,0,0,0,1,6,177,6
Santana,1,0,0,0,0,0,1,10,404,173
São Vicente,2,1,704,61,265,531,0,0,0,0
Porto Santo,2,1,10052,892,4395,1268,1,1,10,2
