,"Nurses per 1 000 inhabitants , No., 2020","Medical doctors per 1 000 inhabitants, No., 2020","Pharmacies and mobile medicine depots per 1000 inhabitants, No., 2020","Hospitalisations in hospitals per 1 000 inhabitants , No., 2019 Po","Surgeries (except minor surgeries) per day in hospitals, No., 2019 Po","Medical appointments in hospitals per inhabitant, No., 2019 Po","Beds (practised allotment) per 1 000 inhabitants in hospitals, No., 2019 Po","Annual bed-occupancy rate in hospitals, %, 2019 Po"
Felgueiras,3.6,2.3,0.2,…,…,…,…,…
Lousada,3.5,1.4,0.2,0,0,0,0,//
Marco de Canaveses,3.3,1.7,0.2,…,…,…,…,…
Paços de Ferreira,3.9,2.3,0.2,0,0,0,0,//
Penafiel,11.3,2.6,0.2,301.3,75.5,4.6,6.9,96.6
Resende,2.6,2,0.3,0,0,0,0,//
Douro,8.2,3.5,0.4,…,…,…,…,…
Alijó,4.9,1,0.8,0,0,0,0,//
Armamar,3.5,0.9,0.3,0,0,0,0,//
Carrazeda de Ansiães,4.5,1.1,0.4,0,0,0,0,//
Freixo de Espada à Cinta,5.2,1.2,0.3,0,0,0,0,//
Lamego,7.1,4.5,0.5,0,0,0,0,//
Mesão Frio,3,2.8,0.8,0,0,0,0,//
Moimenta da Beira,4.1,2.5,0.3,0,0,0,0,//
Murça,8,1.5,0.4,0,0,0,0,//
Penedono,4.3,1.2,0.4,0,0,0,0,//
Peso da Régua,6.5,2.6,0.4,0,0,0,0,//
Sabrosa,4.4,1.2,0.3,0,0,0,0,//
Santa Marta de Penaguião,2.7,1.2,0.3,0,0,0,0,//
São João da Pesqueira,2.4,1.5,0.4,0,0,0,0,//
Sernancelhe,3,1.5,0.4,0,0,0,0,//
Tabuaço,2.3,0.8,0.5,0,0,0,0,//
Tarouca,2.6,2.1,0.3,0,0,0,0,//
Torre de Moncorvo,3.9,1.7,0.4,0,0,0,0,//
Vila Nova de Foz Côa,3.9,2.2,0.6,0,0,0,0,//
Vila Real,18,7.2,0.3,…,…,…,…,…
Terras de Trás-os-Montes,11,3.7,0.3,…,…,…,…,…
Alfândega da Fé,6.2,2,0.4,0,0,0,0,//
Bragança,19.1,5.7,0.3,326.4,19.2,3,12.4,70.5
Macedo de Cavaleiros,10.7,2.8,0.3,0,0,0,0,//
Miranda do Douro,5,2,0.3,0,0,0,0,//
Mirandela,8.4,4.3,0.3,…,…,…,…,…
Mogadouro,5.6,2.3,0.4,0,0,0,0,//
Vila Flor,4.5,1.5,0.3,0,0,0,0,//
Vimioso,8.1,1.7,0.8,0,0,0,0,//
Vinhais,4.5,1.4,0.5,0,0,0,0,//
Centro,7.7,5.3,0.4,102.5,529.1,1.6,3.2,77.2
Oeste,3.7,2.3,0.3,44,33.6,0.8,1.3,66.3
Alcobaça,3.3,1.5,0.3,0,0,0,0,//
Alenquer,2,1.7,0.3,0,0,0,0,//
Arruda dos Vinhos,2.3,2.6,0.1,0,0,0,0,//
Bombarral,2.4,1.8,0.3,0,0,0,0,//
Cadaval,2.3,0.7,0.4,0,0,0,0,//
Caldas da Rainha,6.1,4.1,0.3,…,…,…,…,…
Lourinhã,2,1.8,0.2,0,0,0,0,//
Nazaré,2,1.7,0.4,…,…,…,…,…
Óbidos,1.7,1.3,0.4,0,0,0,0,//
Peniche,2.4,1.8,0.3,0,0,0,0,//
Sobral de Monte Agraço,1.8,1.9,0.3,0,0,0,0,//
Torres Vedras,5.7,2.9,0.3,…,…,…,…,…
Região de Aveiro,5.1,3.8,0.3,60.2,58.5,1.1,1.5,78.9
Águeda,3.9,2.8,0.3,0,0,0,0,//
Albergaria-a-Velha,3.1,2.9,0.4,0,0,0,0,//
Anadia,4.3,3.4,0.5,…,…,…,…,…
Aveiro,11.5,6.5,0.3,…,…,…,…,…
Estarreja,3.4,2.3,0.2,0,0,0,0,//
Ílhavo,2.1,3.5,0.2,0,0,0,0,//
Murtosa,2.6,1.9,0.4,0,0,0,0,//
Oliveira do Bairro,2.8,2.5,0.3,…,…,…,…,…
Ovar,3.7,3.9,0.3,12.6,4.5,0.6,0.9,38.9
Sever do Vouga,3.3,1.9,0.4,0,0,0,0,//
Vagos,3,2.7,0.3,0,0,0,0,//
Região de Coimbra,15.1,13.3,0.4,215,211.8,3.2,7,75.8
Arganil,4.2,1.1,0.4,0,0,0,0,//
Cantanhede,7.2,3.5,0.5,14.3,1.9,0.7,2.9,71.7
Coimbra,35.8,35.4,0.4,…,…,…,…,…
Condeixa-a-Nova,8.5,5.8,0.3,…,…,…,…,…
Figueira da Foz,6.8,6.6,0.4,100.6,24.8,1.6,2.6,74.9
Góis,5.3,0.5,0.8,0,0,0,0,//
Lousã,4.3,1.9,0.2,0,0,0,0,//
Mealhada,4.2,3.4,0.3,…,…,…,…,…
Mira,4.8,4,0.5,0,0,0,0,//
Miranda do Corvo,5.7,2.6,0.2,0,0,0,0,//
Montemor-o-Velho,5.9,2.5,0.4,0,0,0,0,//
Mortágua,4.5,3.3,0.5,0,0,0,0,//
Oliveira do Hospital,3.9,2,0.4,…,…,…,…,…
Pampilhosa da Serra,2.7,0.5,0.5,0,0,0,0,//
Penacova,7.1,1.4,0.5,0,0,0,0,//
Penela,8,2.4,0.4,0,0,0,0,//
Soure,5.2,2,0.5,0,0,0,0,//
Tábua,4.2,1.8,0.4,0,0,0,0,//
Vila Nova de Poiares,3,0.9,0.3,0,0,0,0,//
Região de Leiria,5.4,2.9,0.3,97.2,62.8,1.8,2.5,75.6
Alvaiázere,3.9,1.5,0.6,…,…,…,…,…
Ansião,3.5,1.4,0.4,…,…,…,…,…
Batalha,3.2,1.7,0.3,0,0,0,0,//
Castanheira de Pêra,1.9,0.4,0.4,0,0,0,0,//
Figueiró dos Vinhos,3.1,2.2,0.9,0,0,0,0,//
Leiria,8.3,4.4,0.3,…,…,…,…,…
Marinha Grande,2.5,1.3,0.2,…,…,…,…,…
Pedrógão Grande,5.6,0.9,0.3,0,0,0,0,//
Pombal,3.9,2.3,0.4,0,0,0,0,//
Porto de Mós,2.1,1.4,0.4,0,0,0,0,//
Viseu Dão Lafões,8,4.7,0.4,…,…,…,…,…
Aguiar da Beira,5.6,1.7,0.4,0,0,0,0,//
Carregal do Sal,3.5,1.6,0.4,0,0,0,0,//
Castro Daire,3.6,1.5,0.4,0,0,0,0,//
Mangualde,3.2,2.4,0.4,0,0,0,0,//
Nelas,3.8,3.1,0.5,0,0,0,0,//
Oliveira de Frades,2.6,1.8,0.3,0,0,0,0,//
Penalva do Castelo,4.5,2,0.3,0,0,0,0,//
Santa Comba Dão,3.9,2.7,0.4,0,0,0,0,//
São Pedro do Sul,4.1,4.2,0.6,0,0,0,0,//
Sátão,5.4,2.2,0.3,0,0,0,0,//
Tondela,5.7,2.6,0.5,0,0,0,0,//
Vila Nova de Paiva,4.3,1.3,0.2,0,0,0,0,//
Viseu,13.8,8.4,0.3,…,…,…,…,…
Vouzela,5.6,1.6,0.4,0,0,0,0,//
Beira Baixa,8.5,3.7,0.5,99,18.4,1.1,2.8,70.9
Castelo Branco,11,5,0.3,153,18.4,1.7,4.3,70.9
Idanha-a-Nova,5.4,1,1,0,0,0,0,//
Oleiros,3,0.8,0.6,0,0,0,0,//
Penamacor,2.8,1.3,1.1,0,0,0,0,//
Proença-a-Nova,4.8,1.9,0.3,0,0,0,0,//
Vila Velha de Ródão,1.6,1.6,0.3,0,0,0,0,//
Médio Tejo,5.7,2.5,0.4,…,…,…,…,…
Abrantes,7.2,3.1,0.4,0,0,0,0,//
Alcanena,2.3,1.7,0.4,…,…,…,…,…
Constância,8.6,1.2,0.7,1.2,0,1.3,5.2,0.1
Entroncamento,4.2,3.7,0.2,…,…,…,…,…
Ferreira do Zêzere,1.5,0.8,0.5,0,0,0,0,//
Mação,2.4,0.8,0.8,0,0,0,0,//
Ourém,2.8,1.5,0.5,0,0,0,0,//
Sardoal,4.6,2.4,0.5,0,0,0,0,//
Sertã,3.4,1.3,0.3,0,0,0,0,//
Tomar,5.6,3.1,0.4,434.5,29.7,5,11.1,91.6
Torres Novas,12.7,3.7,0.3,0,0,0,0,//
Vila de Rei,6,1.2,0.3,0,0,0,0,//
Vila Nova da Barquinha,3.7,1.5,0.4,0,0,0,0,//
Beiras e Serra da Estrela,8.6,4,0.5,…,…,…,…,…
Almeida,4.3,2.7,0.3,0,0,0,0,//
Belmonte,4.1,1.4,0.3,0,0,0,0,//
Celorico da Beira,3,0.9,0.6,0,0,0,0,//
Covilhã,11.3,5.3,0.5,218.2,21.7,3.1,6.5,79.9
Figueira de Castelo Rodrigo,4.7,2.1,0.5,0,0,0,0,//
Fornos de Algodres,3.7,3.3,0.4,0,0,0,0,//
Fundão,4.1,2.6,0.4,0,0,0,0,//
Gouveia,4.5,2.3,0.6,0,0,0,0,//
Guarda,18.3,7.7,0.3,…,…,…,…,…
Manteigas,6.4,2.3,0.7,0,0,0,0,//
Mêda,4.8,2,0.2,0,0,0,0,//
Pinhel,5.1,2.3,0.6,0,0,0,0,//
Sabugal,2.9,1.3,0.9,0,0,0,0,//
Seia,6.8,3,0.5,0,0,0,0,//
Trancoso,3.8,2.7,0.7,0,0,0,0,//
A. M. Lisboa,7.5,6.8,0.3,123.8,843.2,2.4,3.9,80.2
Alcochete,1.6,3.2,0.3,0,0,0,0,//
Almada,7.8,4.8,0.3,125.1,46.5,1.8,3.4,93.2
Amadora,6.9,3.2,0.2,…,…,…,…,…
Barreiro,10.2,3.6,0.3,180.8,22.4,2.4,5.2,83.5
Cascais,4.8,7.8,0.2,137.1,52.1,2.1,2.9,85.7
Lisboa,20.9,19.3,0.5,389.4,515.9,8.7,11.2,75.2
Loures,3.9,3.3,0.2,…,…,…,…,…
Mafra,2.6,2.6,0.2,0,0,0,0,//
Moita,2.4,1.2,0.2,0,0,0,0,//
Montijo,3.2,2.6,0.2,0,0,0,0,//
Odivelas,2.4,3.1,0.2,0,0,0,0,//
Oeiras,4.6,10.2,0.3,…,…,…,…,…
Palmela,2.6,3.4,0.2,0,0,0,0,//
Seixal,3.2,2.4,0.2,0,0,0,0,//
Sesimbra,2.6,2,0.2,0,0,0,0,//
Setúbal,10.1,5.3,0.3,…,…,…,…,…
Sintra,2.7,2.7,0.2,5.5,0,0,3,90.8
Vila Franca de Xira,5.3,1.9,0.2,107.4,34.5,1.2,2.2,101.8
Alentejo,6.6,3.2,0.5,78,129.2,1.1,2.1,83.4
Alentejo Litoral,4.8,2.1,0.4,50.4,12.8,0.8,1.2,90.1
Alcácer do Sal,2.9,0.9,0.4,0,0,0,0,//
Grândola,2.1,1.4,0.3,0,0,0,0,//
Odemira,2.4,1.3,0.5,0,0,0,0,//
Santiago do Cacém,10.2,3.3,0.4,163.7,12.8,2.5,4,90.1
Sines,2.3,2.9,0.2,0,0,0,0,//
Baixo Alentejo,7.7,2.8,0.5,69.8,14.1,0.8,1.8,76.7
Aljustrel,3.8,1.5,0.5,0,0,0,0,//
Almodôvar,4.5,1.8,0.5,0,0,0,0,//
Alvito,2.8,2.4,0.8,0,0,0,0,//
Barrancos,2.5,0.6,0.6,0,0,0,0,//
Beja,17.2,6,0.4,242.1,14.1,2.7,6.4,76.7
Castro Verde,5.2,1,0.4,0,0,0,0,//
Cuba,5.7,2,0.7,0,0,0,0,//
Ferreira do Alentejo,3.1,1,0.8,0,0,0,0,//
Mértola,2.6,1,0.3,0,0,0,0,//
Moura,3.6,1.9,0.8,0,0,0,0,//
Ourique,2.9,1.3,1.1,0,0,0,0,//
Serpa,4.3,1.5,0.4,0,0,0,0,//
Vidigueira,3.5,1.6,0.4,0,0,0,0,//
Lezíria do Tejo,5.3,2.8,0.4,…,…,…,…,…
Almeirim,2.6,2.1,0.3,0,0,0,0,//
Alpiarça,2,1.4,0.4,0,0,0,0,//
Azambuja,1.8,1,0.3,0,0,0,0,//
Benavente,2.5,1.5,0.2,0,0,0,0,//
Cartaxo,2.6,2.3,0.3,0,0,0,0,//
Chamusca,4.1,1.2,1,0,0,0,0,//
Coruche,3,1.9,0.3,0,0,0,0,//
Golegã,4,1.7,0.6,0,0,0,0,//
Rio Maior,2.3,1.9,0.2,0,0,0,0,//
Salvaterra de Magos,1.4,1.5,0.4,0,0,0,0,//
Santarém,14.3,6.2,0.5,…,…,…,…,…
Alto Alentejo,8.6,3.9,0.7,…,…,…,…,…
Alter do Chão,3.8,1.6,1.3,0,0,0,0,//
Arronches,6.5,1.8,1.1,0,0,0,0,//
Avis,2.4,1.2,1.2,0,0,0,0,//
Campo Maior,4.1,6.7,0.4,0,0,0,0,//
Castelo de Vide,5.5,3.8,1,0,0,0,0,//
Crato,3.9,1.6,1.6,0,0,0,0,//
Elvas,7.6,7.2,0.5,0,0,0,0,//
Fronteira,4.4,2,1,0,0,0,0,//
Gavião,3.5,0.6,1.3,0,0,0,0,//
Marvão,4.4,2.3,1,0,0,0,0,//
Monforte,7.8,2.4,1.4,…,…,…,…,…
Nisa,3.7,1.3,0.8,0,0,0,0,//
Ponte de Sor,3.6,1.8,0.5,0,0,0,0,//
Portalegre,21.9,5.4,0.6,343.9,16.7,4.6,11,81.6
Sousel,3.7,0.9,0.9,0,0,0,0,//
Alentejo Central,7.7,4.4,0.6,…,…,…,…,…
Alandroal,3.5,1.6,0.8,0,0,0,0,//
Arraiolos,3.1,1.3,0.9,0,0,0,0,//
Borba,3.6,1.8,0.6,0,0,0,0,//
Estremoz,3.6,2.7,0.6,0,0,0,0,//
Évora,15.6,9.5,0.4,…,…,…,…,…
Montemor-o-Novo,4.3,1.8,0.7,…,…,…,…,…
Mora,5,1.4,1.2,0,0,0,0,//
Mourão,1.2,0.4,2.1,0,0,0,0,//
Portel,2.8,1,0.3,0,0,0,0,//
Redondo,2.9,0.9,0.5,0,0,0,0,//
Reguengos de Monsaraz,3.3,1.3,0.5,0,0,0,0,//
Vendas Novas,2.1,1.7,0.4,0,0,0,0,//
Viana do Alentejo,4.3,1.2,0.8,0,0,0,0,//
Vila Viçosa,4.2,2.5,0.7,0,0,0,0,//
Algarve,6.4,4.3,0.3,101.1,95.2,1.5,2.8,81.3
Albufeira,2.3,2.3,0.2,…,…,…,…,…
Alcoutim,2.4,3.7,1,0,0,0,0,//
Aljezur,2.7,2.3,0.5,0,0,0,0,//
Castro Marim,3.2,2.1,0.3,0,0,0,0,//
Faro,19.7,11.1,0.3,…,…,…,…,…
Lagoa,2.9,3.6,0.4,0,0,0,0,//
Lagos,4.1,3.5,0.3,…,…,…,…,…
Loulé,2,2.8,0.2,…,…,…,…,…
Monchique,2.4,1,0.6,0,0,0,0,//
Olhão,2.8,2.4,0.2,8.3,0,0,0.3,81.2
Portimão,13.1,6.7,0.2,…,…,…,…,…
São Brás de Alportel,4.3,4.3,0.2,0,0,0,0,//
Silves,2.6,1.7,0.3,…,…,…,…,…
Tavira,3,2.9,0.5,0,0,0,0,//
Vila do Bispo,2.5,1.4,0.4,0,0,0,0,//
Vila Real de Santo António,2.6,2.3,0.3,0,0,0,0,//
R. A. Açores,9.3,3.7,0.3,126.3,39.7,1.4,6.1,82.6
Santa Maria,4.8,2.5,0.4,0,0,0,0,//
Vila do Porto,4.8,2.5,0.4,0,0,0,0,//
São Miguel,8.4,4.2,0.3,154.8,24.6,1.5,6.1,84.3
Lagoa (R.A.A.),2,2.3,0.3,0,0,0,0,//
Nordeste,3.7,1.5,0.4,0,0,0,0,//
Ponta Delgada,13.5,6.6,0.3,312.8,24.6,3.1,12.3,84.3
Povoação,4.7,1.9,0.3,0,0,0,0,//
Ribeira Grande,3.1,1.8,0.2,0,0,0,0,//
Vila Franca do Campo,5.3,1.2,0.2,0,0,0,0,//
Terceira,13,3.8,0.2,114.1,9.2,1.4,10,84.2
Angra do Heroísmo,18.4,4.5,0.3,186,9.2,2.3,16.3,84.2
Vila da Praia da Vitória,4.3,2.7,0.3,0,0,0,0,//
Graciosa,5,1,0.2,0,0,0,0,//
Santa Cruz da Graciosa,5,1,0.2,0,0,0,0,//
São Jorge,6,2.2,0.5,0,0,0,0,//
Calheta (R.A.A.),11.4,0.9,0.6,0,0,0,0,//
Velas,2.6,3,0.4,0,0,0,0,//
Pico,5.2,1.8,0.4,0,0,0,0,//
Lajes do Pico,6.5,2.7,0.4,0,0,0,0,//
Madalena,3.9,0.8,0.3,0,0,0,0,//
São Roque do Pico,5.8,2.4,0.3,0,0,0,0,//
Faial,14,3.5,0.3,216.1,5.8,3.4,6.9,58.9
Horta,14,3.5,0.3,216.1,5.8,3.4,6.9,58.9
Flores,3.9,1.4,0.6,0,0,0,0,//
Lajes das Flores,4.1,0.7,0,0,0,0,0,//
Santa Cruz das Flores,3.7,1.8,0.9,0,0,0,0,//
Corvo,0,4.3,2.1,0,0,0,0,//
Corvo,0,4.3,2.1,0,0,0,0,//
R. A. Madeira,9.4,4.7,0.3,105.3,40.3,1.2,7.4,84.6
Calheta (R.A.M.),2.7,0.8,0.4,0,0,0,0,//
Câmara de Lobos,3.7,1.5,0.2,0,0,0,0,//
Funchal,17.1,8.4,0.3,257.1,40.3,3,17.9,84.6
Machico,5.2,2.1,0.3,0,0,0,0,//
Ponta do Sol,2.5,1.4,0.2,0,0,0,0,//
Porto Moniz,6.1,3.4,0.4,0,0,0,0,//
Ribeira Brava,3.5,2.3,0.3,0,0,0,0,//
Santa Cruz,4.4,3.4,0.2,0,0,0,0,//
Santana,4.8,1,0.5,0,0,0,0,//
São Vicente,6.1,1.2,0.6,0,0,0,0,//
Porto Santo,2.7,2.1,0.2,0,0,0,0,//
