,"Ensino básico público, 3º Ciclo, Total (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico público, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário público, 3º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário público, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino secundário público, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino secundário público, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Oliveira de Frades,23,0,23,0,21,0,21,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,28,0,28,0
São Pedro do Sul,20,0,20,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0
Tondela,23,0,23,0,48,0,48,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,221,0,169,52,673,241,311,120
Vouzela,0,0,0,0,26,0,26,0
Beira Baixa,87,0,56,31,267,0,146,120
Castelo Branco,66,0,56,10,201,0,146,54
Idanha-a-Nova,21,0,0,21,66,0,0,66
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,350,0,145,205,799,0,378,414
Abrantes,114,0,17,97,183,0,15,167
Alcanena,10,0,0,10,76,0,24,50
Constância,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,28,0,0,28,57,0,21,36
Sardoal,0,0,0,0,0,0,0,0
Sertã,30,0,21,9,88,0,74,14
Tomar,149,0,88,61,358,0,207,147
Torres Novas,19,0,19,0,37,0,37,0
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,320,0,266,54,743,26,520,197
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,14,0,14,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,93,0,49,44,344,0,204,140
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,30,0,30,0,38,0,38,0
Fundão,36,0,26,10,86,0,29,57
Gouveia,5,0,5,0,17,0,17,0
Guarda,156,0,156,0,179,26,153,0
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,26,0,26,0
Sabugal,0,0,0,0,0,0,0,0
Seia,0,0,0,0,19,0,19,0
Trancoso,0,0,0,0,20,0,20,0
A. M. Lisboa,4870,0,3355,1490,12142,1753,6508,3818
Alcochete,0,0,0,0,61,0,61,0
Almada,167,0,106,61,604,228,188,188
Amadora,579,0,513,66,1276,201,740,334
Barreiro,150,0,122,26,259,0,198,61
Cascais,340,0,245,95,793,105,391,297
Lisboa,976,0,540,424,2710,527,1241,914
Loures,237,0,181,56,327,97,148,79
Mafra,65,0,38,27,274,61,161,52
Moita,154,0,104,50,331,52,123,153
Montijo,74,0,49,25,188,0,154,34
Odivelas,236,0,108,128,648,73,307,267
Oeiras,116,0,81,28,304,0,201,89
Palmela,0,0,0,0,0,0,0,0
Seixal,743,0,443,300,1146,102,665,377
Sesimbra,13,0,0,13,119,0,63,56
Setúbal,324,0,266,58,850,0,593,253
Sintra,385,0,318,66,1468,307,793,367
Vila Franca de Xira,311,0,241,67,784,0,481,297
Alentejo,1193,0,795,390,2960,87,1986,880
Alentejo Litoral,179,0,127,52,378,7,302,68
Alcácer do Sal,0,0,0,0,10,0,10,0
Grândola,44,0,33,11,74,0,45,29
Odemira,34,0,34,0,32,0,32,0
Santiago do Cacém,61,0,20,41,212,7,165,39
Sines,40,0,40,0,50,0,50,0
Baixo Alentejo,291,0,194,96,726,7,502,215
Aljustrel,30,0,0,30,77,0,0,76
Almodôvar,49,0,0,49,139,0,70,69
Alvito,0,0,0,0,0,0,0,0
Barrancos,14,0,14,0,20,0,20,0
Beja,111,0,101,9,267,0,212,54
Castro Verde,0,0,0,0,13,0,13,0
Cuba,0,0,0,0,9,0,9,0
Ferreira do Alentejo,14,0,14,0,24,0,24,0
Mértola,8,0,0,8,35,0,19,16
Moura,28,0,28,0,71,0,71,0
Ourique,0,0,0,0,0,0,0,0
Serpa,20,0,20,0,40,7,33,0
Vidigueira,17,0,17,0,31,0,31,0
Lezíria do Tejo,370,0,288,81,722,28,465,228
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,83,0,59,24,212,0,89,123
Benavente,10,0,10,0,0,0,0,0
Cartaxo,23,0,11,12,42,0,23,19
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,52,0,36,16,103,28,70,5
Salvaterra de Magos,15,0,15,0,41,0,41,0
Santarém,187,0,157,29,324,0,242,81
Alto Alentejo,133,0,83,50,574,45,405,123
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,17,0,17,0
Campo Maior,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,17,0,17,0
Crato,0,0,0,0,0,0,0,0
Elvas,57,0,43,14,195,17,133,45
Fronteira,0,0,0,0,29,0,29,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,32,0,32,0
Ponte de Sor,11,0,0,11,60,28,11,21
Portalegre,65,0,40,25,224,0,166,57
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,220,0,103,111,560,0,312,246
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,2,0,0,2,13,0,0,13
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,40,0,40,0
Évora,136,0,39,91,336,0,176,159
Montemor-o-Novo,46,0,39,7,60,0,39,20
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,14,0,14,0
Reguengos de Monsaraz,12,0,12,0,0,0,0,0
Vendas Novas,21,0,13,8,49,0,29,20
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,3,0,0,3,48,0,14,34
Algarve,515,0,206,309,1741,58,1049,629
Albufeira,43,0,0,43,137,0,60,77
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,67,0,28,39,216,0,131,83
Lagoa,0,0,0,0,0,0,0,0
Lagos,9,0,0,9,144,0,116,28
Loulé,85,0,58,27,271,38,172,60
Monchique,0,0,0,0,0,0,0,0
Olhão,56,0,15,41,193,0,138,55
Portimão,172,0,73,99,393,20,178,194
São Brás de Alportel,0,0,0,0,6,0,6,0
Silves,33,0,13,20,133,0,78,54
Tavira,0,0,0,0,92,0,92,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,50,0,19,31,156,0,78,78
R. A. Açores,435,18,15,402,498,113,156,229
Santa Maria,0,0,0,0,3,0,0,3
Vila do Porto,0,0,0,0,3,0,0,3
São Miguel,222,0,0,222,164,0,43,121
Lagoa (R.A.A.),18,0,0,18,12,0,0,12
Nordeste,0,0,0,0,4,0,0,4
Ponta Delgada,104,0,0,104,93,0,0,93
Povoação,0,0,0,0,0,0,0,0
Ribeira Grande,86,0,0,86,53,0,43,10
Vila Franca do Campo,14,0,0,14,2,0,0,2
Terceira,146,18,15,113,259,113,80,66
Angra do Heroísmo,69,0,15,54,115,0,80,35
Vila da Praia da Vitória,77,18,0,59,144,113,0,31
Graciosa,11,0,0,11,8,0,0,8
Santa Cruz da Graciosa,11,0,0,11,8,0,0,8
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,24,0,0,24,6,0,0,6
Lajes do Pico,1,0,0,1,0,0,0,0
Madalena,22,0,0,22,3,0,0,3
São Roque do Pico,1,0,0,1,3,0,0,3
Faial,23,0,0,23,53,0,33,20
Horta,23,0,0,23,53,0,33,20
Flores,9,0,0,9,1,0,0,1
Lajes das Flores,1,0,0,1,1,0,0,1
Santa Cruz das Flores,8,0,0,8,0,0,0,0
Corvo,0,0,0,0,4,0,0,4
Corvo,0,0,0,0,4,0,0,4
R. A. Madeira,692,0,383,62,1522,0,965,70
Calheta (R.A.M.),13,0,0,0,172,0,33,0
Câmara de Lobos,55,0,55,0,110,0,64,0
Funchal,455,0,205,62,814,0,572,70
Machico,109,0,63,0,114,0,114,0
Ponta do Sol,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,113,0,29,0
Santa Cruz,60,0,60,0,128,0,128,0
Santana,0,0,0,0,20,0,20,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,51,0,5,0
