,"Educação pré-escolar, Dependente do Estado (N.º)","Educação pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
A. M. Porto,11354,7343,875,8495,532,3911,725,7512,1172,19371
Arouca,94,0,0,0,0,0,0,62,0,133
Espinho,216,7,0,0,39,4,0,131,0,440
Gondomar,652,504,271,363,191,92,295,249,351,430
Maia,1015,650,0,539,0,224,0,279,0,345
Matosinhos,1413,550,207,589,0,187,0,560,0,1091
Oliveira de Azeméis,601,11,0,129,0,0,0,0,0,0
Paredes,202,168,0,220,0,95,0,276,0,360
Porto,2025,2765,255,3938,173,1938,253,3339,149,9393
Póvoa de Varzim,819,224,0,234,0,118,0,168,0,126
Santa Maria da Feira,940,163,46,263,65,110,112,212,356,416
Santo Tirso,292,223,96,255,64,124,65,262,316,518
São João da Madeira,265,56,0,98,0,31,0,79,0,266
Trofa,112,64,0,68,0,86,0,133,0,357
Vale de Cambra,49,0,0,0,0,0,0,0,0,0
Valongo,314,400,0,392,0,182,0,340,0,489
Vila do Conde,687,76,0,93,0,11,0,28,0,321
Vila Nova de Gaia,1658,1482,0,1314,0,709,0,1394,0,4686
Alto Tâmega,393,154,38,136,0,5,0,31,0,231
Boticas,22,0,0,0,0,0,0,0,0,0
Chaves,181,137,38,136,0,5,0,16,0,231
Montalegre,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,54,0,0,0,0,0,0,0,0,0
Valpaços,93,17,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,43,0,0,0,0,0,0,15,0,0
Tâmega e Sousa,1392,645,291,531,382,277,678,802,1312,1571
Amarante,109,221,216,0,382,0,678,27,1312,51
Baião,197,0,0,0,0,0,0,0,0,0
Castelo de Paiva,82,0,0,12,0,48,0,78,0,87
Celorico de Basto,23,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,59
Felgueiras,279,170,0,160,0,0,0,45,0,353
Lousada,125,88,0,174,0,111,0,154,0,180
Marco de Canaveses,40,33,0,0,0,0,0,12,0,12
Paços de Ferreira,235,115,0,182,0,88,0,250,0,319
Penafiel,302,18,75,3,0,30,0,236,0,510
Resende,0,0,0,0,0,0,0,0,0,0
Douro,1139,141,128,153,27,162,16,188,13,1020
Alijó,95,0,0,0,0,0,0,0,0,0
Armamar,0,25,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,34,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,38,0,0,0,0,0,0,0,0,0
Lamego,134,20,0,40,0,20,0,43,0,203
Mesão Frio,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,87,0,0,0,0,0,0,21,0,93
Murça,26,0,0,0,0,0,0,16,0,86
Penedono,28,0,0,0,0,0,0,0,0,0
Peso da Régua,181,28,0,0,0,0,0,0,0,0
Sabrosa,24,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,68,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,40,0,157
Sernancelhe,24,0,0,0,0,0,0,0,0,157
Tabuaço,0,0,0,0,0,0,0,0,0,0
Tarouca,45,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,7,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,53,0,0,0,0,0,0,0,0,0
Vila Real,295,68,128,113,27,142,16,68,13,324
Terras de Trás-os-Montes,821,96,54,192,0,64,0,291,0,585
Alfândega da Fé,18,0,0,0,0,0,0,0,0,0
Bragança,250,96,0,187,0,3,0,63,0,189
Macedo de Cavaleiros,111,0,0,0,0,4,0,15,0,104
Miranda do Douro,14,0,0,0,0,0,0,0,0,0
Mirandela,283,0,54,0,0,6,0,121,0,139
Mogadouro,74,0,0,5,0,51,0,92,0,153
Vila Flor,26,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0
Vinhais,45,0,0,0,0,0,0,0,0,0
Centro,17391,3870,2319,2810,4292,469,6843,2273,5130,12423
Oeste,3109,357,310,380,1140,86,2292,347,1765,1652
Alcobaça,696,81,0,71,0,3,489,47,538,68
Alenquer,235,54,0,63,0,0,0,0,0,0
Arruda dos Vinhos,124,0,0,0,480,0,760,73,548,151
Bombarral,58,0,0,0,0,0,0,0,0,0
Cadaval,61,0,0,0,0,0,0,0,0,0
Caldas da Rainha,426,62,222,41,202,0,228,0,147,350
Lourinhã,185,0,0,0,0,0,0,0,0,0
Nazaré,111,0,0,0,0,2,45,3,142,187
Óbidos,65,0,0,0,0,0,0,0,0,0
Peniche,410,0,0,0,0,0,0,44,0,45
Sobral de Monte Agraço,95,0,0,0,0,0,0,0,0,0
Torres Vedras,643,160,88,205,458,81,770,180,390,851
Região de Aveiro,3876,565,441,182,604,48,691,466,586,2049
Águeda,611,0,27,0,95,0,8,0,0,0
Albergaria-a-Velha,290,0,79,0,92,0,144,0,128,291
Anadia,293,32,183,0,159,0,190,0,129,305
Aveiro,1154,249,152,99,103,43,43,359,48,693
Estarreja,212,102,0,31,0,0,0,0,0,0
Ílhavo,319,88,0,0,0,0,0,0,0,0
Murtosa,86,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,241,0,0,0,0,0,0,0,0,107
Ovar,475,72,0,52,0,5,0,107,0,399
Sever do Vouga,37,0,0,0,0,0,0,0,0,254
Vagos,158,22,0,0,155,0,306,0,281,0
Região de Coimbra,3595,1143,462,1067,547,144,661,528,700,2340
Arganil,44,0,0,0,0,0,0,0,0,0
Cantanhede,277,50,52,0,90,0,54,19,0,250
Coimbra,1601,791,410,871,387,137,473,275,644,545
Condeixa-a-Nova,41,38,0,0,0,0,0,0,0,0
Figueira da Foz,460,179,0,190,0,3,0,74,0,442
Góis,42,0,0,0,0,0,0,0,0,0
Lousã,89,0,0,0,0,0,0,32,0,174
Mealhada,201,0,0,0,0,0,0,0,0,271
Mira,52,0,0,0,0,0,0,0,0,0
Miranda do Corvo,62,14,0,0,0,0,0,0,0,0
Montemor-o-Velho,176,38,0,0,0,3,0,81,0,170
Mortágua,0,28,0,0,0,0,0,0,0,0
Oliveira do Hospital,196,5,0,6,0,0,0,0,0,146
Pampilhosa da Serra,31,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,27,0,205
Penela,0,0,0,0,0,0,0,0,0,42
Soure,193,0,0,0,70,0,134,0,56,0
Tábua,42,0,0,0,0,0,0,0,0,47
Vila Nova de Poiares,88,0,0,0,0,1,0,20,0,48
Região de Leiria,1564,731,430,371,1096,24,1891,230,965,1880
Alvaiázere,0,0,0,0,0,0,0,0,0,87
Ansião,99,0,0,0,0,0,0,32,0,331
Batalha,143,16,0,0,13,0,34,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,32,0,0,0,0,0,0,0,0,0
Leiria,736,556,390,222,630,1,1043,24,261,463
Marinha Grande,134,79,0,118,0,22,0,84,0,345
Pedrógão Grande,24,0,0,0,0,0,0,0,0,177
Pombal,258,80,0,31,292,1,541,90,387,477
Porto de Mós,138,0,40,0,161,0,273,0,317,0
Viseu Dão Lafões,1314,452,294,206,215,92,275,312,0,1353
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0
Castro Daire,33,0,0,0,0,0,0,20,0,42
Mangualde,162,0,0,0,0,0,0,0,0,18
Nelas,126,33,0,24,0,0,0,0,0,0
Oliveira de Frades,58,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,39,0,0,0,0,0,0,0,0,0
São Pedro do Sul,65,0,0,0,0,1,0,1,0,150
Sátão,18,0,0,0,0,0,0,0,0,0
Tondela,68,8,0,1,0,0,0,57,0,376
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0
Viseu,716,411,294,181,215,91,275,194,0,593
Vouzela,29,0,0,0,0,0,0,40,0,174
Beira Baixa,692,111,162,59,0,0,0,53,0,304
Castelo Branco,571,111,162,51,0,0,0,42,0,203
Idanha-a-Nova,32,0,0,0,0,0,0,11,0,101
Oleiros,16,0,0,0,0,0,0,0,0,0
Penamacor,20,0,0,8,0,0,0,0,0,0
Proença-a-Nova,53,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0
Médio Tejo,1329,426,55,460,535,44,842,181,1036,1365
Abrantes,241,15,0,4,0,0,0,0,0,0
Alcanena,104,0,0,0,0,0,0,0,0,0
Constância,0,0,0,0,0,0,0,0,0,0
Entroncamento,114,85,0,157,0,0,0,47,0,343
Ferreira do Zêzere,28,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0
Ourém,266,43,0,64,465,4,730,17,917,548
Sardoal,0,0,0,0,0,0,0,0,0,0
Sertã,160,0,0,0,70,0,112,0,119,60
Tomar,107,118,55,53,0,0,0,0,0,135
Torres Novas,287,141,0,182,0,40,0,117,0,279
Vila de Rei,22,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,24,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,1912,85,165,85,155,31,191,156,78,1480
Almeida,0,0,0,0,0,0,0,0,0,0
Belmonte,69,0,0,0,0,0,0,0,0,0
Celorico da Beira,71,0,0,0,0,0,0,0,0,0
Covilhã,405,79,0,79,0,16,0,49,0,143
Figueira de Castelo Rodrigo,74,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0
Fundão,239,0,0,0,41,0,54,38,25,214
Gouveia,111,0,0,0,0,0,0,24,0,121
Guarda,501,0,165,6,62,13,74,24,35,553
Manteigas,17,0,0,0,0,0,0,0,0,38
Mêda,43,0,0,0,0,0,0,0,0,0
Pinhel,70,0,0,0,0,0,0,0,0,0
Sabugal,61,0,0,0,34,0,63,0,0,0
Seia,197,6,0,0,18,2,0,21,18,131
Trancoso,54,0,0,0,0,0,0,0,0,280
A. M. Lisboa,19544,23091,2557,24734,1730,10348,2673,13993,1469,22405
Alcochete,140,151,0,95,0,32,0,0,0,0
Almada,1194,1307,0,1003,0,412,0,600,0,1220
Amadora,1193,906,183,550,106,245,139,306,0,850
Barreiro,380,539,0,417,0,119,0,178,0,285
Cascais,1740,2496,217,4247,489,2004,810,2690,427,2060
Lisboa,4275,8029,1145,10782,377,5110,514,6893,357,12196
Loures,1486,881,322,818,112,344,184,506,101,519
Mafra,421,283,46,136,483,21,775,24,560,388
Moita,294,170,0,91,0,0,0,0,0,534
Montijo,346,307,11,235,0,86,0,71,0,391
Odivelas,540,927,0,565,0,170,0,282,0,189
Oeiras,1475,1805,0,1504,0,303,0,448,0,846
Palmela,357,232,14,461,0,306,0,424,0,441
Seixal,480,1409,0,919,0,410,0,520,0,615
Sesimbra,294,142,0,73,0,0,0,0,0,132
Setúbal,1148,924,0,636,0,122,0,26,0,421
Sintra,1811,2110,92,2063,0,639,0,1025,0,1127
Vila Franca de Xira,1970,473,527,139,163,25,251,0,24,191
Alentejo,5374,1078,122,637,382,227,571,715,153,3795
Alentejo Litoral,560,109,0,0,151,0,208,55,153,530
Alcácer do Sal,64,0,0,0,0,0,0,0,0,0
Grândola,83,0,0,0,0,0,0,0,0,0
Odemira,161,24,0,0,151,0,208,52,153,231
Santiago do Cacém,161,41,0,0,0,0,0,0,0,0
Sines,91,44,0,0,0,0,0,3,0,299
Baixo Alentejo,900,113,0,79,105,0,164,106,0,692
Aljustrel,75,0,0,0,0,0,0,0,0,0
Almodôvar,28,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,36,0,160
Barrancos,0,0,0,0,0,0,0,0,0,0
Beja,454,113,0,79,105,0,164,1,0,165
Castro Verde,47,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,40,0,100
Ferreira do Alentejo,49,0,0,0,0,0,0,0,0,0
Mértola,21,0,0,0,0,0,0,0,0,41
Moura,90,0,0,0,0,0,0,29,0,101
Ourique,35,0,0,0,0,0,0,0,0,0
Serpa,59,0,0,0,0,0,0,0,0,1
Vidigueira,42,0,0,0,0,0,0,0,0,124
Lezíria do Tejo,1858,394,55,206,87,10,159,203,0,1741
Almeirim,249,17,0,33,0,0,0,20,0,11
Alpiarça,64,0,0,0,0,0,0,0,0,0
Azambuja,323,41,0,0,0,0,0,0,0,0
Benavente,239,21,0,0,0,0,0,0,0,0
Cartaxo,232,10,0,0,0,0,0,0,0,0
Chamusca,23,0,0,0,0,0,0,0,0,0
Coruche,50,83,0,0,0,1,0,54,0,203
Golegã,45,0,0,0,0,0,0,0,0,0
Rio Maior,108,87,0,100,0,0,0,0,0,225
Salvaterra de Magos,135,44,0,2,0,1,0,65,0,452
Santarém,390,91,55,71,87,8,159,64,0,850
Alto Alentejo,717,213,0,135,0,104,0,136,0,248
Alter do Chão,0,0,0,0,0,0,0,0,0,0
Arronches,25,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0
Campo Maior,60,50,0,2,0,46,0,61,0,160
Castelo de Vide,24,0,0,0,0,0,0,0,0,0
Crato,28,0,0,0,0,0,0,0,0,88
Elvas,229,50,0,106,0,58,0,75,0,0
Fronteira,20,0,0,0,0,0,0,0,0,0
Gavião,12,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,82,30,0,27,0,0,0,0,0,0
Portalegre,207,83,0,0,0,0,0,0,0,0
Sousel,30,0,0,0,0,0,0,0,0,0
Alentejo Central,1339,249,67,217,39,113,40,215,0,584
Alandroal,0,0,0,0,0,0,0,0,0,0
Arraiolos,57,0,0,0,0,0,0,0,0,0
Borba,37,0,0,0,0,0,0,0,0,0
Estremoz,74,0,0,0,0,0,0,0,0,0
Évora,706,249,0,217,0,109,0,190,0,554
Montemor-o-Novo,97,0,0,0,0,0,0,0,0,0
Mora,19,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0
Portel,53,0,0,0,0,0,0,0,0,0
Redondo,21,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,56,0,0,0,0,4,0,19,0,23
Vendas Novas,113,0,67,0,39,0,40,0,0,0
Viana do Alentejo,30,0,0,0,0,0,0,6,0,7
Vila Viçosa,76,0,0,0,0,0,0,0,0,0
Algarve,3240,1853,252,1393,0,359,0,658,0,649
Albufeira,137,197,0,0,0,0,0,0,0,64
Alcoutim,28,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0
Castro Marim,73,0,0,0,0,0,0,0,0,0
Faro,752,398,176,244,0,60,0,89,0,65
Lagoa,226,108,0,126,0,78,0,125,0,69
Lagos,410,171,0,247,0,37,0,58,0,23
Loulé,245,284,0,193,0,99,0,217,0,233
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,337,136,0,100,0,56,0,80,0,0
Portimão,266,325,0,321,0,1,0,57,0,168
São Brás de Alportel,74,0,0,0,0,0,0,0,0,0
Silves,291,131,0,108,0,10,0,32,0,27
Tavira,234,103,76,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,54,0,18,0,0,0,0
Vila Real de Santo António,167,0,0,0,0,0,0,0,0,0
R. A. Açores,1959,553,0,898,0,152,0,154,0,2205
Santa Maria,10,0,0,0,0,0,0,0,0,0
Vila do Porto,10,0,0,0,0,0,0,0,0,0
São Miguel,741,521,0,688,0,109,0,154,0,1433
Lagoa (R.A.A.),56,0,0,0,0,0,0,0,0,57
Nordeste,0,0,0,0,0,0,0,0,0,54
Ponta Delgada,364,521,0,688,0,109,0,78,0,975
Povoação,26,0,0,0,0,0,0,20,0,78
Ribeira Grande,218,0,0,0,0,0,0,42,0,158
Vila Franca do Campo,77,0,0,0,0,0,0,14,0,111
Terceira,706,32,0,142,0,43,0,0,0,427
Angra do Heroísmo,608,0,0,142,0,43,0,0,0,180
Vila da Praia da Vitória,98,32,0,0,0,0,0,0,0,247
Graciosa,69,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,69,0,0,0,0,0,0,0,0,0
São Jorge,170,0,0,0,0,0,0,0,0,109
Calheta (R.A.A.),81,0,0,0,0,0,0,0,0,0
Velas,89,0,0,0,0,0,0,0,0,109
Pico,60,0,0,0,0,0,0,0,0,112
Lajes do Pico,5,0,0,0,0,0,0,0,0,0
Madalena,28,0,0,0,0,0,0,0,0,112
São Roque do Pico,27,0,0,0,0,0,0,0,0,0
Faial,171,0,0,68,0,0,0,0,0,124
Horta,171,0,0,68,0,0,0,0,0,124
Flores,22,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,22,0,0,0,0,0,0,0,0,0
Corvo,10,0,0,0,0,0,0,0,0,0
Corvo,10,0,0,0,0,0,0,0,0,0
R. A. Madeira,2648,0,2421,0,794,0,1156,0,1505,0
Calheta (R.A.M.),64,0,44,0,0,0,0,0,0,0
Câmara de Lobos,226,0,0,0,0,0,0,0,0,0
Funchal,1843,0,1938,0,794,0,1156,0,1505,0
Machico,85,0,97,0,0,0,0,0,0,0
Ponta do Sol,10,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,372,0,217,0,0,0,0,0,0,0
Santana,21,0,30,0,0,0,0,0,0,0
São Vicente,3,0,0,0,0,0,0,0,0,0
Porto Santo,24,0,95,0,0,0,0,0,0,0
