,"Proporção de casamentos entre portugueses/as e estrangeiros/as, %, 2022","População estrangeira a quem foi concedido título de residência por 100 habitantes, N.º, 2022","Idade mediana da população residente, N.º, 2022","Índice de envelhecimento, N.º, 2022","Índice de renovação da população em idade ativa, N.º, 2022","Índice de dependência de idosas/os, N.º, 2022","Índice de longevidade, N.º, 2022","Relação de masculinidade, N.º, 2022","Relação de masculinidade dos estrangeiros a quem foi concedido título de residência , N.º, 2022","Idade média das mulheres ao nascimento do primeiro filho, anos, 2022","Idade média da mulher ao primeiro casamento, anos, 2022","Idade média do homem ao primeiro casamento, anos, 2022","Esperança de vida à nascença
┴, anos, 2020-2022","Esperança de vida aos 65 anos
┴, anos, 2020-2022"
Rio Maior,3.4,1.82,46.6,178.3,79.3,38.1,50.6,95.8,194.8,x,x,x,x,x
Salvaterra de Magos,15.1,0.48,48.4,213.3,74.2,43.4,51.9,92.5,134.8,x,x,x,x,x
Santarém,13.8,1.38,48.3,205.1,71.4,43.1,52.2,90.5,159.9,x,x,x,x,x
Alto Alentejo,7.5,0.48,51.2,250,61.6,50.7,54.9,90.7,144.4,28.9,33.4,35.5,79.33,18.88
Alter do Chão,16.7,0.89,52.6,269.7,60.7,58.3,60.6,85.9,75,x,x,x,x,x
Arronches,0,0.22,52,268.2,61.1,52,62.2,95.1,500,x,x,x,x,x
Avis,14.3,0.21,52.9,287.4,61.5,57.9,53,89.1,166.7,x,x,x,x,x
Campo Maior,6.7,0.21,46.2,165.7,81.3,38.6,49.5,93.2,54.5,x,x,x,x,x
Castelo de Vide,25,0.75,54.7,373.9,59.4,61.4,57.1,90.7,118.2,x,x,x,x,x
Crato,6.3,0.15,56.9,413.7,56.5,72,60.5,89.4,150,x,x,x,x,x
Elvas,9.9,0.43,48,176.1,66.5,40,51.7,90.9,206.9,x,x,x,x,x
Fronteira,20,0.88,53,318.7,53.3,56.4,54.4,88.5,136.4,x,x,x,x,x
Gavião,14.3,0.06,59.9,579.3,43.2,81,64,90,0,x,x,x,x,x
Marvão,0,1.38,54.7,349,52,59,56.6,88.8,121.1,x,x,x,x,x
Monforte,0,0.23,49.1,202.9,76.7,48.4,60.9,88.1,133.3,x,x,x,x,x
Nisa,0,0.33,58.8,488.7,48.7,77.4,59.8,90.3,90,x,x,x,x,x
Ponte de Sor,0,0.55,51.8,258.1,56.9,50.5,53.6,93.1,223.1,x,x,x,x,x
Portalegre,3.1,0.61,50,228.1,61.4,46.7,50.5,90.7,130.5,x,x,x,x,x
Sousel,0,0.3,51.4,282.3,68.4,54.2,60.9,86.9,225,x,x,x,x,x
Alentejo Central,13,0.61,49.2,219.9,66.1,44.6,53,92.9,125.7,29.6,34.3,36,80.5,19.57
Alandroal,23.5,0.48,53.2,312.1,50.1,52.5,59.7,94.8,140,x,x,x,x,x
Arraiolos,10.7,0.31,50.2,237.8,60.9,46.2,53.2,95.7,75,x,x,x,x,x
Borba,0,0.16,51.8,241.7,52.5,47.8,56.5,95.7,150,x,x,x,x,x
Estremoz,8.9,0.31,51.3,242.2,56.8,47.8,59,90.7,129.4,x,x,x,x,x
Évora,11.5,0.83,46.9,180.4,71.8,38.2,48.2,91.3,95.2,x,x,x,x,x
Montemor-o-Novo,20.8,0.66,50.4,255.6,63.7,51.8,55.5,92.6,191.7,x,x,x,x,x
Mora,0,0.22,57,445.9,56.5,71.5,55.3,89.3,28.6,x,x,x,x,x
Mourão,0,0.84,48.9,186.2,77.9,46,52,103.7,185.7,x,x,x,x,x
Portel,18.2,0.21,49.7,232.8,69.7,46,53.2,97.4,140,x,x,x,x,x
Redondo,7.1,0.27,49.8,234.3,65.9,45.2,55,95.9,183.3,x,x,x,x,x
Reguengos de Monsaraz,18.9,0.49,49.1,208.7,64.9,43.5,51.3,94.3,140,x,x,x,x,x
Vendas Novas,11.8,1.11,49.2,239.2,80.8,50.1,55.9,93.6,225.6,x,x,x,x,x
Viana do Alentejo,22.2,0.24,48.2,196.1,70.3,41.2,55.8,91.8,225,x,x,x,x,x
Vila Viçosa,14.6,0.52,51,245.4,57.1,44.1,50.8,93.6,137.5,x,x,x,x,x
Algarve,16.7,2.8,47,177.2,70.3,38.8,47.2,95,127,29.4,34.5,36.4,79.99,19.16
Albufeira,20.7,4.39,44.4,133.7,77.2,28.3,43.2,97.3,131.4,x,x,x,x,x
Alcoutim,9.7,0.72,62.6,705,63.3,97.8,59,92.6,100,x,x,x,x,x
Aljezur,10.4,4.27,48.5,202,57.5,43.9,52.3,100.8,119.2,x,x,x,x,x
Castro Marim,29,1.51,52.6,277.1,65.7,56.6,50,97.4,143.9,x,x,x,x,x
Faro,5.5,2.27,45.7,161.9,79.2,35.2,48.1,91.4,145.3,x,x,x,x,x
Lagoa,21.7,2.35,47.4,175.2,68.1,38.2,44.4,96.2,118.8,x,x,x,x,x
Lagos,22.2,3.72,48.7,202.8,62.5,42,43.4,95.6,109.7,x,x,x,x,x
Loulé,14.4,3.28,47,172.4,67.7,38.2,48.4,94.2,114.4,x,x,x,x,x
Monchique,22,1.52,55.7,328.9,43.6,61.1,54,102,141.2,x,x,x,x,x
Olhão,11.4,1.45,46.2,162.6,74.1,37.6,46.7,95.8,129.4,x,x,x,x,x
Portimão,13.8,3.04,45.5,155.8,78.6,36.3,46.8,93.3,122.2,x,x,x,x,x
São Brás de Alportel,20.4,1.5,48,192.8,68.5,42.9,51.5,94.2,111.1,x,x,x,x,x
Silves,14.3,2.37,47.1,181.6,66,40.6,48.8,97,144.4,x,x,x,x,x
Tavira,10.7,3.02,51.2,257.4,56.9,51.6,47.1,98.6,149.1,x,x,x,x,x
Vila do Bispo,14.8,4.41,49.4,207.7,52.7,45.4,49.6,96,118.8,x,x,x,x,x
Vila Real de Santo António,9.1,2,48.2,199,70.9,44.1,44.9,93.7,144.5,x,x,x,x,x
R. A. Açores,5.8,0.37,42.7,117.2,87,24.9,42.3,95.5,98.2,29,31,33.6,78.04,17.65
Santa Maria,0,0.71,43.2,123.5,85.1,26.1,40.6,92.9,95,x,x,x,x,x
Vila do Porto,0,0.71,43.2,123.5,85.1,26.1,40.6,92.9,95,x,x,x,x,x
São Miguel,3.9,0.3039030467944144,41.1,94.5,96.9,20.9,41,95.7,92.95774647887323,x,x,x,x,x
Lagoa (R.A.A.),0.8,0.21,39.9,80.2,106.2,18.6,40.7,97.5,114.3,x,x,x,x,x
Nordeste,0,0.23,46,159.3,77,30.9,46.4,97.5,42.9,x,x,x,x,x
Ponta Delgada,8.4,0.43,42.2,109,90.8,22.4,41.5,93,88.5,x,x,x,x,x
Povoação,0,0.17,44.2,136.7,81.4,25.6,42.4,97.5,42.9,x,x,x,x,x
Ribeira Grande,1.9,0.16,37.8,60.9,115.3,16,38.6,98.4,173.7,x,x,x,x,x
Vila Franca do Campo,0,0.14,42,108.7,96.3,22.4,39.4,101.7,50,x,x,x,x,x
Terceira,7,0.28202685792196636,44.5,145.3,76.2,29.1,42,94.4,75.5813953488372,x,x,x,x,x
Angra do Heroísmo,6.8,0.3,44.6,148.8,78.7,29.5,43.5,93.9,74.1,x,x,x,x,x
Vila da Praia da Vitória,7.8,0.25,44.2,139.4,72.2,28.4,39.3,95.2,78.6,x,x,x,x,x
Graciosa,0,0.34,44.9,147.2,74.9,33.5,48,98.3,180,x,x,x,x,x
Santa Cruz da Graciosa,0,0.34,44.9,147.2,74.9,33.5,48,98.3,180,x,x,x,x,x
São Jorge,5.3,0.3307151715584952,46.4,178.6,71.2,34.2,47.8,98.6,86.66666666666667,x,x,x,x,x
Calheta (R.A.A.),0,0.14,46.7,197.4,74.2,38,51.5,96.8,25,x,x,x,x,x
Velas,6.3,0.46,46.1,165.7,69.4,31.6,44.8,100,109.1,x,x,x,x,x
Pico,14.5,0.6136051063229538,45.8,164.5,70.7,33.4,46,94.7,128.94736842105263,x,x,x,x,x
Lajes do Pico,26.7,0.55,47.9,202.2,64.7,39.2,48.1,94.3,100,x,x,x,x,x
Madalena,6.3,0.62,44.3,140.2,80.6,30,45.8,95.3,166.7,x,x,x,x,x
São Roque do Pico,20,0.69,46,169.3,61.4,32.8,43.4,93.9,109.1,x,x,x,x,x
Faial,9.4,0.93,45.6,156.1,74.7,31.3,43.4,95.1,139.3,x,x,x,x,x
Horta,9.4,0.93,45.6,156.1,74.7,31.3,43.4,95.1,139.3,x,x,x,x,x
Flores,10,0.657706605661996,45.9,168.3,71.4,29.6,43.5,102.5,64.28571428571429,x,x,x,x,x
Lajes das Flores,0,1.26,47.2,200.6,73.3,32.4,43.5,108.4,63.6,x,x,x,x,x
Santa Cruz das Flores,14.3,0.24,44.9,149,70,27.7,43.6,98.6,66.7,x,x,x,x,x
Corvo,100,0.71,44.9,141.1,84.2,26.6,41.8,105.7,50,x,x,x,x,x
Corvo,100,0.71,44.9,141.1,84.2,26.6,41.8,105.7,50,x,x,x,x,x
R. A. Madeira,11.4,0.83,46.7,165,68.8,30.8,44.7,88.7,99.1,30.2,33.4,34.9,78.77,17.95
Calheta (R.A.M.),15.8,1.92,49.6,226.1,60.9,40.9,50.2,85.7,94.4,x,x,x,x,x
Câmara de Lobos,6.5,0.29,42.4,107.3,92.3,22.5,41.1,91.6,91.8,x,x,x,x,x
Funchal,11.5,1.09,48,190.1,63.2,34.2,44.8,87,102.3,x,x,x,x,x
Machico,12.8,0.35,48.3,194.9,64.6,31.9,42.4,93.6,86.5,x,x,x,x,x
Ponta do Sol,9.1,0.95,47.3,187.9,74.6,32.8,49.3,86.8,84.1,x,x,x,x,x
Porto Moniz,8.9,0.72,52.3,329.5,58.5,48,51.8,76.4,63.6,x,x,x,x,x
Ribeira Brava,3.6,0.63,46.5,172.3,76.2,31.8,47,84.4,97.6,x,x,x,x,x
Santa Cruz,12.8,0.5,43.7,103.8,74.2,21.6,41.9,91.8,122.4,x,x,x,x,x
Santana,3.7,1.09,52.6,291.8,53.1,47.8,50.2,85,82.1,x,x,x,x,x
São Vicente,47.1,0.78,51.2,282.1,60.2,44.9,46.9,87.5,65.2,x,x,x,x,x
Porto Santo,11.1,1.1,47.2,159.2,57.4,26.9,38.8,96.1,93.3,x,x,x,x,x
