,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Recurrent education (N.º)","Public primary education, 1st cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 1st cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, of which, Recurrent education (N.º)","Public primary education, 2nd cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 2nd cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,1,0,0,1,11,0,0,11
Cinfães,0,0,0,0,3,0,0,3
Felgueiras,0,0,0,0,3,0,0,3
Lousada,0,0,0,0,19,0,15,4
Marco de Canaveses,0,0,0,0,10,0,6,4
Paços de Ferreira,27,0,27,0,47,0,47,0
Penafiel,14,0,14,0,37,0,37,0
Resende,0,0,0,0,0,0,0,0
Douro,1,0,0,1,27,0,12,15
Alijó,1,0,0,1,1,0,0,1
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,19,0,12,7
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,5,0,0,5
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,0,0,0,0,2,0,0,2
Terras de Trás-os-Montes,37,0,34,3,6,0,0,5
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,23,0,23,0,1,0,0,1
Macedo de Cavaleiros,0,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,14,0,11,3,5,0,0,4
Mogadouro,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,138,0,114,18,522,0,362,118
Oeste,8,0,2,6,57,0,34,23
Alcobaça,0,0,0,0,11,0,9,2
Alenquer,1,0,0,1,6,0,0,6
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,1,0,0,1
Cadaval,0,0,0,0,0,0,0,0
Caldas da Rainha,2,0,2,0,25,0,25,0
Lourinhã,0,0,0,0,0,0,0,0
Nazaré,0,0,0,0,0,0,0,0
Óbidos,0,0,0,0,0,0,0,0
Peniche,3,0,0,3,3,0,0,3
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,2,0,0,2,11,0,0,11
Região de Aveiro,54,0,48,0,198,0,170,3
Águeda,6,0,0,0,74,0,52,1
Albergaria-a-Velha,0,0,0,0,16,0,16,0
Anadia,0,0,0,0,16,0,16,0
Aveiro,28,0,28,0,35,0,29,2
Estarreja,12,0,12,0,0,0,0,0
Ílhavo,0,0,0,0,32,0,32,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,8,0,8,0,25,0,25,0
Sever do Vouga,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0
Região de Coimbra,4,0,0,4,79,0,20,48
Arganil,4,0,0,4,15,0,0,15
Cantanhede,0,0,0,0,6,0,0,6
Coimbra,0,0,0,0,54,0,19,24
Condeixa-a-Nova,0,0,0,0,0,0,0,0
Figueira da Foz,0,0,0,0,0,0,0,0
Góis,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,1,0,1,0
Mealhada,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,0,0,0,0,1,0,0,1
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,0,0,0,0,2,0,0,2
Tábua,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0
Região de Leiria,3,0,0,3,7,0,0,7
Alvaiázere,0,0,0,0,0,0,0,0
Ansião,0,0,0,0,0,0,0,0
Batalha,2,0,0,2,1,0,0,1
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0
Leiria,0,0,0,0,0,0,0,0
Marinha Grande,0,0,0,0,3,0,0,3
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,1,0,0,1,3,0,0,3
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,20,0,18,2,42,0,18,18
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,19,0,18,1
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0
São Pedro do Sul,1,0,0,1,0,0,0,0
Sátão,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,19,0,18,1,23,0,0,17
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,12,0,11,1,13,0,11,2
Castelo Branco,11,0,11,0,11,0,11,0
Idanha-a-Nova,1,0,0,1,2,0,0,2
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,10,0,8,2,55,0,40,15
Abrantes,0,0,0,0,1,0,0,1
Alcanena,0,0,0,0,1,0,0,1
Constância,0,0,0,0,0,0,0,0
Entroncamento,5,0,5,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,1,0,0,1
Tomar,5,0,3,2,39,0,27,12
Torres Novas,0,0,0,0,13,0,13,0
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,27,0,27,0,71,0,69,2
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,20,0,20,0,16,0,14,2
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,10,0,10,0
Gouveia,0,0,0,0,0,0,0,0
Guarda,7,0,7,0,45,0,45,0
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,0,0,0,0,0,0,0,0
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,580,0,548,24,808,0,706,87
Alcochete,0,0,0,0,0,0,0,0
Almada,27,0,25,2,24,0,19,5
Amadora,86,0,86,0,104,0,99,1
Barreiro,26,0,25,1,48,0,47,1
Cascais,38,0,36,2,66,0,61,5
Lisboa,39,0,32,5,97,0,76,19
Loures,99,0,99,0,94,0,94,0
Mafra,0,0,0,0,1,0,0,1
Moita,29,0,24,2,50,0,47,1
Montijo,0,0,0,0,16,0,13,2
Odivelas,0,0,0,0,30,0,24,4
Oeiras,2,0,0,1,5,0,5,0
Palmela,0,0,0,0,0,0,0,0
Seixal,37,0,26,11,113,0,65,46
Sesimbra,0,0,0,0,0,0,0,0
Setúbal,95,0,93,0,57,0,56,0
Sintra,57,0,57,0,100,0,99,0
Vila Franca de Xira,45,0,45,0,3,0,1,2
Alentejo,77,0,56,13,233,0,171,43
Alentejo Litoral,12,0,8,1,12,0,11,1
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,11,0,8,0,11,0,11,0
Odemira,0,0,0,0,0,0,0,0
Santiago do Cacém,0,0,0,0,1,0,0,1
Sines,1,0,0,1,0,0,0,0
Baixo Alentejo,27,0,23,3,71,0,48,21
Aljustrel,0,0,0,0,9,0,0,9
Almodôvar,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,24,0,23,0,34,0,32,0
Castro Verde,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0
Mértola,3,0,0,3,12,0,0,12
Moura,0,0,0,0,16,0,16,0
Ourique,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,26,0,15,7,103,0,79,8
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,5,0,0,1,19,0,0,5
Benavente,0,0,0,0,0,0,0,0
Cartaxo,2,0,0,2,1,0,0,1
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,19,0,15,4,40,0,36,2
Salvaterra de Magos,0,0,0,0,3,0,3,0
Santarém,0,0,0,0,40,0,40,0
Alto Alentejo,10,0,10,0,15,0,14,1
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,10,0,10,0,1,0,0,1
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0
Portalegre,0,0,0,0,14,0,14,0
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,2,0,0,2,32,0,19,12
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0
Évora,2,0,0,2,32,0,19,12
Montemor-o-Novo,0,0,0,0,0,0,0,0
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0
Algarve,41,0,41,0,12,0,0,12
Albufeira,0,0,0,0,0,0,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,24,0,24,0,1,0,0,1
Lagoa,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,0,0
Loulé,0,0,0,0,3,0,0,3
Monchique,0,0,0,0,0,0,0,0
Olhão,17,0,17,0,3,0,0,3
Portimão,0,0,0,0,1,0,0,1
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,0,0,0,0,1,0,0,1
Tavira,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,3,0,0,3
R. A. Açores,64,0,39,25,163,0,34,129
Santa Maria,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0
São Miguel,50,0,25,25,103,0,23,80
Lagoa (R.A.A.),0,0,0,0,19,0,16,3
Nordeste,0,0,0,0,0,0,0,0
Ponta Delgada,12,0,0,12,32,0,7,25
Povoação,0,0,0,0,8,0,0,8
Ribeira Grande,38,0,25,13,35,0,0,35
Vila Franca do Campo,0,0,0,0,9,0,0,9
Terceira,14,0,14,0,53,0,11,42
Angra do Heroísmo,14,0,14,0,42,0,11,31
Vila da Praia da Vitória,0,0,0,0,11,0,0,11
Graciosa,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,0,0,0,0,6,0,0,6
Lajes do Pico,0,0,0,0,1,0,0,1
Madalena,0,0,0,0,3,0,0,3
São Roque do Pico,0,0,0,0,2,0,0,2
Faial,0,0,0,0,1,0,0,1
Horta,0,0,0,0,1,0,0,1
Flores,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,533,533,0,0,79,0,29,0
Calheta (R.A.M.),66,66,0,0,0,0,0,0
Câmara de Lobos,139,139,0,0,0,0,0,0
Funchal,49,49,0,0,62,0,12,0
Machico,45,45,0,0,15,0,15,0
Ponta do Sol,137,137,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,25,25,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0
Santana,38,38,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,34,34,0,0,2,0,2,0
