,"Educational institutions, Total, 2021/2022 (N.º)","Educational institutions, Public, 2021/2022 (N.º)","Educational institutions, Private, 2021/2022 (N.º)","Teaching staff, Total, 2021/2022 (N.º)","Teaching staff, Public, 2021/2022 (N.º)","Teaching staff, Private, 2021/2022 (N.º)","Students enrolled, Total, 2021/2022 (N.º)","Students enrolled, Public, 2021/2022 (N.º)","Students enrolled, Private, 2021/2022 (N.º)","Graduates, Total, 2020/2021 (N.º)","Graduates, Public, 2020/2021 (N.º)","Graduates, Private, 2020/2021 (N.º)"
Alenquer,0,0,0,0,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0,0,0,0
Caldas da Rainha,1,1,0,169,169,0,1734,1734,0,435,435,0
Lourinhã,0,0,0,0,0,0,0,0,0,0,0,0
Nazaré,0,0,0,0,0,0,0,0,0,0,0,0
Óbidos,0,0,0,0,0,0,0,0,0,0,0,0
Peniche,1,1,0,142,142,0,1569,1569,0,381,381,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0,0,0
Torres Vedras,0,0,0,0,0,0,0,0,0,0,0,0
Região de Aveiro,5,4,1,1410,1301,109,15795,15398,397,3486,3352,134
Águeda,1,1,0,86,86,0,958,958,0,213,213,0
Albergaria-a-Velha,0,0,0,0,0,0,0,0,0,0,0,0
Anadia,0,0,0,0,0,0,0,0,0,0,0,0
Aveiro,4,3,1,1324,1215,109,14837,14440,397,3273,3139,134
Estarreja,0,0,0,0,0,0,0,0,0,0,0,0
Ílhavo,0,0,0,0,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0,0,0,0,0
Ovar,0,0,0,0,0,0,0,0,0,0,0,0
Sever do Vouga,0,0,0,0,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0,0,0,0,0
Região de Coimbra,19,17,2,3135,2971,164,38338,36813,1525,8869,8529,340
Arganil,0,0,0,0,0,0,0,0,0,0,0,0
Cantanhede,0,0,0,0,0,0,0,0,0,0,0,0
Coimbra,18,16,2,3082,2918,164,37694,36169,1525,8727,8387,340
Condeixa-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Figueira da Foz,0,0,0,0,0,0,0,0,0,0,0,0
Góis,0,0,0,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0,0,0,0,0
Mealhada,0,0,0,0,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,1,1,0,53,53,0,644,644,0,142,142,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0,0,0
Região de Leiria,5,3,2,934,859,75,9834,9367,467,2020,1946,74
Alvaiázere,0,0,0,0,0,0,0,0,0,0,0,0
Ansião,0,0,0,0,0,0,0,0,0,0,0,0
Batalha,0,0,0,0,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Leiria,4,3,1,884,859,25,9393,9367,26,1994,1946,48
Marinha Grande,1,0,1,50,0,50,441,0,441,26,0,26
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0,0,0
Pombal,0,0,0,0,0,0,0,0,0,0,0,0
Porto de Mós,0,0,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,9,4,5,522,395,127,6113,5332,781,1167,1018,149
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0,0,0
Viseu,9,4,5,522,395,127,6113,5332,781,1167,1018,149
Vouzela,0,0,0,0,0,0,0,0,0,0,0,0
Beira Baixa,6,6,0,441,441,0,4460,4460,0,886,886,0
Castelo Branco,5,5,0,398,398,0,3910,3910,0,809,809,0
Idanha-a-Nova,1,1,0,43,43,0,550,550,0,77,77,0
Oleiros,0,0,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0,0,0
Médio Tejo,3,3,0,196,196,0,2297,2297,0,434,434,0
Abrantes,1,1,0,0,0,0,404,404,0,92,92,0
Alcanena,0,0,0,0,0,0,0,0,0,0,0,0
Constância,0,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0,0,0,0,0
Tomar,2,2,0,196,196,0,1893,1893,0,342,342,0
Torres Novas,0,0,0,0,0,0,0,0,0,0,0,0
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,5,5,0,1075,1075,0,11442,11442,0,2452,2452,0
Almeida,0,0,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Covilhã,1,1,0,814,814,0,8091,8091,0,1812,1812,0
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,0,0,0,0,0,0,0,0
Gouveia,0,0,0,0,0,0,0,0,0,0,0,0
Guarda,3,3,0,247,247,0,3119,3119,0,559,559,0
Manteigas,0,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0,0,0,0
Seia,1,1,0,14,14,0,232,232,0,81,81,0
Trancoso,0,0,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,91,53,38,14375,10462,3913,161149,121608,39541,32568,24248,8320
Alcochete,0,0,0,0,0,0,0,0,0,0,0,0
Almada,7,2,5,1018,569,449,10731,7267,3464,1909,1280,629
Amadora,1,1,0,76,76,0,431,431,0,141,141,0
Barreiro,1,1,0,82,82,0,731,731,0,82,82,0
Cascais,3,2,1,670,509,161,7441,6961,480,1779,1684,95
Lisboa,66,38,28,11321,8234,3087,128394,94517,33877,26152,18810,7342
Loures,0,0,0,0,0,0,0,0,0,0,0,0
Mafra,0,0,0,0,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0,0,0,0,0
Odivelas,1,0,1,70,0,70,681,0,681,152,0,152
Oeiras,6,4,2,312,223,89,5370,4387,983,1140,1038,102
Palmela,0,0,0,0,0,0,0,0,0,0,0,0
Seixal,0,0,0,0,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0
Setúbal,4,4,0,707,707,0,7102,7102,0,1193,1193,0
Sintra,2,1,1,119,62,57,268,212,56,20,20,0
Vila Franca de Xira,0,0,0,0,0,0,0,0,0,0,0,0
Alentejo,20,19,1,1596,1537,59,18306,17557,749,3354,3210,144
Alentejo Litoral,0,0,0,0,0,0,0,0,0,0,0,0
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0,0,0,0,0
Santiago do Cacém,0,0,0,0,0,0,0,0,0,0,0,0
Sines,0,0,0,0,0,0,0,0,0,0,0,0
Baixo Alentejo,4,4,0,279,279,0,3275,3275,0,561,561,0
Aljustrel,0,0,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0,0,0
Beja,4,4,0,279,279,0,3275,3275,0,561,561,0
Castro Verde,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,6,5,1,426,367,59,5158,4409,749,930,786,144
Almeirim,0,0,0,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,1,1,0,98,98,0,1116,1116,0,221,221,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0,0,0
Santarém,5,4,1,328,269,59,4042,3293,749,709,565,144
Alto Alentejo,4,4,0,256,256,0,2298,2298,0,441,441,0
Alter do Chão,0,0,0,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0,0,0,0
Elvas,1,1,0,46,46,0,438,438,0,97,97,0
Fronteira,0,0,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0,0,0,0
Portalegre,3,3,0,210,210,0,1860,1860,0,344,344,0
Sousel,0,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,6,6,0,635,635,0,7575,7575,0,1422,1422,0
Alandroal,0,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0,0,0,0
Évora,6,6,0,635,635,0,7575,7575,0,1422,1422,0
Montemor-o-Novo,0,0,0,0,0,0,0,0,0,0,0,0
Mora,0,0,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0,0,0
Algarve,12,10,2,1075,912,163,10536,9596,940,1988,1868,120
Albufeira,0,0,0,0,0,0,0,0,0,0,0,0
Alcoutim,0,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0,0
Faro,9,9,0,912,912,0,9175,9175,0,1788,1788,0
Lagoa,0,0,0,0,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,0,0,0,0,0,0
Loulé,0,0,0,0,0,0,0,0,0,0,0,0
Monchique,0,0,0,0,0,0,0,0,0,0,0,0
Olhão,0,0,0,0,0,0,0,0,0,0,0,0
Portimão,2,1,1,117,0,117,1085,421,664,176,80,96
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0,0
Silves,1,0,1,46,0,46,276,0,276,24,0,24
Tavira,0,0,0,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0,0,0,0
R. A. Açores,8,8,0,278,278,0,2911,2911,0,633,633,0
Santa Maria,0,0,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0,0,0
São Miguel,5,5,0,234,234,0,2501,2501,0,565,565,0
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,5,5,0,234,234,0,2501,2501,0,565,565,0
Povoação,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0,0,0,0
Terceira,3,3,0,44,44,0,410,410,0,68,68,0
Angra do Heroísmo,3,3,0,44,44,0,410,410,0,68,68,0
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0,0,0,0
Faial,0,0,0,0,0,0,0,0,0,0,0,0
Horta,0,0,0,0,0,0,0,0,0,0,0,0
Flores,0,0,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,8,6,2,463,398,65,3952,3536,416,879,732,147
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0,0,0,0
Funchal,8,6,2,463,398,65,3952,3536,416,879,732,147
Machico,0,0,0,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0,0
