,"Upper secondary education, Total (N.º)","Upper secondary education, Public (N.º)","Upper secondary education, Private (N.º)","Post-secondary non-tertiary education, Total (N.º)","Post-secondary non-tertiary education, Public (N.º)","Post-secondary non-tertiary education, Private (N.º)"
Proença-a-Nova,132,132,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0
Médio Tejo,9064,6757,2307,25,25,0
Abrantes,1259,1259,0,0,0,0
Alcanena,413,413,0,0,0,0
Constância,123,123,0,0,0,0
Entroncamento,936,647,289,0,0,0
Ferreira do Zêzere,109,109,0,0,0,0
Mação,158,158,0,0,0,0
Ourém,2051,700,1351,0,0,0
Sardoal,66,66,0,0,0,0
Sertã,581,390,191,0,0,0
Tomar,1811,1695,116,25,25,0
Torres Novas,1360,1000,360,0,0,0
Vila de Rei,62,62,0,0,0,0
Vila Nova da Barquinha,135,135,0,0,0,0
Beiras e Serra da Estrela,6639,5176,1463,15,15,0
Almeida,95,95,0,0,0,0
Belmonte,61,61,0,0,0,0
Celorico da Beira,140,140,0,0,0,0
Covilhã,1634,1517,117,0,0,0
Figueira de Castelo Rodrigo,96,96,0,0,0,0
Fornos de Algodres,104,104,0,0,0,0
Fundão,831,649,182,0,0,0
Gouveia,338,229,109,0,0,0
Guarda,1722,1204,518,15,15,0
Manteigas,74,44,30,0,0,0
Mêda,55,55,0,0,0,0
Pinhel,193,193,0,0,0,0
Sabugal,168,168,0,0,0,0
Seia,716,477,239,0,0,0
Trancoso,412,144,268,0,0,0
A. M. Lisboa,117589,89208,28381,2645,2645,0
Alcochete,847,847,0,0,0,0
Almada,6919,5562,1357,0,0,0
Amadora,6421,5216,1205,24,24,0
Barreiro,3655,3324,331,0,0,0
Cascais,8858,6260,2598,160,160,0
Lisboa,34288,19582,14706,2238,2238,0
Loures,4731,4108,623,31,31,0
Mafra,3163,2178,985,0,0,0
Moita,1842,1283,559,0,0,0
Montijo,1815,1415,400,0,0,0
Odivelas,4411,4206,205,0,0,0
Oeiras,5913,5023,890,0,0,0
Palmela,2690,1624,1066,0,0,0
Seixal,6207,5456,751,43,43,0
Sesimbra,1577,1467,110,0,0,0
Setúbal,5635,4858,777,77,77,0
Sintra,12860,11388,1472,32,32,0
Vila Franca de Xira,5757,5411,346,40,40,0
Alentejo,24531,20196,4335,254,254,0
Alentejo Litoral,2988,2180,808,12,12,0
Alcácer do Sal,235,235,0,0,0,0
Grândola,476,476,0,0,0,0
Odemira,860,371,489,0,0,0
Santiago do Cacém,779,779,0,12,12,0
Sines,638,319,319,0,0,0
Baixo Alentejo,4170,3406,764,24,24,0
Aljustrel,215,215,0,0,0,0
Almodôvar,221,221,0,0,0,0
Alvito,141,0,141,0,0,0
Barrancos,15,15,0,0,0,0
Beja,1758,1511,247,24,24,0
Castro Verde,208,208,0,0,0,0
Cuba,160,0,160,0,0,0
Ferreira do Alentejo,106,106,0,0,0,0
Mértola,190,158,32,0,0,0
Moura,508,424,84,0,0,0
Ourique,96,96,0,0,0,0
Serpa,442,442,0,0,0,0
Vidigueira,110,10,100,0,0,0
Lezíria do Tejo,8577,6769,1808,28,28,0
Almeirim,531,520,11,0,0,0
Alpiarça,156,156,0,0,0,0
Azambuja,589,589,0,0,0,0
Benavente,738,738,0,0,0,0
Cartaxo,598,598,0,0,0,0
Chamusca,135,135,0,0,0,0
Coruche,494,299,195,0,0,0
Golegã,97,97,0,0,0,0
Rio Maior,866,727,139,0,0,0
Salvaterra de Magos,1101,598,503,0,0,0
Santarém,3272,2312,960,28,28,0
Alto Alentejo,3390,3166,224,106,106,0
Alter do Chão,179,179,0,0,0,0
Arronches,5,5,0,0,0,0
Avis,3,3,0,0,0,0
Campo Maior,379,206,173,0,0,0
Castelo de Vide,0,0,0,0,0,0
Crato,51,0,51,0,0,0
Elvas,795,795,0,0,0,0
Fronteira,0,0,0,0,0,0
Gavião,34,34,0,0,0,0
Marvão,0,0,0,0,0,0
Monforte,0,0,0,0,0,0
Nisa,103,103,0,0,0,0
Ponte de Sor,485,485,0,0,0,0
Portalegre,1236,1236,0,106,106,0
Sousel,120,120,0,0,0,0
Alentejo Central,5406,4675,731,84,84,0
Alandroal,0,0,0,0,0,0
Arraiolos,105,105,0,0,0,0
Borba,0,0,0,0,0,0
Estremoz,479,479,0,0,0,0
Évora,2769,2137,632,84,84,0
Montemor-o-Novo,419,402,17,0,0,0
Mora,55,55,0,0,0,0
Mourão,0,0,0,0,0,0
Portel,5,5,0,0,0,0
Redondo,135,135,0,0,0,0
Reguengos de Monsaraz,382,368,14,0,0,0
Vendas Novas,499,431,68,0,0,0
Viana do Alentejo,161,161,0,0,0,0
Vila Viçosa,397,397,0,0,0,0
Algarve,16965,16182,783,348,348,0
Albufeira,1706,1706,0,0,0,0
Alcoutim,0,0,0,0,0,0
Aljezur,23,0,23,0,0,0
Castro Marim,0,0,0,0,0,0
Faro,2956,2881,75,249,249,0
Lagoa,428,359,69,0,0,0
Lagos,1485,1469,16,0,0,0
Loulé,2541,2298,243,0,0,0
Monchique,0,0,0,0,0,0
Olhão,1364,1364,0,0,0,0
Portimão,3278,2970,308,57,57,0
São Brás de Alportel,305,305,0,0,0,0
Silves,1099,1050,49,0,0,0
Tavira,836,836,0,0,0,0
Vila do Bispo,0,0,0,0,0,0
Vila Real de Santo António,944,944,0,42,42,0
R. A. Açores,9111,7108,2003,0,0,0
Santa Maria,169,169,0,0,0,0
Vila do Porto,169,169,0,0,0,0
São Miguel,5469,4168,1301,0,0,0
Lagoa (R.A.A.),503,447,56,0,0,0
Nordeste,152,103,49,0,0,0
Ponta Delgada,3378,2501,877,0,0,0
Povoação,230,144,86,0,0,0
Ribeira Grande,801,672,129,0,0,0
Vila Franca do Campo,405,301,104,0,0,0
Terceira,1974,1581,393,0,0,0
Angra do Heroísmo,782,622,160,0,0,0
Vila da Praia da Vitória,1192,959,233,0,0,0
Graciosa,114,114,0,0,0,0
Santa Cruz da Graciosa,114,114,0,0,0,0
São Jorge,337,234,103,0,0,0
Calheta (R.A.A.),100,100,0,0,0,0
Velas,237,134,103,0,0,0
Pico,400,307,93,0,0,0
Lajes do Pico,118,118,0,0,0,0
Madalena,208,115,93,0,0,0
São Roque do Pico,74,74,0,0,0,0
Faial,535,422,113,0,0,0
Horta,535,422,113,0,0,0
Flores,95,95,0,0,0,0
Lajes das Flores,2,2,0,0,0,0
Santa Cruz das Flores,93,93,0,0,0,0
Corvo,18,18,0,0,0,0
Corvo,18,18,0,0,0,0
R. A. Madeira,10719,9168,1551,0,0,0
Calheta (R.A.M.),335,335,0,0,0,0
Câmara de Lobos,332,332,0,0,0,0
Funchal,7894,6343,1551,0,0,0
Machico,606,606,0,0,0,0
Ponta do Sol,239,239,0,0,0,0
Porto Moniz,68,68,0,0,0,0
Ribeira Brava,466,466,0,0,0,0
Santa Cruz,344,344,0,0,0,0
Santana,155,155,0,0,0,0
São Vicente,117,117,0,0,0,0
Porto Santo,163,163,0,0,0,0
