,"Upper secondary education, Total (N.º)","Upper secondary education, Public (N.º)","Upper secondary education, Private (N.º)","Post-secondary non-tertiary education, Total (N.º)","Post-secondary non-tertiary education, Public (N.º)","Post-secondary non-tertiary education, Private (N.º)"
Grândola,415,415,0,0,0,0
Odemira,799,350,449,0,0,0
Santiago do Cacém,609,609,0,12,12,0
Sines,545,289,256,0,0,0
Baixo Alentejo,3572,2909,663,24,24,0
Aljustrel,159,159,0,0,0,0
Almodôvar,144,144,0,0,0,0
Alvito,141,0,141,0,0,0
Barrancos,0,0,0,0,0,0
Beja,1438,1292,146,24,24,0
Castro Verde,202,202,0,0,0,0
Cuba,160,0,160,0,0,0
Ferreira do Alentejo,80,80,0,0,0,0
Mértola,177,145,32,0,0,0
Moura,438,354,84,0,0,0
Ourique,96,96,0,0,0,0
Serpa,437,437,0,0,0,0
Vidigueira,100,0,100,0,0,0
Lezíria do Tejo,7437,5966,1471,28,28,0
Almeirim,520,520,0,0,0,0
Alpiarça,156,156,0,0,0,0
Azambuja,400,400,0,0,0,0
Benavente,710,710,0,0,0,0
Cartaxo,575,575,0,0,0,0
Chamusca,135,135,0,0,0,0
Coruche,446,299,147,0,0,0
Golegã,97,97,0,0,0,0
Rio Maior,815,676,139,0,0,0
Salvaterra de Magos,891,527,364,0,0,0
Santarém,2692,1871,821,28,28,0
Alto Alentejo,2966,2867,99,106,106,0
Alter do Chão,179,179,0,0,0,0
Arronches,5,5,0,0,0,0
Avis,0,0,0,0,0,0
Campo Maior,254,206,48,0,0,0
Castelo de Vide,0,0,0,0,0,0
Crato,51,0,51,0,0,0
Elvas,679,679,0,0,0,0
Fronteira,0,0,0,0,0,0
Gavião,34,34,0,0,0,0
Marvão,0,0,0,0,0,0
Monforte,0,0,0,0,0,0
Nisa,103,103,0,0,0,0
Ponte de Sor,461,461,0,0,0,0
Portalegre,1080,1080,0,106,106,0
Sousel,120,120,0,0,0,0
Alentejo Central,4903,4238,665,84,84,0
Alandroal,0,0,0,0,0,0
Arraiolos,97,97,0,0,0,0
Borba,0,0,0,0,0,0
Estremoz,460,460,0,0,0,0
Évora,2467,1887,580,84,84,0
Montemor-o-Novo,381,364,17,0,0,0
Mora,55,55,0,0,0,0
Mourão,0,0,0,0,0,0
Portel,5,5,0,0,0,0
Redondo,135,135,0,0,0,0
Reguengos de Monsaraz,347,347,0,0,0,0
Vendas Novas,461,393,68,0,0,0
Viana do Alentejo,161,161,0,0,0,0
Vila Viçosa,334,334,0,0,0,0
Algarve,15277,14598,679,348,348,0
Albufeira,1572,1572,0,0,0,0
Alcoutim,0,0,0,0,0,0
Aljezur,23,0,23,0,0,0
Castro Marim,0,0,0,0,0,0
Faro,2755,2680,75,249,249,0
Lagoa,428,359,69,0,0,0
Lagos,1350,1334,16,0,0,0
Loulé,2239,2052,187,0,0,0
Monchique,0,0,0,0,0,0
Olhão,1192,1192,0,0,0,0
Portimão,2909,2629,280,57,57,0
São Brás de Alportel,305,305,0,0,0,0
Silves,955,926,29,0,0,0
Tavira,765,765,0,0,0,0
Vila do Bispo,0,0,0,0,0,0
Vila Real de Santo António,784,784,0,42,42,0
R. A. Açores,8561,6558,2003,0,0,0
Santa Maria,157,157,0,0,0,0
Vila do Porto,157,157,0,0,0,0
São Miguel,5233,3932,1301,0,0,0
Lagoa (R.A.A.),481,425,56,0,0,0
Nordeste,149,100,49,0,0,0
Ponta Delgada,3237,2360,877,0,0,0
Povoação,227,141,86,0,0,0
Ribeira Grande,745,616,129,0,0,0
Vila Franca do Campo,394,290,104,0,0,0
Terceira,1744,1351,393,0,0,0
Angra do Heroísmo,683,523,160,0,0,0
Vila da Praia da Vitória,1061,828,233,0,0,0
Graciosa,105,105,0,0,0,0
Santa Cruz da Graciosa,105,105,0,0,0,0
São Jorge,326,223,103,0,0,0
Calheta (R.A.A.),98,98,0,0,0,0
Velas,228,125,103,0,0,0
Pico,386,293,93,0,0,0
Lajes do Pico,115,115,0,0,0,0
Madalena,203,110,93,0,0,0
São Roque do Pico,68,68,0,0,0,0
Faial,509,396,113,0,0,0
Horta,509,396,113,0,0,0
Flores,84,84,0,0,0,0
Lajes das Flores,0,0,0,0,0,0
Santa Cruz das Flores,84,84,0,0,0,0
Corvo,17,17,0,0,0,0
Corvo,17,17,0,0,0,0
R. A. Madeira,9260,7717,1543,0,0,0
Calheta (R.A.M.),259,259,0,0,0,0
Câmara de Lobos,231,231,0,0,0,0
Funchal,6894,5351,1543,0,0,0
Machico,544,544,0,0,0,0
Ponta do Sol,239,239,0,0,0,0
Porto Moniz,68,68,0,0,0,0
Ribeira Brava,362,362,0,0,0,0
Santa Cruz,247,247,0,0,0,0
Santana,155,155,0,0,0,0
São Vicente,117,117,0,0,0,0
Porto Santo,144,144,0,0,0,0
