,"Publications, Total (N.º)","Publications, Newspapers (N.º)","Publications, Magazines (N.º)","Publications, Diffusion support type, Paper (N.º)","Publications, Diffusion support type, Electronic (N.º)","Publications, Diffusion support type, In both paper and electronic support  (N.º)","Printed editions, Diffusion support type, In both paper and electronic support  (N.º)","Total circulation, Total, In both paper and electronic support  (N.º)","Total circulation, Newspapers, In both paper and electronic support  (N.º)","Total circulation, Magazines, In both paper and electronic support  (N.º)","Sold circulation, Total, In both paper and electronic support  (N.º)","Sold circulation, of which, Newspapers (N.º)","Sold circulation, of which, Magazines (N.º)"
Lousã,1,1,0,1,0,0,…,…,…,0,…,…,0
Mealhada,1,1,0,0,0,1,…,…,…,0,…,…,0
Mira,1,1,0,1,0,0,…,…,…,0,…,…,0
Miranda do Corvo,1,1,0,1,0,0,…,…,…,0,…,…,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,1,1,0,0,0,1,…,…,…,0,…,…,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0,0,0,0
Soure,1,1,0,1,0,0,…,…,…,0,…,…,0
Tábua,0,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0,0,0,0
Região de Leiria,22,19,3,13,1,8,482,1970110,1963460,6650,887960,887959.9999999998,0
Alvaiázere,0,0,0,0,0,0,0,0,0,0,0,0,0
Ansião,3,3,0,2,0,1,36,57072,57072,0,52582,52582,0
Batalha,1,1,0,1,0,0,…,…,…,0,…,…,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0,0
Leiria,12,10,2,5,1,6,326,1737951,…,…,…,…,…
Marinha Grande,2,1,1,1,0,1,…,…,…,…,…,…,…
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0,0,0,0
Pombal,2,2,0,2,0,0,…,…,…,0,…,…,0
Porto de Mós,2,2,0,2,0,0,…,…,…,0,…,…,0
Viseu Dão Lafões,20,17,3,13,1,6,614,1067196,…,…,895778,…,…
Aguiar da Beira,2,2,0,0,0,2,…,…,…,0,…,…,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0,0,0,0
Castro Daire,1,1,0,1,0,0,…,…,…,0,…,…,0
Mangualde,1,1,0,1,0,0,…,…,…,0,…,…,0
Nelas,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,1,1,0,1,0,0,…,…,…,0,…,…,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,2,1,1,2,0,0,…,…,…,…,…,…,…
Sátão,1,1,0,1,0,0,…,…,…,0,…,…,0
Tondela,2,2,0,2,0,0,…,…,…,0,…,…,0
Vila Nova de Paiva,1,1,0,1,0,0,…,…,…,0,…,…,0
Viseu,8,6,2,4,1,3,337,725745,…,…,…,…,…
Vouzela,1,1,0,0,0,1,…,…,…,0,…,…,0
Beira Baixa,9,7,2,2,1,6,177,3440919,…,…,535397.0000000005,…,…
Castelo Branco,6,4,2,0,1,5,130,3366064,…,…,462826,…,…
Idanha-a-Nova,1,1,0,1,0,0,…,…,…,0,…,…,0
Oleiros,0,0,0,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,2,2,0,1,0,1,…,…,…,0,…,…,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0,0,0,0
Médio Tejo,20,17,3,12,1,7,288,3752341,3683941,68400,419986.00000000093,362586.00000000093,57400
Abrantes,2,1,1,1,0,1,…,…,…,…,…,…,…
Alcanena,1,1,0,1,0,0,…,…,…,0,…,…,0
Constância,0,0,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Zêzere,1,1,0,1,0,0,…,…,…,0,…,…,0
Mação,1,1,0,1,0,0,…,…,…,0,…,…,0
Ourém,9,7,2,5,0,4,135,841486,…,…,199162,…,…
Sardoal,0,0,0,0,0,0,0,0,0,0,0,0,0
Sertã,1,1,0,1,0,0,…,…,…,0,…,…,0
Tomar,1,1,0,0,1,0,0,…,…,0,…,…,0
Torres Novas,3,3,0,2,0,1,57,88350,88350,0,54490,54490,0
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,1,1,0,0,0,1,…,…,…,0,…,…,0
Beiras e Serra da Estrela,13,13,0,8,1,4,336,1148107,1148107,0,628792,628792,0
Almeida,1,1,0,1,0,0,…,…,…,0,…,…,0
Belmonte,1,1,0,1,0,0,…,…,…,0,…,…,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0,0,0,0
Covilhã,2,2,0,1,0,1,…,…,…,0,…,…,0
Figueira de Castelo Rodrigo,1,1,0,1,0,0,…,…,…,0,…,…,0
Fornos de Algodres,1,1,0,0,0,1,…,…,…,0,…,…,0
Fundão,1,1,0,0,0,1,…,…,…,0,…,…,0
Gouveia,0,0,0,0,0,0,0,0,0,0,0,0,0
Guarda,4,4,0,2,1,1,152,605068,605068,0,197457,197457,0
Manteigas,0,0,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0,0,0,0,0
Seia,2,2,0,2,0,0,…,…,…,0,…,…,0
Trancoso,0,0,0,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,353,72,281,157,49,147,5024,236589518,81133954,155455564,67673571.99999997,37315716,30357856.000000045
Alcochete,3,1,2,0,1,2,…,101246,…,…,…,…,…
Almada,1,1,0,1,0,0,…,…,…,0,…,…,0
Amadora,5,2,3,2,2,1,25,1298578,…,…,…,…,…
Barreiro,0,0,0,0,0,0,0,0,0,0,0,0,0
Cascais,12,1,11,5,2,5,151,7354492,672332,6682160,1108733.9999999981,672332,436401.99999999907
Lisboa,231,42,189,98,35,98,3221,161586078,72395553,89190525,49165003.99999997,30411520,18753483.99999997
Loures,6,2,4,5,0,1,55,184946,…,…,113418,…,…
Mafra,12,2,10,8,0,4,101,272968,…,…,180313,…,…
Moita,0,0,0,0,0,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0,0,0,0,0,0
Odivelas,0,0,0,0,0,0,0,0,0,0,0,0,0
Oeiras,44,9,35,15,4,25,1028,59124553,6252198,52872355,11036313.000000007,5989215,5047098.000000007
Palmela,1,1,0,0,1,0,0,…,…,0,…,…,0
Seixal,5,0,5,5,0,0,…,…,0,…,…,0,…
Sesimbra,3,2,1,2,0,1,36,90880,…,…,…,…,…
Setúbal,1,1,0,1,0,0,…,…,…,0,…,…,0
Sintra,24,7,17,15,3,6,282,5851033,242195,5608838,5566532,61000.00000000003,5505532
Vila Franca de Xira,5,1,4,0,1,4,16,266548,…,…,…,…,…
Alentejo,34,28,6,15,3,16,771,9771745,9132595,639150,1699006.000000001,1498735.999999999,200270
Alentejo Litoral,2,1,1,2,0,0,…,…,…,…,…,…,…
Alcácer do Sal,1,1,0,1,0,0,…,…,…,0,…,…,0
Grândola,0,0,0,0,0,0,0,0,0,0,0,0,0
Odemira,1,0,1,1,0,0,…,…,0,…,…,…,…
Santiago do Cacém,0,0,0,0,0,0,0,0,0,0,0,0,0
Sines,0,0,0,0,0,0,0,0,0,0,0,0,0
Baixo Alentejo,5,4,1,1,1,3,…,…,…,…,…,…,…
Aljustrel,0,0,0,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0,0,0,0
Beja,2,1,1,1,1,0,…,…,0,…,…,0,…
Castro Verde,2,2,0,0,0,2,…,…,…,0,…,…,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0,0,0,0
Moura,1,1,0,0,0,1,…,…,…,0,…,…,0
Ourique,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,12,8,4,4,2,6,166,7215065,6582415,632650,841803,641533,200270
Almeirim,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpiarça,1,1,0,1,0,0,…,…,…,0,…,…,0
Azambuja,1,1,0,0,0,1,…,…,…,0,…,…,0
Benavente,0,0,0,0,0,0,0,0,0,0,0,0,0
Cartaxo,2,2,0,1,0,1,…,…,…,0,…,…,0
Chamusca,0,0,0,0,0,0,0,0,0,0,0,0,0
Coruche,1,1,0,0,1,0,0,…,…,0,…,…,0
Golegã,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0,0,0,0
Santarém,7,3,4,2,1,4,126,1749656,1117006,632650,826395,626125,200270
Alto Alentejo,6,6,0,3,0,3,144,1391436,1391436,0,135300,135300,0
Alter do Chão,1,1,0,1,0,0,…,…,…,0,…,…,0
Arronches,1,1,0,0,0,1,…,…,…,0,…,…,0
Avis,0,0,0,0,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0,0,0,0
Crato,1,1,0,1,0,0,…,…,…,0,…,…,0
Elvas,1,1,0,0,0,1,…,…,…,0,…,…,0
Fronteira,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,1,1,0,1,0,0,…,…,…,0,…,…,0
Portalegre,1,1,0,0,0,1,…,…,…,0,…,…,0
Sousel,0,0,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,9,9,0,5,0,4,388,785513,785513,0,683443,683443,0
Alandroal,0,0,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0,0,0,0
Estremoz,1,1,0,1,0,0,…,…,…,0,…,…,0
Évora,3,3,0,0,0,3,312,679495,679495,0,597240,597240,0
Montemor-o-Novo,2,2,0,1,0,1,…,…,…,0,…,…,0
Mora,1,1,0,1,0,0,…,…,…,0,…,…,0
Mourão,0,0,0,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,1,1,0,1,0,0,…,…,…,0,…,…,0
Vendas Novas,1,1,0,1,0,0,…,…,…,0,…,…,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0,0,0,0
Algarve,22,15,7,9,4,9,334,9126658,8817299,309359,632123,602592.9999999972,29530.00000000006
Albufeira,1,0,1,1,0,0,…,…,0,…,…,0,…
Alcoutim,0,0,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0,0,0
Faro,2,0,2,2,0,0,…,…,0,…,…,0,…
Lagoa,5,3,2,3,0,2,116,357540,…,…,177520,…,…
Lagos,1,1,0,0,0,1,…,…,…,0,…,…,0
Loulé,5,5,0,2,3,0,…,5012890,5012890,0,19600,19600,0
Monchique,1,1,0,0,0,1,…,…,…,0,…,…,0
Olhão,1,1,0,1,0,0,…,…,…,0,…,…,0
Portimão,2,1,1,0,0,2,…,…,…,…,…,…,…
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0,0,0
Silves,1,0,1,0,0,1,…,…,0,…,…,0,…
Tavira,1,1,0,0,0,1,…,…,…,0,…,…,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,2,2,0,0,1,1,…,…,…,0,…,…,0
R. A. Açores,27,18,9,15,2,10,1984,3892668,3599432,293236,3215575.999999999,3101711,113864.99999999994
Santa Maria,1,1,0,1,0,0,…,…,…,0,…,…,0
Vila do Porto,1,1,0,1,0,0,…,…,…,0,…,…,0
São Miguel,13,6,7,8,1,4,…,…,…,…,…,…,…
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,11,5,6,6,1,4,1113,2429839,…,…,2064146,…,…
Povoação,0,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,1,0,1,1,0,0,…,…,0,…,…,0,…
Vila Franca do Campo,1,1,0,1,0,0,…,…,…,0,…,…,0
Terceira,7,5,2,4,1,2,325,1105369.9999999998,…,…,880759.9999999998,…,…
Angra do Heroísmo,5,3,2,4,0,1,…,…,…,…,…,…,…
Vila da Praia da Vitória,2,2,0,0,1,1,…,…,…,0,…,…,0
Graciosa,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0,0,0,0
São Jorge,1,1,0,0,0,1,…,…,…,0,…,…,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0,0,0,0
Velas,1,1,0,0,0,1,…,…,…,0,…,…,0
Pico,3,3,0,2,0,1,156,105864,105864,0,103664,103664,0
Lajes do Pico,1,1,0,1,0,0,…,…,…,0,…,…,0
Madalena,1,1,0,0,0,1,…,…,…,0,…,…,0
São Roque do Pico,1,1,0,1,0,0,…,…,…,0,…,…,0
Faial,2,2,0,0,0,2,…,…,…,0,…,…,0
Horta,2,2,0,0,0,2,…,…,…,0,…,…,0
Flores,0,0,0,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,13,6,7,2,2,9,823,5999499,5958713,40786,3444312,3437138,7174
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,4,1,3,0,0,4,…,…,…,…,…,…,…
Funchal,7,3,4,2,1,4,752,5970609,…,…,3441119.000000001,…,…
Machico,2,2,0,0,1,1,…,…,…,0,…,…,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0,0,0
