,"Personnel employed, Total (N.º)","Personnel employed, Doctors (N.º)","Personnel employed, Nurse (N.º)","Personnel employed, Auxiliary personnel (N.º)","Personnel employed, Technician of diagnostics and therapeutics (N.º)","Personnel employed, Other (N.º)","Hospitals (emergency service), Total hospitals (N.º)","Hospitals (emergency service), Public hospitals of universal access and hospitals in public-private partnership (N.º)"
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,1086,140,412,274,90,170,53280,53280
Castelo Branco,1086,140,412,274,90,170,53280,53280
Idanha-a-Nova,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,...,...,...,...,...,...,...,121213
Abrantes,0,0,0,0,0,0,0,0
Alcanena,...,...,...,...,...,...,...,0
Constância,69,8,19,0,5,37,1328,0
Entroncamento,...,...,...,...,...,...,...,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0
Tomar,2111,255,792,593,185,286,121213,121213
Torres Novas,0,0,0,0,0,0,0,0
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,...,...,...,...,...,...,...,133361
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,1363,199,473,343,101,247,54661,54661
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,0,0,0,0
Gouveia,0,0,0,0,0,0,0,0
Guarda,...,...,...,...,...,...,...,78700
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,0,0,0,0,0,0,0,0
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,49665,8481,15091,12641,4082,9370,1889769,1454972
Alcochete,0,0,0,0,0,0,0,0
Almada,2948,642,1040,675,233,358,126883,126883
Amadora,...,...,...,...,...,...,...,211594
Barreiro,1961,286,724,524,172,255,121319,121319
Cascais,2586,368,711,659,308,540,148240,123955
Lisboa,30254,5366,9085,7464,2568,5771,821836,504414
Loures,...,...,...,...,...,...,...,137311
Mafra,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0
Odivelas,0,0,0,0,0,0,0,0
Oeiras,...,...,...,...,...,...,...,0
Palmela,...,...,...,...,...,...,...,0
Seixal,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0
Setúbal,...,...,...,...,...,...,...,114424
Sintra,1009,48,183,445,31,302,28579,0
Vila Franca de Xira,1426,299,457,347,111,212,115072,115072
Alentejo,7214,948,2518,1966,585,1197,400353,389832
Alentejo Litoral,785,101,263,218,74,129,74458,74458
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0
Santiago do Cacém,785,101,263,218,74,129,74458,74458
Sines,0,0,0,0,0,0,0,0
Baixo Alentejo,1263,129,443,378,90,223,84141,84141
Aljustrel,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1263,129,443,378,90,223,84141,84141
Castro Verde,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,...,...,...,...,...,...,...,99406
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0
Santarém,...,...,...,...,...,...,...,99406
Alto Alentejo,...,...,...,...,...,...,...,69661
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,0,0,0,0,0,0,0,0
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,...,...,...,...,...,...,...,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0
Portalegre,1204,115,448,319,101,221,69661,69661
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,...,...,...,...,...,...,...,62166
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0
Évora,...,...,...,...,...,...,...,62166
Montemor-o-Novo,...,...,...,...,...,...,...,0
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0
Algarve,6134,938,2123,1495,419,1159,383413,299375
Albufeira,...,...,...,...,...,...,...,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,...,...,...,...,...,...,...,299375
Lagoa,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,0,0
Loulé,...,...,...,...,...,...,...,0
Monchique,0,0,0,0,0,0,0,0
Olhão,38,2,15,14,2,5,0,0
Portimão,...,...,...,...,...,...,...,0
São Brás de Alportel,...,...,...,...,...,...,...,0
Silves,0,0,0,0,0,0,0,0
Tavira,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0
R. A. Açores,4454,472,1310,1397,286,989,157414,149997
Santa Maria,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0
São Miguel,2452,289,696,732,156,579,87474,80057
Lagoa (R.A.A.),0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0
Ponta Delgada,2452,289,696,732,156,579,87474,80057
Povoação,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0
Terceira,1466,139,455,473,87,312,49403,49403
Angra do Heroísmo,1466,139,455,473,87,312,49403,49403
Vila da Praia da Vitória,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0
Faial,536,44,159,192,43,98,20537,20537
Horta,536,44,159,192,43,98,20537,20537
Flores,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,5058,561,1482,1537,336,1142,118298,100636
Calheta (R.A.M.),0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0
Funchal,5058,561,1482,1537,336,1142,118298,100636
Machico,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0
