,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, Public (N.º)","Primary education, 1st cycle, Private (N.º)","Primary education, 2nd cycle, Total (N.º)","Primary education, 2nd cycle, Public (N.º)","Primary education, 2nd cycle, Private (N.º)","Secondary education, Lower, Total (N.º)","Secondary education, Lower, Public (N.º)","Secondary education, Lower, Private (N.º)","Secondary education, Upper, Total (N.º)","Secondary education, Upper, Public (N.º)","Secondary education, Upper, Private (N.º)"
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0,0,0
Torres Vedras,0,0,0,18,18,0,55,55,0,259,259,0
Região de Aveiro,96,94,2,196,181,15,569,473,96,1656,1226,430
Águeda,22,22,0,40,40,0,171,171,0,384,384,0
Albergaria-a-Velha,0,0,0,0,0,0,5,5,0,80,80,0
Anadia,0,0,0,21,21,0,28,28,0,85,85,0
Aveiro,39,39,0,61,57,4,209,160,49,699,433,266
Estarreja,17,17,0,14,14,0,0,0,0,44,44,0
Ílhavo,0,0,0,19,19,0,12,12,0,62,62,0
Murtosa,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0,0,0,0,0
Ovar,18,16,2,26,15,11,91,44,47,222,58,164
Sever do Vouga,0,0,0,0,0,0,53,53,0,70,70,0
Vagos,0,0,0,15,15,0,0,0,0,10,10,0
Região de Coimbra,33,13,20,100,67,33,517,341,176,1758,1283,475
Arganil,4,4,0,8,8,0,34,34,0,127,127,0
Cantanhede,0,0,0,1,1,0,12,12,0,56,56,0
Coimbra,25,5,20,78,47,31,268,185,83,948,793,155
Condeixa-a-Nova,0,0,0,0,0,0,0,0,0,13,13,0
Figueira da Foz,0,0,0,1,0,1,111,67,44,188,42,146
Góis,0,0,0,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,22,6,16,127,68,59
Mealhada,0,0,0,0,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,1,0,1,22,0,22,58,0,58
Mortágua,0,0,0,0,0,0,0,0,0,14,14,0
Oliveira do Hospital,2,2,0,7,7,0,17,17,0,57,57,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0,0,0
Soure,2,2,0,4,4,0,20,20,0,95,95,0
Tábua,0,0,0,0,0,0,0,0,0,18,18,0
Vila Nova de Poiares,0,0,0,0,0,0,11,0,11,57,0,57
Região de Leiria,6,6,0,43,37,6,283,209,74,852,534,318
Alvaiázere,0,0,0,0,0,0,0,0,0,0,0,0
Ansião,0,0,0,3,3,0,25,15,10,20,11,9
Batalha,2,2,0,1,1,0,18,18,0,41,41,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,14,14,0
Leiria,0,0,0,20,15,5,148,128,20,454,294,160
Marinha Grande,0,0,0,6,6,0,45,20,25,158,102,56
Pedrógão Grande,0,0,0,0,0,0,6,0,6,11,0,11
Pombal,4,4,0,13,12,1,41,28,13,154,72,82
Porto de Mós,0,0,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,44,44,0,111,109,2,320,287,33,950,883,67
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,29,29,0
Castro Daire,0,0,0,22,22,0,34,34,0,83,83,0
Mangualde,16,16,0,23,23,0,52,52,0,181,161,20
Nelas,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,31,31,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,9,9,0,41,41,0
Sátão,0,0,0,0,0,0,0,0,0,13,13,0
Tondela,0,0,0,2,0,2,19,0,19,89,42,47
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,19,19,0
Viseu,28,28,0,64,64,0,175,161,14,495,495,0
Vouzela,0,0,0,0,0,0,0,0,0,0,0,0
Beira Baixa,14,14,0,8,8,0,67,67,0,166,154,12
Castelo Branco,13,13,0,8,8,0,56,56,0,102,90,12
Idanha-a-Nova,1,1,0,0,0,0,11,11,0,64,64,0
Oleiros,0,0,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0,0,0
Médio Tejo,22,22,0,75,66,9,329,276,53,1085,732,353
Abrantes,0,0,0,2,2,0,87,87,0,181,181,0
Alcanena,0,0,0,1,1,0,10,10,0,77,77,0
Constância,0,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,17,17,0,0,0,0,5,0,5,186,0,186
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,16,7,9,73,50,23,143,94,49
Sardoal,0,0,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,2,2,0,20,17,3,59,47,12
Tomar,5,5,0,54,54,0,91,91,0,287,287,0
Torres Novas,0,0,0,0,0,0,43,21,22,152,46,106
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,26,21,5,85,72,13,246,199,47,687,501,186
Almeida,0,0,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Covilhã,11,10,1,34,28,6,75,51,24,311,260,51
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0,0,0
Fundão,0,0,0,15,15,0,33,33,0,92,92,0
Gouveia,0,0,0,0,0,0,0,0,0,30,30,0
Guarda,12,11,1,35,29,6,130,113,17,209,102,107
Manteigas,0,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,2,2,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0,0,0,0
Seia,3,0,3,1,0,1,6,0,6,30,17,13
Trancoso,0,0,0,0,0,0,0,0,0,15,0,15
A. M. Lisboa,644,642,2,1027,1018,9,3642,3287,355,13114,10809,2305
Alcochete,0,0,0,0,0,0,0,0,0,127,127,0
Almada,26,26,0,47,47,0,85,74,11,1038,653,385
Amadora,106,106,0,111,111,0,461,461,0,1152,1119,33
Barreiro,26,26,0,58,58,0,142,142,0,294,294,0
Cascais,52,52,0,46,46,0,147,147,0,466,466,0
Lisboa,70,68,2,220,219,1,808,640,168,3744,2583,1161
Loures,137,137,0,131,130,1,213,197,16,639,402,237
Mafra,0,0,0,0,0,0,103,76,27,248,182,66
Moita,48,48,0,82,82,0,119,119,0,285,285,0
Montijo,1,1,0,19,12,7,71,51,20,282,177,105
Odivelas,28,28,0,25,25,0,223,223,0,592,592,0
Oeiras,1,1,0,7,7,0,33,33,0,298,298,0
Palmela,0,0,0,0,0,0,42,0,42,123,0,123
Seixal,25,25,0,106,106,0,475,404,71,1017,822,195
Sesimbra,0,0,0,13,13,0,30,30,0,122,122,0
Setúbal,50,50,0,49,49,0,209,209,0,770,770,0
Sintra,51,51,0,101,101,0,361,361,0,1225,1225,0
Vila Franca de Xira,23,23,0,12,12,0,120,120,0,692,692,0
Alentejo,107,106,1,306,276,30,952,764,188,3370,2698,672
Alentejo Litoral,28,28,0,20,17,3,149,127,22,454,355,99
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0,0,0
Grândola,12,12,0,14,14,0,40,40,0,74,74,0
Odemira,9,9,0,5,2,3,52,34,18,100,43,57
Santiago do Cacém,0,0,0,1,1,0,53,53,0,177,177,0
Sines,7,7,0,0,0,0,4,0,4,103,61,42
Baixo Alentejo,38,38,0,102,102,0,201,195,6,739,647,92
Aljustrel,4,4,0,20,20,0,56,56,0,153,153,0
Almodôvar,0,0,0,0,0,0,48,48,0,177,177,0
Alvito,0,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0,0,0
Beja,21,21,0,31,31,0,49,43,6,287,195,92
Castro Verde,0,0,0,10,10,0,0,0,0,5,5,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,20,20,0
Mértola,0,0,0,9,9,0,10,10,0,19,19,0
Moura,13,13,0,10,10,0,17,17,0,46,46,0
Ourique,0,0,0,0,0,0,0,0,0,9,9,0
Serpa,0,0,0,22,22,0,21,21,0,23,23,0
Vidigueira,0,0,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,23,23,0,120,107,13,330,233,97,963,681,282
Almeirim,0,0,0,0,0,0,0,0,0,17,0,17
Alpiarça,0,0,0,0,0,0,0,0,0,0,0,0
Azambuja,1,1,0,22,22,0,73,73,0,196,196,0
Benavente,0,0,0,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,10,10,0,46,46,0
Chamusca,0,0,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,21,0,21,23,0,23
Golegã,0,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,22,22,0,40,40,0,47,47,0,95,95,0
Salvaterra de Magos,0,0,0,21,16,5,32,0,32,158,73,85
Santarém,0,0,0,37,29,8,147,103,44,428,271,157
Alto Alentejo,7,6,1,23,14,9,107,61,46,542,406,136
Alter do Chão,0,0,0,0,0,0,5,5,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0,0,0
Campo Maior,1,0,1,9,0,9,51,5,46,144,8,136
Castelo de Vide,0,0,0,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0,0,0,0
Elvas,6,6,0,12,12,0,7,7,0,136,136,0
Fronteira,0,0,0,0,0,0,0,0,0,14,14,0
Gavião,0,0,0,0,0,0,0,0,0,10,10,0
Marvão,0,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,16,16,0
Ponte de Sor,0,0,0,0,0,0,2,2,0,44,44,0
Portalegre,0,0,0,2,2,0,42,42,0,178,178,0
Sousel,0,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,11,11,0,41,36,5,165,148,17,672,609,63
Alandroal,0,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,24,24,0
Borba,0,0,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0,43,43,0
Évora,11,11,0,30,29,1,110,100,10,421,368,53
Montemor-o-Novo,0,0,0,6,6,0,18,18,0,57,57,0
Mora,0,0,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,20,20,0
Reguengos de Monsaraz,0,0,0,4,0,4,7,0,7,17,7,10
Vendas Novas,0,0,0,0,0,0,9,9,0,47,47,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,6,6,0
Vila Viçosa,0,0,0,1,1,0,21,21,0,37,37,0
Algarve,69,69,0,57,57,0,346,324,22,1737,1576,161
Albufeira,1,1,0,0,0,0,22,22,0,69,69,0
Alcoutim,0,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0,0
Faro,57,57,0,43,43,0,59,59,0,235,235,0
Lagoa,0,0,0,0,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,21,21,0,133,133,0
Loulé,0,0,0,0,0,0,58,51,7,313,234,79
Monchique,0,0,0,0,0,0,0,0,0,0,0,0
Olhão,0,0,0,2,2,0,19,19,0,215,215,0
Portimão,11,11,0,3,3,0,134,119,15,439,357,82
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0,0
Silves,0,0,0,0,0,0,10,10,0,124,124,0
Tavira,0,0,0,0,0,0,0,0,0,97,97,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,9,9,0,23,23,0,112,112,0
R. A. Açores,33,33,0,107,107,0,177,137,40,485,404,81
Santa Maria,0,0,0,10,10,0,9,9,0,18,18,0
Vila do Porto,0,0,0,10,10,0,9,9,0,18,18,0
São Miguel,12,12,0,61,61,0,107,87,20,182,162,20
Lagoa (R.A.A.),4,4,0,4,4,0,14,14,0,11,11,0
Nordeste,0,0,0,0,0,0,1,1,0,2,2,0
Ponta Delgada,8,8,0,34,34,0,67,67,0,71,71,0
Povoação,0,0,0,0,0,0,0,0,0,22,2,20
Ribeira Grande,0,0,0,22,22,0,24,4,20,73,73,0
Vila Franca do Campo,0,0,0,1,1,0,1,1,0,3,3,0
Terceira,21,21,0,35,35,0,26,26,0,167,167,0
Angra do Heroísmo,21,21,0,35,35,0,20,20,0,45,45,0
Vila da Praia da Vitória,0,0,0,0,0,0,6,6,0,122,122,0
Graciosa,0,0,0,0,0,0,13,13,0,5,5,0
Santa Cruz da Graciosa,0,0,0,0,0,0,13,13,0,5,5,0
São Jorge,0,0,0,0,0,0,0,0,0,26,5,21
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,3,3,0
Velas,0,0,0,0,0,0,0,0,0,23,2,21
Pico,0,0,0,0,0,0,20,0,20,27,7,20
Lajes do Pico,0,0,0,0,0,0,0,0,0,2,2,0
Madalena,0,0,0,0,0,0,20,0,20,23,3,20
São Roque do Pico,0,0,0,0,0,0,0,0,0,2,2,0
Faial,0,0,0,0,0,0,2,2,0,52,32,20
Horta,0,0,0,0,0,0,2,2,0,52,32,20
Flores,0,0,0,1,1,0,0,0,0,7,7,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,2,2,0
Santa Cruz das Flores,0,0,0,1,1,0,0,0,0,5,5,0
Corvo,0,0,0,0,0,0,0,0,0,1,1,0
Corvo,0,0,0,0,0,0,0,0,0,1,1,0
R. A. Madeira,670,670,0,102,102,0,716,701,15,1596,1584,12
Calheta (R.A.M.),136,136,0,0,0,0,0,0,0,135,135,0
Câmara de Lobos,171,171,0,7,7,0,39,39,0,116,116,0
Funchal,58,58,0,53,53,0,517,502,15,973,961,12
Machico,45,45,0,24,24,0,88,88,0,97,97,0
Ponta do Sol,173,173,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,29,29,0,0,0,0,0,0,0,113,113,0
Santa Cruz,0,0,0,18,18,0,61,61,0,103,103,0
Santana,43,43,0,0,0,0,5,5,0,31,31,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,15,15,0,0,0,0,6,6,0,28,28,0
