,"Educational institutions, Total, 2020/2021 (N.º)","Educational institutions, Public, 2020/2021 (N.º)","Educational institutions, Private, 2020/2021 (N.º)","Teaching staff, Total, 2019/2020 (N.º)","Teaching staff, Public, 2019/2020 (N.º)","Teaching staff, Private, 2019/2020 (N.º)","Students enrolled, Total, 2020/2021 (N.º)","Students enrolled, Public, 2020/2021 (N.º)","Students enrolled, Private, 2020/2021 (N.º)","Graduates, Total, 2019/2020 (N.º)","Graduates, Public, 2019/2020 (N.º)","Graduates, Private, 2019/2020 (N.º)"
Penela,0,0,0,0,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0,0,0
Região de Leiria,5,3,2,863,767,96,9068,8732,336,1896,1836,60
Alvaiázere,0,0,0,0,0,0,0,0,0,0,0,0
Ansião,0,0,0,0,0,0,0,0,0,0,0,0
Batalha,0,0,0,0,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Leiria,4,3,1,818,767,51,8815,8732,83,1871,1836,35
Marinha Grande,1,0,1,45,0,45,253,0,253,25,0,25
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0,0,0
Pombal,0,0,0,0,0,0,0,0,0,0,0,0
Porto de Mós,0,0,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,7,4,3,540,418,122,5924,5240,684,1187,1007,180
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0,0,0
Viseu,7,4,3,540,418,122,5924,5240,684,1187,1007,180
Vouzela,0,0,0,0,0,0,0,0,0,0,0,0
Beira Baixa,6,6,0,445,445,0,4474,4474,0,887,887,0
Castelo Branco,5,5,0,407,407,0,3903,3903,0,807,807,0
Idanha-a-Nova,1,1,0,38,38,0,571,571,0,80,80,0
Oleiros,0,0,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0,0,0
Médio Tejo,3,3,0,229,229,0,2343,2343,0,375,375,0
Abrantes,1,1,0,0,0,0,436,436,0,67,67,0
Alcanena,0,0,0,0,0,0,0,0,0,0,0,0
Constância,0,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0,0,0,0,0
Tomar,2,2,0,229,229,0,1907,1907,0,308,308,0
Torres Novas,0,0,0,0,0,0,0,0,0,0,0,0
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,5,5,0,995,995,0,11171,11171,0,2215,2215,0
Almeida,0,0,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Covilhã,1,1,0,756,756,0,7851,7851,0,1771,1771,0
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,0,0,0,0,0,0,0,0
Gouveia,0,0,0,0,0,0,0,0,0,0,0,0
Guarda,3,3,0,220,220,0,3020,3020,0,383,383,0
Manteigas,0,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0,0,0,0
Seia,1,1,0,19,19,0,300,300,0,61,61,0
Trancoso,0,0,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,91,53,38,13091,9532,3559,153149,117227,35922,31083,23505,7578
Alcochete,0,0,0,0,0,0,0,0,0,0,0,0
Almada,7,2,5,982,550,432,10351,7263,3088,1716,1084,632
Amadora,1,1,0,82,82,0,437,437,0,112,112,0
Barreiro,1,1,0,78,78,0,634,634,0,58,58,0
Cascais,3,2,1,285,135,150,6658,6205,453,1698,1583,115
Lisboa,67,38,29,10626,7804,2822,122554,91546,31008,24981,18455,6526
Loures,0,0,0,0,0,0,0,0,0,0,0,0
Mafra,0,0,0,0,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0,0,0,0,0
Odivelas,1,0,1,78,0,78,573,0,573,170,0,170
Oeiras,6,4,2,285,208,77,5224,4424,800,1156,1021,135
Palmela,0,0,0,0,0,0,0,0,0,0,0,0
Seixal,0,0,0,0,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0
Setúbal,4,4,0,617,617,0,6528,6528,0,1172,1172,0
Sintra,1,1,0,58,58,0,190,190,0,20,20,0
Vila Franca de Xira,0,0,0,0,0,0,0,0,0,0,0,0
Alentejo,19,18,1,1556,1505,51,17640,16942,698,3546,3439,107
Alentejo Litoral,0,0,0,0,0,0,0,0,0,0,0,0
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0,0,0,0,0
Santiago do Cacém,0,0,0,0,0,0,0,0,0,0,0,0
Sines,0,0,0,0,0,0,0,0,0,0,0,0
Baixo Alentejo,4,4,0,289,289,0,3193,3193,0,583,583,0
Aljustrel,0,0,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0,0,0
Beja,4,4,0,289,289,0,3193,3193,0,583,583,0
Castro Verde,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,6,5,1,417,366,51,4772,4074,698,1004,897,107
Almeirim,0,0,0,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,1,1,0,103,103,0,1024,1024,0,243,243,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0,0,0
Santarém,5,4,1,314,263,51,3748,3050,698,761,654,107
Alto Alentejo,4,4,0,249,249,0,2149,2149,0,548,548,0
Alter do Chão,0,0,0,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0,0,0,0
Elvas,1,1,0,41,41,0,396,396,0,94,94,0
Fronteira,0,0,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0,0,0,0
Portalegre,3,3,0,208,208,0,1753,1753,0,454,454,0
Sousel,0,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,5,5,0,601,601,0,7526,7526,0,1411,1411,0
Alandroal,0,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0,0,0,0
Évora,5,5,0,601,601,0,7526,7526,0,1411,1411,0
Montemor-o-Novo,0,0,0,0,0,0,0,0,0,0,0,0
Mora,0,0,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0,0,0
Algarve,12,10,2,980,856,124,9613,8879,734,1735,1653,82
Albufeira,0,0,0,0,0,0,0,0,0,0,0,0
Alcoutim,0,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0,0
Faro,9,9,0,856,856,0,8472,8472,0,1608,1608,0
Lagoa,0,0,0,0,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,0,0,0,0,0,0
Loulé,0,0,0,0,0,0,0,0,0,0,0,0
Monchique,0,0,0,0,0,0,0,0,0,0,0,0
Olhão,0,0,0,0,0,0,0,0,0,0,0,0
Portimão,2,1,1,90,0,90,926,407,519,104,45,59
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0,0
Silves,1,0,1,34,0,34,215,0,215,23,0,23
Tavira,0,0,0,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0,0,0,0
R. A. Açores,8,8,0,266,266,0,2695,2695,0,578,578,0
Santa Maria,0,0,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0,0,0
São Miguel,5,5,0,224,224,0,2350,2350,0,497,497,0
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,5,5,0,224,224,0,2350,2350,0,497,497,0
Povoação,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0,0,0,0
Terceira,3,3,0,42,42,0,345,345,0,81,81,0
Angra do Heroísmo,3,3,0,42,42,0,345,345,0,81,81,0
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0,0,0,0
Faial,0,0,0,0,0,0,0,0,0,0,0,0
Horta,0,0,0,0,0,0,0,0,0,0,0,0
Flores,0,0,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,8,6,2,396,340,56,3721,3230,491,767,635,132
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0,0,0,0
Funchal,8,6,2,396,340,56,3721,3230,491,767,635,132
Machico,0,0,0,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0,0
