,"Public secondary education, Lower, Total (N.º)","Public secondary education, Lower, of which, Recurrent education (N.º)","Public secondary education, Lower, of which, Adult Education and Training Courses (N.º)","Public secondary education, Lower, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public secondary education, Upper, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public secondary education, Upper, of which, Recurrent education (N.º)","Public secondary education, Upper, of which, Adult Education and Training Courses (N.º)","Public secondary education, Upper, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Santa Maria da Feira,236,0,177,59,433,84,231,118
Santo Tirso,62,0,33,29,207,0,138,68
São João da Madeira,21,0,9,12,74,8,30,36
Trofa,34,0,19,15,84,0,41,43
Vale de Cambra,25,0,25,0,38,0,38,0
Valongo,20,0,20,0,98,0,86,12
Vila do Conde,13,0,13,0,18,0,18,0
Vila Nova de Gaia,322,0,280,42,421,0,347,74
Alto Tâmega,98,0,53,45,230,30,149,50
Boticas,0,0,0,0,0,0,0,0
Chaves,98,0,53,45,193,30,112,50
Montalegre,0,0,0,0,15,0,15,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,22,0,22,0
Tâmega e Sousa,561,0,290,270,988,168,336,479
Amarante,92,0,50,42,91,0,41,48
Baião,0,0,0,0,58,0,58,0
Castelo de Paiva,16,0,16,0,0,0,0,0
Celorico de Basto,39,0,0,39,99,0,17,82
Cinfães,16,0,0,16,65,29,0,36
Felgueiras,45,0,18,27,242,115,49,78
Lousada,58,0,27,31,168,24,80,64
Marco de Canaveses,70,0,19,51,44,0,0,41
Paços de Ferreira,148,0,148,0,36,0,36,0
Penafiel,77,0,12,64,170,0,40,130
Resende,0,0,0,0,15,0,15,0
Douro,154,0,66,88,637,168,145,324
Alijó,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,60,0,36,24,154,0,79,75
Mesão Frio,0,0,0,0,15,0,15,0
Moimenta da Beira,12,0,0,12,77,0,0,77
Murça,0,0,0,0,13,0,13,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,21,0,0,21,52,0,4,48
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,61,0,30,31,326,168,34,124
Terras de Trás-os-Montes,95,0,73,18,380,0,302,76
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,61,0,53,8,207,0,166,39
Macedo de Cavaleiros,0,0,0,0,78,0,78,0
Miranda do Douro,0,0,0,0,9,0,9,0
Mirandela,34,0,20,10,77,0,40,37
Mogadouro,0,0,0,0,4,0,4,0
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,5,0,5,0
Centro,2156,0,1218,926,6615,661,3529,2372
Oeste,304,0,123,179,1302,128,806,356
Alcobaça,20,0,0,20,120,0,86,33
Alenquer,64,0,37,27,285,128,121,36
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,38,0,15,23,81,0,49,30
Cadaval,0,0,0,0,29,0,29,0
Caldas da Rainha,79,0,49,30,300,0,199,100
Lourinhã,26,0,0,26,143,0,92,47
Nazaré,0,0,0,0,28,0,28,0
Óbidos,0,0,0,0,0,0,0,0
Peniche,22,0,0,22,57,0,21,36
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,55,0,22,31,259,0,181,74
Região de Aveiro,473,0,289,179,1226,0,624,582
Águeda,171,0,105,61,384,0,152,214
Albergaria-a-Velha,5,0,0,5,80,0,35,45
Anadia,28,0,0,28,85,0,6,79
Aveiro,160,0,128,32,433,0,276,156
Estarreja,0,0,0,0,44,0,26,18
Ílhavo,12,0,12,0,62,0,61,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,44,0,44,0,58,0,58,0
Sever do Vouga,53,0,0,53,70,0,0,70
Vagos,0,0,0,0,10,0,10,0
Região de Coimbra,341,0,202,136,1283,171,776,332
Arganil,34,0,0,34,127,0,50,77
Cantanhede,12,0,0,12,56,0,22,34
Coimbra,185,0,129,53,793,171,450,169
Condeixa-a-Nova,0,0,0,0,13,0,13,0
Figueira da Foz,67,0,67,0,42,0,42,0
Góis,0,0,0,0,0,0,0,0
Lousã,6,0,6,0,68,0,68,0
Mealhada,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,14,0,14,0
Oliveira do Hospital,17,0,0,17,57,0,42,15
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,20,0,0,20,95,0,57,37
Tábua,0,0,0,0,18,0,18,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0
Região de Leiria,209,0,135,74,534,50,251,228
Alvaiázere,0,0,0,0,0,0,0,0
Ansião,15,0,15,0,11,0,11,0
Batalha,18,0,0,18,41,0,0,41
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,14,0,14,0
Leiria,128,0,97,31,294,50,122,122
Marinha Grande,20,0,11,9,102,0,54,48
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,28,0,12,16,72,0,50,17
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,287,0,122,164,883,289,333,261
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,29,0,29,0
Castro Daire,34,0,12,22,83,0,14,69
Mangualde,52,0,27,25,161,124,0,37
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,31,0,31,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0
São Pedro do Sul,9,0,9,0,41,0,41,0
Sátão,0,0,0,0,13,0,13,0
Tondela,0,0,0,0,42,0,42,0
Vila Nova de Paiva,0,0,0,0,19,0,19,0
Viseu,161,0,43,117,495,165,175,155
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,67,0,48,19,154,0,56,98
Castelo Branco,56,0,48,8,90,0,56,34
Idanha-a-Nova,11,0,0,11,64,0,0,64
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,276,0,141,135,732,0,363,360
Abrantes,87,0,34,53,181,0,62,119
Alcanena,10,0,0,10,77,0,26,50
Constância,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,50,0,15,35,94,0,40,49
Sardoal,0,0,0,0,0,0,0,0
Sertã,17,0,16,1,47,0,34,13
Tomar,91,0,55,36,287,0,155,129
Torres Novas,21,0,21,0,46,0,46,0
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,199,0,158,40,501,23,320,155
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,51,0,29,21,260,0,167,90
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,33,0,14,19,92,0,27,65
Gouveia,0,0,0,0,30,0,30,0
Guarda,113,0,113,0,102,23,79,0
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,2,0,2,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,0,0,0,0,17,0,17,0
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,3287,0,2332,921,10809,1702,5833,3153
Alcochete,0,0,0,0,127,83,44,0
Almada,74,0,27,47,653,204,192,256
Amadora,461,0,392,69,1119,157,565,392
Barreiro,142,0,99,42,294,0,213,77
Cascais,147,0,89,58,466,67,228,170
Lisboa,640,0,444,181,2583,547,1161,820
Loures,197,0,174,22,402,76,260,62
Mafra,76,0,60,16,182,0,157,25
Moita,119,0,94,24,285,66,145,74
Montijo,51,0,26,23,177,0,130,46
Odivelas,223,0,129,92,592,75,302,206
Oeiras,33,0,11,20,298,0,203,74
Palmela,0,0,0,0,0,0,0,0
Seixal,404,0,210,188,822,97,495,229
Sesimbra,30,0,19,10,122,0,77,45
Setúbal,209,0,176,31,770,63,471,223
Sintra,361,0,290,70,1225,267,693,262
Vila Franca de Xira,120,0,92,28,692,0,497,192
Alentejo,764,0,441,303,2698,89,1618,962
Alentejo Litoral,127,0,97,30,355,0,306,46
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,40,0,35,5,74,0,59,12
Odemira,34,0,34,0,43,0,43,0
Santiago do Cacém,53,0,28,25,177,0,152,25
Sines,0,0,0,0,61,0,52,9
Baixo Alentejo,195,0,75,118,647,12,266,358
Aljustrel,56,0,0,56,153,0,0,153
Almodôvar,48,0,0,48,177,0,35,140
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,43,0,32,9,195,0,128,58
Castro Verde,0,0,0,0,5,0,5,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,20,0,20,0
Mértola,10,0,5,5,19,0,12,7
Moura,17,0,17,0,46,0,46,0
Ourique,0,0,0,0,9,0,9,0
Serpa,21,0,21,0,23,12,11,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,233,0,166,51,681,37,425,211
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,73,0,48,12,196,0,67,124
Benavente,0,0,0,0,0,0,0,0
Cartaxo,10,0,0,10,46,0,31,15
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,47,0,28,16,95,37,49,7
Salvaterra de Magos,0,0,0,0,73,0,73,0
Santarém,103,0,90,13,271,0,205,65
Alto Alentejo,61,0,32,28,406,40,257,107
Alter do Chão,5,0,5,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,5,0,5,0,8,0,8,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,7,0,0,7,136,20,72,42
Fronteira,0,0,0,0,14,0,14,0
Gavião,0,0,0,0,10,0,10,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,16,0,16,0
Ponte de Sor,2,0,0,2,44,20,20,4
Portalegre,42,0,22,19,178,0,117,61
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,148,0,71,76,609,0,364,240
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,24,0,21,3
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,43,0,43,0
Évora,100,0,55,45,368,0,196,169
Montemor-o-Novo,18,0,8,9,57,0,34,21
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,20,0,20,0
Reguengos de Monsaraz,0,0,0,0,7,0,7,0
Vendas Novas,9,0,5,4,47,0,28,19
Viana do Alentejo,0,0,0,0,6,0,6,0
Vila Viçosa,21,0,3,18,37,0,9,28
Algarve,324,0,114,208,1576,78,1004,483
Albufeira,22,0,0,22,69,0,35,34
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,59,0,38,21,235,0,161,69
Lagoa,0,0,0,0,0,0,0,0
Lagos,21,0,10,11,133,0,106,27
Loulé,51,0,29,22,234,62,116,54
Monchique,0,0,0,0,0,0,0,0
Olhão,19,0,0,19,215,0,166,47
Portimão,119,0,37,80,357,16,185,155
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,10,0,0,10,124,0,76,48
Tavira,0,0,0,0,97,0,97,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,23,0,0,23,112,0,62,49
R. A. Açores,137,6,60,71,404,112,62,230
Santa Maria,9,0,0,9,18,0,0,18
Vila do Porto,9,0,0,9,18,0,0,18
São Miguel,87,0,40,47,162,0,29,133
Lagoa (R.A.A.),14,0,0,14,11,0,0,11
Nordeste,1,0,0,1,2,0,0,2
Ponta Delgada,67,0,40,27,71,0,0,71
Povoação,0,0,0,0,2,0,0,2
Ribeira Grande,4,0,0,4,73,0,29,44
Vila Franca do Campo,1,0,0,1,3,0,0,3
Terceira,26,6,18,2,167,112,26,29
Angra do Heroísmo,20,0,18,2,45,0,26,19
Vila da Praia da Vitória,6,6,0,0,122,112,0,10
Graciosa,13,0,0,13,5,0,0,5
Santa Cruz da Graciosa,13,0,0,13,5,0,0,5
São Jorge,0,0,0,0,5,0,0,5
Calheta (R.A.A.),0,0,0,0,3,0,0,3
Velas,0,0,0,0,2,0,0,2
Pico,0,0,0,0,7,0,0,7
Lajes do Pico,0,0,0,0,2,0,0,2
Madalena,0,0,0,0,3,0,0,3
São Roque do Pico,0,0,0,0,2,0,0,2
Faial,2,0,2,0,32,0,7,25
Horta,2,0,2,0,32,0,7,25
Flores,0,0,0,0,7,0,0,7
Lajes das Flores,0,0,0,0,2,0,0,2
Santa Cruz das Flores,0,0,0,0,5,0,0,5
Corvo,0,0,0,0,1,0,0,1
Corvo,0,0,0,0,1,0,0,1
R. A. Madeira,701,0,405,65,1584,0,979,61
Calheta (R.A.M.),0,0,0,0,135,0,31,0
Câmara de Lobos,39,0,39,0,116,0,84,0
Funchal,502,0,234,65,961,0,595,61
Machico,88,0,60,0,97,0,97,0
Ponta do Sol,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,113,0,29,0
Santa Cruz,61,0,61,0,103,0,103,0
Santana,5,0,5,0,31,0,31,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,6,0,6,0,28,0,9,0
