,"Capital expenditures, Total (Euros)","Capital expenditures, of which, Cultural heritage, Total (Euros)","Capital expenditures, of which, Cultural heritage, Museums (Euros)","Capital expenditures, of which, Libraries and archives, Total (Euros)","Capital expenditures, of which, Libraries and archives, Libraries (Euros)","Capital expenditures, of which, Performing arts, Total (Euros)","Capital expenditures, of which, Performing arts, Music (Euros)","Capital expenditures, of which, Performing arts, Multidisciplinary (Euros)","Capital expenditures, of which, Performing arts, Construction and maintenance of art facilities (Euros)","Capital expenditures, of which, Interdisciplinary activities , Total (Euros)","Capital expenditures, of which, Interdisciplinary activities , Support to cultural and creative organisations (Euros)"
Almeirim,0,0,0,0,0,0,0,0,0,0,0
Alpiarça,3344,0,0,3344,3344,0,0,0,0,0,0
Azambuja,179357,1626,0,3987,3987,0,0,0,0,0,0
Benavente,30789,30789,30789,0,0,0,0,0,0,0,0
Cartaxo,44551,11843,11843,0,0,31406,0,0,31406,0,0
Chamusca,38410,0,0,0,0,5342,5342,0,0,0,0
Coruche,3950,3950,3950,0,0,0,0,0,0,0,0
Golegã,6242,3516,3516,1824,1824,0,0,0,0,0,0
Rio Maior,629875,530135,4350,42351,20880,31116,9760,0,21356,0,0
Salvaterra de Magos,648761,29231,8349,0,0,619530,4956,0,612461,0,0
Santarém,177819,50558,0,3904,3904,123148,0,0,16872,0,0
Alto Alentejo,3489294,2420967.9999999995,1902804.9999999998,27154.000000000004,27154.000000000004,893520,421900.9999999999,11486.999999999998,437457.99999999994,25543,25543
Alter do Chão,396736,18688,0,0,0,313559,0,0,313559,0,0
Arronches,90941,0,0,0,0,90941,0,0,90941,0,0
Avis,4805,0,0,0,0,0,0,0,0,4805,4805
Campo Maior,522,221,221,0,0,0,0,0,0,0,0
Castelo de Vide,219105,175949,175949,0,0,0,0,0,0,0,0
Crato,456845,28088,28088,445,445,421901,421901,0,0,5486,5486
Elvas,2019459,2007972,1508497,0,0,11487,0,11487,0,0,0
Fronteira,820,0,0,0,0,0,0,0,0,0,0
Gavião,1134,809,809,325,325,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0
Nisa,24034,0,0,0,0,0,0,0,0,15252,15252
Ponte de Sor,29463,0,0,0,0,25827,0,0,3153,0,0
Portalegre,245430,189241,189241,26384,26384,29805,0,0,29805,0,0
Sousel,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,3431380.000000001,1296595,47236.999999999985,369845,369345.00000000006,1323880.9999999998,4468.999999999999,1067189.9999999998,199501,389665,104584.99999999999
Alandroal,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,73890,58027,34103,456,456,0,0,0,0,13088,13088
Borba,29716,0,0,0,0,4995,0,1080,0,24721,0
Estremoz,694985,321371,0,358623,358623,0,0,0,0,14991,14991
Évora,1141418,62345,3933,500,0,1078073,0,1031073,0,0,0
Montemor-o-Novo,514467,406387,0,1146,1146,9063,0,0,9063,56893,52299
Mora,13018,4716,4716,0,0,2336,2336,0,0,0,0
Mourão,222151,34571,0,0,0,187580,0,0,187580,0,0
Portel,281333,215754,1113,0,0,39834,2133,33037,2858,24207,24207
Redondo,157764,145940,1354,584,584,0,0,0,0,11240,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,251380,21,0,8536,8536,2000,0,2000,0,240823,0
Vila Viçosa,51258,47463,2018,0,0,0,0,0,0,3702,0
Algarve,3430686.9999999995,2755440.0000000005,464765,153176,76288,89921,0,0,89921,189851,141058
Albufeira,124845,76021,31027,0,0,29636,0,0,29636,0,0
Alcoutim,20295,0,0,0,0,0,0,0,0,20295,0
Aljezur,5579,552,552,1500,0,3527,0,0,3527,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0
Faro,34805,0,0,4136,3659,5669,0,0,5669,25000,25000
Lagoa,43045,0,0,18045,0,0,0,0,0,25000,25000
Lagos,431258,413216,306247,1867,1867,16175,0,0,16175,0,0
Loulé,1691296,1456973,0,44298,44298,0,0,0,0,0,0
Monchique,1900,1900,0,0,0,0,0,0,0,0,0
Olhão,57415,0,0,0,0,0,0,0,0,57415,57415
Portimão,143657,123514,123514,0,0,0,0,0,0,20143,20143
São Brás de Alportel,91158,36152,0,13087,13087,0,0,0,0,8833,5500
Silves,727016,647112,3425,11825,10269,34914,0,0,34914,33165,8000
Tavira,3108,0,0,3108,3108,0,0,0,0,0,0
Vila do Bispo,55310,0,0,55310,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0,0,0
R. A. Açores,2800663,648298,0,21741,20087.999999999996,1154527.0000000002,736492.0000000001,0,230410.99999999997,809647.9999999999,728755.0000000001
Santa Maria,153600,0,0,0,0,153600,153600,0,0,0,0
Vila do Porto,153600,0,0,0,0,153600,153600,0,0,0,0
São Miguel,1398493,121087,0,10848,9195,729067,576220,0,0,537491,488201
Lagoa (R.A.A.),49290,0,0,0,0,0,0,0,0,49290,0
Nordeste,0,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,27973,18778,0,9195,9195,0,0,0,0,0,0
Povoação,113936,0,0,0,0,37798,37798,0,0,76138,76138
Ribeira Grande,1205641,102309,0,0,0,691269,538422,0,0,412063,412063
Vila Franca do Campo,1653,0,0,1653,0,0,0,0,0,0,0
Terceira,828490,527211,0,10893,10893,233140,6672,0,191691,0,0
Angra do Heroísmo,828490,527211,0,10893,10893,233140,6672,0,191691,0,0
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0,0,0
Graciosa,38031,0,0,0,0,0,0,0,0,31603,0
Santa Cruz da Graciosa,38031,0,0,0,0,0,0,0,0,31603,0
São Jorge,102775,0,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),2593,0,0,0,0,0,0,0,0,0,0
Velas,100182,0,0,0,0,0,0,0,0,0,0
Pico,201150,0,0,0,0,38720,0,0,38720,162430,162430
Lajes do Pico,148430,0,0,0,0,0,0,0,0,148430,148430
Madalena,14000,0,0,0,0,0,0,0,0,14000,14000
São Roque do Pico,38720,0,0,0,0,38720,0,0,38720,0,0
Faial,78124,0,0,0,0,0,0,0,0,78124,78124
Horta,78124,0,0,0,0,0,0,0,0,78124,78124
Flores,0,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,103992.99999999997,80855,21785,3210,3210,9928,0,240.00000000000003,0,10000,10000
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,13450,0,0,3210,3210,240,0,240,0,10000,10000
Funchal,29659,19971,19971,0,0,9688,0,0,0,0,0
Machico,2173,2173,1814,0,0,0,0,0,0,0,0
Ponta do Sol,58711,58711,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0
