,Museums in activity (N.º),"Museums that fulfilled the selection criteria, Number (N.º)","Museums that fulfilled the selection criteria, Visitors, Total (N.º)","Museums that fulfilled the selection criteria, Visitors, School visitors (N.º)","Museums that fulfilled the selection criteria, Visitors, Foreign visitors  (N.º)","Museums that fulfilled the selection criteria, Goods, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Number, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Temporary exhibitions, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Pieces exhibited, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Represented authors, Foreign visitors  (N.º)"
Amadora,2,2,2578,646,0,64228,4,10,683,85
Barreiro,1,0,0,0,0,0,3,5,66,7
Cascais,9,8,46503,6384,13471,196532,16,46,1818,277
Lisboa,57,43,1467091,134034,527285,10075408,128,644,32009,5601
Loures,4,3,3086,891,93,593504,5,11,400,172
Mafra,5,1,131017,20665,37107,94576,2,19,482,169
Moita,0,0,0,0,0,0,3,8,153,23
Montijo,3,1,2258,119,0,8765,4,14,448,94
Odivelas,0,0,0,0,0,0,2,10,262,10
Oeiras,1,1,1531,634,24,216,4,10,460,69
Palmela,2,1,8856,2461,0,251029,3,5,98,16
Seixal,1,1,8098,3847,0,181085,3,12,260,108
Sesimbra,2,1,98941,1281,40722,4272,2,79,1651,929
Setúbal,4,4,36888,3191,7342,1475015,8,53,2121,294
Sintra,13,10,584577,9837,438437,271914,11,34,1729,262
Vila Franca de Xira,6,3,19193,6688,157,179758,10,30,1966,97
Alentejo,93,55,287821,31653,66372,712494,94,367,10654,2623
Alentejo Litoral,8,4,5968,1070,1357,29123,8,25,980,113
Alcácer do Sal,3,1,…,…,…,…,2,5,395,5
Grândola,2,1,…,…,…,…,0,0,0,0
Odemira,0,0,0,0,0,0,1,3,75,27
Santiago do Cacém,2,1,…,…,…,21795,4,14,362,55
Sines,1,1,2140,205,546,…,1,3,148,26
Baixo Alentejo,23,13,35362,3420,7958,78871,17,120,3615,1123
Aljustrel,2,1,1435,185,18,1798,2,7,316,162
Almodôvar,2,1,1369,215,115,492,1,12,165,38
Alvito,1,0,0,0,0,0,1,10,770,201
Barrancos,1,1,267,38,61,1527,1,1,5,5
Beja,6,1,200,180,2,2000,2,10,434,33
Castro Verde,3,2,…,…,…,…,2,48,786,320
Cuba,1,1,…,…,…,…,2,10,423,13
Ferreira do Alentejo,1,1,1976,268,0,36376,1,3,143,103
Mértola,1,1,15619,0,5078,3670,3,7,312,236
Moura,1,1,3164,422,523,2685,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0,0
Serpa,3,2,…,…,…,…,1,3,62,3
Vidigueira,1,1,612,80,12,4307,1,9,199,9
Lezíria do Tejo,10,9,16621,1933,2548,463794,19,59,1606,367
Almeirim,1,1,…,200,0,…,3,13,386,77
Alpiarça,1,1,3707,429,218,62001,1,3,105,4
Azambuja,0,0,0,0,0,0,1,1,12,12
Benavente,1,1,0,0,0,41000,0,0,0,0
Cartaxo,1,1,830,…,41,3683,1,1,14,1
Chamusca,0,0,0,0,0,0,0,0,0,0
Coruche,1,1,1757,101,…,333716,1,1,48,48
Golegã,2,2,2508,481,221,13230,3,13,207,63
Rio Maior,0,0,0,0,0,0,2,6,101,6
Salvaterra de Magos,0,0,0,0,0,0,4,15,643,108
Santarém,3,2,…,…,…,…,3,6,90,48
Alto Alentejo,26,13,51062,2535,9820,39822,16,69,1490,309
Alter do Chão,1,0,0,0,0,0,0,0,0,0
Arronches,1,0,0,0,0,0,0,0,0,0
Avis,3,1,454,31,44,2843,2,5,158,68
Campo Maior,4,1,…,…,…,…,1,1,50,1
Castelo de Vide,1,0,0,0,0,0,0,0,0,0
Crato,1,0,0,0,0,0,0,0,0,0
Elvas,4,3,17512,326,5691,8813,3,15,422,70
Fronteira,1,0,0,0,0,0,0,0,0,0
Gavião,1,1,2959,0,100,98,1,3,68,32
Marvão,2,2,…,…,…,…,1,2,25,3
Monforte,1,0,0,0,0,0,0,0,0,0
Nisa,2,1,1399,15,76,1114,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,1,9,183,23
Portalegre,3,3,7406,572,891,17355,5,26,488,75
Sousel,1,1,514,41,9,1486,2,8,96,37
Alentejo Central,26,16,178808,22695,44689,100884,34,94,2963,711
Alandroal,0,0,0,0,0,0,1,1,21,1
Arraiolos,2,1,4581,111,764,…,2,3,66,3
Borba,2,0,0,0,0,0,0,0,0,0
Estremoz,3,1,…,…,…,…,2,12,278,69
Évora,6,4,117705,5381,36659,7528,13,41,1346,486
Montemor-o-Novo,2,1,…,…,…,…,4,11,237,52
Mora,2,1,2602,366,…,546,1,1,133,8
Mourão,1,1,9282,3000,1500,21490,1,2,44,2
Portel,1,0,0,0,0,0,3,6,152,65
Redondo,3,3,…,…,96,661,2,4,148,11
Reguengos de Monsaraz,1,1,4830,0,1521,1,1,3,67,3
Vendas Novas,0,0,0,0,0,0,1,3,60,3
Viana do Alentejo,0,0,0,0,0,0,1,5,126,5
Vila Viçosa,3,3,26225,5737,3789,34433,2,2,285,3
Algarve,28,15,159743,6741,112823,690133,42,179,5580,1081
Albufeira,1,0,0,0,0,0,2,19,408,123
Alcoutim,1,1,7789,212,4546,2419,1,9,315,12
Aljezur,3,1,580,0,383,516,2,6,174,24
Castro Marim,1,0,0,0,0,0,1,1,16,1
Faro,4,2,14102,1580,7584,15270,6,35,747,250
Lagoa,0,0,0,0,0,0,4,18,797,123
Lagos,4,2,…,…,…,…,4,8,229,40
Loulé,2,2,…,…,…,…,6,28,952,199
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,2,1,856,437,12,799,2,9,357,10
Portimão,1,1,11252,996,6171,79216,1,6,396,35
São Brás de Alportel,2,1,…,…,…,…,4,16,380,35
Silves,3,2,12143,305,10835,7616,2,2,151,2
Tavira,3,1,27375,759,17808,4253,2,3,71,32
Vila do Bispo,1,1,4764,53,0,5,1,6,183,86
Vila Real de Santo António,0,0,0,0,0,0,4,13,404,109
R. A. Açores,33,19,68706,7647,15050,276561,23,124,3117,468
Santa Maria,1,1,1495,91,143,2114,2,6,157,9
Vila do Porto,1,1,1495,91,143,2114,2,6,157,9
São Miguel,17,10,26409,6104,6275,178032.00000000006,11,40,1009,150
Lagoa (R.A.A.),4,2,…,…,…,…,1,3,70,3
Nordeste,1,1,…,…,…,…,0,0,0,0
Ponta Delgada,3,2,15028,2128,5157,149934,5,18,504,43
Povoação,1,0,0,0,0,0,0,0,0,0
Ribeira Grande,7,4,5026,1006,601,9058,4,18,419,103
Vila Franca do Campo,1,1,1929,384,157,12023,1,1,16,1
Terceira,4,1,7333,164,1929,40271,3,42,1048,222
Angra do Heroísmo,2,1,7333,164,1929,40271,2,37,898,212
Vila da Praia da Vitória,2,0,0,0,0,0,1,5,150,10
Graciosa,1,1,2535,184,44,13646,1,21,547,21
Santa Cruz da Graciosa,1,1,2535,184,44,13646,1,21,547,21
São Jorge,2,1,943,245,28,4962,1,3,52,3
Calheta (R.A.A.),1,1,943,245,28,4962,1,3,52,3
Velas,1,0,0,0,0,0,0,0,0,0
Pico,3,1,16165,186,3307,8309,2,7,168,58
Lajes do Pico,1,1,16165,186,3307,8309,1,5,119,23
Madalena,1,0,0,0,0,0,0,0,0,0
São Roque do Pico,1,0,0,0,0,0,1,2,49,35
Faial,4,3,12438,673,3144,25889,3,5,136,5
Horta,4,3,12438,673,3144,25889,3,5,136,5
Flores,1,1,1388,0,180,3338,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,1,1,1388,0,180,3338,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,24,17,72095,7916,30869,54488,30,114,3545,546
Calheta (R.A.M.),1,1,8957,1262,3384,700,2,6,252,37
Câmara de Lobos,1,1,3203,271,179,44,4,48,610,98
Funchal,15,11,43902,4913,18983,46510,15,32,1235,259
Machico,2,1,8597,570,5254,422,2,3,100,26
Ponta do Sol,0,0,0,0,0,0,2,5,111,6
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,1,1,2586,725,905,5647,1,6,150,26
Santa Cruz,0,0,0,0,0,0,1,3,50,20
Santana,1,0,0,0,0,0,1,6,868,66
São Vicente,1,1,981,50,434,531,0,0,0,0
Porto Santo,2,1,3869,125,1730,634,2,5,169,8
