,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Com menos de 21 alunas/os (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado (N.º)"
Celorico de Basto,16,15,1,4,0,4,0,3,3,0,4,4,0,2,2,0
Cinfães,11,11,0,11,0,11,0,2,2,0,2,2,0,2,1,1
Felgueiras,37,26,11,29,0,27,2,6,6,0,8,8,0,6,5,1
Lousada,29,25,4,27,1,25,2,7,5,2,8,6,2,6,4,2
Marco de Canaveses,45,42,3,35,0,35,0,4,4,0,7,7,0,4,4,0
Paços de Ferreira,21,14,7,16,0,14,2,6,4,2,9,6,3,5,3,2
Penafiel,43,37,6,37,1,36,1,5,5,0,8,7,1,4,3,1
Resende,4,3,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Douro,103,68,35,57,2,53,4,24,22,2,30,27,3,29,20,9
Alijó,9,5,4,6,0,6,0,2,2,0,2,2,0,1,1,0
Armamar,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Carrazeda de Ansiães,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Freixo de Espada à Cinta,3,1,2,1,0,1,0,1,1,0,1,1,0,0,0,0
Lamego,10,5,5,7,1,5,2,3,2,1,4,3,1,6,3,3
Mesão Frio,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Moimenta da Beira,5,3,2,3,0,3,0,1,1,0,1,1,0,2,1,1
Murça,2,1,1,1,0,1,0,1,1,0,2,1,1,2,1,1
Penedono,2,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Peso da Régua,8,4,4,2,0,2,0,1,1,0,2,2,0,2,2,0
Sabrosa,4,3,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Santa Marta de Penaguião,5,2,3,4,1,4,0,1,1,0,1,1,0,0,0,0
São João da Pesqueira,6,6,0,4,0,4,0,1,1,0,2,1,1,2,1,1
Sernancelhe,2,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
Tabuaço,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Tarouca,3,2,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Torre de Moncorvo,7,6,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Vila Nova de Foz Côa,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Real,28,22,6,18,0,16,2,3,2,1,5,5,0,5,3,2
Terras de Trás-os-Montes,62,43,19,39,6,35,4,14,14,0,18,15,3,15,11,4
Alfândega da Fé,4,3,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Bragança,18,9,9,13,2,10,3,4,4,0,6,4,2,5,3,2
Macedo de Cavaleiros,8,6,2,4,0,4,0,1,1,0,1,1,0,2,1,1
Miranda do Douro,4,3,1,3,1,3,0,2,2,0,2,2,0,1,1,0
Mirandela,10,7,3,6,0,5,1,2,2,0,4,3,1,3,2,1
Mogadouro,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Flor,8,7,1,4,0,4,0,1,1,0,1,1,0,1,1,0
Vimioso,2,2,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Vinhais,5,4,1,5,3,5,0,1,1,0,1,1,0,1,1,0
Centro,1444,966,478,1074,108,1016,58,273,230,43,338,275,63,227,144,83
Oeste,210,149,61,171,17,161,10,38,32,6,43,33,10,30,16,14
Alcobaça,34,20,14,25,2,24,1,5,5,0,6,5,1,4,3,1
Alenquer,19,15,4,20,2,20,0,4,4,0,4,4,0,2,1,1
Arruda dos Vinhos,5,4,1,4,0,4,0,2,1,1,2,0,2,2,0,2
Bombarral,5,4,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Cadaval,11,10,1,10,2,10,0,1,1,0,1,1,0,1,1,0
Caldas da Rainha,35,24,11,28,3,24,4,5,3,2,7,5,2,5,3,2
Lourinhã,15,12,3,15,0,15,0,3,3,0,3,3,0,1,1,0
Nazaré,6,4,2,5,2,5,0,1,1,0,2,1,1,3,1,2
Óbidos,10,9,1,3,0,3,0,3,3,0,1,1,0,1,1,0
Peniche,14,8,6,13,1,13,0,3,3,0,4,3,1,2,1,1
Sobral de Monte Agraço,5,4,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Torres Vedras,51,35,16,43,5,38,5,9,6,3,11,8,3,7,2,5
Região de Aveiro,240,133,107,151,5,143,8,40,33,7,50,41,9,31,19,12
Águeda,28,12,16,14,0,13,1,5,4,1,6,5,1,2,2,0
Albergaria-a-Velha,23,14,9,15,0,14,1,4,3,1,4,3,1,3,1,2
Anadia,20,10,10,14,0,12,2,4,2,2,4,2,2,4,1,3
Aveiro,53,25,28,33,2,31,2,9,7,2,12,9,3,7,4,3
Estarreja,15,7,8,8,0,7,1,3,3,0,3,3,0,1,1,0
Ílhavo,25,16,9,18,0,18,0,3,3,0,4,4,0,2,2,0
Murtosa,6,4,2,4,0,4,0,2,2,0,2,2,0,1,1,0
Oliveira do Bairro,17,9,8,9,0,9,0,2,2,0,2,2,0,2,1,1
Ovar,33,20,13,21,0,20,1,5,5,0,8,7,1,4,3,1
Sever do Vouga,8,7,1,5,2,5,0,1,1,0,1,1,0,2,1,1
Vagos,12,9,3,10,1,10,0,2,1,1,4,3,1,3,2,1
Região de Coimbra,275,166,109,204,13,189,15,54,45,9,71,57,14,45,28,17
Arganil,7,6,1,6,0,6,0,2,2,0,2,2,0,1,1,0
Cantanhede,23,14,9,19,2,18,1,4,3,1,6,4,2,3,2,1
Coimbra,80,32,48,67,5,57,10,17,10,7,21,14,7,15,9,6
Condeixa-a-Nova,8,6,2,6,1,6,0,1,1,0,2,2,0,1,1,0
Figueira da Foz,35,20,15,30,2,26,4,4,4,0,9,7,2,5,3,2
Góis,4,3,1,3,0,3,0,1,1,0,1,1,0,0,0,0
Lousã,7,5,2,4,0,4,0,2,2,0,2,2,0,2,1,1
Mealhada,12,8,4,6,0,6,0,2,2,0,3,3,0,2,1,1
Mira,8,6,2,8,0,8,0,1,1,0,1,1,0,1,1,0
Miranda do Corvo,9,7,2,8,1,8,0,2,2,0,2,2,0,1,1,0
Montemor-o-Velho,15,8,7,8,0,8,0,4,4,0,5,4,1,2,1,1
Mortágua,2,1,1,1,0,1,0,1,1,0,2,2,0,1,1,0
Oliveira do Hospital,20,15,5,10,1,10,0,4,4,0,4,4,0,2,1,1
Pampilhosa da Serra,3,1,2,2,0,2,0,1,1,0,1,1,0,1,1,0
Penacova,9,9,0,6,1,6,0,2,2,0,3,2,1,2,1,1
Penela,3,3,0,3,0,3,0,1,1,0,1,1,0,1,0,1
Soure,15,10,5,11,0,11,0,2,1,1,3,2,1,2,1,1
Tábua,10,9,1,3,0,3,0,2,2,0,2,2,0,2,1,1
Vila Nova de Poiares,5,3,2,3,0,3,0,1,1,0,1,1,0,1,1,0
Região de Leiria,200,145,55,154,12,146,8,34,24,10,40,28,12,28,16,12
Alvaiázere,2,2,0,2,0,2,0,1,1,0,1,1,0,2,1,1
Ansião,10,7,3,6,1,6,0,2,2,0,2,2,0,2,1,1
Batalha,12,8,4,10,1,10,0,1,1,0,1,1,0,1,1,0
Castanheira de Pêra,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Figueiró dos Vinhos,4,3,1,3,2,3,0,1,1,0,1,1,0,1,1,0
Leiria,92,62,30,66,4,62,4,14,9,5,15,10,5,8,5,3
Marinha Grande,22,16,6,19,1,17,2,4,3,1,7,5,2,5,3,2
Pedrógão Grande,3,2,1,2,1,2,0,1,1,0,1,1,0,1,0,1
Pombal,33,27,6,29,2,28,1,6,3,3,8,4,4,5,2,3
Porto de Mós,21,17,4,16,0,15,1,3,2,1,3,2,1,3,2,1
Viseu Dão Lafões,190,150,40,140,25,136,4,32,30,2,44,39,5,25,18,7
Aguiar da Beira,4,4,0,3,0,3,0,1,1,0,1,1,0,1,1,0
Carregal do Sal,2,2,0,2,0,2,0,2,2,0,3,3,0,1,1,0
Castro Daire,12,11,1,12,5,12,0,2,2,0,3,2,1,2,1,1
Mangualde,15,12,3,7,1,7,0,1,1,0,2,2,0,1,1,0
Nelas,14,10,4,10,3,9,1,2,2,0,3,3,0,2,2,0
Oliveira de Frades,10,9,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Penalva do Castelo,4,4,0,4,0,4,0,1,1,0,1,1,0,1,1,0
Santa Comba Dão,4,3,1,3,0,3,0,1,1,0,1,1,0,1,1,0
São Pedro do Sul,12,10,2,8,1,8,0,2,2,0,3,3,0,2,1,1
Sátão,8,7,1,5,1,5,0,2,2,0,3,3,0,1,1,0
Tondela,24,21,3,14,4,14,0,4,4,0,5,5,0,3,2,1
Vila Nova de Paiva,4,4,0,3,1,3,0,1,1,0,2,2,0,1,1,0
Viseu,69,46,23,57,6,54,3,10,8,2,13,10,3,6,3,3
Vouzela,8,7,1,9,3,9,0,2,2,0,3,2,1,2,1,1
Beira Baixa,45,30,15,35,5,33,2,11,11,0,15,13,2,10,7,3
Castelo Branco,26,16,10,23,5,21,2,6,6,0,9,8,1,5,3,2
Idanha-a-Nova,9,7,2,5,0,5,0,1,1,0,2,1,1,2,1,1
Oleiros,4,3,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Penamacor,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Proença-a-Nova,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Vila Velha de Ródão,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Médio Tejo,135,98,37,98,4,89,9,30,25,5,34,29,5,29,20,9
Abrantes,18,12,6,14,0,13,1,4,4,0,5,5,0,5,5,0
Alcanena,13,11,2,6,0,6,0,2,2,0,2,2,0,1,1,0
Constância,3,3,0,3,0,3,0,1,1,0,1,1,0,1,1,0
Entroncamento,8,4,4,6,0,3,3,2,1,1,3,2,1,2,1,1
Ferreira do Zêzere,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Mação,2,2,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Ourém,28,22,6,25,0,24,1,7,4,3,7,4,3,5,1,4
Sardoal,2,2,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Sertã,10,8,2,8,2,8,0,3,2,1,2,1,1,4,2,2
Tomar,23,17,6,19,2,17,2,3,3,0,5,5,0,3,2,1
Torres Novas,17,9,8,10,0,8,2,3,3,0,4,4,0,3,2,1
Vila de Rei,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Vila Nova da Barquinha,6,5,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Beiras e Serra da Estrela,149,95,54,121,27,119,2,34,30,4,41,35,6,29,20,9
Almeida,2,2,0,2,0,2,0,2,2,0,2,2,0,2,2,0
Belmonte,7,4,3,2,0,2,0,1,1,0,1,1,0,1,1,0
Celorico da Beira,5,2,3,5,2,5,0,1,1,0,1,1,0,1,1,0
Covilhã,37,26,11,29,4,28,1,6,5,1,9,8,1,5,4,1
Figueira de Castelo Rodrigo,5,3,2,2,1,2,0,1,1,0,1,1,0,1,1,0
Fornos de Algodres,4,4,0,2,1,2,0,1,1,0,1,1,0,1,1,0
Fundão,22,15,7,23,3,23,0,4,3,1,6,4,2,2,1,1
Gouveia,11,7,4,8,2,8,0,2,2,0,3,2,1,2,1,1
Guarda,24,13,11,25,8,24,1,5,4,1,5,4,1,4,2,2
Manteigas,2,1,1,1,0,1,0,1,1,0,1,1,0,2,1,1
Mêda,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Pinhel,4,2,2,4,2,4,0,2,2,0,1,1,0,1,1,0
Sabugal,6,4,2,6,3,6,0,2,1,1,2,1,1,1,1,0
Seia,12,6,6,6,0,6,0,3,3,0,4,4,0,3,1,2
Trancoso,6,5,1,5,1,5,0,2,2,0,3,3,0,2,1,1
A. M. Lisboa,1398,585,813,879,5,617,262,299,181,118,345,238,107,232,128,104
Alcochete,11,6,5,7,0,6,1,2,1,1,2,2,0,1,1,0
Almada,93,39,54,51,0,40,11,17,14,3,22,18,4,16,10,6
Amadora,79,31,48,45,0,29,16,17,12,5,18,14,4,10,6,4
Barreiro,39,22,17,25,0,20,5,9,7,2,10,8,2,7,5,2
Cascais,116,38,78,84,0,45,39,32,10,22,29,12,17,22,11,11
Lisboa,282,97,185,185,1,88,97,89,40,49,102,54,48,77,32,45
Loures,98,54,44,62,1,56,6,16,13,3,22,18,4,10,7,3
Mafra,37,25,12,20,0,17,3,7,4,3,8,4,4,8,3,5
Moita,28,19,9,23,0,22,1,6,6,0,6,6,0,3,2,1
Montijo,30,14,16,22,1,19,3,5,3,2,6,5,1,3,2,1
Odivelas,70,29,41,38,0,31,7,10,8,2,16,14,2,8,6,2
Oeiras,82,20,62,45,0,29,16,16,10,6,17,13,4,13,8,5
Palmela,31,14,17,25,0,20,5,7,3,4,7,5,2,5,3,2
Seixal,81,33,48,43,0,34,9,10,8,2,16,13,3,8,5,3
Sesimbra,25,14,11,16,0,14,2,5,5,0,6,6,0,3,2,1
Setúbal,57,17,40,40,0,31,9,10,6,4,11,10,1,10,7,3
Sintra,186,87,99,110,0,82,28,30,22,8,37,27,10,20,12,8
Vila Franca de Xira,53,26,27,38,2,34,4,11,9,2,10,9,1,8,6,2
Alentejo,465,330,135,364,45,355,9,96,91,5,127,116,11,73,56,17
Alentejo Litoral,65,46,19,52,7,52,0,13,12,1,17,15,2,10,7,3
Alcácer do Sal,6,4,2,7,2,7,0,2,2,0,2,2,0,1,1,0
Grândola,10,8,2,8,1,8,0,1,1,0,3,3,0,2,2,0
Odemira,21,17,4,16,1,16,0,5,4,1,6,4,2,3,1,2
Santiago do Cacém,21,13,8,17,3,17,0,4,4,0,4,4,0,2,2,0
Sines,7,4,3,4,0,4,0,1,1,0,2,2,0,2,1,1
Baixo Alentejo,86,67,19,70,8,69,1,19,18,1,27,23,4,17,11,6
Aljustrel,7,5,2,4,0,4,0,1,1,0,2,2,0,1,1,0
Almodôvar,5,4,1,5,2,5,0,1,1,0,1,1,0,1,1,0
Alvito,2,2,0,1,0,1,0,1,1,0,2,1,1,1,0,1
Barrancos,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Beja,22,13,9,15,1,14,1,4,3,1,6,5,1,3,2,1
Castro Verde,5,4,1,4,0,4,0,1,1,0,2,2,0,1,1,0
Cuba,4,4,0,3,1,3,0,1,1,0,2,1,1,1,0,1
Ferreira do Alentejo,7,5,2,6,1,6,0,1,1,0,1,1,0,1,1,0
Mértola,6,6,0,6,0,6,0,1,1,0,1,1,0,2,1,1
Moura,10,9,1,10,0,10,0,2,2,0,3,2,1,2,1,1
Ourique,5,4,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Serpa,7,6,1,8,2,8,0,3,3,0,4,4,0,2,2,0
Vidigueira,5,4,1,4,0,4,0,1,1,0,1,1,0,1,0,1
Lezíria do Tejo,124,91,33,105,15,101,4,24,24,0,34,32,2,18,13,5
Almeirim,10,7,3,7,0,7,0,2,2,0,3,3,0,1,1,0
Alpiarça,3,2,1,2,1,2,0,1,1,0,1,1,0,1,1,0
Azambuja,11,6,5,10,1,10,0,3,3,0,4,4,0,1,1,0
Benavente,13,11,2,9,1,9,0,3,3,0,4,4,0,2,2,0
Cartaxo,9,6,3,10,3,10,0,2,2,0,3,3,0,1,1,0
Chamusca,7,7,0,5,2,5,0,1,1,0,1,1,0,1,1,0
Coruche,11,8,3,10,3,10,0,2,2,0,4,3,1,2,1,1
Golegã,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Rio Maior,9,6,3,10,0,8,2,2,2,0,3,3,0,2,1,1
Salvaterra de Magos,9,5,4,6,1,6,0,2,2,0,2,2,0,2,1,1
Santarém,39,31,8,34,3,32,2,5,5,0,8,7,1,4,2,2
Alto Alentejo,82,56,26,56,5,54,2,20,19,1,22,21,1,13,12,1
Alter do Chão,2,2,0,1,0,1,0,1,1,0,2,2,0,2,2,0
Arronches,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Avis,4,4,0,4,1,4,0,1,1,0,1,1,0,0,0,0
Campo Maior,3,1,2,1,0,1,0,1,1,0,1,1,0,1,1,0
Castelo de Vide,3,2,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Crato,2,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
Elvas,18,12,6,12,2,11,1,4,3,1,4,3,1,1,1,0
Fronteira,3,2,1,2,0,2,0,1,1,0,1,1,0,0,0,0
Gavião,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Marvão,2,2,0,2,0,2,0,1,1,0,1,1,0,0,0,0
Monforte,4,4,0,4,1,4,0,1,1,0,1,1,0,0,0,0
Nisa,3,3,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Ponte de Sor,12,7,5,10,0,9,1,2,2,0,2,2,0,1,1,0
Portalegre,16,9,7,10,0,10,0,2,2,0,3,3,0,3,3,0
Sousel,5,4,1,4,1,4,0,1,1,0,1,1,0,1,1,0
Alentejo Central,108,70,38,81,10,79,2,20,18,2,27,25,2,15,13,2
Alandroal,3,3,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Arraiolos,6,3,3,4,1,4,0,1,1,0,1,1,0,1,1,0
Borba,4,3,1,2,0,2,0,1,1,0,1,1,0,0,0,0
Estremoz,10,8,2,9,1,9,0,1,1,0,2,2,0,1,1,0
Évora,33,14,19,23,3,22,1,5,4,1,8,7,1,5,3,2
Montemor-o-Novo,11,8,3,11,2,11,0,1,1,0,2,2,0,1,1,0
Mora,5,4,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Mourão,3,3,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Portel,7,5,2,4,0,4,0,1,1,0,1,1,0,1,1,0
Redondo,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Reguengos de Monsaraz,8,7,1,6,1,6,0,1,1,0,2,2,0,1,1,0
Vendas Novas,6,3,3,4,0,3,1,2,1,1,3,2,1,1,1,0
Viana do Alentejo,4,3,1,3,0,3,0,2,2,0,2,2,0,1,1,0
Vila Viçosa,5,4,1,4,1,4,0,1,1,0,1,1,0,1,1,0
Algarve,227,120,107,162,4,142,20,61,52,9,72,62,10,30,22,8
Albufeira,18,11,7,13,0,13,0,6,6,0,8,8,0,2,2,0
Alcoutim,2,0,2,2,0,2,0,1,1,0,1,1,0,0,0,0
Aljezur,3,3,0,3,0,3,0,1,1,0,2,1,1,1,0,1
Castro Marim,5,2,3,3,1,3,0,1,1,0,1,1,0,0,0,0
Faro,33,10,23,23,2,19,4,7,6,1,8,7,1,5,4,1
Lagoa,14,8,6,8,0,7,1,4,3,1,5,4,1,2,1,1
Lagos,15,4,11,14,0,9,5,5,2,3,5,4,1,3,2,1
Loulé,45,30,15,27,1,26,1,8,7,1,10,8,2,4,2,2
Monchique,2,2,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Olhão,19,9,10,15,0,14,1,7,6,1,7,6,1,2,2,0
Portimão,23,13,10,13,0,9,4,7,7,0,8,7,1,5,4,1
São Brás de Alportel,5,4,1,5,0,5,0,1,1,0,2,2,0,1,1,0
Silves,17,9,8,15,0,13,2,5,4,1,6,5,1,2,1,1
Tavira,15,6,9,10,0,9,1,2,2,0,2,2,0,1,1,0
Vila do Bispo,4,4,0,4,0,3,1,2,1,1,2,1,1,0,0,0
Vila Real de Santo António,7,5,2,4,0,4,0,3,3,0,4,4,0,2,2,0
R. A. Açores,187,135,52,146,x,138,8,36,33,3,35,34,1,40,22,18
Santa Maria,5,5,0,5,x,5,0,1,1,0,1,1,0,1,1,0
Vila do Porto,5,5,0,5,x,5,0,1,1,0,1,1,0,1,1,0
São Miguel,95,69,26,75,0,69,6,17,15,2,17,16,1,21,9,12
Lagoa (R.A.A.),10,8,2,8,x,8,0,2,2,0,2,2,0,2,1,1
Nordeste,5,5,0,5,x,5,0,1,1,0,1,1,0,2,1,1
Ponta Delgada,44,30,14,36,x,30,6,7,5,2,7,6,1,11,4,7
Povoação,8,7,1,7,x,7,0,2,2,0,2,2,0,2,1,1
Ribeira Grande,22,15,7,15,x,15,0,3,3,0,3,3,0,2,1,1
Vila Franca do Campo,6,4,2,4,x,4,0,2,2,0,2,2,0,2,1,1
Terceira,47,32,15,33,0,32,1,6,5,1,7,7,0,6,3,3
Angra do Heroísmo,29,18,11,19,x,18,1,4,3,1,4,4,0,4,2,2
Vila da Praia da Vitória,18,14,4,14,x,14,0,2,2,0,3,3,0,2,1,1
Graciosa,5,4,1,4,x,4,0,1,1,0,1,1,0,1,1,0
Santa Cruz da Graciosa,5,4,1,4,x,4,0,1,1,0,1,1,0,1,1,0
São Jorge,7,3,4,5,0,5,0,3,3,0,3,3,0,3,2,1
Calheta (R.A.A.),4,2,2,2,x,2,0,2,2,0,2,2,0,1,1,0
Velas,3,1,2,3,x,3,0,1,1,0,1,1,0,2,1,1
Pico,11,9,2,10,0,10,0,4,4,0,3,3,0,4,3,1
Lajes do Pico,3,3,0,3,x,3,0,2,2,0,1,1,0,1,1,0
Madalena,5,4,1,5,x,5,0,1,1,0,1,1,0,2,1,1
São Roque do Pico,3,2,1,2,x,2,0,1,1,0,1,1,0,1,1,0
Faial,12,10,2,10,x,9,1,1,1,0,1,1,0,2,1,1
Horta,12,10,2,10,x,9,1,1,1,0,1,1,0,2,1,1
Flores,4,3,1,3,0,3,0,2,2,0,1,1,0,1,1,0
Lajes das Flores,1,1,0,1,x,1,0,1,1,0,0,0,0,0,0,0
Santa Cruz das Flores,3,2,1,2,x,2,0,1,1,0,1,1,0,1,1,0
Corvo,1,0,1,1,x,1,0,1,1,0,1,1,0,1,1,0
Corvo,1,0,1,1,x,1,0,1,1,0,1,1,0,1,1,0
R. A. Madeira,117,65,52,86,x,65,21,29,24,5,29,24,5,25,19,6
