,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado  (N.º)"
Armamar,0,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0,0
Lamego,0,0,0,19,19,0,49,49,0,103,103,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,20,20,0,40,40,0
Murça,0,0,0,0,0,0,10,0,10,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,5,5,0,19,19,0,59,59,0
Sabrosa,0,0,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,1,0,1,10,0,10,19,0,19,56,0,56
Sernancelhe,0,0,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,8,8,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real,7,0,7,68,2,66,123,28,95,366,127,239
Terras de Trás-os-Montes,42,37,5,166,6,160,360,56,304,937,277,660
Alfândega da Fé,0,0,0,0,0,0,0,0,0,5,5,0
Bragança,24,23,1,1,1,0,40,14,26,263,148,115
Macedo de Cavaleiros,0,0,0,16,0,16,42,10,32,132,41,91
Miranda do Douro,0,0,0,0,0,0,0,0,0,0,0,0
Mirandela,17,14,3,78,5,73,180,32,148,352,76,276
Mogadouro,1,0,1,71,0,71,98,0,98,178,0,178
Vila Flor,0,0,0,0,0,0,0,0,0,7,7,0
Vimioso,0,0,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0,0,0
Centro,158,138,20,587,522,65,3029,2209,820,9054,6770,2284
Oeste,12,8,4,63,57,6,419,372,47,1181,1084,97
Alcobaça,1,0,1,11,11,0,78,50,28,232,166,66
Alenquer,1,1,0,6,6,0,39,39,0,213,213,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,1,1,0,33,33,0,79,79,0
Cadaval,0,0,0,0,0,0,11,11,0,50,50,0
Caldas da Rainha,2,2,0,25,25,0,102,102,0,256,256,0
Lourinhã,0,0,0,0,0,0,21,21,0,109,109,0
Nazaré,3,0,3,6,0,6,56,37,19,69,38,31
Óbidos,0,0,0,0,0,0,0,0,0,0,0,0
Peniche,3,3,0,3,3,0,31,31,0,65,65,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0,0,0
Torres Vedras,2,2,0,11,11,0,48,48,0,108,108,0
Região de Aveiro,55,54,1,213,198,15,620,415,205,1691,1127,564
Águeda,6,6,0,74,74,0,105,105,0,366,366,0
Albergaria-a-Velha,0,0,0,16,16,0,4,4,0,46,46,0
Anadia,0,0,0,16,16,0,15,15,0,74,74,0
Aveiro,28,28,0,40,35,5,228,138,90,608,343,265
Estarreja,12,12,0,0,0,0,19,19,0,77,77,0
Ílhavo,0,0,0,32,32,0,31,31,0,75,75,0
Murtosa,0,0,0,0,0,0,9,0,9,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0,0,0,0,0
Ovar,9,8,1,35,25,10,158,52,106,344,45,299
Sever do Vouga,0,0,0,0,0,0,19,19,0,76,76,0
Vagos,0,0,0,0,0,0,32,32,0,25,25,0
Região de Coimbra,14,4,10,104,79,25,606,364,242,1960,1260,700
Arganil,4,4,0,15,15,0,25,25,0,146,146,0
Cantanhede,0,0,0,6,6,0,12,12,0,90,90,0
Coimbra,9,0,9,77,54,23,300,192,108,878,605,273
Condeixa-a-Nova,0,0,0,0,0,0,0,0,0,11,11,0
Figueira da Foz,1,0,1,2,0,2,83,51,32,239,118,121
Góis,0,0,0,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,1,1,0,32,12,20,82,15,67
Mealhada,0,0,0,0,0,0,31,12,19,22,0,22
Mira,0,0,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,15,0,15,44,0,44
Mortágua,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,0,0,0,1,1,0,47,41,6,158,142,16
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,30,0,30,106,0,106
Penela,0,0,0,0,0,0,0,0,0,0,0,0
Soure,0,0,0,2,2,0,11,11,0,92,80,12
Tábua,0,0,0,0,0,0,8,8,0,32,18,14
Vila Nova de Poiares,0,0,0,0,0,0,12,0,12,60,35,25
Região de Leiria,3,3,0,9,7,2,335,211,124,1097,760,337
Alvaiázere,0,0,0,0,0,0,32,0,32,11,11,0
Ansião,0,0,0,0,0,0,11,0,11,39,20,19
Batalha,2,2,0,1,1,0,19,19,0,75,75,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,18,18,0
Leiria,0,0,0,1,0,1,148,116,32,508,360,148
Marinha Grande,0,0,0,4,3,1,63,51,12,205,147,58
Pedrógão Grande,0,0,0,0,0,0,17,11,6,34,0,34
Pombal,1,1,0,3,3,0,45,14,31,207,129,78
Porto de Mós,0,0,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,20,20,0,43,42,1,379,307,72,1148,1050,98
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,17,17,0
Castro Daire,0,0,0,0,0,0,39,39,0,63,63,0
Mangualde,0,0,0,19,19,0,46,46,0,256,256,0
Nelas,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,12,12,0,19,19,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,12,12,0
São Pedro do Sul,1,1,0,0,0,0,45,45,0,74,74,0
Sátão,0,0,0,0,0,0,0,0,0,0,0,0
Tondela,0,0,0,1,0,1,56,35,21,83,32,51
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,11,11,0
Viseu,19,19,0,23,23,0,181,130,51,613,566,47
Vouzela,0,0,0,0,0,0,0,0,0,0,0,0
Beira Baixa,12,12,0,13,13,0,51,51,0,225,198,27
Castelo Branco,11,11,0,11,11,0,50,50,0,202,175,27
Idanha-a-Nova,1,1,0,2,2,0,1,1,0,23,23,0
Oleiros,0,0,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0,0,0
Médio Tejo,10,10,0,59,55,4,363,291,72,1257,916,341
Abrantes,0,0,0,1,1,0,72,72,0,167,167,0
Alcanena,0,0,0,1,1,0,19,19,0,82,82,0
Constância,0,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,5,5,0,1,0,1,14,0,14,140,0,140
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,3,0,3,73,41,32,156,80,76
Sardoal,0,0,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,1,1,0,9,1,8,86,76,10
Tomar,5,5,0,39,39,0,123,123,0,435,435,0
Torres Novas,0,0,0,13,13,0,53,35,18,191,76,115
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,32,27,5,83,71,12,256,198,58,495,375,120
Almeida,0,0,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Covilhã,21,20,1,21,16,5,85,64,21,192,173,19
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,11,11,0,12,12,0
Fundão,0,0,0,10,10,0,15,15,0,61,61,0
Gouveia,0,0,0,0,0,0,0,0,0,7,7,0
Guarda,10,7,3,50,45,5,127,108,19,163,93,70
Manteigas,0,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,15,15,0
Sabugal,0,0,0,0,0,0,0,0,0,0,0,0
Seia,1,0,1,2,0,2,18,0,18,45,14,31
Trancoso,0,0,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,581,580,1,812,808,4,4087,3863,224,13930,12261,1669
Alcochete,0,0,0,0,0,0,0,0,0,131,131,0
Almada,27,27,0,24,24,0,79,67,12,699,483,216
Amadora,86,86,0,104,104,0,444,444,0,1172,1172,0
Barreiro,26,26,0,48,48,0,150,150,0,321,321,0
Cascais,38,38,0,66,66,0,215,215,0,611,611,0
Lisboa,40,39,1,97,97,0,837,736,101,3534,2614,920
Loures,99,99,0,94,94,0,187,166,21,456,304,152
Mafra,0,0,0,1,1,0,72,41,31,239,184,55
Moita,29,29,0,50,50,0,149,149,0,283,283,0
Montijo,0,0,0,19,16,3,68,53,15,233,175,58
Odivelas,0,0,0,30,30,0,187,187,0,516,516,0
Oeiras,2,2,0,5,5,0,100,100,0,280,280,0
Palmela,0,0,0,0,0,0,16,0,16,132,0,132
Seixal,37,37,0,114,113,1,634,606,28,1392,1258,134
Sesimbra,0,0,0,0,0,0,2,2,0,117,117,0
Setúbal,95,95,0,57,57,0,229,229,0,1010,1010,0
Sintra,57,57,0,100,100,0,436,436,0,1874,1872,2
Vila Franca de Xira,45,45,0,3,3,0,282,282,0,930,930,0
Alentejo,85,77,8,262,233,29,1035,839,196,3050,2318,732
Alentejo Litoral,12,12,0,13,12,1,133,114,19,385,282,103
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0,0,0
Grândola,11,11,0,11,11,0,21,21,0,61,61,0
Odemira,0,0,0,1,0,1,19,4,15,61,21,40
Santiago do Cacém,0,0,0,1,1,0,60,60,0,170,170,0
Sines,1,1,0,0,0,0,33,29,4,93,30,63
Baixo Alentejo,27,27,0,71,71,0,201,176,25,598,497,101
Aljustrel,0,0,0,9,9,0,25,25,0,56,56,0
Almodôvar,0,0,0,0,0,0,22,22,0,77,77,0
Alvito,0,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,11,11,0,15,15,0
Beja,24,24,0,34,34,0,86,61,25,320,219,101
Castro Verde,0,0,0,0,0,0,0,0,0,6,6,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,5,5,0,26,26,0
Mértola,3,3,0,12,12,0,11,11,0,13,13,0
Moura,0,0,0,16,16,0,16,16,0,70,70,0
Ourique,0,0,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,15,15,0,5,5,0
Vidigueira,0,0,0,0,0,0,10,10,0,10,10,0
Lezíria do Tejo,28,26,2,122,103,19,405,342,63,1140,803,337
Almeirim,0,0,0,0,0,0,3,0,3,11,0,11
Alpiarça,0,0,0,0,0,0,0,0,0,0,0,0
Azambuja,5,5,0,19,19,0,94,94,0,189,189,0
Benavente,0,0,0,0,0,0,17,17,0,28,28,0
Cartaxo,2,2,0,1,1,0,5,5,0,23,23,0
Chamusca,0,0,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,48,0,48
Golegã,0,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,19,19,0,40,40,0,37,37,0,51,51,0
Salvaterra de Magos,2,0,2,14,3,11,63,26,37,210,71,139
Santarém,0,0,0,48,40,8,186,163,23,580,441,139
Alto Alentejo,15,10,5,21,15,6,110,68,42,424,299,125
Alter do Chão,0,0,0,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,3,3,0
Campo Maior,5,0,5,6,0,6,42,0,42,125,0,125
Castelo de Vide,0,0,0,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0,0,0,0
Elvas,10,10,0,1,1,0,19,19,0,116,116,0
Fronteira,0,0,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,1,1,0,24,24,0
Portalegre,0,0,0,14,14,0,48,48,0,156,156,0
Sousel,0,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,3,2,1,35,32,3,186,139,47,503,437,66
Alandroal,0,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,2,2,0,8,8,0
Borba,0,0,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,12,12,0,19,19,0
Évora,2,2,0,33,32,1,115,92,23,302,250,52
Montemor-o-Novo,0,0,0,0,0,0,31,16,15,38,38,0
Mora,0,0,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,1,0,1,2,0,2,9,0,9,35,21,14
Vendas Novas,0,0,0,0,0,0,3,3,0,38,38,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,14,14,0,63,63,0
Algarve,41,41,0,26,12,14,337,318,19,1688,1584,104
Albufeira,0,0,0,0,0,0,29,29,0,134,134,0
Alcoutim,0,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0,0
Faro,24,24,0,1,1,0,56,56,0,201,201,0
Lagoa,0,0,0,0,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,15,15,0,135,135,0
Loulé,0,0,0,17,3,14,47,28,19,302,246,56
Monchique,0,0,0,0,0,0,0,0,0,0,0,0
Olhão,17,17,0,3,3,0,43,43,0,172,172,0
Portimão,0,0,0,1,1,0,81,81,0,369,341,28
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0,0
Silves,0,0,0,1,1,0,26,26,0,144,124,20
Tavira,0,0,0,0,0,0,0,0,0,71,71,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,3,3,0,40,40,0,160,160,0
R. A. Açores,64,64,0,163,163,0,437,437,0,550,550,0
Santa Maria,0,0,0,0,0,0,6,6,0,12,12,0
Vila do Porto,0,0,0,0,0,0,6,6,0,12,12,0
São Miguel,50,50,0,103,103,0,282,282,0,236,236,0
Lagoa (R.A.A.),0,0,0,19,19,0,33,33,0,22,22,0
Nordeste,0,0,0,0,0,0,1,1,0,3,3,0
Ponta Delgada,12,12,0,32,32,0,173,173,0,141,141,0
Povoação,0,0,0,8,8,0,15,15,0,3,3,0
Ribeira Grande,38,38,0,35,35,0,44,44,0,56,56,0
Vila Franca do Campo,0,0,0,9,9,0,16,16,0,11,11,0
Terceira,14,14,0,53,53,0,105,105,0,230,230,0
Angra do Heroísmo,14,14,0,42,42,0,71,71,0,99,99,0
Vila da Praia da Vitória,0,0,0,11,11,0,34,34,0,131,131,0
Graciosa,0,0,0,0,0,0,0,0,0,9,9,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,9,9,0
São Jorge,0,0,0,0,0,0,0,0,0,11,11,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,2,2,0
Velas,0,0,0,0,0,0,0,0,0,9,9,0
Pico,0,0,0,6,6,0,27,27,0,14,14,0
Lajes do Pico,0,0,0,1,1,0,9,9,0,3,3,0
Madalena,0,0,0,3,3,0,9,9,0,5,5,0
São Roque do Pico,0,0,0,2,2,0,9,9,0,6,6,0
Faial,0,0,0,1,1,0,14,14,0,26,26,0
Horta,0,0,0,1,1,0,14,14,0,26,26,0
Flores,0,0,0,0,0,0,3,3,0,11,11,0
Lajes das Flores,0,0,0,0,0,0,1,1,0,2,2,0
Santa Cruz das Flores,0,0,0,0,0,0,2,2,0,9,9,0
Corvo,0,0,0,0,0,0,0,0,0,1,1,0
Corvo,0,0,0,0,0,0,0,0,0,1,1,0
R. A. Madeira,533,533,0,79,79,0,541,531,10,1459,1451,8
Calheta (R.A.M.),66,66,0,0,0,0,0,0,0,76,76,0
Câmara de Lobos,139,139,0,0,0,0,28,28,0,101,101,0
Funchal,49,49,0,62,62,0,457,447,10,1000,992,8
Machico,45,45,0,15,15,0,26,26,0,62,62,0
Ponta do Sol,137,137,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,25,25,0,0,0,0,0,0,0,104,104,0
Santa Cruz,0,0,0,0,0,0,20,20,0,97,97,0
Santana,38,38,0,0,0,0,3,3,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,34,34,0,2,2,0,7,7,0,19,19,0
