,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 1º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 1º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 2º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Tâmega e Sousa,72,0,61,11,340,0,151,159
Amarante,1,0,0,1,53,0,34,19
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,80,0,0,80
Celorico de Basto,0,0,0,0,6,0,0,6
Cinfães,0,0,0,0,2,0,0,2
Felgueiras,0,0,0,0,32,0,17,13
Lousada,0,0,0,0,20,0,17,3
Marco de Canaveses,1,0,0,1,29,0,0,7
Paços de Ferreira,35,0,32,3,60,0,48,11
Penafiel,35,0,29,6,58,0,35,18
Resende,0,0,0,0,0,0,0,0
Douro,14,0,0,14,149,0,0,149
Alijó,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,7,0,0,7
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,1,0,0,1,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,2,0,0,2,5,0,0,5
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,2,0,0,2,26,0,0,26
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,9,0,0,9,111,0,0,111
Terras de Trás-os-Montes,37,0,33,4,181,0,46,129
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,23,0,23,0,41,0,33,6
Macedo de Cavaleiros,1,0,0,1,29,0,0,25
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,13,0,10,3,98,0,13,85
Mogadouro,0,0,0,0,13,0,0,13
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,185,0,128,48,789,0,521,186
Oeste,10,0,2,6,61,0,38,23
Alcobaça,1,0,0,1,5,0,0,5
Alenquer,0,0,0,0,5,0,0,5
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,3,0,0,1,1,0,0,1
Cadaval,1,0,0,1,3,0,0,3
Caldas da Rainha,2,0,2,0,38,0,38,0
Lourinhã,3,0,0,3,2,0,0,2
Nazaré,0,0,0,0,3,0,0,3
Óbidos,0,0,0,0,0,0,0,0
Peniche,0,0,0,0,0,0,0,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,0,0,0,0,4,0,0,4
Região de Aveiro,63,0,49,11,314,0,258,21
Águeda,1,0,0,0,100,0,68,0
Albergaria-a-Velha,0,0,0,0,16,0,16,0
Anadia,0,0,0,0,32,0,32,0
Aveiro,55,0,49,5,83,0,67,14
Estarreja,0,0,0,0,20,0,20,0
Ílhavo,0,0,0,0,9,0,9,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,7,0,0,6,54,0,46,7
Sever do Vouga,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0
Região de Coimbra,25,0,5,16,149,0,64,70
Arganil,0,0,0,0,32,0,13,9
Cantanhede,0,0,0,0,1,0,0,1
Coimbra,23,0,5,14,63,0,27,33
Condeixa-a-Nova,0,0,0,0,0,0,0,0
Figueira da Foz,0,0,0,0,17,0,13,4
Góis,0,0,0,0,0,0,0,0
Lousã,1,0,0,1,17,0,0,17
Mealhada,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,1,0,0,1,6,0,2,4
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,4,0,0,2
Penela,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,9,0,9,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0
Região de Leiria,4,0,0,4,14,0,0,14
Alvaiázere,0,0,0,0,0,0,0,0
Ansião,0,0,0,0,0,0,0,0
Batalha,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0
Leiria,0,0,0,0,10,0,0,10
Marinha Grande,1,0,0,1,0,0,0,0
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,3,0,0,3,4,0,0,4
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,5,0,0,5,83,0,44,20
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0
Mangualde,1,0,0,1,1,0,0,1
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,12,0,12,0
Sátão,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,6,0,0,6
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,4,0,0,4,64,0,32,13
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,13,0,13,0,35,0,30,0
Castelo Branco,13,0,13,0,35,0,30,0
Idanha-a-Nova,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,1,0,0,1,48,0,33,15
Abrantes,0,0,0,0,0,0,0,0
Alcanena,0,0,0,0,0,0,0,0
Constância,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,16,0,16,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,5,0,0,5
Sardoal,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0
Tomar,1,0,0,1,8,0,0,8
Torres Novas,0,0,0,0,19,0,17,2
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,64,0,59,5,85,0,54,23
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,19,0,19,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,29,0,25,4,21,0,9,5
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,1,0,0,0
Gouveia,0,0,0,0,0,0,0,0
Guarda,34,0,34,0,33,0,26,7
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,1,0,0,1,11,0,0,11
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,729,0,702,22,1130,0,1023,83
Alcochete,0,0,0,0,0,0,0,0
Almada,25,0,25,0,24,0,24,0
Amadora,49,0,49,0,99,0,95,0
Barreiro,81,0,81,0,54,0,54,0
Cascais,64,0,64,0,69,0,68,1
Lisboa,46,0,29,17,152,0,121,27
Loures,104,0,104,0,99,0,96,1
Mafra,0,0,0,0,0,0,0,0
Moita,20,0,20,0,55,0,49,0
Montijo,0,0,0,0,15,0,12,3
Odivelas,30,0,25,0,31,0,21,7
Oeiras,5,0,2,3,20,0,15,5
Palmela,0,0,0,0,0,0,0,0
Seixal,23,0,21,2,123,0,87,35
Sesimbra,0,0,0,0,16,0,13,3
Setúbal,63,0,63,0,89,0,88,0
Sintra,155,0,155,0,186,0,183,0
Vila Franca de Xira,64,0,64,0,98,0,97,1
Alentejo,134,0,111,16,284,0,177,79
Alentejo Litoral,22,0,17,5,27,0,17,10
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,17,0,17,0,17,0,17,0
Odemira,3,0,0,3,2,0,0,2
Santiago do Cacém,2,0,0,2,7,0,0,7
Sines,0,0,0,0,1,0,0,1
Baixo Alentejo,56,0,55,1,58,0,54,3
Aljustrel,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,31,0,30,1,27,0,24,2
Castro Verde,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0
Moura,12,0,12,0,15,0,14,1
Ourique,0,0,0,0,0,0,0,0
Serpa,13,0,13,0,16,0,16,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,22,0,9,6,130,0,75,31
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,8,0,0,1,34,0,3,16
Benavente,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0
Coruche,1,0,0,1,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,10,0,9,1,21,0,14,0
Salvaterra de Magos,0,0,0,0,13,0,12,1
Santarém,3,0,0,3,62,0,46,14
Alto Alentejo,13,0,10,3,27,0,11,13
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,2,0,0,2,4,0,0,4
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,11,0,10,1,12,0,11,1
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0
Portalegre,0,0,0,0,11,0,0,8
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,21,0,20,1,42,0,20,22
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,1,0,0,1
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,5,0,0,5
Évora,21,0,20,1,31,0,20,11
Montemor-o-Novo,0,0,0,0,0,0,0,0
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,2,0,0,2
Vendas Novas,0,0,0,0,3,0,0,3
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0
Algarve,35,0,33,2,48,0,25,23
Albufeira,0,0,0,0,0,0,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,16,0,16,0,13,0,11,2
Lagoa,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,6,0,0,6
Loulé,0,0,0,0,10,0,0,10
Monchique,0,0,0,0,0,0,0,0
Olhão,17,0,17,0,2,0,0,2
Portimão,2,0,0,2,16,0,14,2
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,0,0,0,0,0,0,0,0
Tavira,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,1,0,0,1
R. A. Açores,42,0,10,32,101,0,27,74
Santa Maria,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0
São Miguel,32,0,0,32,71,0,14,57
Lagoa (R.A.A.),1,0,0,1,19,0,9,10
Nordeste,0,0,0,0,0,0,0,0
Ponta Delgada,11,0,0,11,21,0,5,16
Povoação,0,0,0,0,8,0,0,8
Ribeira Grande,20,0,0,20,14,0,0,14
Vila Franca do Campo,0,0,0,0,9,0,0,9
Terceira,10,0,10,0,23,0,13,10
Angra do Heroísmo,10,0,10,0,15,0,13,2
Vila da Praia da Vitória,0,0,0,0,8,0,0,8
Graciosa,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,0,0,0,0,6,0,0,6
Lajes do Pico,0,0,0,0,1,0,0,1
Madalena,0,0,0,0,3,0,0,3
São Roque do Pico,0,0,0,0,2,0,0,2
Faial,0,0,0,0,1,0,0,1
Horta,0,0,0,0,1,0,0,1
Flores,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,572,572,0,0,157,0,62,0
Calheta (R.A.M.),96,96,0,0,0,0,0,0
Câmara de Lobos,136,136,0,0,8,0,8,0
Funchal,71,71,0,0,106,0,11,0
Machico,80,80,0,0,17,0,17,0
Ponta do Sol,98,98,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,13,13,0,0,0,0,0,0
Santa Cruz,0,0,0,0,26,0,26,0
Santana,36,36,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,42,42,0,0,0,0,0,0
