,"Ensino pré-escolar, Dependente do Estado (N.º)","Ensino pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
Nazaré,2,0,0,0,0,0,0,1,0,2
Óbidos,1,0,0,0,0,0,0,0,0,0
Peniche,6,0,0,0,0,0,0,1,0,1
Sobral de Monte Agraço,1,0,0,0,0,0,0,0,0,0
Torres Vedras,10,7,1,4,1,2,1,2,1,4
Região de Aveiro,83,25,1,7,2,5,2,7,2,10
Águeda,15,1,0,1,0,1,0,1,0,0
Albergaria-a-Velha,9,0,1,0,1,0,1,0,1,1
Anadia,8,2,0,2,0,2,0,2,0,3
Aveiro,17,12,0,2,0,2,0,3,0,3
Estarreja,5,3,0,1,0,0,0,0,0,0
Ílhavo,7,2,0,0,0,0,0,0,0,0
Murtosa,2,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,7,1,0,0,0,0,0,0,0,1
Ovar,10,3,0,1,0,0,0,1,0,1
Sever do Vouga,1,0,0,0,0,0,0,0,0,1
Vagos,2,1,0,0,1,0,1,0,1,0
Região de Coimbra,77,32,0,15,3,6,3,11,1,16
Arganil,1,0,0,0,0,0,0,0,0,0
Cantanhede,7,2,0,1,1,0,1,1,0,1
Coimbra,28,20,0,10,1,6,1,6,0,6
Condeixa-a-Nova,1,1,0,0,0,0,0,0,0,0
Figueira da Foz,10,5,0,4,0,0,0,2,0,2
Góis,1,0,0,0,0,0,0,0,0,0
Lousã,2,0,0,0,0,0,0,0,0,1
Mealhada,4,0,0,0,0,0,0,1,0,1
Mira,2,0,0,0,0,0,0,0,0,0
Miranda do Corvo,1,1,0,0,0,0,0,0,0,0
Montemor-o-Velho,5,2,0,0,0,0,0,1,0,1
Mortágua,0,1,0,0,0,0,0,0,0,0
Oliveira do Hospital,5,0,0,0,0,0,0,0,0,1
Pampilhosa da Serra,2,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,1
Penela,0,0,0,0,0,0,0,0,0,1
Soure,5,0,0,0,1,0,1,0,1,0
Tábua,1,0,0,0,0,0,0,0,0,1
Vila Nova de Poiares,2,0,0,0,0,0,0,0,0,0
Região de Leiria,30,24,3,5,9,1,9,3,4,8
Alvaiázere,0,0,0,0,0,0,0,0,0,1
Ansião,3,0,0,0,0,0,0,0,0,1
Batalha,3,1,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,1,0,0,0,0,0,0,0,0,0
Leiria,12,17,2,2,5,0,5,0,1,2
Marinha Grande,2,4,0,2,0,1,0,2,0,2
Pedrógão Grande,1,0,0,0,0,0,0,0,0,1
Pombal,4,2,0,1,3,0,3,1,2,1
Porto de Mós,4,0,1,0,1,0,1,0,1,0
Viseu Dão Lafões,30,11,0,4,0,2,0,5,0,7
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0
Castro Daire,1,0,0,0,0,0,0,1,0,1
Mangualde,3,0,0,0,0,0,0,0,0,0
Nelas,3,1,0,1,0,0,0,0,0,0
Oliveira de Frades,1,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,1,0,0,0,0,0,0,0,0,0
São Pedro do Sul,1,1,0,0,0,0,0,0,0,1
Sátão,1,0,0,0,0,0,0,0,0,0
Tondela,3,0,0,0,0,0,0,0,0,1
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0
Viseu,15,9,0,3,0,2,0,3,0,3
Vouzela,1,0,0,0,0,0,0,1,0,1
Beira Baixa,13,2,1,1,0,0,0,1,0,3
Castelo Branco,8,2,1,1,0,0,0,1,0,2
Idanha-a-Nova,2,0,0,0,0,0,0,0,0,1
Oleiros,1,0,0,0,0,0,0,0,0,0
Penamacor,1,0,0,0,0,0,0,0,0,0
Proença-a-Nova,1,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0
Médio Tejo,23,14,1,8,4,1,4,1,3,6
Abrantes,5,1,0,1,0,0,0,0,0,0
Alcanena,2,0,0,0,0,0,0,0,0,0
Constância,0,0,0,0,0,0,0,0,0,0
Entroncamento,1,3,0,3,0,1,0,1,0,1
Ferreira do Zêzere,1,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0
Ourém,5,1,0,1,3,0,3,0,2,2
Sardoal,0,0,0,0,0,0,0,0,0,0
Sertã,2,0,0,0,1,0,1,0,1,1
Tomar,2,4,1,1,0,0,0,0,0,1
Torres Novas,4,4,0,2,0,0,0,0,0,1
Vila de Rei,1,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,1,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,52,2,1,1,3,0,2,4,0,8
Almeida,0,0,0,0,0,0,0,0,0,0
Belmonte,3,0,0,0,0,0,0,0,0,0
Celorico da Beira,3,0,0,0,0,0,0,0,0,0
Covilhã,10,1,1,0,1,0,0,1,0,1
Figueira de Castelo Rodrigo,2,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0
Fundão,7,0,0,0,1,0,1,1,0,1
Gouveia,4,0,0,0,0,0,0,1,0,1
Guarda,11,0,0,1,0,0,0,0,0,1
Manteigas,1,0,0,0,0,0,0,0,0,1
Mêda,1,0,0,0,0,0,0,0,0,0
Pinhel,2,0,0,0,0,0,0,0,0,0
Sabugal,2,0,0,0,1,0,1,0,0,0
Seia,5,1,0,0,0,0,0,1,0,2
Trancoso,1,0,0,0,0,0,0,0,0,1
A. M. Lisboa,287,521,24,236,9,108,7,97,6,100
Alcochete,1,4,0,1,0,1,0,0,0,0
Almada,23,31,0,11,0,3,0,3,0,6
Amadora,18,30,1,14,1,4,1,3,0,4
Barreiro,4,13,0,5,0,2,0,2,0,2
Cascais,23,52,3,35,1,20,1,16,1,11
Lisboa,67,116,8,89,2,47,2,46,2,45
Loures,20,26,1,5,0,3,0,4,0,3
Mafra,3,9,2,2,2,1,2,1,2,3
Moita,5,5,0,1,0,0,0,0,0,1
Montijo,9,7,1,2,0,2,0,1,0,1
Odivelas,8,33,1,6,0,2,0,2,0,2
Oeiras,26,34,1,15,0,6,0,4,0,5
Palmela,7,10,1,4,0,4,0,2,0,2
Seixal,5,43,0,9,0,2,0,3,0,3
Sesimbra,6,6,0,2,0,0,0,0,0,1
Setúbal,18,21,1,7,1,2,0,0,0,2
Sintra,28,69,2,26,1,8,0,10,0,8
Vila Franca de Xira,16,12,2,2,1,1,1,0,1,1
Alentejo,104,32,2,7,4,2,3,6,1,16
Alentejo Litoral,14,6,0,0,1,0,1,0,1,2
Alcácer do Sal,3,0,0,0,0,0,0,0,0,0
Grândola,2,0,0,0,0,0,0,0,0,0
Odemira,2,2,0,0,1,0,1,0,1,1
Santiago do Cacém,5,3,0,0,0,0,0,0,0,0
Sines,2,1,0,0,0,0,0,0,0,1
Baixo Alentejo,15,4,0,1,1,0,1,2,0,6
Aljustrel,2,0,0,0,0,0,0,0,0,0
Almodôvar,1,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,1
Barrancos,0,0,0,0,0,0,0,0,0,0
Beja,5,4,0,1,1,0,1,0,0,1
Castro Verde,1,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,1,0,1
Ferreira do Alentejo,2,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,1
Moura,1,0,0,0,0,0,0,1,0,1
Ourique,1,0,0,0,0,0,0,0,0,0
Serpa,1,0,0,0,0,0,0,0,0,0
Vidigueira,1,0,0,0,0,0,0,0,0,1
Lezíria do Tejo,23,10,1,3,1,0,0,1,0,5
Almeirim,3,0,0,0,0,0,0,0,0,0
Alpiarça,1,0,0,0,0,0,0,0,0,0
Azambuja,4,1,0,0,0,0,0,0,0,0
Benavente,2,0,0,0,0,0,0,0,0,0
Cartaxo,2,1,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0
Coruche,1,2,0,0,0,0,0,0,0,1
Golegã,1,0,0,0,0,0,0,0,0,0
Rio Maior,1,2,0,2,0,0,0,0,0,1
Salvaterra de Magos,3,1,0,0,0,0,0,0,0,1
Santarém,5,3,1,1,1,0,0,1,0,2
Alto Alentejo,21,5,0,2,0,1,0,1,0,1
Alter do Chão,0,0,0,0,0,0,0,0,0,0
Arronches,1,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0
Campo Maior,1,1,0,0,0,0,0,0,0,0
Castelo de Vide,1,0,0,0,0,0,0,0,0,0
Crato,1,0,0,0,0,0,0,0,0,1
Elvas,5,1,0,1,0,1,0,1,0,0
Fronteira,1,0,0,0,0,0,0,0,0,0
Gavião,1,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,3,2,0,1,0,0,0,0,0,0
Portalegre,6,1,0,0,0,0,0,0,0,0
Sousel,1,0,0,0,0,0,0,0,0,0
Alentejo Central,31,7,1,1,1,1,1,2,0,2
Alandroal,0,0,0,0,0,0,0,0,0,0
Arraiolos,3,0,0,0,0,0,0,0,0,0
Borba,1,0,0,0,0,0,0,0,0,0
Estremoz,2,0,0,0,0,0,0,0,0,0
Évora,13,6,0,1,0,1,0,2,0,2
Montemor-o-Novo,2,1,0,0,0,0,0,0,0,0
Mora,1,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0
Portel,2,0,0,0,0,0,0,0,0,0
Redondo,1,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,1,0,0,0,0,0,0,0,0,0
Vendas Novas,3,0,1,0,1,0,1,0,0,0
Viana do Alentejo,1,0,0,0,0,0,0,0,0,0
Vila Viçosa,1,0,0,0,0,0,0,0,0,0
Algarve,60,48,3,19,0,10,0,10,0,8
Albufeira,2,5,0,0,0,0,0,0,0,0
Alcoutim,2,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0
Castro Marim,3,0,0,0,0,0,0,0,0,0
Faro,16,7,2,3,0,1,0,1,0,1
Lagoa,2,4,0,1,0,1,0,1,0,1
Lagos,7,4,0,5,0,2,0,1,0,1
Loulé,4,11,0,1,0,1,0,2,0,2
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,7,3,0,1,0,1,0,1,0,0
Portimão,3,7,0,4,0,0,0,1,0,1
São Brás de Alportel,1,0,0,0,0,0,0,0,0,0
Silves,4,4,0,2,0,1,0,1,0,1
Tavira,7,3,1,1,0,1,0,1,0,1
Vila do Bispo,0,0,0,1,0,2,0,1,0,0
Vila Real de Santo António,2,0,0,0,0,0,0,0,0,0
R. A. Açores,45,8,0,8,0,3,0,1,0,18
Santa Maria,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0
São Miguel,21,6,0,6,0,2,0,1,0,12
Lagoa (R.A.A.),2,0,0,0,0,0,0,0,0,1
Nordeste,0,0,0,0,0,0,0,0,0,1
Ponta Delgada,9,6,0,6,0,2,0,1,0,7
Povoação,1,0,0,0,0,0,0,0,0,1
Ribeira Grande,7,0,0,0,0,0,0,0,0,1
Vila Franca do Campo,2,0,0,0,0,0,0,0,0,1
Terceira,13,2,0,1,0,1,0,0,0,3
Angra do Heroísmo,11,0,0,1,0,1,0,0,0,2
Vila da Praia da Vitória,2,2,0,0,0,0,0,0,0,1
Graciosa,1,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,1,0,0,0,0,0,0,0,0,0
São Jorge,4,0,0,0,0,0,0,0,0,1
Calheta (R.A.A.),2,0,0,0,0,0,0,0,0,0
Velas,2,0,0,0,0,0,0,0,0,1
Pico,2,0,0,0,0,0,0,0,0,1
Lajes do Pico,0,0,0,0,0,0,0,0,0,0
Madalena,1,0,0,0,0,0,0,0,0,1
São Roque do Pico,1,0,0,0,0,0,0,0,0,0
Faial,2,0,0,1,0,0,0,0,0,1
Horta,2,0,0,1,0,0,0,0,0,1
Flores,1,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,1,0,0,0,0,0,0,0,0,0
Corvo,1,0,0,0,0,0,0,0,0,0
Corvo,1,0,0,0,0,0,0,0,0,0
R. A. Madeira,53,1,21,1,5,0,5,0,6,0
Calheta (R.A.M.),2,0,1,0,0,0,0,0,0,0
Câmara de Lobos,5,0,0,0,0,0,0,0,0,0
Funchal,32,1,14,1,5,0,5,0,6,0
Machico,2,0,1,0,0,0,0,0,0,0
Ponta do Sol,1,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,8,0,3,0,0,0,0,0,0,0
Santana,1,0,1,0,0,0,0,0,0,0
São Vicente,1,0,0,0,0,0,0,0,0,0
Porto Santo,1,0,1,0,0,0,0,0,0,0
