,"Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, das quais, Ensino recorrente (N.º)","Ensino secundário, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino secundário, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Carregal do Sal,0,0,0,0,26,0,26,0
Castro Daire,54,0,24,29,83,0,40,43
Mangualde,52,0,20,32,94,0,58,34
Nelas,0,0,0,0,14,0,14,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,13,0,13,0
São Pedro do Sul,53,0,13,40,154,0,67,84
Sátão,0,0,0,0,11,0,11,0
Tondela,56,0,25,30,72,0,20,51
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,230,0,153,73,676,81,334,242
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,114,0,90,24,280,0,183,95
Castelo Branco,105,0,90,15,246,0,183,61
Idanha-a-Nova,9,0,0,9,34,0,0,34
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,338,0,161,177,1425,84,549,759
Abrantes,78,0,47,31,235,0,109,123
Alcanena,7,0,0,7,72,0,24,47
Constância,0,0,0,0,0,0,0,0
Entroncamento,16,0,0,16,157,84,25,48
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,55,0,0,55,244,0,62,166
Sardoal,0,0,0,0,0,0,0,0
Sertã,19,0,14,5,67,0,31,36
Tomar,115,0,57,58,498,0,240,245
Torres Novas,48,0,43,5,152,0,58,94
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,287,0,182,103,731,0,420,301
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,8,0,8,0
Celorico da Beira,11,0,11,0,12,0,12,0
Covilhã,92,0,49,41,223,0,112,101
Figueira de Castelo Rodrigo,7,0,7,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,29,0,10,19,83,0,37,46
Gouveia,0,0,0,0,0,0,0,0
Guarda,133,0,105,28,274,0,195,79
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,23,0,23,0
Sabugal,0,0,0,0,19,0,19,0
Seia,15,0,0,15,75,0,0,75
Trancoso,0,0,0,0,14,0,14,0
A. M. Lisboa,4498,95,3290,1050,14534,1292,8267,4734
Alcochete,0,0,0,0,44,0,44,0
Almada,132,14,74,44,714,247,263,203
Amadora,504,0,460,42,1528,0,1022,492
Barreiro,163,0,129,33,487,0,323,160
Cascais,264,0,184,79,652,0,436,214
Lisboa,889,81,587,201,3401,929,1334,1047
Loures,169,0,114,53,557,27,327,194
Mafra,101,0,65,35,257,0,132,115
Moita,104,0,66,29,313,54,164,94
Montijo,78,0,45,28,233,0,153,78
Odivelas,226,0,101,119,585,35,325,216
Oeiras,151,0,113,33,419,0,240,166
Palmela,13,0,0,13,154,0,52,102
Seixal,726,0,514,208,1412,0,905,496
Sesimbra,11,0,0,11,137,0,109,28
Setúbal,271,0,233,36,981,0,746,188
Sintra,413,0,366,43,1794,0,1087,687
Vila Franca de Xira,283,0,239,43,866,0,605,254
Alentejo,1265,0,757,477,3869,0,2385,1424
Alentejo Litoral,127,0,72,54,507,0,283,209
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,25,0,19,6,96,0,73,12
Odemira,10,0,0,10,32,0,0,32
Santiago do Cacém,63,0,30,32,307,0,196,107
Sines,29,0,23,6,72,0,14,58
Baixo Alentejo,229,0,129,96,708,0,503,199
Aljustrel,11,0,0,11,46,0,0,45
Almodôvar,58,0,0,58,96,0,39,56
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,10,0,10,0
Beja,136,0,115,17,403,0,345,54
Castro Verde,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,16,0,16,0
Mértola,17,0,14,3,42,0,27,15
Moura,5,0,0,5,55,0,28,27
Ourique,0,0,0,0,0,0,0,0
Serpa,2,0,0,2,29,0,27,2
Vidigueira,0,0,0,0,11,0,11,0
Lezíria do Tejo,470,0,292,155,1325,0,830,475
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,102,0,46,37,197,0,64,119
Benavente,29,0,29,0,62,0,62,0
Cartaxo,6,0,0,6,50,0,34,16
Chamusca,0,0,0,0,0,0,0,0
Coruche,6,0,0,5,17,0,0,16
Golegã,0,0,0,0,0,0,0,0
Rio Maior,36,0,24,10,111,0,98,11
Salvaterra de Magos,60,0,31,29,203,0,106,97
Santarém,231,0,162,68,685,0,466,216
Alto Alentejo,228,0,154,73,488,0,270,213
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,16,0,16,0,11,0,11,0
Campo Maior,45,0,15,30,169,0,15,154
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,42,0,31,11,104,0,74,28
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,16,0,16,0
Ponte de Sor,11,0,0,11,35,0,26,9
Portalegre,84,0,62,21,136,0,111,22
Sousel,30,0,30,0,17,0,17,0
Alentejo Central,211,0,110,99,841,0,499,328
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,4,0,0,4
Borba,0,0,0,0,0,0,0,0
Estremoz,23,0,0,23,105,0,59,42
Évora,100,0,40,59,458,0,256,193
Montemor-o-Novo,36,0,36,0,100,0,84,16
Mora,0,0,0,0,0,0,0,0
Mourão,18,0,18,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,35,0,35,0
Reguengos de Monsaraz,19,0,16,3,51,0,34,17
Vendas Novas,8,0,0,8,49,0,31,18
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,7,0,0,6,39,0,0,38
Algarve,362,0,179,176,2015,51,1257,684
Albufeira,31,0,15,15,107,0,50,56
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,48,0,36,12,381,0,250,121
Lagoa,16,0,0,16,32,0,0,32
Lagos,34,0,20,13,130,0,104,24
Loulé,49,0,13,36,389,48,226,114
Monchique,0,0,0,0,0,0,0,0
Olhão,57,0,34,19,152,0,95,56
Portimão,79,0,34,44,458,3,290,162
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,25,0,13,12,138,0,76,59
Tavira,0,0,0,0,88,0,88,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,23,0,14,9,140,0,78,60
R. A. Açores,566,12,110,444,516,53,158,305
Santa Maria,6,0,0,6,8,0,0,8
Vila do Porto,6,0,0,6,8,0,0,8
São Miguel,418,0,97,321,273,0,103,170
Lagoa (R.A.A.),71,0,41,30,57,0,42,15
Nordeste,13,0,0,13,3,0,0,3
Ponta Delgada,180,0,3,177,118,0,0,118
Povoação,35,0,20,15,19,0,15,4
Ribeira Grande,104,0,33,71,69,0,46,23
Vila Franca do Campo,15,0,0,15,7,0,0,7
Terceira,108,12,13,83,182,53,52,77
Angra do Heroísmo,67,0,13,54,94,0,52,42
Vila da Praia da Vitória,41,12,0,29,88,53,0,35
Graciosa,0,0,0,0,5,0,0,5
Santa Cruz da Graciosa,0,0,0,0,5,0,0,5
São Jorge,0,0,0,0,5,0,0,5
Calheta (R.A.A.),0,0,0,0,2,0,0,2
Velas,0,0,0,0,3,0,0,3
Pico,15,0,0,15,10,0,0,10
Lajes do Pico,4,0,0,4,5,0,0,5
Madalena,5,0,0,5,2,0,0,2
São Roque do Pico,6,0,0,6,3,0,0,3
Faial,12,0,0,12,23,0,3,20
Horta,12,0,0,12,23,0,3,20
Flores,2,0,0,2,8,0,0,8
Lajes das Flores,0,0,0,0,4,0,0,4
Santa Cruz das Flores,2,0,0,2,4,0,0,4
Corvo,5,0,0,5,2,0,0,2
Corvo,5,0,0,5,2,0,0,2
R. A. Madeira,676,0,290,82,1271,0,815,106
Calheta (R.A.M.),0,0,0,0,23,0,23,0
Câmara de Lobos,30,0,30,0,96,0,66,0
Funchal,524,0,138,82,893,0,492,106
Machico,36,0,36,0,75,0,75,0
Ponta do Sol,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,61,0,36,0
Santa Cruz,75,0,75,0,104,0,104,0
Santana,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,11,0,11,0,19,0,19,0
