,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado  (N.º)"
Monchique,0,0,0,0,0,0,0,0,0,0,0,0
Olhão,17,17,0,2,2,0,57,57,0,152,152,0
Portimão,2,2,0,16,16,0,79,79,0,458,458,0
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0,0
Silves,0,0,0,0,0,0,25,25,0,138,118,20
Tavira,0,0,0,0,0,0,0,0,0,88,88,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,1,1,0,23,23,0,140,140,0
R. A. Açores,42,42,0,101,101,0,566,566,0,516,501,15
Santa Maria,0,0,0,0,0,0,6,6,0,8,8,0
Vila do Porto,0,0,0,0,0,0,6,6,0,8,8,0
São Miguel,32,32,0,71,71,0,418,418,0,273,258,15
Lagoa (R.A.A.),1,1,0,19,19,0,71,71,0,57,57,0
Nordeste,0,0,0,0,0,0,13,13,0,3,3,0
Ponta Delgada,11,11,0,21,21,0,180,180,0,118,118,0
Povoação,0,0,0,8,8,0,35,35,0,19,4,15
Ribeira Grande,20,20,0,14,14,0,104,104,0,69,69,0
Vila Franca do Campo,0,0,0,9,9,0,15,15,0,7,7,0
Terceira,10,10,0,23,23,0,108,108,0,182,182,0
Angra do Heroísmo,10,10,0,15,15,0,67,67,0,94,94,0
Vila da Praia da Vitória,0,0,0,8,8,0,41,41,0,88,88,0
Graciosa,0,0,0,0,0,0,0,0,0,5,5,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,5,5,0
São Jorge,0,0,0,0,0,0,0,0,0,5,5,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,2,2,0
Velas,0,0,0,0,0,0,0,0,0,3,3,0
Pico,0,0,0,6,6,0,15,15,0,10,10,0
Lajes do Pico,0,0,0,1,1,0,4,4,0,5,5,0
Madalena,0,0,0,3,3,0,5,5,0,2,2,0
São Roque do Pico,0,0,0,2,2,0,6,6,0,3,3,0
Faial,0,0,0,1,1,0,12,12,0,23,23,0
Horta,0,0,0,1,1,0,12,12,0,23,23,0
Flores,0,0,0,0,0,0,2,2,0,8,8,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,4,4,0
Santa Cruz das Flores,0,0,0,0,0,0,2,2,0,4,4,0
Corvo,0,0,0,0,0,0,5,5,0,2,2,0
Corvo,0,0,0,0,0,0,5,5,0,2,2,0
R. A. Madeira,572,572,0,157,157,0,676,673,3,1271,1268,3
Calheta (R.A.M.),96,96,0,0,0,0,0,0,0,23,23,0
Câmara de Lobos,136,136,0,8,8,0,30,30,0,96,96,0
Funchal,71,71,0,106,106,0,524,521,3,893,890,3
Machico,80,80,0,17,17,0,36,36,0,75,75,0
Ponta do Sol,98,98,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,13,13,0,0,0,0,0,0,0,61,61,0
Santa Cruz,0,0,0,26,26,0,75,75,0,104,104,0
Santana,36,36,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,42,42,0,0,0,0,11,11,0,19,19,0
