,"Taxa de escolarização no ensino superior (alunas/os com idade entre 18 e 22 anos) , %, 2022/2023","Proporção de inscritas/os em áreas C&T no ensino superior , %, 2022/2023","Proporção de mulheres no ensino superior , Alunas inscritas, %, 2022/2023","Proporção de mulheres no ensino superior , Alunas diplomadas , %, 2021/2022","Diplomadas/os do ensino superior por 1 000 habitantes , Alunas diplomadas , N.º, 2021/2022"
Setúbal,60,40.2,46.2,52.6,101.4
Sintra,2.2,33,43.4,0,0.2
Vila Franca de Xira,0,//,//,//,0
Alentejo,29.4,18.3,55,60.6,50
Alentejo Litoral,0,//,//,//,0
Alcácer do Sal,0,//,//,//,0
Grândola,0,//,//,//,0
Odemira,0,//,//,//,0
Santiago do Cacém,0,//,//,//,0
Sines,0,//,//,//,0
Baixo Alentejo,27.8,19.8,56.5,57.3,59.8
Aljustrel,0,//,//,//,0
Almodôvar,0,//,//,//,0
Alvito,0,//,//,//,0
Barrancos,0,//,//,//,0
Beja,91,19.8,56.5,57.3,193.7
Castro Verde,0,//,//,//,0
Cuba,0,//,//,//,0
Ferreira do Alentejo,0,//,//,//,0
Mértola,0,//,//,//,0
Moura,0,//,//,//,0
Ourique,0,//,//,//,0
Serpa,0,//,//,//,0
Vidigueira,0,//,//,//,0
Lezíria do Tejo,24.5,10.3,49,54.6,40.3
Almeirim,0,//,//,//,0
Alpiarça,0,//,//,//,0
Azambuja,0,//,//,//,0
Benavente,0,//,//,//,0
Cartaxo,0,//,//,//,0
Chamusca,0,//,//,//,0
Coruche,0,//,//,//,0
Golegã,0,//,//,//,0
Rio Maior,66.7,0,29,30,94.9
Salvaterra de Magos,0,//,//,//,0
Santarém,74.8,12.8,53.9,61.8,128
Alto Alentejo,32.6,8.9,62.1,66.7,47.3
Alter do Chão,0,//,//,//,0
Arronches,0,//,//,//,0
Avis,0,//,//,//,0
Campo Maior,0,//,//,//,0
Castelo de Vide,0,//,//,//,0
Crato,0,//,//,//,0
Elvas,25.1,0,61.5,61.8,43.6
Fronteira,0,//,//,//,0
Gavião,0,//,//,//,0
Marvão,0,//,//,//,0
Monforte,0,//,//,//,0
Nisa,0,//,//,//,0
Ponte de Sor,0,//,//,//,0
Portalegre,123.2,10.8,62.2,67.9,178.1
Sousel,0,//,//,//,0
Alentejo Central,53.6,26.3,56.1,64.4,94.3
Alandroal,0,//,//,//,0
Arraiolos,0,//,//,//,0
Borba,0,//,//,//,0
Estremoz,0,//,//,//,0
Évora,147.2,26.3,56.1,64.4,251
Montemor-o-Novo,0,//,//,//,0
Mora,0,//,//,//,0
Mourão,0,//,//,//,0
Portel,0,//,//,//,0
Redondo,0,//,//,//,0
Reguengos de Monsaraz,0,//,//,//,0
Vendas Novas,0,//,//,//,0
Viana do Alentejo,0,//,//,//,0
Vila Viçosa,0,//,//,//,0
Algarve,25.4,27.1,55.6,63.6,43.2
Albufeira,0,//,//,//,0
Alcoutim,0,//,//,//,0
Aljezur,0,//,//,//,0
Castro Marim,0,//,//,//,0
Faro,147,30,55.2,63.9,242.8
Lagoa,0,//,//,//,0
Lagos,0,//,//,//,0
Loulé,0,//,//,//,0
Monchique,0,//,//,//,0
Olhão,0,//,//,//,0
Portimão,20,9.5,54.6,59.6,31.5
São Brás de Alportel,0,//,//,//,0
Silves,8.2,0,73.5,71.9,9.2
Tavira,0,//,//,//,0
Vila do Bispo,0,//,//,//,0
Vila Real de Santo António,0,//,//,//,0
R. A. Açores,11.5,20,62.1,65.8,15.5
Santa Maria,0,//,//,//,0
Vila do Porto,0,//,//,//,0
São Miguel,16.273421235253295,20.2,61.4,65.8,22.23886616350752
Lagoa (R.A.A.),0,//,//,//,0
Nordeste,0,//,//,//,0
Ponta Delgada,34.8,20.2,61.4,65.8,45.1
Povoação,0,//,//,//,0
Ribeira Grande,0,//,//,//,0
Vila Franca do Campo,0,//,//,//,0
Terceira,8.158429248476642,18.5,66.8,66.1,9.79740949850548
Angra do Heroísmo,12.7,18.5,66.8,66.1,15.3
Vila da Praia da Vitória,0,//,//,//,0
Graciosa,0,//,//,//,0
Santa Cruz da Graciosa,0,//,//,//,0
São Jorge,0,//,//,//,0
Calheta (R.A.A.),0,//,//,//,0
Velas,0,//,//,//,0
Pico,0,//,//,//,0
Lajes do Pico,0,//,//,//,0
Madalena,0,//,//,//,0
São Roque do Pico,0,//,//,//,0
Faial,0,//,//,//,0
Horta,0,//,//,//,0
Flores,0,//,//,//,0
Lajes das Flores,0,//,//,//,0
Santa Cruz das Flores,0,//,//,//,0
Corvo,0,//,//,//,0
Corvo,0,//,//,//,0
R. A. Madeira,16.1,25.6,53.1,57.8,29.4
Calheta (R.A.M.),0,//,//,//,0
Câmara de Lobos,0,//,//,//,0
Funchal,41.1,25.6,53.1,57.8,72.8
Machico,0,//,//,//,0
Ponta do Sol,0,//,//,//,0
Porto Moniz,0,//,//,//,0
Ribeira Brava,0,//,//,//,0
Santa Cruz,0,//,//,//,0
Santana,0,//,//,//,0
São Vicente,0,//,//,//,0
Porto Santo,0,//,//,//,0
