,"Ensino secundário público, Total (N.º)","Ensino secundário público, das quais, Ensino regular, Total (N.º)","Ensino secundário público, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário público, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Alvaiázere,74,74,74,0,0,0,0,0
Ansião,259,238,238,0,0,21,0,0
Batalha,320,227,227,0,0,93,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,134,111,111,0,0,23,0,0
Leiria,3629,2466,2466,0,0,721,442,0
Marinha Grande,1247,864,864,0,0,383,0,0
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,1005,739,739,0,0,266,0,0
Porto de Mós,347,253,253,0,0,94,0,0
Viseu Dão Lafões,7300,4943,4943,0,0,1930,427,0
Aguiar da Beira,161,108,108,0,0,53,0,0
Carregal do Sal,204,148,148,0,0,56,0,0
Castro Daire,320,210,210,0,0,110,0,0
Mangualde,507,323,323,0,0,184,0,0
Nelas,343,211,211,0,0,132,0,0
Oliveira de Frades,256,176,176,0,0,80,0,0
Penalva do Castelo,172,96,96,0,0,76,0,0
Santa Comba Dão,258,177,177,0,0,81,0,0
São Pedro do Sul,362,247,247,0,0,115,0,0
Sátão,294,192,192,0,0,102,0,0
Tondela,575,437,437,0,0,138,0,0
Vila Nova de Paiva,126,79,79,0,0,47,0,0
Viseu,3543,2435,2435,0,0,681,427,0
Vouzela,179,104,104,0,0,75,0,0
Beira Baixa,1903,1351,1351,0,0,476,76,0
Castelo Branco,1491,1025,1025,0,0,390,76,0
Idanha-a-Nova,105,105,105,0,0,0,0,0
Oleiros,101,61,61,0,0,40,0,0
Penamacor,65,56,56,0,0,9,0,0
Proença-a-Nova,141,104,104,0,0,37,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,5870,4120,4120,0,0,1572,178,0
Abrantes,1031,703,703,0,0,328,0,0
Alcanena,292,205,205,0,0,87,0,0
Constância,143,85,85,0,0,58,0,0
Entroncamento,644,483,483,0,0,161,0,0
Ferreira do Zêzere,105,75,75,0,0,30,0,0
Mação,179,86,86,0,0,93,0,0
Ourém,673,463,463,0,0,210,0,0
Sardoal,80,62,62,0,0,18,0,0
Sertã,343,263,263,0,0,80,0,0
Tomar,1284,817,817,0,0,289,178,0
Torres Novas,907,747,747,0,0,160,0,0
Vila de Rei,49,49,49,0,0,0,0,0
Vila Nova da Barquinha,140,82,82,0,0,58,0,0
Beiras e Serra da Estrela,4940,3382,3382,0,0,1341,217,0
Almeida,116,71,71,0,0,45,0,0
Belmonte,56,33,33,0,0,23,0,0
Celorico da Beira,140,108,108,0,0,32,0,0
Covilhã,1356,804,804,0,0,552,0,0
Figueira de Castelo Rodrigo,71,56,56,0,0,15,0,0
Fornos de Algodres,117,70,70,0,0,47,0,0
Fundão,582,422,422,0,0,160,0,0
Gouveia,261,172,172,0,0,89,0,0
Guarda,1130,876,876,0,0,91,163,0
Manteigas,40,40,40,0,0,0,0,0
Mêda,66,66,66,0,0,0,0,0
Pinhel,175,117,117,0,0,58,0,0
Sabugal,173,127,127,0,0,46,0,0
Seia,526,289,289,0,0,183,54,0
Trancoso,131,131,131,0,0,0,0,0
A. M. Lisboa,79994,53713,53713,0,1510,16831,7940,0
Alcochete,682,486,486,0,0,196,0,0
Almada,5103,3710,3710,0,0,1393,0,0
Amadora,4676,2057,2057,0,0,1175,1444,0
Barreiro,2891,2219,2219,0,0,672,0,0
Cascais,5501,3779,3779,0,69,1410,243,0
Lisboa,19523,11762,11762,0,1441,3081,3239,0
Loures,3604,2481,2481,0,0,1123,0,0
Mafra,1806,1400,1400,0,0,406,0,0
Moita,976,634,634,0,0,342,0,0
Montijo,1202,946,946,0,0,256,0,0
Odivelas,3700,2786,2786,0,0,776,138,0
Oeiras,4771,4402,4402,0,0,369,0,0
Palmela,1564,1250,1250,0,0,314,0,0
Seixal,4665,2725,2725,0,0,904,1036,0
Sesimbra,1254,1022,1022,0,0,232,0,0
Setúbal,3998,2551,2551,0,0,854,593,0
Sintra,9677,7128,7128,0,0,2003,546,0
Vila Franca de Xira,4401,2375,2375,0,0,1325,701,0
Alentejo,17774,12642,12642,0,0,4241,891,0
Alentejo Litoral,1852,1449,1449,0,0,368,35,0
Alcácer do Sal,245,202,202,0,0,43,0,0
Grândola,394,255,255,0,0,139,0,0
Odemira,363,329,329,0,0,34,0,0
Santiago do Cacém,631,499,499,0,0,97,35,0
Sines,219,164,164,0,0,55,0,0
Baixo Alentejo,2844,1882,1882,0,0,750,212,0
Aljustrel,226,113,113,0,0,61,52,0
Almodôvar,121,87,87,0,0,34,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1250,827,827,0,0,263,160,0
Castro Verde,185,128,128,0,0,57,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,62,62,62,0,0,0,0,0
Mértola,107,90,90,0,0,17,0,0
Moura,359,288,288,0,0,71,0,0
Ourique,106,83,83,0,0,23,0,0
Serpa,428,204,204,0,0,224,0,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,5784,4210,4210,0,0,1330,244,0
Almeirim,474,289,289,0,0,185,0,0
Alpiarça,169,113,113,0,0,56,0,0
Azambuja,386,288,288,0,0,98,0,0
Benavente,552,416,416,0,0,136,0,0
Cartaxo,522,400,400,0,0,122,0,0
Chamusca,142,106,106,0,0,36,0,0
Coruche,300,276,276,0,0,24,0,0
Golegã,98,64,64,0,0,34,0,0
Rio Maior,604,450,450,0,0,154,0,0
Salvaterra de Magos,574,440,440,0,0,134,0,0
Santarém,1963,1368,1368,0,0,351,244,0
Alto Alentejo,2964,1884,1884,0,0,920,160,0
Alter do Chão,153,40,40,0,0,113,0,0
Arronches,11,0,0,0,0,11,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,173,132,132,0,0,41,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,686,461,461,0,0,225,0,0
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,82,82,82,0,0,0,0,0
Ponte de Sor,485,335,335,0,0,130,20,0
Portalegre,1270,834,834,0,0,296,140,0
Sousel,104,0,0,0,0,104,0,0
Alentejo Central,4330,3217,3217,0,0,873,240,0
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,123,113,113,0,0,10,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,509,428,428,0,0,81,0,0
Évora,2023,1354,1354,0,0,429,240,0
Montemor-o-Novo,307,259,259,0,0,48,0,0
Mora,56,43,43,0,0,13,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,18,0,0,0,0,18,0,0
Redondo,118,85,85,0,0,33,0,0
Reguengos de Monsaraz,330,252,252,0,0,78,0,0
Vendas Novas,378,299,299,0,0,79,0,0
Viana do Alentejo,134,120,120,0,0,14,0,0
Vila Viçosa,334,264,264,0,0,70,0,0
Algarve,13642,8181,8181,0,30,5000,428,3
Albufeira,1374,916,916,0,0,458,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,2676,1583,1583,0,30,917,146,0
Lagoa,289,123,123,0,0,166,0,0
Lagos,1137,711,711,0,0,426,0,0
Loulé,1824,1147,1147,0,0,674,0,3
Monchique,0,0,0,0,0,0,0,0
Olhão,1111,641,641,0,0,470,0,0
Portimão,2653,1344,1344,0,0,1027,282,0
São Brás de Alportel,326,221,221,0,0,105,0,0
Silves,792,468,468,0,0,324,0,0
Tavira,745,518,518,0,0,227,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,715,509,509,0,0,206,0,0
R. A. Açores,6974,5064,5064,0,0,714,1196,0
Santa Maria,228,138,138,0,0,60,30,0
Vila do Porto,228,138,138,0,0,60,30,0
São Miguel,4077,2942,2942,0,0,634,501,0
Lagoa (R.A.A.),428,234,234,0,0,142,52,0
Nordeste,129,124,124,0,0,5,0,0
Ponta Delgada,2469,1844,1844,0,0,366,259,0
Povoação,133,117,117,0,0,16,0,0
Ribeira Grande,624,440,440,0,0,77,107,0
Vila Franca do Campo,294,183,183,0,0,28,83,0
Terceira,1464,1054,1054,0,0,20,390,0
Angra do Heroísmo,972,671,671,0,0,20,281,0
Vila da Praia da Vitória,492,383,383,0,0,0,109,0
Graciosa,121,71,71,0,0,0,50,0
Santa Cruz da Graciosa,121,71,71,0,0,0,50,0
São Jorge,234,180,180,0,0,0,54,0
Calheta (R.A.A.),89,89,89,0,0,0,0,0
Velas,145,91,91,0,0,0,54,0
Pico,342,264,264,0,0,0,78,0
Lajes do Pico,140,89,89,0,0,0,51,0
Madalena,133,120,120,0,0,0,13,0
São Roque do Pico,69,55,55,0,0,0,14,0
Faial,404,347,347,0,0,0,57,0
Horta,404,347,347,0,0,0,57,0
Flores,98,62,62,0,0,0,36,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,98,62,62,0,0,0,36,0
Corvo,6,6,6,0,0,0,0,0
Corvo,6,6,6,0,0,0,0,0
R. A. Madeira,8099,5619,5619,0,0,2017,122,341
Calheta (R.A.M.),248,173,173,0,0,75,0,0
Câmara de Lobos,277,147,147,0,0,60,0,70
Funchal,5724,4034,4034,0,0,1339,122,229
Machico,577,429,429,0,0,148,0,0
Ponta do Sol,219,149,149,0,0,57,0,13
Porto Moniz,52,52,52,0,0,0,0,0
Ribeira Brava,344,207,207,0,0,108,0,29
Santa Cruz,212,110,110,0,0,102,0,0
Santana,186,130,130,0,0,56,0,0
São Vicente,108,71,71,0,0,37,0,0
Porto Santo,152,117,117,0,0,35,0,0
