,"Ensino secundário, Total (N.º)","Ensino secundário, das quais, Ensino regular, Total (N.º)","Ensino secundário, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Santo Tirso,2835,1278,1278,0,0,1557,0,0
São João da Madeira,1649,985,985,0,0,647,17,0
Trofa,1055,841,841,0,0,214,0,0
Vale de Cambra,588,368,368,0,0,220,0,0
Valongo,2293,1570,1570,0,0,723,0,0
Vila do Conde,1989,1135,1135,0,0,854,0,0
Vila Nova de Gaia,10101,6401,4233,2168,95,2536,1069,0
Alto Tâmega,2248,1421,1421,0,0,753,74,0
Boticas,0,0,0,0,0,0,0,0
Chaves,1422,871,871,0,0,477,74,0
Montalegre,174,113,113,0,0,61,0,0
Ribeira de Pena,161,108,108,0,0,53,0,0
Valpaços,221,152,152,0,0,69,0,0
Vila Pouca de Aguiar,270,177,177,0,0,93,0,0
Tâmega e Sousa,13512,8295,7510,785,24,5193,0,0
Amarante,2223,1640,855,785,0,583,0,0
Baião,440,200,200,0,0,240,0,0
Castelo de Paiva,509,335,335,0,24,150,0,0
Celorico de Basto,505,256,256,0,0,249,0,0
Cinfães,577,239,239,0,0,338,0,0
Felgueiras,1916,987,987,0,0,929,0,0
Lousada,1405,882,882,0,0,523,0,0
Marco de Canaveses,1662,993,993,0,0,669,0,0
Paços de Ferreira,1782,1131,1131,0,0,651,0,0
Penafiel,2166,1441,1441,0,0,725,0,0
Resende,327,191,191,0,0,136,0,0
Douro,6011,3748,3707,41,0,1853,410,0
Alijó,191,141,141,0,0,50,0,0
Armamar,125,125,125,0,0,0,0,0
Carrazeda de Ansiães,123,70,70,0,0,53,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,1004,688,647,41,0,316,0,0
Mesão Frio,142,102,102,0,0,40,0,0
Moimenta da Beira,386,209,209,0,0,177,0,0
Murça,237,110,110,0,0,127,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,691,362,362,0,0,329,0,0
Sabrosa,146,105,105,0,0,41,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,185,92,92,0,0,93,0,0
Sernancelhe,136,0,0,0,0,136,0,0
Tabuaço,75,63,63,0,0,12,0,0
Tarouca,147,112,112,0,0,35,0,0
Torre de Moncorvo,124,81,81,0,0,43,0,0
Vila Nova de Foz Côa,86,86,86,0,0,0,0,0
Vila Real,2213,1402,1402,0,0,401,410,0
Terras de Trás-os-Montes,3032,1713,1713,0,0,957,362,0
Alfândega da Fé,71,62,62,0,0,9,0,0
Bragança,1396,727,727,0,0,307,362,0
Macedo de Cavaleiros,409,230,230,0,0,179,0,0
Miranda do Douro,124,89,89,0,0,35,0,0
Mirandela,683,345,345,0,0,338,0,0
Mogadouro,127,92,92,0,0,35,0,0
Vila Flor,117,84,84,0,0,33,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,105,84,84,0,0,21,0,0
Centro,71332,41808,41455,353,8,26775,2741,0
Oeste,11637,6930,6930,0,4,4703,0,0
Alcobaça,1639,971,971,0,0,668,0,0
Alenquer,1034,759,759,0,0,275,0,0
Arruda dos Vinhos,681,479,479,0,0,202,0,0
Bombarral,340,205,205,0,0,135,0,0
Cadaval,181,152,152,0,0,29,0,0
Caldas da Rainha,2336,1263,1263,0,0,1073,0,0
Lourinhã,491,349,349,0,0,142,0,0
Nazaré,409,153,153,0,0,256,0,0
Óbidos,197,133,133,0,0,64,0,0
Peniche,580,392,392,0,0,188,0,0
Sobral de Monte Agraço,231,180,180,0,0,51,0,0
Torres Vedras,3518,1894,1894,0,4,1620,0,0
Região de Aveiro,11809,6660,6660,0,4,4492,653,0
Águeda,1502,754,754,0,3,506,239,0
Albergaria-a-Velha,870,340,340,0,0,530,0,0
Anadia,1041,556,556,0,0,485,0,0
Aveiro,3696,2133,2133,0,0,1149,414,0
Estarreja,731,337,337,0,0,394,0,0
Ílhavo,757,503,503,0,1,253,0,0
Murtosa,100,100,100,0,0,0,0,0
Oliveira do Bairro,565,374,374,0,0,191,0,0
Ovar,1245,844,844,0,0,401,0,0
Sever do Vouga,539,223,223,0,0,316,0,0
Vagos,763,496,496,0,0,267,0,0
Região de Coimbra,13459,8130,8130,0,0,4709,620,0
Arganil,480,137,137,0,0,174,169,0
Cantanhede,871,556,556,0,0,315,0,0
Coimbra,5962,3737,3737,0,0,1774,451,0
Condeixa-a-Nova,330,280,280,0,0,50,0,0
Figueira da Foz,1838,1205,1205,0,0,633,0,0
Góis,0,0,0,0,0,0,0,0
Lousã,477,260,260,0,0,217,0,0
Mealhada,543,262,262,0,0,281,0,0
Mira,215,151,151,0,0,64,0,0
Miranda do Corvo,249,173,173,0,0,76,0,0
Montemor-o-Velho,408,229,229,0,0,179,0,0
Mortágua,195,134,134,0,0,61,0,0
Oliveira do Hospital,596,325,325,0,0,271,0,0
Pampilhosa da Serra,28,28,28,0,0,0,0,0
Penacova,435,145,145,0,0,290,0,0
Penela,40,0,0,0,0,40,0,0
Soure,337,255,255,0,0,82,0,0
Tábua,289,153,153,0,0,136,0,0
Vila Nova de Poiares,166,100,100,0,0,66,0,0
Região de Leiria,9484,5444,5400,44,0,3614,426,0
Alvaiázere,141,80,80,0,0,61,0,0
Ansião,503,253,253,0,0,250,0,0
Batalha,314,215,215,0,0,99,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,116,95,95,0,0,21,0,0
Leiria,4162,2602,2558,44,0,1134,426,0
Marinha Grande,1549,937,937,0,0,612,0,0
Pedrógão Grande,173,0,0,0,0,173,0,0
Pombal,1808,966,966,0,0,842,0,0
Porto de Mós,718,296,296,0,0,422,0,0
Viseu Dão Lafões,8596,4938,4938,0,0,3137,521,0
Aguiar da Beira,147,120,120,0,0,27,0,0
Carregal do Sal,187,137,137,0,0,50,0,0
Castro Daire,382,235,235,0,0,147,0,0
Mangualde,516,325,325,0,0,191,0,0
Nelas,340,199,199,0,0,141,0,0
Oliveira de Frades,234,157,157,0,0,77,0,0
Penalva do Castelo,209,127,127,0,0,82,0,0
Santa Comba Dão,264,187,187,0,0,77,0,0
São Pedro do Sul,543,262,262,0,0,281,0,0
Sátão,268,186,186,0,0,82,0,0
Tondela,894,425,425,0,0,469,0,0
Vila Nova de Paiva,114,73,73,0,0,41,0,0
Viseu,4133,2387,2387,0,0,1225,521,0
Vouzela,365,118,118,0,0,247,0,0
Beira Baixa,2246,1380,1380,0,0,761,105,0
Castelo Branco,1767,1059,1059,0,0,603,105,0
Idanha-a-Nova,183,100,100,0,0,83,0,0
Oleiros,89,62,62,0,0,27,0,0
Penamacor,69,61,61,0,0,8,0,0
Proença-a-Nova,138,98,98,0,0,40,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,7957,4926,4617,309,0,2830,201,0
Abrantes,1070,747,747,0,0,323,0,0
Alcanena,313,230,230,0,0,83,0,0
Constância,96,80,80,0,0,16,0,0
Entroncamento,801,470,470,0,0,331,0,0
Ferreira do Zêzere,112,81,81,0,0,31,0,0
Mação,180,76,76,0,0,104,0,0
Ourém,1999,1177,868,309,0,822,0,0
Sardoal,82,64,64,0,0,18,0,0
Sertã,513,283,283,0,0,230,0,0
Tomar,1462,822,822,0,0,439,201,0
Torres Novas,1125,746,746,0,0,379,0,0
Vila de Rei,63,63,63,0,0,0,0,0
Vila Nova da Barquinha,141,87,87,0,0,54,0,0
Beiras e Serra da Estrela,6144,3400,3400,0,0,2529,215,0
Almeida,98,62,62,0,0,36,0,0
Belmonte,73,38,38,0,0,35,0,0
Celorico da Beira,121,97,97,0,0,24,0,0
Covilhã,1463,858,858,0,0,605,0,0
Figueira de Castelo Rodrigo,72,53,53,0,0,19,0,0
Fornos de Algodres,108,79,79,0,0,29,0,0
Fundão,805,407,407,0,0,398,0,0
Gouveia,328,160,160,0,0,168,0,0
Guarda,1578,864,864,0,0,499,215,0
Manteigas,78,43,43,0,0,35,0,0
Mêda,63,63,63,0,0,0,0,0
Pinhel,178,130,130,0,0,48,0,0
Sabugal,162,116,116,0,0,46,0,0
Seia,590,281,281,0,0,309,0,0
Trancoso,427,149,149,0,0,278,0,0
A. M. Lisboa,102074,63231,63222,9,1520,30161,7137,25
Alcochete,696,496,496,0,0,200,0,0
Almada,6110,3980,3980,0,0,2130,0,0
Amadora,5693,2151,2151,0,0,2044,1498,0
Barreiro,3211,2338,2338,0,0,873,0,0
Cascais,8109,5974,5974,0,59,1747,329,0
Lisboa,29688,16069,16060,9,1446,10245,1903,25
Loures,4161,2809,2809,0,0,1352,0,0
Mafra,2751,1960,1960,0,0,791,0,0
Moita,1532,637,637,0,0,895,0,0
Montijo,1561,988,988,0,0,573,0,0
Odivelas,3778,2963,2963,0,0,815,0,0
Oeiras,5590,4691,4691,0,0,899,0,0
Palmela,1954,1619,1619,0,13,322,0,0
Seixal,5479,3078,3078,0,2,1144,1255,0
Sesimbra,1439,1068,1068,0,0,371,0,0
Setúbal,4518,2550,2550,0,0,1298,670,0
Sintra,10805,7292,7292,0,0,2825,688,0
Vila Franca de Xira,4999,2568,2568,0,0,1637,794,0
Alentejo,21170,12814,12814,0,2,7352,1002,0
Alentejo Litoral,2484,1592,1592,0,0,857,35,0
Alcácer do Sal,228,201,201,0,0,27,0,0
Grândola,391,245,245,0,0,146,0,0
Odemira,764,467,467,0,0,297,0,0
Santiago do Cacém,614,472,472,0,0,107,35,0
Sines,487,207,207,0,0,280,0,0
Baixo Alentejo,3546,1834,1834,0,0,1448,264,0
Aljustrel,174,111,111,0,0,63,0,0
Almodôvar,133,91,91,0,0,42,0,0
Alvito,173,0,0,0,0,173,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1449,813,813,0,0,372,264,0
Castro Verde,192,134,134,0,0,58,0,0
Cuba,120,0,0,0,0,120,0,0
Ferreira do Alentejo,71,59,59,0,0,12,0,0
Mértola,153,85,85,0,0,68,0,0
Moura,455,280,280,0,0,175,0,0
Ourique,101,68,68,0,0,33,0,0
Serpa,413,193,193,0,0,220,0,0
Vidigueira,112,0,0,0,0,112,0,0
Lezíria do Tejo,7380,4314,4314,0,0,2728,338,0
Almeirim,482,298,298,0,0,184,0,0
Alpiarça,159,91,91,0,0,68,0,0
Azambuja,410,312,312,0,0,98,0,0
Benavente,623,454,454,0,0,169,0,0
Cartaxo,514,405,405,0,0,109,0,0
Chamusca,138,121,121,0,0,17,0,0
Coruche,432,286,286,0,0,146,0,0
Golegã,91,78,78,0,0,13,0,0
Rio Maior,856,496,496,0,0,360,0,0
Salvaterra de Magos,911,393,393,0,0,518,0,0
Santarém,2764,1380,1380,0,0,1046,338,0
Alto Alentejo,3001,1811,1811,0,2,1046,142,0
Alter do Chão,158,46,46,0,0,112,0,0
Arronches,6,0,0,0,0,6,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,182,139,139,0,0,43,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,60,0,0,0,0,60,0,0
Elvas,699,447,447,0,0,252,0,0
Fronteira,0,0,0,0,0,0,0,0
Gavião,20,0,0,0,0,20,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,82,62,62,0,0,20,0,0
Ponte de Sor,453,346,346,0,0,107,0,0
Portalegre,1210,771,771,0,2,295,142,0
Sousel,131,0,0,0,0,131,0,0
Alentejo Central,4759,3263,3263,0,0,1273,223,0
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,120,111,111,0,0,9,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,480,403,403,0,0,77,0,0
Évora,2442,1376,1376,0,0,843,223,0
Montemor-o-Novo,330,264,264,0,0,66,0,0
Mora,68,56,56,0,0,12,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,15,0,0,0,0,15,0,0
Redondo,120,98,98,0,0,22,0,0
Reguengos de Monsaraz,316,246,246,0,0,70,0,0
Vendas Novas,393,316,316,0,0,77,0,0
Viana do Alentejo,150,125,125,0,0,25,0,0
Vila Viçosa,325,268,268,0,0,57,0,0
Algarve,14745,8596,8596,0,51,5552,543,3
Albufeira,1496,911,911,0,0,585,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,20,20,20,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,2727,1537,1537,0,51,963,176,0
Lagoa,363,190,190,0,0,173,0,0
Lagos,1235,729,729,0,0,506,0,0
Loulé,2123,1314,1314,0,0,806,0,3
Monchique,0,0,0,0,0,0,0,0
Olhão,1166,706,706,0,0,460,0,0
Portimão,2928,1410,1410,0,0,1151,367,0
São Brás de Alportel,306,216,216,0,0,90,0,0
Silves,893,524,524,0,0,369,0,0
Tavira,746,529,529,0,0,217,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,742,510,510,0,0,232,0,0
R. A. Açores,8733,4924,4924,0,0,2731,1078,0
Santa Maria,158,120,120,0,0,0,38,0
Vila do Porto,158,120,120,0,0,0,38,0
São Miguel,5284,2893,2893,0,0,1984,407,0
Lagoa (R.A.A.),505,257,257,0,0,216,32,0
Nordeste,147,93,93,0,0,54,0,0
Ponta Delgada,3243,1828,1828,0,0,1210,205,0
Povoação,212,129,129,0,0,83,0,0
Ribeira Grande,784,404,404,0,0,300,80,0
Vila Franca do Campo,393,182,182,0,0,121,90,0
Terceira,1793,982,982,0,0,406,405,0
Angra do Heroísmo,1084,627,627,0,0,165,292,0
Vila da Praia da Vitória,709,355,355,0,0,241,113,0
Graciosa,114,74,74,0,0,13,27,0
Santa Cruz da Graciosa,114,74,74,0,0,13,27,0
São Jorge,332,179,179,0,0,105,48,0
Calheta (R.A.A.),100,100,100,0,0,0,0,0
Velas,232,79,79,0,0,105,48,0
Pico,425,270,270,0,0,99,56,0
Lajes do Pico,131,89,89,0,0,0,42,0
Madalena,228,118,118,0,0,99,11,0
São Roque do Pico,66,63,63,0,0,0,3,0
Faial,528,341,341,0,0,124,63,0
Horta,528,341,341,0,0,124,63,0
Flores,86,52,52,0,0,0,34,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,86,52,52,0,0,0,34,0
Corvo,13,13,13,0,0,0,0,0
Corvo,13,13,13,0,0,0,0,0
R. A. Madeira,9386,5774,5774,0,0,3025,140,447
Calheta (R.A.M.),263,179,179,0,0,84,0,0
Câmara de Lobos,208,126,126,0,0,45,0,37
Funchal,7110,4199,4199,0,0,2395,140,376
Machico,560,421,421,0,0,139,0,0
Ponta do Sol,224,155,155,0,0,61,0,8
Porto Moniz,70,70,70,0,0,0,0,0
Ribeira Brava,319,209,209,0,0,84,0,26
Santa Cruz,211,97,97,0,0,114,0,0
Santana,168,119,119,0,0,49,0,0
São Vicente,104,81,81,0,0,23,0,0
Porto Santo,149,118,118,0,0,31,0,0
