,"Public upper secondary education, Total (N.º)","Public upper secondary education, of which, Regular education, Total (N.º)","Public upper secondary education, of which, Regular education, General courses/ scientific-humanistic (N.º)","Public upper secondary education, of which, Regular education, Technological courses (N.º)","Public upper secondary education, of which, Artistic education, Technological courses (N.º)","Public upper secondary education, of which, Vocational courses, Technological courses (N.º)","Public upper secondary education, of which, Apprenticeship courses, Technological courses (N.º)","Public upper secondary education, of which, Education and training courses, Technological courses (N.º)"
Velas,118,71,71,0,0,0,47,0
Pico,297,252,252,0,0,0,45,0
Lajes do Pico,114,89,89,0,0,0,25,0
Madalena,105,97,97,0,0,0,8,0
São Roque do Pico,78,66,66,0,0,0,12,0
Faial,376,311,311,0,0,0,65,0
Horta,376,311,311,0,0,0,65,0
Flores,82,76,76,0,0,0,6,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,82,76,76,0,0,0,6,0
Corvo,11,11,11,0,0,0,0,0
Corvo,11,11,11,0,0,0,0,0
R. A. Madeira,7497,5494,5494,0,0,1562,160,281
Calheta (R.A.M.),277,205,205,0,0,72,0,0
Câmara de Lobos,180,137,137,0,0,23,0,20
Funchal,5194,3783,3783,0,0,1032,160,219
Machico,538,424,424,0,0,114,0,0
Ponta do Sol,248,173,173,0,0,65,0,10
Porto Moniz,67,67,67,0,0,0,0,0
Ribeira Brava,339,238,238,0,0,69,0,32
Santa Cruz,234,125,125,0,0,109,0,0
Santana,159,119,119,0,0,40,0,0
São Vicente,107,101,101,0,0,6,0,0
Porto Santo,154,122,122,0,0,32,0,0
