,"2018, Total, Hospitals (N.º)","2018, Public and Public-private partnerships, Hospitals (N.º)","2018, Private, Hospitals (N.º)","2018 Po, Total, Beds (N.º)","2018 Po, General hospital, Beds (N.º)","2018 Po, Specialized hospital, Beds (N.º)","2018 Po, Surgery rooms, Beds (N.º)","2018 Po, Hospitalisations , In-patient flow  (N.º)","2018 Po, Days of hospitalisation , In-patient flow  (N.º)"
São Pedro do Sul,0,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0,0
Tondela,1,1,0,30,30,0,2,405,7840
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0
Viseu,3,1,2,...,...,...,...,...,...
Vouzela,0,0,0,0,0,0,0,0,0
Beira Baixa,1,1,0,225,225,0,5,7889,60050
Castelo Branco,1,1,0,225,225,0,5,7889,60050
Idanha-a-Nova,0,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0
Médio Tejo,6,4,2,...,...,...,...,...,...
Abrantes,1,1,0,0,0,0,0,0,0
Alcanena,1,0,1,...,...,...,...,...,...
Constância,1,1,0,21,21,0,0,22,30
Entroncamento,1,0,1,...,...,...,...,...,...
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0,0
Tomar,1,1,0,0,0,0,0,0,0
Torres Novas,1,1,0,416,416,0,15,15958,141793
Vila de Rei,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,5,4,1,...,...,...,...,...,...
Almeida,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0
Covilhã,1,1,0,270,270,0,7,9620,77594
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0
Fundão,1,1,0,38,38,0,0,520,9736
Gouveia,0,0,0,0,0,0,0,0,0
Guarda,2,1,1,...,...,...,...,...,...
Manteigas,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0
Seia,1,1,0,25,25,0,2,951,14861
Trancoso,0,0,0,0,0,0,0,0,0
A. M. Lisboa,59,28,31,10880,7941,2939,287,361128,3205949
Alcochete,0,0,0,0,0,0,0,0,0
Almada,1,1,0,546,546,0,15,24610,204346
Amadora,2,1,1,...,...,...,...,...,...
Barreiro,1,1,0,366,366,0,5,13381,111686
Cascais,6,1,5,616,318,298,14,19827,187414
Lisboa,34,17,17,5399,4152,1247,185,201678,1498484
Loures,2,1,1,...,...,...,...,...,...
Mafra,0,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0,0
Montijo,1,1,0,20,20,0,2,208,7502
Odivelas,0,0,0,0,0,0,0,0,0
Oeiras,3,2,1,...,...,...,...,...,...
Palmela,0,0,0,0,0,0,0,0,0
Seixal,0,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0,0
Setúbal,4,2,2,...,...,...,...,...,...
Sintra,4,0,4,1189,0,1189,0,2239,401786
Vila Franca de Xira,1,1,0,313,313,0,9,16550,116840
Alentejo,10,6,4,1545,1356,189,31,51957,461480
Alentejo Litoral,1,1,0,114,114,0,4,4911,38259
Alcácer do Sal,0,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0,0
Santiago do Cacém,1,1,0,114,114,0,4,4911,38259
Sines,0,0,0,0,0,0,0,0,0
Baixo Alentejo,1,1,0,215,215,0,5,7977,61178
Aljustrel,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0
Beja,1,1,0,215,215,0,5,7977,61178
Castro Verde,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,2,1,1,...,...,...,...,...,...
Almeirim,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0
Santarém,2,1,1,...,...,...,...,...,...
Alto Alentejo,3,2,1,...,...,...,...,...,...
Alter do Chão,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0
Elvas,1,1,0,82,82,0,3,2280,24534
Fronteira,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0
Monforte,1,0,1,...,...,...,...,...,...
Nisa,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0
Portalegre,1,1,0,159,159,0,4,4926,47077
Sousel,0,0,0,0,0,0,0,0,0
Alentejo Central,3,1,2,...,...,...,...,...,...
Alandroal,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0
Évora,2,1,1,...,...,...,...,...,...
Montemor-o-Novo,1,0,1,...,...,...,...,...,...
Mora,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0
Algarve,11,4,7,1247,1210,37,28,44623,360289
Albufeira,1,0,1,...,...,...,...,...,...
Alcoutim,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0
Faro,2,1,1,...,...,...,...,...,...
Lagoa,0,0,0,0,0,0,0,0,0
Lagos,1,0,1,...,...,...,...,...,...
Loulé,1,0,1,...,...,...,...,...,...
Monchique,0,0,0,0,0,0,0,0,0
Olhão,1,1,0,14,0,14,0,355,3970
Portimão,4,2,2,...,...,...,...,...,...
São Brás de Alportel,0,0,0,0,0,0,0,0,0
Silves,1,0,1,...,...,...,...,...,...
Tavira,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0
R. A. Açores,8,3,5,1480,780,700,20,30107,442590
Santa Maria,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0
São Miguel,4,1,3,828,469,359,10,20509,254269
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0
Ponta Delgada,4,1,3,828,469,359,10,20509,254269
Povoação,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0
Terceira,3,1,2,552,211,341,8,6438,168136
Angra do Heroísmo,3,1,2,552,211,341,8,6438,168136
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0
Faial,1,1,0,100,100,0,2,3160,20185
Horta,1,1,0,100,100,0,2,3160,20185
Flores,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0
R. A. Madeira,9,3,6,1846,763,1083,12,25814,550824
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0
Funchal,9,3,6,1846,763,1083,12,25814,550824
Machico,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0
