,"2018 Po, Total, Personnel employed (N.º)","2018 Po, Doctors, Personnel employed (N.º)","2018 Po, Nurse, Personnel employed (N.º)","2018 Po, Auxiliary personnel, Personnel employed (N.º)","2018 Po, Technician of diagnostics and therapeutics, Personnel employed (N.º)","2018 Po, Other, Personnel employed (N.º)","2018 Po, Total hospitals, Hospitals (emergency service) (N.º)","2018 Po, Public hospitals of universal access and hospitals in public-private partnership, Hospitals (emergency service) (N.º)"
Castro Daire,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0
Tondela,153,8,62,50,12,21,29037,29037
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,...,...,...,...,...,...,...,134495
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,930,127,358,217,66,162,63090,63090
Castelo Branco,930,127,358,217,66,162,63090,63090
Idanha-a-Nova,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,...,...,...,...,...,...,...,145106
Abrantes,0,0,0,0,0,0,0,0
Alcanena,...,...,...,...,...,...,...,0
Constância,80,7,25,29,8,11,1790,0
Entroncamento,...,...,...,...,...,...,...,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0
Tomar,0,0,0,0,0,0,0,0
Torres Novas,1939,226,747,534,341,91,145106,145106
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,...,...,...,...,...,...,...,161110
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,1174,225,365,268,89,227,72336,72336
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,117,4,35,47,7,24,0,0
Gouveia,0,0,0,0,0,0,0,0
Guarda,...,...,...,...,...,...,...,61361
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,205,6,87,63,21,28,27413,27413
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,47235,9426,13919,10711,3656,9523,2448007,1893811
Alcochete,0,0,0,0,0,0,0,0
Almada,2688,584,946,558,202,398,169039,169039
Amadora,...,...,...,...,...,...,...,265724
Barreiro,1618,280,584,385,140,229,115799,115799
Cascais,2612,487,713,528,273,611,207669,164053
Lisboa,28536,5788,8134,6365,2245,6004,1112162,653213
Loures,...,...,...,...,...,...,...,204116
Mafra,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0
Montijo,142,1,59,44,18,20,29932,29932
Odivelas,0,0,0,0,0,0,0,0
Oeiras,...,...,...,...,...,...,...,0
Palmela,0,0,0,0,0,0,0,0
Seixal,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0
Setúbal,...,...,...,...,...,...,...,149006
Sintra,824,37,185,343,18,241,0,0
Vila Franca de Xira,1199,213,390,307,88,201,142929,142929
Alentejo,6516,956,2243,1680,503,1134,442489,424519
Alentejo Litoral,677,87,246,167,51,126,47442,47442
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0
Santiago do Cacém,677,87,246,167,51,126,47442,47442
Sines,0,0,0,0,0,0,0,0
Baixo Alentejo,1171,132,413,319,78,229,103193,103193
Aljustrel,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1171,132,413,319,78,229,103193,103193
Castro Verde,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,...,...,...,...,...,...,...,132530
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0
Santarém,...,...,...,...,...,...,...,132530
Alto Alentejo,...,...,...,...,...,...,...,67228
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,349,38,124,89,32,66,30505,30505
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,...,...,...,...,...,...,...,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0
Portalegre,755,75,273,186,63,158,36723,36723
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,...,...,...,...,...,...,...,74126
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0
Évora,...,...,...,...,...,...,...,74126
Montemor-o-Novo,...,...,...,...,...,...,...,0
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0
Algarve,5293,977,1785,1179,313,1039,351222,249040
Albufeira,...,...,...,...,...,...,...,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,...,...,...,...,...,...,...,128046
Lagoa,0,0,0,0,0,0,0,0
Lagos,...,...,...,...,...,...,...,0
Loulé,...,...,...,...,...,...,...,0
Monchique,0,0,0,0,0,0,0,0
Olhão,30,2,10,11,2,5,0,0
Portimão,...,...,...,...,...,...,...,120994
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,...,...,...,...,...,...,...,0
Tavira,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0
R. A. Açores,3692,428,1118,1118,248,780,183764,183764
Santa Maria,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0
São Miguel,1870,255,550,547,129,389,104557,104557
Lagoa (R.A.A.),0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0
Ponta Delgada,1870,255,550,547,129,389,104557,104557
Povoação,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0
Terceira,1331,123,412,413,82,301,57060,57060
Angra do Heroísmo,1331,123,412,413,82,301,57060,57060
Vila da Praia da Vitória,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0
Faial,491,50,156,158,37,90,22147,22147
Horta,491,50,156,158,37,90,22147,22147
Flores,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,4026,467,1195,1104,233,1027,118279,113456
Calheta (R.A.M.),0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0
Funchal,4026,467,1195,1104,233,1027,118279,113456
Machico,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0
