,"2020, Total, Hospitals (N.º)","2020, Public and Public-private partnerships, Hospitals (N.º)","2020, Private, Hospitals (N.º)","2020 Po, Total, Beds (N.º)","2020 Po, General hospital, Beds (N.º)","2020 Po, Specialized hospital, Beds (N.º)","2020 Po, Surgery rooms, Beds (N.º)","2020 Po, Hospitalisations , In-patient flow  (N.º)","2020 Po, Days of hospitalisation , In-patient flow  (N.º)"
Pombal,1,1,0,0,0,0,0,0,0
Porto de Mós,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,4,2,2,...,...,...,...,...,...
Aguiar da Beira,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0,0
Tondela,1,1,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0
Viseu,3,1,2,...,...,...,...,...,...
Vouzela,0,0,0,0,0,0,0,0,0
Beira Baixa,1,1,0,230,230,0,5,6547,50723
Castelo Branco,1,1,0,230,230,0,5,6547,50723
Idanha-a-Nova,0,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0
Médio Tejo,6,4,2,...,...,...,...,...,...
Abrantes,1,1,0,0,0,0,0,0,0
Alcanena,1,0,1,...,...,...,...,...,...
Constância,1,1,0,24,24,0,0,6,6
Entroncamento,1,0,1,...,...,...,...,...,...
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0,0
Tomar,1,1,0,431,431,0,13,13539,124852
Torres Novas,1,1,0,0,0,0,0,0,0
Vila de Rei,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,5,4,1,...,...,...,...,...,...
Almeida,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0
Covilhã,1,1,0,291,291,0,7,8695,80641
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0
Fundão,1,1,0,0,0,0,0,0,0
Gouveia,0,0,0,0,0,0,0,0,0
Guarda,2,1,1,...,...,...,...,...,...
Manteigas,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0
Seia,1,1,0,0,0,0,0,0,0
Trancoso,0,0,0,0,0,0,0,0,0
A. M. Lisboa,60,28,32,10806,7976,2830,283,315873,2908793
Alcochete,0,0,0,0,0,0,0,0,0
Almada,1,1,0,542,542,0,12,18211,177219
Amadora,3,1,2,...,...,...,...,...,...
Barreiro,1,1,0,389,389,0,7,11419,106586
Cascais,6,1,5,596,315,281,14,19649,169317
Lisboa,33,17,16,5482,4361,1121,189,180318,1379379
Loures,2,1,1,...,...,...,...,...,...
Mafra,0,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0,0
Montijo,1,1,0,0,0,0,0,0,0
Odivelas,0,0,0,0,0,0,0,0,0
Oeiras,3,2,1,...,...,...,...,...,...
Palmela,0,0,0,0,0,0,0,0,0
Seixal,0,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0,0
Setúbal,4,2,2,...,...,...,...,...,...
Sintra,5,0,5,1211,36,1175,2,1900,373242
Vila Franca de Xira,1,1,0,313,313,0,9,13349,112906
Alentejo,11,6,5,1502,1293,209,34,45666,429810
Alentejo Litoral,1,1,0,133,133,0,4,4581,35847
Alcácer do Sal,0,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0,0
Santiago do Cacém,1,1,0,133,133,0,4,4581,35847
Sines,0,0,0,0,0,0,0,0,0
Baixo Alentejo,1,1,0,208,208,0,5,6745,54105
Aljustrel,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0
Beja,1,1,0,208,208,0,5,6745,54105
Castro Verde,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,3,1,2,...,...,...,...,...,...
Almeirim,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0
Santarém,3,1,2,...,...,...,...,...,...
Alto Alentejo,3,2,1,...,...,...,...,...,...
Alter do Chão,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0
Elvas,1,1,0,0,0,0,0,0,0
Fronteira,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0
Monforte,1,0,1,...,...,...,...,...,...
Nisa,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0
Portalegre,1,1,0,225,225,0,7,6625,66436
Sousel,0,0,0,0,0,0,0,0,0
Alentejo Central,3,1,2,...,...,...,...,...,...
Alandroal,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0
Évora,2,1,1,...,...,...,...,...,...
Montemor-o-Novo,1,0,1,...,...,...,...,...,...
Mora,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0
Algarve,11,5,6,1164,1157,7,29,38354,300457
Albufeira,1,0,1,...,...,...,...,...,...
Alcoutim,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0
Faro,2,1,1,...,...,...,...,...,...
Lagoa,0,0,0,0,0,0,0,0,0
Lagos,1,0,1,...,...,...,...,...,...
Loulé,1,0,1,...,...,...,...,...,...
Monchique,0,0,0,0,0,0,0,0,0
Olhão,1,1,0,7,0,7,0,223,2547
Portimão,4,2,2,...,...,...,...,...,...
São Brás de Alportel,1,1,0,0,0,0,0,0,0
Silves,0,0,0,0,0,0,0,0,0
Tavira,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0
R. A. Açores,8,3,5,1505,779,726,20,25315,423022
Santa Maria,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0
São Miguel,4,1,3,888,503,385,10,16937,240434
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0
Ponta Delgada,4,1,3,888,503,385,10,16937,240434
Povoação,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0
Terceira,3,1,2,513,172,341,8,5634,162808
Angra do Heroísmo,3,1,2,513,172,341,8,5634,162808
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0
Faial,1,1,0,104,104,0,2,2744,19780
Horta,1,1,0,104,104,0,2,2744,19780
Flores,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0
R. A. Madeira,10,3,7,2018,881,1137,21,21547,555710
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0
Funchal,10,3,7,2018,881,1137,21,21547,555710
Machico,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0
