,"Appointments in external appointments unit of hospitals according to the specialty, Total (N.º)","Appointments in external appointments unit of hospitals according to the specialty, General surgery (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Gynaecology (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Internal medicine (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Ophthalmology (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Orthopaedics (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Otorhinolaryngology (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Medical paediatrics (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Psychiatry (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Others (N.º)"
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0
Bragança,85067,6251,5114,9789,6672,14478,3865,3586,6549,28763
Macedo de Cavaleiros,0,0,0,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0,0,0
Mirandela,...,...,...,...,...,...,...,...,...,...
Mogadouro,0,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0
Centro,3184173,152179,220350,163659,259185,296394,130633,153039,166070,1642664
Oeste,277352,12712,19545,15836,17266,43871,18459,12695,15850,121118
Alcobaça,0,0,0,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0,0
Caldas da Rainha,...,...,...,...,...,...,...,...,...,...
Lourinhã,0,0,0,0,0,0,0,0,0,0
Nazaré,...,...,...,...,...,...,...,...,...,...
Óbidos,0,0,0,0,0,0,0,0,0,0
Peniche,0,0,0,0,0,0,0,0,0,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0
Torres Vedras,...,...,...,...,...,...,...,...,...,...
Região de Aveiro,377217,21334,25743,17404,39954,48572,25104,27577,14238,157291
Águeda,0,0,0,0,0,0,0,0,0,0
Albergaria-a-Velha,0,0,0,0,0,0,0,0,0,0
Anadia,...,...,...,...,...,...,...,...,...,...
Aveiro,...,...,...,...,...,...,...,...,...,...
Estarreja,0,0,0,0,0,0,0,0,0,0
Ílhavo,0,0,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,...,...,...,...,...,...,...,...,...,...
Ovar,25811,2329,0,2431,3158,4992,1953,2894,0,8054
Sever do Vouga,0,0,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0,0,0
Região de Coimbra,1264219,46155,99825,36786,98947,86151,45810,49476,61819,739250
Arganil,0,0,0,0,0,0,0,0,0,0
Cantanhede,20243,1463,556,670,1013,2634,0,0,0,13907
Coimbra,...,...,...,...,...,...,...,...,...,...
Condeixa-a-Nova,...,...,...,...,...,...,...,...,...,...
Figueira da Foz,82138,8489,5289,6129,8770,10814,3505,5440,3331,30371
Góis,0,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0,0,0
Mealhada,...,...,...,...,...,...,...,...,...,...
Mira,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,...,...,...,...,...,...,...,...,...,...
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0
Região de Leiria,436302,26293,20348,45012,49648,46024,13334,22927,17559,195157
Alvaiázere,...,...,...,...,...,...,...,...,...,...
Ansião,...,...,...,...,...,...,...,...,...,...
Batalha,0,0,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0
Leiria,...,...,...,...,...,...,...,...,...,...
Marinha Grande,...,...,...,...,...,...,...,...,...,...
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0
Pombal,0,0,0,0,0,0,0,0,0,0
Porto de Mós,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,...,...,...,...,...,...,...,...,...,...
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0
Viseu,...,...,...,...,...,...,...,...,...,...
Vouzela,0,0,0,0,0,0,0,0,0,0
Beira Baixa,75889,6045,2775,7255,3203,5816,3012,2124,6533,39126
Castelo Branco,75889,6045,2775,7255,3203,5816,3012,2124,6533,39126
Idanha-a-Nova,0,0,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0
Médio Tejo,...,...,...,...,...,...,...,...,...,...
Abrantes,0,0,0,0,0,0,0,0,0,0
Alcanena,...,...,...,...,...,...,...,...,...,...
Constância,3214,0,0,0,0,0,0,0,0,3214
Entroncamento,...,...,...,...,...,...,...,...,...,...
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0,0,0
Tomar,161420,9766,7293,10688,16705,9576,5736,10830,16712,74114
Torres Novas,0,0,0,0,0,0,0,0,0,0
Vila de Rei,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,...,...,...,...,...,...,...,...,...,...
Almeida,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0
Covilhã,133469,5546,14891,8935,4486,8702,0,7424,5698,77787
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,0,0,0,0,0,0
Gouveia,0,0,0,0,0,0,0,0,0,0
Guarda,...,...,...,...,...,...,...,...,...,...
Manteigas,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0,0
Seia,0,0,0,0,0,0,0,0,0,0
Trancoso,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,6070968,233451,446052,214440,442284,428502,289470,309540,267479,3439750
Alcochete,0,0,0,0,0,0,0,0,0,0
Almada,284551,7648,26416,11552,25046,11049,13881,9657,14908,164394
Amadora,...,...,...,...,...,...,...,...,...,...
Barreiro,158685,6451,7647,13550,6303,8096,6598,10222,14804,85014
Cascais,377186,16151,31575,11872,33211,53044,19994,24899,11659,174781
Lisboa,3855817,138604,279743,130471,244076,241308,169942,192086,148189,2311398
Loures,...,...,...,...,...,...,...,...,...,...
Mafra,0,0,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0,0,0
Odivelas,0,0,0,0,0,0,0,0,0,0
Oeiras,...,...,...,...,...,...,...,...,...,...
Palmela,0,0,0,0,0,0,0,0,0,0
Seixal,0,0,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0,0,0
Setúbal,...,...,...,...,...,...,...,...,...,...
Sintra,91310,1859,8655,2258,6137,9279,5251,5393,7116,45362
Vila Franca de Xira,139477,9027,12492,5000,14365,14357,9486,8150,8893,57707
Alentejo,638034,45647,40983,31379,55999,66572,22075,26195,36800,312384
Alentejo Litoral,65899,5092,3312,4240,7142,6256,808,1086,4489,33474
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0,0,0
Santiago do Cacém,65899,5092,3312,4240,7142,6256,808,1086,4489,33474
Sines,0,0,0,0,0,0,0,0,0,0
Baixo Alentejo,77483,8246,7041,3877,6217,7476,1875,2766,9346,30639
Aljustrel,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0
Beja,77483,8246,7041,3877,6217,7476,1875,2766,9346,30639
Castro Verde,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,...,...,...,...,...,...,...,...,...,...
Almeirim,0,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0
Santarém,...,...,...,...,...,...,...,...,...,...
Alto Alentejo,...,...,...,...,...,...,...,...,...,...
Alter do Chão,0,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0,0
Elvas,0,0,0,0,0,0,0,0,0,0
Fronteira,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0
Monforte,...,...,...,...,...,...,...,...,...,...
Nisa,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0,0
Portalegre,80301,9270,4374,6601,8726,8202,2217,1794,4967,34150
Sousel,0,0,0,0,0,0,0,0,0,0
Alentejo Central,...,...,...,...,...,...,...,...,...,...
Alandroal,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0,0
Évora,...,...,...,...,...,...,...,...,...,...
Montemor-o-Novo,...,...,...,...,...,...,...,...,...,...
Mora,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0
Algarve,562833,26317,55353,25147,40375,48220,30759,29615,24069,282978
Albufeira,...,...,...,...,...,...,...,...,...,...
Alcoutim,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0
Faro,...,...,...,...,...,...,...,...,...,...
Lagoa,0,0,0,0,0,0,0,0,0,0
Lagos,...,...,...,...,...,...,...,...,...,...
Loulé,...,...,...,...,...,...,...,...,...,...
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,0,0,0,0,0,0,0,0,0,0
Portimão,...,...,...,...,...,...,...,...,...,...
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0
Silves,0,0,0,0,0,0,0,0,0,0
Tavira,0,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0,0
R. A. Açores,321271,16228,22008,18345,12909,16838,16692,16743,19268,182240
Santa Maria,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0
São Miguel,203158,8954,13661,10678,6564,10205,8834,11073,10251,122938
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,203158,8954,13661,10678,6564,10205,8834,11073,10251,122938
Povoação,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0,0
Terceira,73575,3009,3962,3219,5187,3683,4141,3028,5787,41559
Angra do Heroísmo,73575,3009,3962,3219,5187,3683,4141,3028,5787,41559
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0,0
Faial,44538,4265,4385,4448,1158,2950,3717,2642,3230,17743
Horta,44538,4265,4385,4448,1158,2950,3717,2642,3230,17743
Flores,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,269277,15383,32409,18823,16239,24625,13295,13325,7492,127686
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0,0
Funchal,269277,15383,32409,18823,16239,24625,13295,13325,7492,127686
Machico,0,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0
