,"Publications, Total (N.º)","Publications, of which, Newspapers (N.º)","Publications, of which, Magazines (N.º)","Publications, of which, In both paper and electronic support  (N.º)","Editions, of which, In both paper and electronic support  (N.º)","Total circulation, Total, In both paper and electronic support  (N.º)","Total circulation, of which, Newspapers (N.º)","Total circulation, of which, Magazines (N.º)","Sold copies, Total, Magazines (N.º)","Sold copies, of which, Newspapers (N.º)","Sold copies, of which, Magazines (N.º)"
Coimbra,37,10,25,20,803,3792133,3647693.9999999995,139039,3472951.999999999,3433958,38992.99999999999
Condeixa-a-Nova,2,1,0,2,…,…,…,0,…,…,0
Figueira da Foz,3,3,0,1,67,66351,66351,0,18470,18470,0
Góis,1,1,0,0,…,…,…,0,…,…,0
Lousã,2,1,0,1,…,…,…,0,…,…,0
Mealhada,1,1,0,1,…,…,…,0,…,…,0
Mira,1,1,0,0,…,…,…,0,…,…,0
Miranda do Corvo,1,1,0,0,…,…,…,0,…,…,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,1,0,0,0,…,…,0,0,…,0,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0,0
Soure,1,1,0,0,…,…,…,0,…,…,0
Tábua,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0,0
Região de Leiria,23,20,2,7,602,1760502,1748481.9999999998,…,1201495,1196574.9999999998,…
Alvaiázere,0,0,0,0,0,0,0,0,0,0,0
Ansião,3,3,0,0,36,55800,55800,0,47513,47513,0
Batalha,1,1,0,1,…,…,…,0,…,…,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0,0
Leiria,11,10,1,4,422.00000000000006,1456911.9999999998,1452412,…,957142,957142,…
Marinha Grande,2,1,1,1,…,…,…,…,…,…,…
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0,0
Pombal,4,3,0,0,47,41890,36370,0,32520,27600,0
Porto de Mós,2,2,0,1,…,…,…,0,…,…,0
Viseu Dão Lafões,31,23,3,10,756.0000000000001,1351300,1292120,39000,1096778,1084558,11620
Aguiar da Beira,2,2,0,1,…,…,…,0,…,…,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0,0
Castro Daire,1,1,0,0,…,…,…,0,…,…,0
Mangualde,2,2,0,0,…,…,…,0,…,…,0
Nelas,1,1,0,0,…,…,…,0,…,…,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,1,1,0,0,…,…,…,0,…,…,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,4,3,1,2,45,38200,…,…,34520,…,…
Sátão,3,3,0,0,34,32020,32020,0,30510,30510,0
Tondela,4,2,0,0,113,118416,…,0,108244,…,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0,0
Viseu,13,8,2,7,466.99999999999994,1067772,1027992,…,832312,831112,…
Vouzela,0,0,0,0,0,0,0,0,0,0,0
Beira Baixa,8,7,1,4,177.99999999999997,1326187.9999999998,1319588.0000000002,…,545004,542804,…
Castelo Branco,5,4,1,4,131,1244744,…,…,466050,…,…
Idanha-a-Nova,1,1,0,0,…,…,…,0,…,…,0
Oleiros,0,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,2,2,0,0,…,…,…,0,…,…,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0,0
Médio Tejo,26,14,4,7,344,1834176,1404364,92330,648217.0000000001,504517,38400
Abrantes,2,1,1,1,…,…,…,…,…,…,…
Alcanena,1,1,0,0,…,…,…,0,…,…,0
Constância,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,1,0,1,0,…,…,0,…,…,0,…
Ferreira do Zêzere,1,1,0,0,…,…,…,0,…,…,0
Mação,1,1,0,0,…,…,…,0,…,…,0
Ourém,14,4,2,4,131.99999999999997,1312002,889520,…,269410,126310,…
Sardoal,0,0,0,0,0,0,0,0,0,0,0
Sertã,1,1,0,0,…,…,…,0,…,…,0
Tomar,0,0,0,0,0,0,0,0,0,0,0
Torres Novas,4,4,0,1,112,223428,223428,0,186000,186000,0
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,1,1,0,1,…,…,…,0,…,…,0
Beiras e Serra da Estrela,18,13,1,7,412,1124321,1089171,…,811052,805052,…
Almeida,0,0,0,0,0,0,0,0,0,0,0
Belmonte,1,1,0,0,…,…,…,0,…,…,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0,0
Covilhã,4,3,1,2,103,187700,…,…,175334,…,…
Figueira de Castelo Rodrigo,1,1,0,0,…,…,…,0,…,…,0
Fornos de Algodres,1,1,0,0,…,…,…,0,…,…,0
Fundão,1,1,0,1,…,…,…,0,…,…,0
Gouveia,2,1,0,0,…,…,…,0,…,…,0
Guarda,3,3,0,2,152,406320,406320,0,160779,160779,0
Manteigas,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0,0
Sabugal,1,0,0,0,…,…,0,0,…,0,0
Seia,4,2,0,2,53,87705,…,0,69259,…,0
Trancoso,0,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,426,64,292,208,5870,131709669,75035432,53368970,98927490,58201184,40455716
Alcochete,1,1,0,1,…,…,…,0,…,…,0
Almada,5,1,2,3,71,362895,…,…,318195,…,…
Amadora,4,0,3,2,70,375028,0,343528,339528,0,339528
Barreiro,0,0,0,0,0,0,0,0,0,0,0
Cascais,10,0,7,4,101,928592,0,698390,670500,0,670500
Lisboa,300,42,204,136,4087,99511112.99999996,69154701,29466496.999999996,72440784,53931457.00000001,18242497.000000004
Loures,5,2,3,3,22,113500,…,…,527,…,…
Mafra,18,2,14,6,89,488221.0000000001,…,350791,393656,…,319165.00000000006
Moita,0,0,0,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0,0,0,0
Odivelas,2,0,1,0,…,…,0,…,…,0,…
Oeiras,39,7,30,31,884.9999999999999,14738696.000000002,4208068,9855628,12823026,3974621,8848405
Palmela,0,0,0,0,0,0,0,0,0,0,0
Seixal,6,0,5,1,…,…,0,…,…,0,…
Sesimbra,4,2,1,2,40,81040,…,…,14650,…,…
Setúbal,2,2,0,0,…,…,…,0,…,…,0
Sintra,24,5,18,15,405,13149583.999999998,1255048,11893936,11850732,55000,11795731.999999998
Vila Franca de Xira,6,0,4,4,23.999999999999996,224900,0,199900,92,0,92
Alentejo,39,24,7,21,790,3392887.0000000005,2404987,705600,2742640,2110142,632498
Alentejo Litoral,4,1,1,2,22,66600,…,…,8800,…,…
Alcácer do Sal,1,1,0,0,…,…,…,0,…,…,0
Grândola,0,0,0,0,0,0,0,0,0,0,0
Odemira,1,0,1,0,…,…,0,…,…,0,…
Santiago do Cacém,0,0,0,0,0,0,0,0,0,0,0
Sines,2,0,0,2,…,…,0,0,…,0,0
Baixo Alentejo,4,2,1,1,72,115806,…,…,89827,…,…
Aljustrel,0,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0,0
Beja,3,1,1,0,…,…,…,…,…,…,…
Castro Verde,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0,0
Moura,1,1,0,1,…,…,…,0,…,…,0
Ourique,0,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,13,8,5,9,198,1663601,968101,695500,1478132.9999999998,845635,632498
Almeirim,0,0,0,0,0,0,0,0,0,0,0
Alpiarça,1,1,0,0,…,…,…,0,…,…,0
Azambuja,2,2,0,2,…,…,…,0,…,…,0
Benavente,0,0,0,0,0,0,0,0,0,0,0
Cartaxo,3,2,1,2,22,19800,…,…,7200,…,…
Chamusca,0,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0,0
Santarém,7,3,4,5,146,1535921,…,…,1462053,…,…
Alto Alentejo,8,5,0,4,103,237700,137600,0,100000,100000,0
Alter do Chão,1,1,0,0,…,…,…,0,…,…,0
Arronches,1,1,0,1,…,…,…,0,…,…,0
Avis,0,0,0,0,0,0,0,0,0,0,0
Campo Maior,1,0,0,1,…,…,0,0,…,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0,0
Crato,1,1,0,0,…,…,…,0,…,…,0
Elvas,2,0,0,1,…,…,0,0,…,0,0
Fronteira,0,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,1,1,0,0,…,…,…,0,…,…,0
Portalegre,1,1,0,1,…,…,…,0,…,…,0
Sousel,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,10,8,0,5,395.00000000000006,1309180,1186780,0,1065880,1065880,0
Alandroal,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0,0
Estremoz,1,1,0,0,…,…,…,0,…,…,0
Évora,3,3,0,3,311,1090300,1090300,0,980500,980500,0
Montemor-o-Novo,2,1,0,1,…,…,…,0,…,…,0
Mora,2,1,0,1,…,…,…,0,…,…,0
Mourão,0,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,1,1,0,0,…,…,…,0,…,…,0
Vendas Novas,1,1,0,0,…,…,…,0,…,…,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0,0
Algarve,14,8,6,6,275.00000000000006,917818.0000000001,662501,255317,520356,493505,26850.999999999996
Albufeira,1,0,1,0,…,…,0,…,…,0,…
Alcoutim,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0
Faro,1,0,1,0,…,…,0,…,…,0,…
Lagoa,4,2,2,1,95,193500,…,…,103300,…,…
Lagos,0,0,0,0,0,0,0,0,0,0,0
Loulé,1,1,0,0,…,…,…,0,…,…,0
Monchique,1,1,0,1,…,…,…,0,…,…,0
Olhão,1,1,0,0,…,…,…,0,…,…,0
Portimão,2,1,1,1,…,…,…,…,…,…,…
São Brás de Alportel,0,0,0,0,0,0,0,0,0,0,0
Silves,1,0,1,1,…,…,0,…,…,0,…
Tavira,1,1,0,1,…,…,…,0,…,…,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,1,1,0,1,…,…,…,0,…,…,0
R. A. Açores,26,16,7,12,2009,4953197,4698589,240708,4706800,4573622,125677.99999999997
Santa Maria,1,1,0,0,…,…,…,0,…,…,0
Vila do Porto,1,1,0,0,…,…,…,0,…,…,0
São Miguel,11,5,5,5,1167,3774900,3534870,…,3588406,3463296,…
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,10,4,5,5,…,…,…,…,…,…,…
Povoação,0,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,1,1,0,0,…,…,…,0,…,…,0
Terceira,8,4,2,3,319,825556,810978,…,771668.0000000001,763600,…
Angra do Heroísmo,6,3,2,2,…,…,…,…,…,…,…
Vila da Praia da Vitória,2,1,0,1,…,…,…,0,…,…,0
Graciosa,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0,0
São Jorge,1,1,0,0,…,…,…,0,…,…,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0,0
Velas,1,1,0,0,…,…,…,0,…,…,0
Pico,3,3,0,2,156,118716,118716,0,118216,118216,0
Lajes do Pico,1,1,0,0,…,…,…,0,…,…,0
Madalena,1,1,0,1,…,…,…,0,…,…,0
São Roque do Pico,1,1,0,1,…,…,…,0,…,…,0
Faial,2,2,0,2,…,…,…,0,…,…,0
Horta,2,2,0,2,…,…,…,0,…,…,0
Flores,0,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,27,6,6,22,898.9999999999999,4010543,3878301,112070,3705937,3702882,2554
Calheta (R.A.M.),1,1,0,0,…,…,…,0,…,…,0
Câmara de Lobos,4,1,2,4,…,…,…,…,…,…,…
Funchal,21,3,4,17,796.9999999999998,3923713.999999999,3829872,…,3696596.9999999995,3694462.0000000005,…
Machico,1,1,0,1,…,…,…,0,…,…,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0,0
