,"Cinema, Spectators per inhabitant, No.","Cinema, Occupancy rate, %","Art facilities, Rooms average capacity  , No.","Live shows, Spectators per inhabitant, No.","Live shows, Mean value of tickets sold, €","Periodical publications , Ratio of copies offered, %"
Aguiar da Beira,x,x,262.3,…,…,…
Carregal do Sal,x,x,199,…,…,//
Castro Daire,x,x,155.5,0.1,3,…
Mangualde,x,x,//,0.3,8.1,…
Nelas,x,x,197,0.1,//,…
Oliveira de Frades,x,x,146,1.8,2.9,//
Penalva do Castelo,x,x,//,2.1,//,…
Santa Comba Dão,x,x,270,0.2,9.8,//
São Pedro do Sul,x,x,198,0.2,3,9.6
Sátão,x,x,225,…,…,4.7
Tondela,x,x,298.7,1.7,3,8.6
Vila Nova de Paiva,x,x,214,…,…,//
Viseu,x,x,127,10.3,5.6,22.1
Vouzela,x,x,288,…,…,//
Beira Baixa,0.9,7,387.9,0.3,10.1,58.9
Castelo Branco,x,x,465,0.3,10.1,62.6
Idanha-a-Nova,x,x,467,…,…,…
Oleiros,x,x,//,0,//,//
Penamacor,x,x,//,…,…,//
Proença-a-Nova,x,x,166,0.4,//,…
Vila Velha de Ródão,x,x,218,0.3,10,//
Médio Tejo,0.4,12.4,242.1,0.6,4.7,64.7
Abrantes,x,x,300,0.1,5.1,…
Alcanena,x,x,227,1.1,11.5,…
Constância,x,x,103,3.4,//,//
Entroncamento,x,x,//,1.9,9,…
Ferreira do Zêzere,x,x,201,…,…,…
Mação,x,x,//,…,…,…
Ourém,x,x,350,0.7,2.8,79.5
Sardoal,x,x,202,1.4,3.9,//
Sertã,x,x,202,…,…,…
Tomar,x,x,410,0.3,4.6,//
Torres Novas,x,x,339.5,0.1,10.2,16.8
Vila de Rei,x,x,224,0,//,//
Vila Nova da Barquinha,x,x,144,0.3,//,…
Beiras e Serra da Estrela,0.6,8.9,293.8,1.3,6.3,27.9
Almeida,x,x,849,…,…,//
Belmonte,x,x,175,4.9,//,…
Celorico da Beira,x,x,//,…,…,//
Covilhã,x,x,//,0.1,3.9,6.6
Figueira de Castelo Rodrigo,x,x,//,…,…,…
Fornos de Algodres,x,x,//,…,…,…
Fundão,x,x,147,…,…,…
Gouveia,x,x,200,…,…,…
Guarda,x,x,217.2,1.2,10.4,60.4
Manteigas,x,x,//,…,…,//
Mêda,x,x,299,…,…,//
Pinhel,x,x,//,…,…,//
Sabugal,x,x,//,0.6,8.7,…
Seia,x,x,348,0.5,4.3,21
Trancoso,x,x,//,…,…,//
A. M. Lisboa,2.4,14.3,542,1.6,28.3,24.9
Alcochete,x,x,367,0.5,9.4,…
Almada,x,x,292.3,0.4,7.8,12.3
Amadora,x,x,148.8,0.3,7.2,9.5
Barreiro,x,x,455,0.6,8.4,//
Cascais,x,x,267.1,0.6,16,27.8
Lisboa,x,x,850,6,28.4,27.2
Loures,x,x,161.3,0.2,//,99.5
Mafra,x,x,116.7,0.3,34.3,19.4
Moita,x,x,235.7,0.2,7,//
Montijo,x,x,361.5,0.2,9.9,//
Odivelas,x,x,82.6,0.1,7.5,…
Oeiras,x,x,233.2,1.7,56.1,13
Palmela,x,x,150.1,0.7,5.5,//
Seixal,x,x,163.8,0.4,4.9,…
Sesimbra,x,x,279,4,51.6,81.9
Setúbal,x,x,1069,0.9,10.7,…
Sintra,x,x,256.4,0.5,10.2,9.9
Vila Franca de Xira,x,x,435.3,1.1,6.8,100
Alentejo,0.5,9.8,406.7,1.4,21.9,19.2
Alentejo Litoral,0.6,14.7,207,3.7,54.6,86.8
Alcácer do Sal,x,x,201,…,…,…
Grândola,x,x,186,4.3,3,//
Odemira,x,x,255,…,…,…
Santiago do Cacém,x,x,242,0.5,5.7,//
Sines,x,x,172,14.7,18.9,…
Baixo Alentejo,0.1,30.3,262.8,1.7,9,22.4
Aljustrel,x,x,333.6,2.3,3.3,//
Almodôvar,x,x,56,3.8,//,//
Alvito,x,x,//,1.1,//,//
Barrancos,x,x,243,0,//,//
Beja,x,x,401.6,0.9,12,…
Castro Verde,x,x,342,3.6,4.2,//
Cuba,x,x,210,…,…,//
Ferreira do Alentejo,x,x,126,0,//,//
Mértola,x,x,172,7.8,//,//
Moura,x,x,239,1.2,//,…
Ourique,x,x,168,…,…,//
Serpa,x,x,220.8,…,…,//
Vidigueira,x,x,//,0,//,//
Lezíria do Tejo,0.5,10.3,280.8,0.8,8,11.1
Almeirim,x,x,270,0.7,9.8,//
Alpiarça,x,x,126.5,1.9,8.5,…
Azambuja,x,x,90,0.7,//,…
Benavente,x,x,274.3,…,…,//
Cartaxo,x,x,202.5,0.4,7.7,63.6
Chamusca,x,x,311.5,…,…,//
Coruche,x,x,189.5,0.8,//,//
Golegã,x,x,//,0,//,//
Rio Maior,x,x,247,1.1,4.5,//
Salvaterra de Magos,x,x,//,0,//,//
Santarém,x,x,701.5,1.7,10.8,4.8
Alto Alentejo,0.1,26.2,894.2,1,5.6,57.9
Alter do Chão,x,x,//,0.2,2.2,…
Arronches,x,x,252,0,//,…
Avis,x,x,274,…,…,//
Campo Maior,x,x,//,3,3.9,…
Castelo de Vide,x,x,2000,2.5,//,//
Crato,x,x,//,ә,//,…
Elvas,x,x,2011,1,5.2,…
Fronteira,x,x,//,0,//,//
Gavião,x,x,263,0.7,3.5,//
Marvão,x,x,//,0,//,//
Monforte,x,x,//,…,…,//
Nisa,x,x,394,0.2,4,//
Ponte de Sor,x,x,//,1.4,6,…
Portalegre,x,x,206.7,0.8,7.3,…
Sousel,x,x,//,0.6,3.4,//
Alentejo Central,1.2,9.8,491.8,1.2,7.2,18.6
Alandroal,x,x,180,2.9,//,//
Arraiolos,x,x,//,4,//,//
Borba,x,x,81,…,…,//
Estremoz,x,x,236,…,…,…
Évora,x,x,1212.8,0.7,6.6,10.1
Montemor-o-Novo,x,x,776,2,3.8,…
Mora,x,x,//,0,//,…
Mourão,x,x,//,…,…,//
Portel,x,x,218,…,…,//
Redondo,x,x,202,0.3,8.8,//
Reguengos de Monsaraz,x,x,232,…,…,…
Vendas Novas,x,x,351.3,1.1,//,…
Viana do Alentejo,x,x,215,0,//,//
Vila Viçosa,x,x,100,0.7,//,//
Algarve,2.2,10.8,333.1,1.3,13.2,43.3
Albufeira,x,x,//,0.6,8.3,…
Alcoutim,x,x,//,9.3,//,//
Aljezur,x,x,//,…,…,//
Castro Marim,x,x,//,0,//,//
Faro,x,x,333.5,2.1,16.3,…
Lagoa,x,x,404.4,4.4,10.4,46.6
Lagos,x,x,237.5,0.7,7.9,//
Loulé,x,x,//,0.9,11.2,…
Monchique,x,x,//,…,…,…
Olhão,x,x,416,0.6,8,…
Portimão,x,x,161,0.4,10.8,…
São Brás de Alportel,x,x,342,0.3,5.1,//
Silves,x,x,150,…,…,…
Tavira,x,x,400,…,…,…
Vila do Bispo,x,x,414,2.2,4,//
Vila Real de Santo António,x,x,287,0.3,7,…
R. A. Açores,0.6,13.2,375.2,0.7,11.1,5
Santa Maria,x,x,//,2,11.1,…
Vila do Porto,x,x,//,2,11.1,…
São Miguel,x,x,387.7,0.7,12,4.9
Lagoa (R.A.A.),x,x,176,1.5,//,//
Nordeste,x,x,//,…,…,//
Ponta Delgada,x,x,511.8,0.7,12.5,…
Povoação,x,x,//,0,//,//
Ribeira Grande,x,x,257.7,…,…,//
Vila Franca do Campo,x,x,//,0,//,…
Terceira,x,x,337.6,0.8,11.2,6.5
Angra do Heroísmo,x,x,396,1,13,…
Vila da Praia da Vitória,x,x,298.7,0.5,8.3,…
Graciosa,x,x,//,3.8,//,//
Santa Cruz da Graciosa,x,x,//,3.8,//,//
São Jorge,x,x,//,0.3,7.7,…
Calheta (R.A.A.),x,x,//,0.2,//,//
Velas,x,x,//,0.4,7.7,…
Pico,x,x,//,0.4,6.2,0.4
Lajes do Pico,x,x,//,…,…,…
Madalena,x,x,//,…,…,…
São Roque do Pico,x,x,//,0,//,…
Faial,x,x,//,0.4,7.4,…
Horta,x,x,//,0.4,7.4,…
Flores,x,x,//,0.4,//,//
Lajes das Flores,x,x,//,0.1,//,//
Santa Cruz das Flores,x,x,//,0.6,//,//
Corvo,x,x,//,0,//,//
Corvo,x,x,//,0,//,//
R. A. Madeira,1.1,8,507.3,1.7,13.2,7.6
Calheta (R.A.M.),x,x,200,0.5,16.8,…
Câmara de Lobos,x,x,159,0.5,//,…
Funchal,x,x,733.9,1.6,14.2,5.8
Machico,x,x,254.5,0.7,3.3,…
Ponta do Sol,x,x,180,4.4,4.8,//
Porto Moniz,x,x,//,13,//,//
Ribeira Brava,x,x,//,6.3,//,//
Santa Cruz,x,x,500,0.2,5,//
Santana,x,x,//,2.7,//,//
São Vicente,x,x,//,4.1,//,//
Porto Santo,x,x,260,5.5,//,//
