,"Art facilities, Total, No.","Art facilities, Rooms, No.","Art facilities, Capacity, No.","Art facilities, Seats, No.","Live shows, Performances, No.","Live shows, Spectators, No.","Live shows, Tickets sold, No.","Live shows, Revenues, Euros"
Lajes do Pico,0,0,0,0,1,…,…,…
Madalena,0,0,0,0,4,…,…,…
São Roque do Pico,0,0,0,0,0,0,0,0
Faial,0,0,0,0,42,5793,3895.9999999999995,28937.000000000004
Horta,0,0,0,0,42,5793,3895.9999999999995,28937.000000000004
Flores,0,0,0,0,14,1400,0,0
Lajes das Flores,0,0,0,0,2,200,0,0
Santa Cruz das Flores,0,0,0,0,12,1200,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,18,24,12176,7546,1321.9999999999998,423445.99999999994,71162,937774.9999999995
Calheta (R.A.M.),1,1,200,200,45.00000000000001,5052,573.9999999999999,9647.000000000002
Câmara de Lobos,3,3,477,477,33,16288,0,0
Funchal,8,13,9541,5211,813,164410,63310,898560.0000000002
Machico,3,4,1018,918,81,14926.999999999998,3740,12450
Ponta do Sol,1,1,180,180,155.99999999999997,37711.99999999999,2837.9999999999986,13617.999999999998
Porto Moniz,0,0,0,0,11,30527,0,0
Ribeira Brava,0,0,0,0,57.999999999999986,77724.99999999999,0,0
Santa Cruz,1,1,500,300,43.00000000000001,8714,700,3499.9999999999995
Santana,0,0,0,0,14,18112,0,0
São Vicente,0,0,0,0,28,21329,0,0
Porto Santo,1,1,260,260,40,28649.999999999993,0,0
