,"Ensino secundário, Total (N.º)","Ensino secundário, das quais, Ensino regular, Total (N.º)","Ensino secundário, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Tábua,246,118,118,0,0,128,0,0
Vila Nova de Poiares,122,73,73,0,0,49,0,0
Região de Leiria,9603,5549,5517,32,122,3663,269,0
Alvaiázere,126,76,76,0,0,50,0,0
Ansião,534,234,234,0,0,300,0,0
Batalha,375,262,262,0,0,113,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,106,106,106,0,0,0,0,0
Leiria,4091,2560,2528,32,122,1162,247,0
Marinha Grande,1531,951,951,0,0,580,0,0
Pedrógão Grande,187,0,0,0,0,165,22,0
Pombal,1883,1061,1061,0,0,822,0,0
Porto de Mós,770,299,299,0,0,471,0,0
Viseu Dão Lafões,8414,5043,5043,0,0,3134,237,0
Aguiar da Beira,136,128,128,0,0,8,0,0
Carregal do Sal,207,138,138,0,0,69,0,0
Castro Daire,386,226,226,0,0,160,0,0
Mangualde,473,319,319,0,0,154,0,0
Nelas,354,206,206,0,0,148,0,0
Oliveira de Frades,249,163,163,0,0,86,0,0
Penalva do Castelo,195,126,126,0,0,69,0,0
Santa Comba Dão,256,192,192,0,0,64,0,0
São Pedro do Sul,490,245,245,0,0,245,0,0
Sátão,257,187,187,0,0,70,0,0
Tondela,926,488,488,0,0,438,0,0
Vila Nova de Paiva,120,76,76,0,0,44,0,0
Viseu,3956,2429,2429,0,0,1290,237,0
Vouzela,409,120,120,0,0,289,0,0
Beira Baixa,2231,1349,1349,0,0,766,116,0
Castelo Branco,1788,1042,1042,0,0,630,116,0
Idanha-a-Nova,174,87,87,0,0,87,0,0
Oleiros,57,47,47,0,0,10,0,0
Penamacor,70,70,70,0,0,0,0,0
Proença-a-Nova,142,103,103,0,0,39,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,7715,4871,4565,306,0,2717,127,0
Abrantes,1115,780,780,0,0,335,0,0
Alcanena,358,258,258,0,0,100,0,0
Constância,120,80,80,0,0,40,0,0
Entroncamento,779,455,455,0,0,324,0,0
Ferreira do Zêzere,119,93,93,0,0,26,0,0
Mação,191,90,90,0,0,101,0,0
Ourém,1781,1100,794,306,0,681,0,0
Sardoal,87,51,51,0,0,36,0,0
Sertã,494,260,260,0,0,234,0,0
Tomar,1297,772,772,0,0,398,127,0
Torres Novas,1156,760,760,0,0,396,0,0
Vila de Rei,57,57,57,0,0,0,0,0
Vila Nova da Barquinha,161,115,115,0,0,46,0,0
Beiras e Serra da Estrela,5996,3461,3461,0,0,2477,58,0
Almeida,76,58,58,0,0,18,0,0
Belmonte,84,54,54,0,0,30,0,0
Celorico da Beira,130,95,95,0,0,35,0,0
Covilhã,1419,865,865,0,0,554,0,0
Figueira de Castelo Rodrigo,85,61,61,0,0,24,0,0
Fornos de Algodres,100,85,85,0,0,15,0,0
Fundão,825,423,423,0,0,402,0,0
Gouveia,351,193,193,0,0,158,0,0
Guarda,1385,824,824,0,0,523,38,0
Manteigas,82,47,47,0,0,35,0,0
Mêda,59,59,59,0,0,0,0,0
Pinhel,190,147,147,0,0,43,0,0
Sabugal,152,116,116,0,0,36,0,0
Seia,641,303,303,0,0,318,20,0
Trancoso,417,131,131,0,0,286,0,0
A. M. Lisboa,103805,65138,65138,0,1480,30893,6251,43
Alcochete,718,541,541,0,0,177,0,0
Almada,6321,3939,3939,0,0,2382,0,0
Amadora,5022,2289,2289,0,0,2042,691,0
Barreiro,3436,2490,2490,0,0,946,0,0
Cascais,8231,6104,6104,0,66,1744,317,0
Lisboa,30818,16294,16294,0,1414,10413,2654,43
Loures,4369,2995,2995,0,0,1374,0,0
Mafra,2981,2110,2110,0,0,871,0,0
Moita,1581,684,684,0,0,897,0,0
Montijo,1690,1099,1099,0,0,591,0,0
Odivelas,3841,3017,3017,0,0,824,0,0
Oeiras,5615,4750,4750,0,0,865,0,0
Palmela,2756,1851,1851,0,0,308,597,0
Seixal,4633,3130,3130,0,0,1151,352,0
Sesimbra,1465,1094,1094,0,0,371,0,0
Setúbal,4569,2627,2627,0,0,1327,615,0
Sintra,10974,7405,7405,0,0,3033,536,0
Vila Franca de Xira,4785,2719,2719,0,0,1577,489,0
Alentejo,21481,13227,13227,0,0,7469,783,2
Alentejo Litoral,2653,1664,1664,0,0,989,0,0
Alcácer do Sal,264,223,223,0,0,41,0,0
Grândola,386,246,246,0,0,140,0,0
Odemira,822,452,452,0,0,370,0,0
Santiago do Cacém,566,461,461,0,0,105,0,0
Sines,615,282,282,0,0,333,0,0
Baixo Alentejo,3544,1945,1945,0,0,1462,137,0
Aljustrel,165,109,109,0,0,56,0,0
Almodôvar,151,104,104,0,0,47,0,0
Alvito,154,0,0,0,0,154,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1401,881,881,0,0,383,137,0
Castro Verde,177,135,135,0,0,42,0,0
Cuba,193,0,0,0,0,193,0,0
Ferreira do Alentejo,87,78,78,0,0,9,0,0
Mértola,162,101,101,0,0,61,0,0
Moura,434,284,284,0,0,150,0,0
Ourique,93,75,75,0,0,18,0,0
Serpa,442,178,178,0,0,264,0,0
Vidigueira,85,0,0,0,0,85,0,0
Lezíria do Tejo,7495,4574,4574,0,0,2671,250,0
Almeirim,572,355,355,0,0,217,0,0
Alpiarça,161,86,86,0,0,75,0,0
Azambuja,401,326,326,0,0,75,0,0
Benavente,798,606,606,0,0,192,0,0
Cartaxo,601,459,459,0,0,142,0,0
Chamusca,134,109,109,0,0,25,0,0
Coruche,435,302,302,0,0,133,0,0
Golegã,122,96,96,0,0,26,0,0
Rio Maior,843,502,502,0,0,341,0,0
Salvaterra de Magos,799,319,319,0,0,480,0,0
Santarém,2629,1414,1414,0,0,965,250,0
Alto Alentejo,2915,1776,1776,0,0,1069,68,2
Alter do Chão,202,64,64,0,0,138,0,0
Arronches,6,0,0,0,0,6,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,250,143,143,0,0,65,42,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,42,0,0,0,0,42,0,0
Elvas,692,442,442,0,0,250,0,0
Fronteira,0,0,0,0,0,0,0,0
Gavião,30,0,0,0,0,30,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,91,48,48,0,0,43,0,0
Ponte de Sor,405,300,300,0,0,105,0,0
Portalegre,1063,779,779,0,0,256,26,2
Sousel,134,0,0,0,0,134,0,0
Alentejo Central,4874,3268,3268,0,0,1278,328,0
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,111,86,86,0,0,25,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,472,410,410,0,0,62,0,0
Évora,2459,1396,1396,0,0,808,255,0
Montemor-o-Novo,373,296,296,0,0,77,0,0
Mora,65,41,41,0,0,24,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,3,0,0,0,0,3,0,0
Redondo,113,84,84,0,0,29,0,0
Reguengos de Monsaraz,343,252,252,0,0,91,0,0
Vendas Novas,429,295,295,0,0,61,73,0
Viana do Alentejo,171,132,132,0,0,39,0,0
Vila Viçosa,335,276,276,0,0,59,0,0
Algarve,15413,9428,9428,0,72,5592,321,0
Albufeira,1632,1068,1068,0,0,564,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,2740,1753,1753,0,71,903,13,0
Lagoa,479,273,273,0,0,206,0,0
Lagos,1312,726,726,0,0,586,0,0
Loulé,2343,1442,1442,0,1,900,0,0
Monchique,0,0,0,0,0,0,0,0
Olhão,1188,777,777,0,0,411,0,0
Portimão,2882,1527,1527,0,0,1047,308,0
São Brás de Alportel,295,220,220,0,0,75,0,0
Silves,994,590,590,0,0,404,0,0
Tavira,769,551,551,0,0,218,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,779,501,501,0,0,278,0,0
R. A. Açores,8398,4627,4627,0,6,2851,914,0
Santa Maria,170,104,104,0,0,56,10,0
Vila do Porto,170,104,104,0,0,56,10,0
São Miguel,5139,2736,2736,0,0,2093,310,0
Lagoa (R.A.A.),463,254,254,0,0,209,0,0
Nordeste,137,82,82,0,0,55,0,0
Ponta Delgada,3146,1735,1735,0,0,1253,158,0
Povoação,214,119,119,0,0,95,0,0
Ribeira Grande,784,345,345,0,0,373,66,0
Vila Franca do Campo,395,201,201,0,0,108,86,0
Terceira,1697,940,940,0,6,374,377,0
Angra do Heroísmo,1070,637,637,0,6,167,260,0
Vila da Praia da Vitória,627,303,303,0,0,207,117,0
Graciosa,107,53,53,0,0,10,44,0
Santa Cruz da Graciosa,107,53,53,0,0,10,44,0
São Jorge,310,144,144,0,0,109,57,0
Calheta (R.A.A.),83,73,73,0,0,0,10,0
Velas,227,71,71,0,0,109,47,0
Pico,400,252,252,0,0,103,45,0
Lajes do Pico,114,89,89,0,0,0,25,0
Madalena,208,97,97,0,0,103,8,0
São Roque do Pico,78,66,66,0,0,0,12,0
Faial,482,311,311,0,0,106,65,0
Horta,482,311,311,0,0,106,65,0
Flores,82,76,76,0,0,0,6,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,82,76,76,0,0,0,6,0
Corvo,11,11,11,0,0,0,0,0
Corvo,11,11,11,0,0,0,0,0
R. A. Madeira,9088,5823,5823,0,0,2689,160,416
Calheta (R.A.M.),277,205,205,0,0,72,0,0
Câmara de Lobos,180,137,137,0,0,23,0,20
Funchal,6785,4112,4112,0,0,2159,160,354
Machico,538,424,424,0,0,114,0,0
Ponta do Sol,248,173,173,0,0,65,0,10
Porto Moniz,67,67,67,0,0,0,0,0
Ribeira Brava,339,238,238,0,0,69,0,32
Santa Cruz,234,125,125,0,0,109,0,0
Santana,159,119,119,0,0,40,0,0
São Vicente,107,101,101,0,0,6,0,0
Porto Santo,154,122,122,0,0,32,0,0
